date,open,high,low,close,volume,amount,pctChg
2025-01-02,7.4300,7.4500,7.0400,7.1200,7005745,50643655.0500,-3.783800
2025-01-03,7.1100,7.2400,7.0200,7.0400,6356245,45345086.2500,-1.123600
2025-01-06,7.0700,7.1400,7.0000,7.0900,6592700,46542741.0000,0.710200
2025-01-07,7.1000,7.1100,7.0200,7.0600,4444700,31383511.0000,-0.423100
2025-01-08,7.0500,7.1000,6.9000,7.0300,6487600,45412914.0000,-0.424900
2025-01-09,7.0200,7.0200,6.9300,6.9500,3938528,27419814.3200,-1.138000
2025-01-10,6.9500,6.9600,6.8200,6.8200,4842500,33370248.0000,-1.870500
2025-01-13,6.8400,6.9300,6.7700,6.9100,5050928,34653907.5200,1.319600
2025-01-14,6.8900,7.0300,6.8900,7.0200,7948399,55415678.0100,1.591900
2025-01-15,7.0200,7.0300,6.9000,6.9400,5932200,41158182.0000,-1.139600
2025-01-16,6.9400,7.0300,6.9300,6.9800,5148500,35922885.0000,0.576400
2025-01-17,6.9600,7.0900,6.9300,7.0400,5928399,41670832.0300,0.859600
2025-01-20,7.0600,7.1300,7.0100,7.0300,4294500,30256792.0000,-0.142000
2025-01-21,7.0400,7.0700,6.9800,7.0200,3261434,22875517.3600,-0.142200
2025-01-22,7.0000,7.0600,6.9600,6.9900,3825100,26799243.0000,-0.427400
2025-01-23,7.0100,7.1200,6.8500,7.0000,5979700,42148382.0000,0.143100
2025-01-24,7.0300,7.0500,6.9600,7.0100,4629500,32445317.0000,0.142900
2025-01-27,7.0000,7.1800,7.0000,7.1000,8343667,59457282.2400,1.283900
2025-02-05,7.1300,7.1600,7.0000,7.0600,6310714,44556422.8100,-0.563400
2025-02-06,7.0700,7.1300,7.0000,7.1100,6651456,47040580.1800,0.708200
2025-02-07,7.1300,7.2800,7.0900,7.2500,8933642,64352903.5800,1.969100
2025-02-10,7.2500,7.3300,7.2400,7.2700,5758600,41874656.0000,0.275900
2025-02-11,7.2700,7.3100,7.1500,7.2100,5376500,38705684.0000,-0.825300
2025-02-12,7.2100,7.3000,7.1700,7.2900,6125400,44455451.0000,1.109600
2025-02-13,7.2900,7.3000,7.2100,7.2200,6696589,48593729.2500,-0.960200
2025-02-14,7.2300,7.3300,7.2000,7.3300,8277690,60265925.2300,1.523500
2025-02-17,7.3600,7.4900,7.2900,7.4500,11682801,86661520.4300,1.637100
