date,open,high,low,close,volume,amount,pctChg
2025-01-02,13.8600,13.9900,13.3200,13.4800,3710600,50821999.0000,-2.811800
2025-01-03,13.5200,13.6000,12.8500,12.9300,4341774,57008266.9600,-4.080100
2025-01-06,12.9000,13.0200,12.5100,12.8100,3180377,40710918.6500,-0.928100
2025-01-07,12.8100,13.9900,12.8000,13.5700,7618302,101558368.7700,5.932900
2025-01-08,13.2500,13.4600,12.9000,13.3600,6750400,89075561.0000,-1.547500
2025-01-09,13.2100,13.5400,13.2100,13.3100,3810600,50972464.0000,-0.374300
2025-01-10,13.3000,14.6400,13.2100,14.6400,13115216,186985136.2400,9.992500
2025-01-13,14.0600,15.6700,14.0100,15.0800,22114200,329889244.2000,3.005500
2025-01-14,14.8000,15.4000,14.6600,15.2500,19667900,295237008.6600,1.127300
2025-01-15,14.9900,15.1700,14.6300,14.6900,13173500,194928429.0000,-3.672100
2025-01-16,14.6700,15.2000,14.5100,15.0900,14577903,216326563.9500,2.722900
2025-01-17,14.8000,15.0300,14.5100,14.5100,9438600,138943535.0000,-3.843600
2025-01-20,14.5000,14.8000,14.4400,14.5600,6989657,102122008.2000,0.344600
2025-01-21,14.6600,14.6900,14.0500,14.1800,6800545,96863490.3200,-2.609900
2025-01-22,14.2000,14.6900,14.0000,14.4000,7051200,101248469.0000,1.551500
2025-01-23,14.7000,15.1100,14.2600,14.2900,10338488,152452762.9200,-0.763900
2025-01-24,13.3900,13.4800,12.8600,12.8600,13569803,175756607.2700,-10.007000
2025-01-27,12.8100,13.9500,12.8100,12.8800,9685478,128174723.3600,0.155500
2025-02-05,12.9900,13.5900,12.9900,13.2800,8553021,113992267.5100,3.105600
2025-02-06,13.2500,13.4700,13.0900,13.4000,5548384,73889214.9200,0.903600
2025-02-07,13.4000,13.9400,13.3300,13.7000,7946959,108730214.2700,2.238800
2025-02-10,13.6600,14.1500,13.6000,14.0600,6931900,96697378.0000,2.627700
2025-02-11,14.0600,14.1400,13.6300,13.7600,4672500,64310089.0000,-2.133700
2025-02-12,13.7200,13.8600,13.5900,13.8600,4557891,62533282.1900,0.726700
2025-02-13,13.8800,13.9300,13.5200,13.6900,4401400,60391478.0000,-1.226600
2025-02-14,13.6100,14.0500,13.5000,13.7400,6744800,92578633.0000,0.365200
2025-02-17,13.7900,13.9500,13.6200,13.7400,5395288,74497550.5200,0.000000
