date,open,high,low,close,volume,amount,pctChg
2025-01-02,9.4600,10.2000,9.3700,9.6700,68216129,675890921.0000,3.422500
2025-01-03,9.7700,9.7900,9.0400,9.1000,37697691,350997991.9000,-5.894500
2025-01-06,9.0000,9.1700,8.8500,8.9400,27081024,243330984.0800,-1.758200
2025-01-07,9.0100,9.0900,8.8700,9.0300,18151438,163276224.8600,1.006700
2025-01-08,9.0200,9.0400,8.6100,8.8300,30707770,270538748.3300,-2.214800
2025-01-09,8.7300,8.9800,8.7300,8.8100,18135578,160604691.0800,-0.226500
2025-01-10,8.8000,8.8700,8.5000,8.5200,18848375,163750566.2500,-3.291700
2025-01-13,8.4200,8.5900,8.3200,8.5400,18232736,154763629.0200,0.234700
2025-01-14,8.5400,8.9500,8.5400,8.9000,26241257,231310400.4600,4.215500
2025-01-15,8.9000,9.0000,8.8200,8.8500,17966140,159685386.6700,-0.561800
2025-01-16,8.8700,9.1500,8.8700,8.9300,21008791,188774513.8300,0.904000
2025-01-17,9.1500,9.2000,8.9000,8.9700,28355345,256137231.5200,0.447900
2025-01-20,9.0100,9.3000,8.9500,9.1500,25284967,231107081.4100,2.006700
2025-01-21,9.2000,9.2500,9.0100,9.0800,16364100,148761416.0000,-0.765000
2025-01-22,9.0200,9.1200,8.9600,9.0100,13019800,117436906.0000,-0.770900
2025-01-23,9.1200,9.3300,9.0200,9.0300,24482600,224550536.0000,0.222000
2025-01-24,9.0400,9.5500,8.9800,9.4800,36966039,344089716.1800,4.983400
2025-01-27,9.4100,9.7700,9.3700,9.5200,27149240,259709439.5600,0.421900
2025-02-05,9.5500,9.6500,9.4200,9.4500,21175024,201478021.1600,-0.735300
2025-02-06,9.4500,9.6000,9.3000,9.5500,24170146,228831293.8100,1.058200
2025-02-07,9.5100,9.8000,9.4900,9.6600,31635901,305762523.6400,1.151800
2025-02-10,9.6700,9.8100,9.6600,9.7300,22915031,222988509.4700,0.724600
2025-02-11,9.7300,9.7600,9.5000,9.5500,23581515,225368916.2500,-1.849900
2025-02-12,9.6300,10.2700,9.5500,10.0600,57587121,575801006.0600,5.340300
2025-02-13,10.0500,10.2500,9.9000,10.0600,37086514,372534744.6500,0.000000
2025-02-14,10.2200,10.4200,10.0300,10.4000,52402296,537744420.3100,3.379700
2025-02-17,10.5100,11.1500,10.4800,10.8900,82731022,896367988.5700,4.711500
2025-02-18,10.7000,10.7300,10.1700,10.2000,60957465,637263461.6600,-6.336100
2025-02-19,10.2000,10.4800,10.1300,10.3600,31588403,326630473.5700,1.568600
2025-02-20,10.3000,10.5900,10.2300,10.3300,31649417,329415373.6800,-0.289600
2025-02-21,10.3400,10.4300,10.1500,10.2900,34722099,357165299.6600,-0.387200
2025-02-24,10.2200,10.2300,9.9300,10.0400,37577251,378651811.5800,-2.429500
2025-02-25,9.9100,10.1300,9.8700,9.9700,22228550,222481531.7100,-0.697200
2025-02-26,9.9700,10.0200,9.8900,10.0000,25533662,254387063.9800,0.300900
2025-02-27,10.0000,10.0800,9.6900,9.8500,33107241,326601511.8400,-1.500000
2025-02-28,9.8300,9.8400,9.5300,9.5800,24664480,237919641.5000,-2.741100
2025-03-03,9.5200,9.6800,9.4500,9.5000,17757166,169987966.8900,-0.835100
2025-03-04,9.4700,9.5300,9.4200,9.5100,15178685,143774818.3500,0.105300
2025-03-05,9.5200,9.5500,9.2900,9.4100,21781676,203957908.8000,-1.051500
2025-03-06,9.4600,10.3500,9.4400,10.3500,65836687,667081847.8500,9.989400
2025-03-07,10.6100,10.9500,10.3200,10.5400,120895188,1286594622.4200,1.835700
2025-03-10,10.5000,10.6500,10.3300,10.5000,55826202,583308787.7400,-0.379500
2025-03-11,10.3500,10.9000,10.3500,10.6600,65315985,695801655.5400,1.523800
2025-03-12,10.6800,10.9600,10.6000,10.8100,59225683,641147234.2600,1.407100
2025-03-13,10.7000,10.7000,10.3400,10.4100,42252773,442747660.9900,-3.700300
2025-03-14,10.4100,10.4700,10.2300,10.4700,28437042,295506229.2500,0.576400
2025-03-17,10.4800,10.5500,10.3300,10.3400,23485182,243889988.6500,-1.241600
2025-03-18,10.4000,10.4400,10.2200,10.2500,21903765,225261094.4500,-0.870400
2025-03-19,10.2100,10.2200,10.0400,10.0700,24509730,247632355.9400,-1.756100
2025-03-20,10.1000,10.1600,9.9700,10.0200,17795557,178892999.1400,-0.496500
2025-03-21,9.9600,10.2400,9.9100,10.0200,26375656,265613712.5600,0.000000
2025-03-24,10.0000,10.0000,9.7000,9.8900,22234001,218648927.8800,-1.297400
2025-03-25,9.9100,10.0500,9.8300,9.9600,18267276,181642250.4700,0.707800
2025-03-26,9.9100,9.9900,9.8800,9.9000,14175348,140722537.3900,-0.602400
2025-03-27,9.8700,9.9300,9.6900,9.9000,13614563,133717199.2000,0.000000
2025-03-28,9.9000,10.2100,9.8500,10.0300,29184976,294816361.9900,1.313100
2025-03-31,10.0100,10.0100,9.7200,9.7900,18152090,178252990.8400,-2.392800
2025-04-01,9.8500,9.8800,9.7100,9.7100,12649300,123658141.0000,-0.817200
2025-04-02,9.6900,10.0500,9.6500,9.8900,18204951,179315361.3300,1.853800
