date,open,high,low,close,volume,amount,pctChg
2025-01-02,1.9200,1.9900,1.8800,1.9100,43297400,84146918.0000,-0.520800
2025-01-03,1.9100,1.9200,1.8200,1.8200,39582231,73379054.7300,-4.712000
2025-01-06,1.8400,1.8500,1.7700,1.8100,35897900,64722057.0000,-0.549500
2025-01-07,1.8100,1.8400,1.7800,1.8300,24545230,44411126.6800,1.105000
2025-01-08,1.8400,1.8500,1.7800,1.8400,28688300,52113170.5000,0.546400
2025-01-09,1.8300,1.8500,1.8200,1.8300,17355372,31832282.5400,-0.543500
2025-01-10,1.8400,1.8400,1.7500,1.7500,29334100,52488544.0000,-4.371600
2025-01-13,1.7400,1.7700,1.6900,1.7600,23938200,41534970.0000,0.571400
2025-01-14,1.7600,1.8400,1.7600,1.8300,32878150,59122272.5000,3.977300
2025-01-15,1.8200,1.8400,1.7800,1.8100,25603950,46255910.0000,-1.092900
2025-01-16,1.8100,1.8800,1.8100,1.8400,30303600,56099048.0000,1.657500
2025-01-17,1.8200,1.8600,1.8000,1.8200,20681640,37767396.4000,-1.087000
2025-01-20,1.8400,1.8800,1.7900,1.8500,29337850,54130223.5000,1.648400
2025-01-21,1.8400,1.9100,1.8300,1.8500,36837500,68626647.0000,0.000000
2025-01-22,1.8300,1.8400,1.7900,1.8000,27205150,49136131.0000,-2.702700
2025-01-23,1.8100,1.8500,1.7900,1.8000,26438819,48179668.2700,0.000000
2025-01-24,1.7900,1.8100,1.7700,1.7900,27206260,48680878.0000,-0.555600
2025-01-27,1.8000,1.8300,1.7500,1.7600,27202200,48680557.0000,-1.676000
2025-02-05,1.7700,1.8000,1.7500,1.8000,27929517,49737729.2500,2.272700
2025-02-06,1.7900,1.8000,1.7400,1.7900,37590200,66541040.5000,-0.555600
2025-02-07,1.7800,1.8500,1.7700,1.8300,44080817,80334827.7800,2.234600
2025-02-10,1.8200,1.8800,1.8200,1.8800,37617050,70088950.5000,2.732200
2025-02-11,1.8800,1.9000,1.8300,1.8500,27087453,50063515.0900,-1.595700
2025-02-12,1.8400,1.8700,1.8200,1.8700,26532198,49007730.2800,1.081100
2025-02-13,1.8700,1.9200,1.8600,1.8800,46765498,88394431.2600,0.534800
2025-02-14,1.8800,1.8900,1.8300,1.8400,33985175,62712684.2500,-2.127700
2025-02-17,1.8500,1.9000,1.8300,1.8800,40098533,74810331.4300,2.173900
2025-02-18,1.8700,1.8900,1.8100,1.8100,38803300,71281230.0200,-3.723400
2025-02-19,1.8100,1.8200,1.7900,1.8100,31811425,57397007.9300,0.000000
2025-02-20,1.8000,1.8200,1.7900,1.8100,27351075,49419147.1300,0.000000
2025-02-21,1.8100,1.8200,1.7800,1.7900,28422652,51086565.5800,-1.105000
2025-02-24,1.7900,1.8500,1.7900,1.8300,48315002,88509988.1400,2.234600
2025-02-25,1.8300,1.8500,1.8000,1.8200,31610762,57776666.8200,-0.546400
2025-02-26,1.8200,1.8700,1.8200,1.8600,33073752,61121863.7000,2.197800
2025-02-27,1.8800,1.9000,1.8300,1.8500,34374796,64090797.4200,-0.537600
2025-02-28,1.8400,1.8600,1.7900,1.8000,40870100,74400599.5000,-2.702700
2025-03-03,1.8000,1.8400,1.7900,1.7900,34007338,61597992.0200,-0.555600
2025-03-04,1.7900,1.8000,1.7700,1.7900,23637692,42120166.7400,0.000000
2025-03-05,1.7800,1.7900,1.7500,1.7800,29080774,51376097.9800,-0.558700
2025-03-06,1.7800,1.8200,1.7700,1.8200,34009471,61225206.3000,2.247200
2025-03-07,1.8100,1.8200,1.7700,1.7900,26559352,47450776.0800,-1.648400
2025-03-10,1.7900,1.8000,1.7700,1.7900,24271961,43358663.5800,0.000000
2025-03-11,1.7700,1.7800,1.7600,1.7800,21533170,38111184.2000,-0.558700
2025-03-12,1.7800,1.7900,1.7700,1.7800,19817062,35254643.2400,0.000000
2025-03-13,1.7700,1.7800,1.7400,1.7700,28264032,49720797.1400,-0.561800
2025-03-14,1.7600,1.8300,1.7600,1.8300,59549413,107267521.9100,3.389800
2025-03-17,1.8400,1.8700,1.8300,1.8400,52668800,97278567.0000,0.546400
2025-03-18,1.8500,1.8500,1.8100,1.8300,30283410,55322844.2000,-0.543500
2025-03-19,1.8300,1.8400,1.8100,1.8200,23483240,42761988.4000,-0.546400
2025-03-20,1.8200,1.8400,1.8100,1.8200,26110990,47645542.7000,0.000000
2025-03-21,1.8100,1.8300,1.7900,1.8000,26114644,47236163.5500,-1.098900
2025-03-24,1.8000,1.8100,1.7300,1.7600,37450515,65921352.1000,-2.222200
2025-03-25,1.7500,1.7700,1.7400,1.7700,24496000,42953815.3500,0.568200
2025-03-26,1.7600,1.8300,1.7500,1.8100,43977550,79207995.0000,2.259900
2025-03-27,1.8100,1.8200,1.7700,1.7800,26507550,47475233.0000,-1.657500
2025-03-28,1.7800,1.7900,1.7600,1.7700,20181072,35726792.7200,-0.561800
2025-03-31,1.7600,1.7700,1.7300,1.7400,27578500,48157150.0000,-1.694900
2025-04-01,1.7400,1.7600,1.7300,1.7500,17092272,29859017.0000,0.574700
2025-04-02,1.7400,1.7500,1.7400,1.7400,12103363,21103353.6200,-0.571400
2025-04-03,1.7400,1.7800,1.7300,1.7700,28574420,50342736.5000,1.724100
2025-04-07,1.7300,1.7400,1.5900,1.5900,37821672,61756869.3600,-10.169500
2025-04-08,1.5400,1.6200,1.5400,1.5900,34708222,55105898.9800,0.000000
2025-04-09,1.5800,1.6500,1.4800,1.6400,50095532,78666512.7000,3.144700
2025-04-10,1.6300,1.7100,1.6300,1.6900,40683202,68184762.8400,3.048800
2025-04-11,1.6800,1.6900,1.6600,1.6700,24893350,41768183.5000,-1.183400
2025-04-14,1.6800,1.7200,1.6800,1.7000,24562138,41815900.6000,1.796400
2025-04-15,1.7000,1.7200,1.6800,1.7000,16003350,27097781.5000,0.000000
2025-04-16,1.7000,1.7100,1.6400,1.6800,21993803,36833558.0100,-1.176500
2025-04-17,1.6700,1.7400,1.6600,1.7100,31510172,54077761.2500,1.785700
2025-04-18,1.7100,1.7800,1.7000,1.7700,35870539,62383775.5400,3.508800
2025-04-21,1.7700,1.7700,1.7100,1.7600,38329600,66866070.0000,-0.565000
2025-04-22,1.7500,1.8000,1.7500,1.7900,48123650,85666545.9800,1.704500
2025-04-23,1.8000,1.8100,1.7500,1.7700,32308976,57316371.2600,-1.117300
2025-04-24,1.7700,1.8000,1.7400,1.7700,28959450,51165207.0000,0.000000
2025-04-25,1.7700,1.8300,1.7600,1.7800,45889704,82386625.6600,0.565000
2025-04-28,1.7700,1.7700,1.6800,1.6800,45797600,78199455.5000,-5.618000
2025-04-29,1.6800,1.6900,1.6600,1.6700,25625075,42970922.2500,-0.595200
2025-04-30,1.6500,1.6700,1.6100,1.6300,47795600,78371516.0000,-2.395200
2025-05-06,1.6400,1.6800,1.6400,1.6600,34589450,57405916.0000,1.840500
2025-05-07,1.6700,1.7500,1.6700,1.6900,44316300,75355638.0000,1.807200
2025-05-08,1.6900,1.7300,1.6700,1.7000,34213105,58303571.5000,0.591700
2025-05-09,1.7100,1.7100,1.6600,1.6700,29156629,48829647.6700,-1.764700
2025-05-12,1.6700,1.6800,1.6500,1.6600,22247252,36902170.8200,-0.598800
2025-05-13,1.6800,1.6800,1.6400,1.6500,26077777,43283697.7800,-0.602400
2025-05-14,1.6500,1.6700,1.6300,1.6700,25574901,42220518.4500,1.212100
2025-05-15,1.6600,1.6800,1.6400,1.6400,22305452,36953658.3200,-1.796400
2025-05-16,1.6500,1.6500,1.6200,1.6300,20986900,34224092.0000,-0.609800
2025-05-19,1.6200,1.6900,1.6200,1.6700,44469387,74032796.7700,2.454000
2025-05-20,1.6700,1.6900,1.6500,1.6800,29265689,48874243.6300,0.598800
2025-05-21,1.6800,1.6900,1.6600,1.6700,14815750,24698719.0000,-0.595200
2025-05-22,1.6700,1.6700,1.6300,1.6400,21565300,35495411.0000,-1.796400
2025-05-23,1.6300,1.6500,1.6100,1.6200,27554450,44855266.5000,-1.219500
2025-05-26,1.6100,1.6300,1.6000,1.6100,20254854,32646991.9400,-0.617300
2025-05-27,1.6100,1.6300,1.6100,1.6200,19826050,32104194.0000,0.621100
2025-05-28,1.6200,1.6300,1.5900,1.6000,17787215,28561841.6500,-1.234600
2025-05-29,1.6000,1.6400,1.6000,1.6300,26574979,43157945.4800,1.875000
2025-05-30,1.6300,1.6400,1.6200,1.6200,15587400,25367101.0000,-0.613500
2025-06-03,1.6200,1.6300,1.6100,1.6300,12988500,21061923.5000,0.617300
2025-06-04,1.6300,1.6500,1.6200,1.6500,18321250,29997440.0000,1.227000
2025-06-05,1.6400,1.6500,1.6300,1.6400,17264800,28283162.0000,-0.606100
2025-06-06,1.6400,1.6600,1.6300,1.6500,23495395,38678203.3000,0.609800
2025-06-09,1.6500,1.6700,1.6300,1.6600,20352499,33660537.4700,0.606100
2025-06-10,1.6600,1.6700,1.6300,1.6500,22770035,37569984.4000,-0.602400
2025-06-11,1.6500,1.6800,1.6400,1.6700,27641680,46106490.2800,1.212100
2025-06-12,1.6600,1.6700,1.6400,1.6500,21045727,34810249.8200,-1.197600
2025-06-13,1.6500,1.6600,1.6000,1.6000,31992600,51913366.0000,-3.030300
2025-06-16,1.6000,1.6500,1.6000,1.6300,26340592,42904834.6900,1.875000
2025-06-17,1.6300,1.6400,1.6100,1.6400,19872591,32358177.3300,0.613500
2025-06-18,1.6300,1.6300,1.6000,1.6100,19878600,32070868.0000,-1.829300
2025-06-19,1.6100,1.6200,1.5700,1.5700,21011300,33392515.0000,-2.484500
2025-06-20,1.5700,1.5900,1.5700,1.5800,11314529,17872915.8000,0.636900
