date,open,high,low,close,volume,amount,pctChg
2025-01-02,2.6700,2.7500,2.6100,2.6600,30055855,80833256.1500,-0.374500
2025-01-03,2.6600,2.6800,2.4800,2.4800,42522106,108146944.5400,-6.766900
2025-01-06,2.4900,2.5100,2.3800,2.4600,26704935,65604813.7000,-0.806500
2025-01-07,2.4700,2.5200,2.4400,2.5200,23181944,57595841.1900,2.439000
2025-01-08,2.5200,2.5500,2.4500,2.5200,26052895,65281940.7000,0.000000
2025-01-09,2.5100,2.5500,2.4800,2.5300,21041862,53135548.8600,0.396800
2025-01-10,2.5500,2.5500,2.4400,2.4500,26504700,66095983.0000,-3.162100
2025-01-13,2.4400,2.4800,2.3800,2.4500,17194150,41877908.0000,0.000000
2025-01-14,2.4500,2.5700,2.4500,2.5500,25591160,64453072.6800,4.081600
2025-01-15,2.5600,2.5900,2.5000,2.5400,22373790,56820006.6000,-0.392200
2025-01-16,2.5500,2.6300,2.5200,2.5700,24725190,63663353.6000,1.181100
2025-01-17,2.5400,2.6400,2.5100,2.5900,34544110,89310355.5700,0.778200
2025-01-20,2.5800,2.6800,2.5100,2.6200,44410025,115524846.6000,1.158300
2025-01-21,2.6400,2.7200,2.6000,2.6300,44562941,118365098.8200,0.381700
2025-01-22,2.6100,2.6100,2.4800,2.5000,33406200,84438170.3500,-4.943000
2025-01-23,2.5300,2.5900,2.5000,2.5000,23777168,60503450.0400,0.000000
2025-01-24,2.5200,2.5200,2.4600,2.4800,21376845,53139573.6000,-0.800000
2025-01-27,2.5000,2.5500,2.4600,2.4600,17344635,43406789.7500,-0.806500
2025-02-05,2.4800,2.4900,2.4300,2.4600,16647534,41034662.3000,0.000000
2025-02-06,2.4700,2.5100,2.4300,2.5100,28716463,71189808.6400,2.032500
2025-02-07,2.4900,2.5800,2.4800,2.5500,35359417,90173218.0300,1.593600
2025-02-10,2.5400,2.6300,2.5400,2.6300,33341690,86437775.1000,3.137300
2025-02-11,2.6400,2.6500,2.5500,2.5700,23893691,61436079.7600,-2.281400
2025-02-12,2.5600,2.6500,2.5400,2.6400,36110730,93358008.3000,2.723700
2025-02-13,2.6200,2.6900,2.6000,2.6300,45346322,120269842.0000,-0.378800
2025-02-14,2.6300,2.6600,2.5500,2.5700,29159666,75248994.0000,-2.281400
2025-02-17,2.5900,2.6600,2.5600,2.6300,46509830,121561292.9200,2.334600
2025-02-18,2.6500,2.6700,2.5300,2.5400,39557140,102686423.2000,-3.422100
2025-02-19,2.5400,2.5700,2.5100,2.5600,27454950,69771622.0000,0.787400
2025-02-20,2.5500,2.6200,2.5300,2.5800,37817450,97552118.4200,0.781300
2025-02-21,2.5900,2.6000,2.4900,2.5200,37961720,95993778.7000,-2.325600
2025-02-24,2.5100,2.5900,2.5000,2.5600,40618807,104091869.9900,1.587300
2025-02-25,2.5500,2.6200,2.5200,2.5300,37904714,97268484.1600,-1.171900
2025-02-26,2.5500,2.6100,2.5200,2.6000,45888216,118597038.0300,2.766800
2025-02-27,2.6000,2.6600,2.5700,2.6500,59732270,156684003.6500,1.923100
2025-02-28,2.6400,2.6800,2.5700,2.5800,57337622,149847126.9300,-2.641500
2025-03-03,2.5800,2.6600,2.5600,2.6000,45207852,118289912.2800,0.775200
2025-03-04,2.5900,2.5900,2.5300,2.5600,35194800,89819025.0000,-1.538500
2025-03-05,2.5700,2.5700,2.4800,2.5200,31433690,78923157.6000,-1.562500
2025-03-06,2.5300,2.5900,2.5000,2.5800,45848309,117157721.6800,2.381000
2025-03-07,2.5400,2.5400,2.4900,2.5000,38259742,96052816.4200,-3.100800
2025-03-10,2.5200,2.5200,2.4800,2.5000,17905290,44656428.2000,0.000000
2025-03-11,2.4800,2.5000,2.4500,2.5000,16416151,40700524.2700,0.000000
2025-03-12,2.4900,2.5200,2.4800,2.4900,18695190,46691198.5000,-0.400000
2025-03-13,2.4900,2.5000,2.4500,2.4600,19106857,47086873.0500,-1.204800
2025-03-14,2.4700,2.5200,2.4600,2.5100,28139305,70258947.5000,2.032500
2025-03-17,2.5200,2.5800,2.5100,2.5600,38542807,98608762.5000,1.992000
2025-03-18,2.5600,2.8100,2.5100,2.6700,100810482,269130967.3100,4.296900
2025-03-19,2.6300,2.6800,2.5900,2.6000,58950515,154678555.8500,-2.621700
