date,open,high,low,close,volume,amount,pctChg
2025-01-02,17.4000,17.5200,16.8800,16.8800,597300,10252934.0000,-3.542900
2025-01-03,17.1000,17.1000,16.2900,16.3600,695900,11570864.0000,-3.080600
2025-01-06,16.3500,16.5200,15.8200,16.4000,437001,7114882.3400,0.244500
2025-01-07,16.4900,17.1800,16.0200,16.9700,890500,14910385.0000,3.475600
2025-01-08,16.9700,17.7900,16.8500,17.6000,1427002,24912935.0600,3.712400
2025-01-09,17.5000,17.8000,17.3200,17.5800,609174,10657390.6200,-0.113600
2025-01-10,17.5800,17.9300,17.4200,17.4200,685700,12132627.0000,-0.910100
2025-01-13,17.0900,17.4400,16.7600,16.9200,576500,9844565.0000,-2.870300
2025-01-14,17.1800,17.5500,16.8600,17.3600,732201,12668063.3200,2.600500
2025-01-15,17.5200,17.5200,17.1900,17.3000,274501,4751983.2500,-0.345600
2025-01-16,17.3000,17.5000,17.0200,17.1400,593400,10216727.0000,-0.924900
2025-01-17,17.2400,17.4100,16.9500,17.3700,430062,7382840.9800,1.341900
2025-01-20,17.3300,17.5000,17.2200,17.3100,474901,8232397.9000,-0.345400
2025-01-21,17.2600,17.4700,16.9800,16.9900,415362,7112147.9600,-1.848600
2025-01-22,16.9500,17.0500,16.8100,16.9200,330300,5576856.0000,-0.412000
2025-01-23,17.0700,17.5200,17.0100,17.2800,762616,13218597.7000,2.127700
2025-01-24,17.2100,17.9800,17.1200,17.6800,904036,16027010.5800,2.314800
2025-01-27,17.5100,17.5100,16.3500,16.6400,1480064,24905660.9800,-5.882400
2025-02-05,16.6500,17.0500,16.4900,16.8600,517322,8667204.5000,1.322100
2025-02-06,16.8600,16.9700,16.6900,16.9500,472291,7946143.3900,0.533800
2025-02-07,16.9700,17.7000,16.8600,17.5100,1060800,18407361.0000,3.303800
2025-02-10,17.5800,18.1200,17.5100,17.9100,1067124,18975508.5600,2.284400
2025-02-11,17.9100,17.9100,17.4600,17.5500,629311,11100888.8300,-2.010100
2025-02-12,17.6400,17.7400,17.2200,17.2700,660100,11499919.0000,-1.595400
2025-02-13,17.2700,17.2700,16.7600,16.9100,795824,13514682.1200,-2.084500
2025-02-14,16.9100,17.0200,16.8200,16.9200,412500,6990319.0000,0.059100
2025-02-17,17.0200,17.1300,16.7000,17.0900,554554,9402199.4600,1.004700
2025-02-18,17.0900,17.1800,16.7500,16.9000,557624,9441377.4800,-1.111800
2025-02-19,17.1300,17.1300,16.7100,16.8700,603646,10171396.1400,-0.177500
2025-02-20,16.7000,17.3700,16.7000,17.0300,961646,16442846.6000,0.948400
2025-02-21,17.0200,17.0800,16.5700,16.6600,954949,15951744.8900,-2.172600
2025-02-24,16.6600,16.8900,16.5800,16.6800,662649,11102667.7700,0.120000
2025-02-25,16.6800,16.6800,16.2000,16.3200,897013,14666387.5000,-2.158300
2025-02-26,16.3200,16.7800,16.3200,16.5700,770251,12751209.2300,1.531900
2025-02-27,16.5800,16.5800,16.1600,16.3500,771613,12592784.1200,-1.327700
2025-02-28,16.0900,16.3000,15.5400,15.7100,1721935,27199989.3500,-3.914400
2025-03-03,15.6600,16.0800,15.6100,15.7600,1108100,17585521.0000,0.318300
2025-03-04,15.6800,15.9500,15.6800,15.8000,417300,6595291.0000,0.253800
2025-03-05,15.9500,15.9900,15.5200,15.7000,630001,9898909.6400,-0.632900
2025-03-06,15.7000,15.8900,15.6900,15.7800,578000,9128036.0000,0.509600
2025-03-07,15.8100,15.8400,15.4000,15.5800,754101,11809026.7400,-1.267400
2025-03-10,15.7200,15.7200,15.4300,15.6300,755600,11796125.0000,0.320900
2025-03-11,15.6300,15.7200,15.4100,15.7200,548289,8551317.3700,0.575800
2025-03-12,15.8000,16.1600,15.6100,16.0900,943668,14944920.9600,2.353700
2025-03-13,16.1500,16.3100,15.6300,16.1200,1068701,17112193.0300,0.186500
2025-03-14,16.0800,16.4000,16.0100,16.3200,985601,15971329.7100,1.240700
2025-03-17,16.4500,16.5500,16.2300,16.2800,819200,13422755.0000,-0.245100
2025-03-18,16.4000,16.4400,16.0700,16.2000,624600,10099489.2000,-0.491400
2025-03-19,16.2000,16.2500,16.0200,16.1400,579400,9348999.0000,-0.370400
2025-03-20,16.1500,16.2100,15.9000,15.9900,804600,12908575.0000,-0.929400
2025-03-21,16.0300,16.1100,15.5000,15.6000,631400,9943413.0000,-2.439000
2025-03-24,15.6600,15.7000,14.6800,14.8300,991589,14928592.7400,-4.935900
2025-03-25,14.8500,15.0700,14.5700,14.9700,757600,11219946.1000,0.944000
2025-03-26,15.0000,15.5500,14.8700,15.3000,916100,14007864.0000,2.204400
2025-03-27,15.3500,15.3500,14.8100,15.2000,701900,10597351.9600,-0.653600
2025-03-28,15.0800,15.2300,14.8300,14.8500,410608,6144212.1200,-2.302600
2025-03-31,14.7200,14.8600,14.3600,14.8300,642800,9401210.0000,-0.134700
2025-04-01,14.8300,15.5300,14.7600,15.5000,1154063,17600253.3000,4.517900
2025-04-02,15.5500,17.0500,15.4600,17.0500,3397292,57281215.5100,10.000000
2025-04-03,16.8000,17.3300,16.7500,17.2600,3620800,61659773.5800,1.231700
2025-04-07,16.5000,17.3300,16.0000,16.7300,3811323,63608938.4800,-3.070700
2025-04-08,16.9000,17.4000,16.5200,17.4000,4101536,69784059.1300,4.004800
2025-04-09,17.0000,17.2500,16.1100,17.0000,2736672,46129661.9700,-2.298900
2025-04-10,16.9500,18.4700,16.8300,18.4100,3639084,63609967.3400,8.294100
2025-04-11,17.8300,18.9700,17.8200,18.2400,2844653,52116162.0300,-0.923400
2025-04-14,18.3300,18.4500,18.0700,18.2600,1584045,28858051.2500,0.109600
2025-04-15,18.2600,18.6200,18.0800,18.2600,863145,15788711.2500,0.000000
2025-04-16,18.3000,18.4300,18.0500,18.2000,1114850,20381978.1000,-0.328600
2025-04-17,18.2200,18.4500,17.9000,18.4000,1162000,21101340.0000,1.098900
2025-04-18,18.4500,18.5800,17.9900,18.4400,1483600,27242465.0000,0.217400
2025-04-21,18.2700,18.5100,18.0500,18.3000,2058400,37645361.0000,-0.759200
2025-04-22,18.3700,18.6500,18.2000,18.3400,1237816,22778498.5200,0.218600
2025-04-23,18.2800,18.4600,18.0800,18.1700,1022759,18631706.4400,-0.926900
2025-04-24,18.2400,18.4300,18.0700,18.4000,1378820,25107192.8000,1.265800
2025-04-25,18.3500,18.5500,18.1800,18.3900,1119176,20564216.8200,-0.054300
2025-04-28,18.5000,18.5000,16.5500,16.5800,4651089,79176628.5800,-9.842300
2025-04-29,16.5800,16.5800,16.5800,16.5800,,,
2025-04-30,15.7500,15.7500,15.7500,15.7500,234200,3688650.0000,-5.006000
2025-05-06,14.9600,15.2300,14.9600,14.9600,3795913,56804553.5400,-5.015900
2025-05-07,15.0000,15.1100,14.5800,14.9700,3086878,45703287.4200,0.066800
2025-05-08,15.0800,15.5100,15.0700,15.4200,2152094,32911914.2200,3.006000
2025-05-09,15.3600,15.6500,15.2700,15.3500,1073400,16552944.0000,-0.454000
2025-05-12,15.3900,15.6400,15.3700,15.4500,991800,15324106.0000,0.651500
2025-05-13,15.5100,15.5900,15.2500,15.3000,864500,13333909.0000,-0.970900
2025-05-14,15.3000,15.3700,15.1500,15.3200,553653,8450038.7200,0.130700
2025-05-15,15.4200,15.4200,15.2100,15.2900,596000,9117847.0000,-0.195800
2025-05-16,15.3200,15.4200,15.2100,15.3800,648953,9927723.3100,0.588600
2025-05-19,15.4300,16.1500,15.4100,16.1500,1890500,29824856.0000,5.006500
2025-05-20,16.0500,16.1900,15.8400,16.0000,873200,13946388.0000,-0.928800
2025-05-21,15.9000,16.5300,15.9000,16.3700,580582,9401018.0000,2.312500
2025-05-22,16.3700,16.5700,15.9900,16.3300,717100,11646100.0000,-0.244300
2025-05-23,16.1600,16.5800,15.9900,16.2500,680700,11115401.3200,-0.489900
2025-05-26,16.0900,16.6600,16.0900,16.5300,441300,7278108.0000,1.723100
2025-05-27,16.4600,16.7400,16.3800,16.5200,463417,7667017.0400,-0.060500
2025-05-28,16.4900,16.5900,16.3200,16.5300,285900,4705972.0000,0.060500
2025-05-29,16.5300,16.9300,16.4500,16.9300,489814,8208837.6800,2.419800
2025-05-30,16.8300,17.2500,16.7300,16.9900,346514,5869702.6400,0.354400
2025-06-03,16.8500,17.0700,16.7500,16.9100,400200,6754388.0000,-0.470900
2025-06-04,16.7700,17.4900,16.7700,17.3200,540245,9198863.5000,2.424600
2025-06-05,17.3300,17.4500,17.1600,17.2800,603245,10444579.0500,-0.230900
2025-06-06,17.1900,17.4000,17.1900,17.3100,340100,5888493.0000,0.173600
2025-06-09,17.1800,17.3500,17.1400,17.3200,313557,5417631.6900,0.057800
2025-06-10,17.3100,17.7300,17.2200,17.5500,795141,13921158.9100,1.327900
2025-06-11,17.5500,17.7000,17.4200,17.6300,230700,4059142.0000,0.455800
2025-06-12,17.6800,17.6800,16.9500,17.2800,1167082,20102977.2000,-1.985300
2025-06-13,17.0900,17.2000,16.4200,16.7000,1026082,17087940.5200,-3.356500
2025-06-16,16.6800,16.8400,16.5000,16.6900,615782,10265524.6600,-0.059900
2025-06-17,16.5900,16.7800,16.4500,16.5900,349300,5792817.0000,-0.599200
2025-06-18,16.5900,16.7100,16.4000,16.5400,307000,5068595.0000,-0.301400
2025-06-19,16.5400,16.7000,16.3300,16.5000,367400,6059099.0000,-0.241800
2025-06-20,16.9200,17.3300,16.6300,17.3300,1222382,20990539.0600,5.030300
2025-06-23,17.2500,18.2000,17.2500,17.2600,1312482,23222105.1400,-0.403900
2025-06-24,17.3000,17.5900,17.2600,17.3200,880000,15299375.0000,0.347600
2025-06-25,17.2600,17.5600,17.1600,17.3300,925101,16062196.3000,0.057700
2025-06-26,17.3300,17.4200,16.8900,16.9300,901000,15354395.0000,-2.308100
2025-06-27,16.9500,17.0800,16.7000,16.8500,559600,9435526.0000,-0.472500
2025-06-30,16.8500,17.6900,16.8500,17.6900,1544900,27274701.0000,4.985200
2025-07-01,17.8000,18.5700,17.6000,18.4200,2751738,50345959.0200,4.126600
2025-07-02,18.4100,18.4100,17.7500,18.1100,1258800,22665984.0000,-1.683000
2025-07-03,18.1100,18.1100,17.8000,17.8200,836300,14947148.0000,-1.601300
2025-07-04,17.8200,17.9200,17.6300,17.7000,554800,9851319.0000,-0.673400
2025-07-07,17.6000,17.6000,17.3500,17.4800,467875,8159446.5000,-1.242900
2025-07-08,17.5000,17.7200,17.3500,17.7000,399419,7027965.5900,1.258600
2025-07-09,17.7700,18.5600,17.7700,18.4100,1263945,23267448.4400,4.011300
2025-07-10,18.3000,18.6800,18.3000,18.6500,733831,13596025.4600,1.303600
2025-07-11,18.6500,19.1700,18.5500,18.8600,709933,13434480.1900,1.126000
2025-07-14,18.8600,18.9600,18.0000,18.6200,1116735,20522430.9500,-1.272500
2025-07-15,18.5100,18.7500,18.3600,18.6400,557700,10339191.0000,0.107400
2025-07-16,18.7100,18.8300,18.4500,18.5800,417400,7779838.0000,-0.321900
2025-07-17,18.6000,18.9400,18.5500,18.9200,571005,10696652.2500,1.829900
2025-07-18,18.8700,18.9900,18.5800,18.8800,431201,8135256.8800,-0.211400
2025-07-21,18.8600,18.9200,18.3600,18.4400,714900,13288670.0000,-2.330500
2025-07-22,18.5300,18.9900,18.3600,18.8800,1034800,19322362.0000,2.386100
2025-07-23,18.9200,19.1000,18.6200,18.9100,606800,11502122.0000,0.158900
2025-07-24,18.9100,19.2300,18.7900,19.1600,545600,10425374.9600,1.322100
2025-07-25,19.0600,19.0800,18.5900,18.9100,537500,10117609.0000,-1.304800
2025-07-28,18.8100,18.9900,18.8000,18.9000,286400,5409908.0000,-0.052900
2025-07-29,18.9000,18.9900,18.3600,18.5800,766500,14251467.0000,-1.693100
2025-07-30,18.5600,18.7000,18.3500,18.4800,493067,9121170.1900,-0.538200
2025-07-31,18.4300,18.4300,18.1600,18.2700,395177,7209959.7100,-1.136400
2025-08-01,18.2500,18.5100,18.1000,18.4300,347880,6384732.2000,0.875800
2025-08-04,18.4300,18.5300,18.1100,18.4400,671900,12307425.9600,0.054300
2025-08-05,18.4100,18.4400,18.3000,18.4400,292305,5368181.4000,0.000000
2025-08-06,18.4400,18.5600,18.3500,18.5400,272600,5030762.0000,0.542300
2025-08-07,18.7000,19.2500,18.5500,19.0200,849200,16068870.9600,2.589000
2025-08-08,19.0000,19.1500,18.8400,18.8800,368600,6987351.0000,-0.736100
2025-08-11,18.8700,18.8800,17.9400,17.9600,1564800,28552942.3700,-4.872900
2025-08-12,17.6000,17.8000,17.0600,17.3900,1882864,32654328.0400,-3.173700
2025-08-13,17.5300,18.2600,17.5300,18.2600,570100,10277171.0000,5.002900
2025-08-14,19.1700,19.1700,18.5100,18.9900,2899777,55174787.4300,3.997800
2025-08-15,19.1600,19.9300,19.0900,19.9300,1821510,35767271.9000,4.950000
2025-08-18,20.0000,20.9300,19.9400,20.9300,836300,17203758.0000,5.017600
2025-08-19,21.9800,21.9800,21.1600,21.9800,2536450,55274792.4300,5.016700
2025-08-20,22.1000,22.5000,20.8800,21.6400,2018123,43233988.2800,-1.546900
2025-08-21,22.2000,22.7200,21.5400,22.7200,882295,19724328.4000,4.990800
2025-08-22,23.1900,23.7300,22.5100,23.3000,1383260,32012354.4400,2.552800
2025-08-25,23.3500,24.2700,22.7500,23.0100,1349819,31467084.0600,-1.244600
2025-08-26,22.7200,22.9200,22.0000,22.4500,1159662,25950072.7200,-2.433700
2025-08-27,22.3500,22.8900,21.4000,21.7500,1609571,35208273.3300,-3.118000
2025-08-28,21.4300,22.0400,21.3300,21.9000,708700,15405692.0000,0.689700
2025-08-29,21.8800,21.9500,21.3500,21.4000,499159,10769174.4200,-2.283100
2025-09-01,21.7100,21.7100,20.6300,20.9900,1020272,21339321.0900,-1.915900
2025-09-02,21.1000,21.7000,20.6800,21.6000,719700,15320875.0000,2.906100
2025-09-03,21.6000,21.9600,21.3000,21.6000,685200,14811730.0000,0.000000
2025-09-04,21.2200,21.7900,21.2000,21.6100,559101,11996854.2200,0.046300
