date,open,high,low,close,volume,amount,pctChg
2025-01-02,9.1100,9.1300,8.6900,8.7600,17374061,155065651.9700,-3.841900
2025-01-03,8.8000,8.8100,8.4600,8.5000,16211060,139738676.4500,-2.968000
2025-01-06,8.4900,8.5400,8.3300,8.4000,14527704,122404716.6000,-1.176500
2025-01-07,8.4300,8.5100,8.3800,8.4900,11328424,95632446.3200,1.071400
2025-01-08,8.4600,8.5000,8.1400,8.3500,17003800,141430906.0000,-1.649000
2025-01-09,8.3200,8.4300,8.3100,8.3700,11980100,100340296.9800,0.239500
2025-01-10,8.3800,8.5100,8.2500,8.2600,10164912,85191025.8400,-1.314200
2025-01-13,8.1500,8.3600,8.1000,8.3000,9888568,81559617.0400,0.484300
2025-01-14,8.3500,8.5600,8.2900,8.5300,16576900,139899060.0000,2.771100
2025-01-15,8.5200,8.5300,8.3800,8.4700,11460700,96820009.0000,-0.703400
2025-01-16,8.5300,8.6500,8.4600,8.4800,12004800,102646557.0000,0.118100
2025-01-17,8.4800,8.5500,8.4000,8.5100,7671800,65111634.0000,0.353800
2025-01-20,8.4900,8.6200,8.3700,8.4700,12879544,109279410.6800,-0.470000
2025-01-21,8.5200,8.5400,8.3700,8.4500,7964556,67129450.1600,-0.236100
2025-01-22,8.4400,8.4500,8.3500,8.4100,7057632,59269643.8400,-0.473400
2025-01-23,8.4500,8.6200,8.3700,8.3800,11457132,97518573.1600,-0.356700
2025-01-24,8.3700,8.6600,8.3700,8.6300,15782102,134955891.2400,2.983300
2025-01-27,8.6700,8.7600,8.5300,8.5500,13166581,113613149.4000,-0.927000
2025-02-05,8.7200,8.8900,8.7000,8.8700,20428033,180364298.4000,3.742700
2025-02-06,8.8300,9.0400,8.7500,9.0200,14782561,132292174.4600,1.691100
2025-02-07,8.9900,9.3200,8.9800,9.2100,20984910,192634053.4400,2.106400
2025-02-10,9.2700,9.5400,9.2400,9.4700,22488804,211557107.3200,2.823000
2025-02-11,9.5000,9.5200,9.2800,9.4500,20194827,189774443.4300,-0.211200
2025-02-12,9.4000,9.6100,9.3800,9.5900,17677355,168969817.7300,1.481500
2025-02-13,9.7800,9.7900,9.4800,9.5900,26958102,259355604.2000,0.000000
2025-02-14,9.5600,9.8500,9.5300,9.8400,30758540,299059570.3300,2.606900
2025-02-17,9.9700,10.1000,9.8200,9.8600,36197958,360173922.0000,0.203300
2025-02-18,9.8000,9.8900,9.5000,9.5700,27840371,269770947.5100,-2.941200
2025-02-19,9.5500,9.8500,9.4800,9.7800,23663940,229856501.1700,2.194400
2025-02-20,9.8600,9.8900,9.5700,9.6100,21127627,204315418.7000,-1.738200
2025-02-21,9.6400,10.0300,9.5500,10.0200,33753094,332797753.9300,4.266400
2025-02-24,10.0800,10.2600,9.9700,10.0400,32948412,332278217.1600,0.199600
2025-02-25,9.9200,10.0600,9.8600,9.9000,26461405,263043695.8600,-1.394400
2025-02-26,9.8900,10.0500,9.8000,10.0200,20344266,202125093.7200,1.212100
2025-02-27,10.0000,10.0100,9.6700,9.7900,20162424,197703182.9900,-2.295400
2025-02-28,9.7900,9.8000,9.3400,9.4000,22085909,210981698.9500,-3.983700
2025-03-03,9.4500,9.7000,9.3500,9.5300,16928594,162207162.9400,1.383000
2025-03-04,9.4600,9.7600,9.4100,9.7300,14148426,136866662.9800,2.098600
2025-03-05,9.7200,9.7900,9.6000,9.7000,11526702,111490745.3800,-0.308300
2025-03-06,9.7700,10.1500,9.7300,10.1000,29495884,295283552.7200,4.123700
2025-03-07,10.0800,10.1900,9.8600,9.9100,23096026,231645203.9000,-1.881200
2025-03-10,9.8700,9.9100,9.5800,9.6500,22290715,215707687.1700,-2.623600
2025-03-11,9.5800,9.9400,9.5000,9.7700,18916448,184466643.3700,1.243500
2025-03-12,9.7500,9.9300,9.7500,9.8600,16087287,158566744.0500,0.921200
2025-03-13,9.8400,9.8500,9.5500,9.6600,14746366,142310325.5600,-2.028400
2025-03-14,9.6600,9.7600,9.5300,9.7100,14289168,138175443.3200,0.517600
2025-03-17,9.6000,9.7000,9.5700,9.6000,14672800,141198298.8000,-1.132900
2025-03-18,9.6100,9.7400,9.5900,9.6600,12011931,115954120.6400,0.625000
2025-03-19,9.6400,9.6400,9.4500,9.4900,13831954,131697474.9200,-1.759800
2025-03-20,9.5000,9.5200,9.3900,9.4000,11889000,112254580.0000,-0.948400
2025-03-21,9.4000,9.4300,9.2300,9.2400,12634526,117690124.3300,-1.702100
2025-03-24,9.2600,9.2700,8.9000,9.0500,18359875,166354695.0200,-2.056300
2025-03-25,9.0600,9.0900,8.9700,9.0200,10678122,96355663.3800,-0.331500
2025-03-26,9.0300,9.0900,9.0000,9.0200,8506380,76889855.9500,0.000000
2025-03-27,9.0100,9.0800,8.9000,8.9900,9036764,81274041.4800,-0.332600
2025-03-28,9.0000,9.0500,8.9100,8.9600,7299554,65559167.3000,-0.333700
2025-03-31,8.9300,8.9400,8.7100,8.8800,10898854,96297775.9800,-0.892900
2025-04-01,8.8800,8.9600,8.8700,8.8800,10356538,92250821.5300,0.000000
2025-04-02,8.8900,8.9300,8.8400,8.8600,7338016,65181619.9200,-0.225200
2025-04-03,8.7900,8.9500,8.7600,8.9000,7629904,67782002.5600,0.451500
2025-04-07,8.5000,8.5600,8.0100,8.0100,26806380,218856945.0400,-10.000000
2025-04-08,8.0000,8.2000,7.9900,8.1300,20575635,166274837.5700,1.498100
2025-04-09,8.0100,8.3700,7.8700,8.2900,23412979,192068892.1400,1.968000
2025-04-10,8.4200,8.5200,8.3100,8.4100,18712500,158149060.0000,1.447500
2025-04-11,8.3300,8.4800,8.3100,8.3900,10962902,92111628.8400,-0.237800
2025-04-14,8.4500,8.5100,8.3900,8.4200,11983008,101049433.2600,0.357600
2025-04-15,8.4000,8.4500,8.3100,8.3800,9097100,76092087.0000,-0.475100
2025-04-16,8.4000,8.5200,8.2500,8.4300,13876200,116453899.0000,0.596700
2025-04-17,8.3800,8.5100,8.3500,8.3700,10607344,89425972.9200,-0.711700
