date,open,high,low,close,volume,amount,pctChg
2025-01-02,12.4900,12.5400,11.9700,12.0600,22162999,271695018.1800,-3.904400
2025-01-03,12.1700,12.3000,11.7200,11.8000,14486700,173888125.7800,-2.155900
2025-01-06,11.7900,11.8800,11.4100,11.5500,11946655,139076668.1200,-2.118600
2025-01-07,11.5000,11.7000,11.4200,11.5900,11173475,129619532.6900,0.346300
2025-01-08,11.5200,11.5500,11.0800,11.3500,9062500,102416153.0000,-2.070800
2025-01-09,11.3100,11.5400,11.1700,11.4300,7956400,90840150.0000,0.704800
2025-01-10,11.4500,11.9000,11.4100,11.6500,10056300,117484467.6500,1.924800
2025-01-13,11.5700,11.8500,11.5100,11.6300,9438594,110051354.4500,-0.171700
2025-01-14,11.5300,12.0700,11.4600,12.0700,11095401,131493761.9500,3.783300
2025-01-15,12.0500,12.2000,11.6200,11.6600,11854200,140919201.9900,-3.396900
2025-01-16,11.7700,11.9500,11.5500,11.6000,9995669,117218795.4000,-0.514600
2025-01-17,11.5200,11.8300,11.5200,11.8000,8110731,94813759.1800,1.724100
2025-01-20,11.7400,11.9500,11.5600,11.6800,8844200,103315704.0000,-1.016900
2025-01-21,11.6500,11.7800,11.4800,11.7000,7569700,87905667.0000,0.171200
2025-01-22,11.6000,11.7700,11.4900,11.7200,7094100,82602998.7900,0.170900
2025-01-23,11.7300,11.8300,11.6200,11.6600,8454283,98960345.7900,-0.511900
2025-01-24,11.5900,11.8500,11.5400,11.6300,10725900,124878580.0000,-0.257300
2025-01-27,11.5800,11.8400,11.5400,11.7300,11479237,134569694.9600,0.859800
2025-02-05,11.9000,11.9300,11.3700,11.4500,20073756,231580514.4500,-2.387000
2025-02-06,11.3000,11.4500,11.2300,11.4500,13621700,154811053.0000,0.000000
2025-02-07,11.4500,11.5600,11.3000,11.4200,12786698,146472796.4400,-0.262000
2025-02-10,11.4200,11.5500,11.1800,11.2700,15846644,179361514.6600,-1.313500
2025-02-11,11.2800,11.8000,11.2800,11.6400,18876291,218504365.4200,3.283100
2025-02-12,11.6000,11.6800,11.3900,11.4300,12181630,139652294.2600,-1.804100
2025-02-13,11.4100,11.4300,11.1600,11.1900,12432510,139775995.7000,-2.099700
2025-02-14,11.2000,11.2600,11.0800,11.1500,9936652,110624106.8700,-0.357500
2025-02-17,11.1500,11.3200,11.0600,11.2900,13084025,146918432.7500,1.255600
2025-02-18,11.3000,11.4100,11.1400,11.1900,9716356,109601448.8100,-0.885700
2025-02-19,11.1700,11.2800,11.1300,11.1400,9325100,104266286.0000,-0.446800
2025-02-20,11.1400,11.2000,11.0700,11.1400,8329701,92854869.1400,0.000000
2025-02-21,11.1400,11.2200,10.9500,11.0000,12595843,139147314.8500,-1.256700
2025-02-24,11.0500,11.1000,10.9100,10.9400,11054229,121743476.6500,-0.545500
2025-02-25,10.8900,10.8900,10.7200,10.7600,10551231,114017266.2700,-1.645300
2025-02-26,10.8200,10.8600,10.6700,10.8100,15164901,162943213.6800,0.464700
2025-02-27,10.8200,10.8700,10.7000,10.7700,14146568,152318842.0600,-0.370000
2025-02-28,10.8700,10.8800,10.2900,10.3400,28347136,296409690.2600,-3.992600
2025-03-03,10.3200,10.7600,10.3200,10.6900,24461631,259408593.7000,3.384900
2025-03-04,10.7500,10.8600,10.6300,10.7700,17415452,186965497.7800,0.748400
2025-03-05,10.7600,10.7600,10.5300,10.5800,10105200,107017381.0000,-1.764200
2025-03-06,10.6800,10.6900,10.4900,10.6200,13354860,141089360.2000,0.378100
2025-03-07,10.6200,10.8300,10.5200,10.7100,14916063,159685824.2300,0.847500
2025-03-10,10.7700,10.7700,10.5300,10.6000,10828163,114896210.2500,-1.027100
2025-03-11,10.5400,10.8000,10.4700,10.7500,13824065,147856179.7400,1.415100
2025-03-12,10.8000,10.9200,10.7300,10.7600,13887070,150169516.4600,0.093000
2025-03-13,10.8100,10.8900,10.7400,10.8400,11941300,129224480.0000,0.743500
2025-03-14,10.8500,10.9500,10.7600,10.9300,14876591,161675732.6500,0.830300
2025-03-17,11.0000,11.1400,10.9300,11.0900,18035741,199353715.1000,1.463900
2025-03-18,11.1100,11.2000,11.0200,11.1300,13008278,144805318.1400,0.360700
2025-03-19,11.1500,11.2300,11.0600,11.1300,11741690,130605578.8100,0.000000
2025-03-20,11.1800,11.1800,10.9100,10.9400,9894200,108701025.0000,-1.707100
2025-03-21,10.9300,11.0400,10.8900,10.9900,9077380,99556148.8200,0.457000
2025-03-24,11.0700,11.0900,10.8400,10.9500,9163839,100333681.4300,-0.364000
2025-03-25,11.0000,11.0100,10.8800,10.9700,8088384,88568062.6400,0.182600
2025-03-26,11.0100,11.0400,10.9200,10.9600,8522100,93544603.0000,-0.091200
2025-03-27,10.9600,11.1900,10.8800,11.1000,11740549,129951732.8400,1.277400
2025-03-28,11.0200,11.0200,10.6000,10.6000,12845461,137684976.6100,-3.985500
2025-03-31,10.6200,10.7000,10.4700,10.6000,8459603,89556063.6700,0.000000
2025-04-01,10.5800,10.6800,10.5300,10.6700,8458432,89776440.0800,0.660400
2025-04-02,10.6800,10.6800,10.4600,10.5700,7654000,80744051.9700,-0.937200
2025-04-03,10.4800,10.5500,10.4000,10.4800,7803150,81683011.0000,-0.851500
2025-04-07,9.9400,9.9800,9.4300,9.4300,13409367,128293613.7700,-10.019100
2025-04-08,9.5500,9.6100,9.2000,9.6000,16921507,159646304.0800,1.802800
2025-04-09,9.5500,9.6900,9.3100,9.6400,15644654,148652072.4100,0.416700
2025-04-10,9.7800,9.8800,9.6500,9.8200,12565226,122873393.1000,1.867200
2025-04-11,9.8000,9.8800,9.7200,9.8300,8332338,81686794.0600,0.101800
2025-04-14,9.8700,9.9500,9.7100,9.8100,13093026,128451479.9300,-0.203500
2025-04-15,9.8100,9.8200,9.6800,9.7300,6108154,59548968.4200,-0.815500
2025-04-16,9.7300,9.7300,9.4200,9.5000,7538600,71870632.0000,-2.363800
2025-04-17,9.4900,9.6300,9.4200,9.5600,6078143,58039277.4400,0.631600
