date,open,high,low,close,volume,amount,pctChg
2025-01-02,7.0800,7.1600,6.9000,6.9400,31681039,222691776.7600,-2.115700
2025-01-03,6.9400,7.1200,6.9300,6.9700,31847790,223300428.9000,0.432300
2025-01-06,6.9200,7.1000,6.8700,7.0400,24320461,170262749.3200,1.004300
2025-01-07,7.0300,7.0800,6.9200,6.9600,19386227,135126620.1500,-1.136400
2025-01-08,6.9600,6.9700,6.7700,6.8200,23828486,163386549.1600,-2.011500
2025-01-09,6.8000,6.8500,6.7300,6.8100,12862429,87504187.2800,-0.146600
2025-01-10,6.7900,6.8400,6.6600,6.6700,20587702,138299656.3300,-2.055800
2025-01-13,6.6500,6.7200,6.6100,6.6800,19648929,130918141.4300,0.149900
2025-01-14,6.6800,6.7900,6.6600,6.7800,25306195,170270129.2900,1.497000
2025-01-15,6.7600,6.8000,6.7100,6.7400,15397201,103914197.7400,-0.590000
2025-01-16,6.7800,6.9300,6.7700,6.8100,26148497,179172136.8300,1.038600
2025-01-17,6.8000,6.8400,6.7700,6.8100,12807947,87130745.1300,0.000000
2025-01-20,6.8500,6.8500,6.7600,6.8000,19645060,133645793.1800,-0.146800
2025-01-21,6.8100,6.8200,6.7000,6.7100,17606100,118562902.5000,-1.323500
2025-01-22,6.6800,6.7100,6.6300,6.7100,15490137,103325555.7700,0.000000
2025-01-23,6.7300,6.8100,6.7000,6.7100,17280026,116775946.4800,0.000000
2025-01-24,6.7000,6.7900,6.6700,6.7700,16346402,110383647.5200,0.894200
2025-01-27,6.7900,6.8600,6.7400,6.7700,19776297,134365595.1300,0.000000
2025-02-05,6.8000,6.8100,6.6300,6.6600,22778650,152238078.5000,-1.624800
2025-02-06,6.6700,6.7300,6.6300,6.7200,19942395,133359375.2000,0.900900
2025-02-07,6.7200,6.8600,6.6800,6.8300,31410558,213752159.1400,1.636900
2025-02-10,6.8300,6.8400,6.7700,6.7900,22380355,151961814.8000,-0.585700
2025-02-11,6.7900,6.8000,6.7200,6.7600,17153224,115727065.2900,-0.441800
2025-02-12,6.7300,6.7600,6.7000,6.7500,17364457,116922793.2900,-0.147900
2025-02-13,6.7500,6.8000,6.7400,6.7400,18673405,126435585.7800,-0.148100
2025-02-14,6.7300,6.7600,6.7000,6.7100,15734350,105797625.1600,-0.445100
