date,open,high,low,close,volume,amount,pctChg
2025-01-02,3.8500,3.9200,3.7700,3.8100,39178111,150602334.6900,-1.295300
2025-01-03,3.8200,3.8400,3.7000,3.7100,51468210,193782696.2000,-2.624700
2025-01-06,3.7100,3.7800,3.6400,3.7400,36185900,134567595.0000,0.808600
2025-01-07,3.7200,3.8000,3.7000,3.7800,30804700,115350101.0000,1.069500
2025-01-08,3.7700,3.7700,3.6100,3.7100,49277710,181211212.0000,-1.851900
2025-01-09,3.6800,3.7100,3.6600,3.6800,25820880,95207993.0900,-0.808600
2025-01-10,3.6400,3.7000,3.6000,3.6100,32187649,116976318.3600,-1.902200
2025-01-13,3.5600,3.6400,3.5500,3.6400,32872042,118607870.4600,0.831000
2025-01-14,3.6500,3.7500,3.6400,3.7400,35512608,131414280.6000,2.747300
2025-01-15,3.7200,3.7500,3.6600,3.6900,26396171,97443510.9900,-1.336900
2025-01-16,3.7100,3.7900,3.6900,3.7200,39802323,148850726.1200,0.813000
2025-01-17,3.7000,3.7500,3.6600,3.7300,26443640,98066048.2000,0.268800
2025-01-20,3.7400,3.8100,3.7100,3.7800,31813240,120095044.0000,1.340500
2025-01-21,3.7800,3.8000,3.7200,3.7600,21339609,80065249.8400,-0.529100
2025-01-22,3.7500,3.7600,3.7000,3.7200,20276009,75508612.5700,-1.063800
2025-01-23,3.7400,3.8100,3.7200,3.7300,30172600,113833689.0000,0.268800
2025-01-24,3.7200,3.7800,3.7100,3.7700,20849400,78094058.0000,1.072400
2025-01-27,3.7900,3.8300,3.7500,3.7500,23091401,87371589.7900,-0.530500
2025-02-05,3.7600,3.7900,3.7400,3.7800,19954800,75098232.0000,0.800000
2025-02-06,3.7600,3.8200,3.7300,3.8200,29055315,109816587.8500,1.058200
2025-02-07,3.8100,3.9000,3.8000,3.8400,45802061,176233897.7300,0.523600
2025-02-10,3.8400,3.8700,3.8100,3.8500,28299253,108652951.6300,0.260400
2025-02-11,3.8500,3.8700,3.8000,3.8300,26219613,100130609.6600,-0.519500
2025-02-12,3.8200,3.9200,3.7900,3.8800,52872785,203531626.5600,1.305500
2025-02-13,3.8800,3.9000,3.8400,3.8500,33072809,127815029.2600,-0.773200
2025-02-14,3.8500,3.8700,3.8200,3.8500,23120140,88887617.9200,0.000000
2025-02-17,3.8400,3.8500,3.7900,3.8400,27545201,105383685.8300,-0.259700
2025-02-18,3.8400,3.8500,3.7200,3.7400,35070701,132563687.7300,-2.604200
2025-02-19,3.7400,3.8800,3.7400,3.8100,46278401,175735830.7500,1.871700
2025-02-20,3.8100,3.8500,3.7700,3.8200,33389700,127336996.0000,0.262500
2025-02-21,3.8300,3.8600,3.7800,3.8500,39191860,150163737.8000,0.785300
2025-02-24,3.8600,3.8700,3.8100,3.8300,29265101,112171598.8100,-0.519500
2025-02-25,3.8100,3.8400,3.7700,3.7800,25624740,97527466.1600,-1.305500
2025-02-26,3.8000,3.9000,3.7900,3.9000,52010174,200708649.5000,3.174600
2025-02-27,3.9200,3.9300,3.8300,3.9200,43797240,170018333.4400,0.512800
2025-02-28,3.9100,3.9700,3.8200,3.8300,44734706,173932577.9800,-2.295900
2025-03-03,3.8300,3.9000,3.8100,3.8300,41698697,160673745.3600,0.000000
2025-03-04,3.8300,3.8700,3.8000,3.8600,29787101,114159931.8500,0.783300
2025-03-05,3.8600,3.8600,3.7600,3.8200,32981610,125298120.9000,-1.036300
2025-03-06,3.8200,3.8800,3.8100,3.8800,35393361,136396918.4800,1.570700
2025-03-07,3.9900,4.2700,3.9900,4.2700,132931757,560469451.0900,10.051500
2025-03-10,4.4000,4.7000,4.2800,4.4200,318760444,1423345653.0600,3.512900
2025-03-11,4.3600,4.7000,4.3500,4.6200,244836374,1098439544.9600,4.524900
2025-03-12,4.5600,4.6000,4.4300,4.4400,153206917,685796227.0200,-3.896100
2025-03-13,4.4500,4.6400,4.3600,4.5200,169213155,761476328.1300,1.801800
2025-03-14,4.5400,4.6500,4.4400,4.4700,130292727,585486808.4600,-1.106200
2025-03-17,4.4700,4.7200,4.4500,4.5900,144118795,661581320.6800,2.684600
2025-03-18,4.5800,4.7900,4.5500,4.6600,137708372,644059553.8900,1.525100
2025-03-19,4.6500,4.6600,4.5400,4.5800,83411400,382922733.5400,-1.716700
2025-03-20,4.5700,4.6500,4.4800,4.5000,86356548,392971618.3800,-1.746700
2025-03-21,4.4700,4.5200,4.3500,4.3800,89266580,394385737.9400,-2.666700
2025-03-24,4.3800,4.4100,4.2500,4.3300,63997300,276263078.0000,-1.141600
2025-03-25,4.3300,4.4300,4.2900,4.3200,61406202,267238445.6600,-0.230900
2025-03-26,4.3000,4.3700,4.2400,4.2700,64978077,279008260.9000,-1.157400
2025-03-27,4.2500,4.2600,4.1000,4.2000,60243117,251841062.7700,-1.639300
2025-03-28,4.2000,4.2300,4.1500,4.1900,41616057,174458951.0600,-0.238100
