date,open,high,low,close,volume,amount,pctChg
2025-01-02,2.6300,2.7300,2.6000,2.6300,27617756,73868278.8200,0.000000
2025-01-03,2.6300,2.6500,2.4600,2.4700,30071334,76416252.5500,-6.083700
2025-01-06,2.4800,2.5000,2.3900,2.4500,17316644,42510921.5600,-0.809700
2025-01-07,2.4600,2.4900,2.4200,2.4900,16388900,40147177.0000,1.632700
2025-01-08,2.4800,2.5000,2.4200,2.4900,17174875,42222707.0000,0.000000
2025-01-09,2.4800,2.5300,2.4700,2.5000,13429400,33610964.0000,0.401600
2025-01-10,2.5000,2.5200,2.3700,2.3800,18633100,45056692.3200,-4.800000
2025-01-13,2.3400,2.4000,2.3100,2.3900,16695306,39345124.8600,0.420200
2025-01-14,2.3800,2.4600,2.3700,2.4500,19637906,47643533.6400,2.510500
2025-01-15,2.4500,2.4800,2.3900,2.4400,18075606,44010909.7000,-0.408200
2025-01-16,2.4400,2.5200,2.4400,2.4600,19358300,47964101.0000,0.819700
2025-01-17,2.4400,2.4900,2.4000,2.4500,22750900,55769413.0000,-0.406500
2025-01-20,2.4100,2.4300,2.2900,2.3600,46131910,109036407.3200,-3.673500
2025-01-21,2.3600,2.4500,2.3200,2.3600,42678530,101648989.7000,0.000000
2025-01-22,2.3400,2.3500,2.2600,2.2800,27456901,62672553.2800,-3.389800
2025-01-23,2.2800,2.3800,2.2800,2.2800,30542232,70891784.0300,0.000000
2025-01-24,2.2800,2.3000,2.2400,2.2700,19927417,45326900.5300,-0.438600
2025-01-27,2.2700,2.4100,2.2600,2.3500,34767166,80871903.8600,3.524200
2025-02-05,2.3500,2.3800,2.2900,2.3500,18474836,43019940.7400,0.000000
2025-02-06,2.3400,2.4100,2.3300,2.3400,26513602,62581321.6800,-0.425500
2025-02-07,2.3400,2.4400,2.3200,2.4000,33287795,79823317.3000,2.564100
2025-02-10,2.3900,2.4500,2.3900,2.4300,25072372,60674772.5900,1.250000
2025-02-11,2.4400,2.4700,2.3600,2.3700,22091300,52764239.0000,-2.469100
2025-02-12,2.3800,2.4300,2.3500,2.4200,24332700,58192321.0000,2.109700
2025-02-13,2.4300,2.5300,2.4300,2.4900,44973103,111750957.5300,2.892600
2025-02-14,2.4700,2.5000,2.4100,2.4200,24230700,59026232.0000,-2.811200
2025-02-17,2.4200,2.5100,2.4100,2.4600,24625300,60576496.0000,1.652900
2025-02-18,2.4600,2.4900,2.3600,2.3700,25223175,60862449.2500,-3.658500
2025-02-19,2.4200,2.6100,2.3700,2.6100,64925294,163741982.7500,10.126600
2025-02-20,2.7800,2.8700,2.6600,2.8700,96976687,267175569.5100,9.961700
2025-02-21,2.9800,3.1500,2.7700,2.7900,157081963,466197885.1500,-2.787500
2025-02-24,2.8400,3.0700,2.7700,3.0700,176004107,529024334.8300,10.035800
2025-02-25,2.9000,2.9700,2.8300,2.8400,127529123,368795240.2000,-7.491900
2025-02-26,2.8600,2.9500,2.8300,2.8500,77167462,222039012.0800,0.352100
2025-02-27,2.8400,2.8800,2.7000,2.7400,75897598,210220331.5400,-3.859600
2025-02-28,2.7100,2.7500,2.6300,2.6300,51903100,138922053.0000,-4.014600
2025-03-03,2.6600,2.8900,2.6600,2.8900,39918712,113829870.6800,9.885900
2025-03-04,2.9200,2.9300,2.7700,2.8200,83249046,236204486.1500,-2.422100
2025-03-05,2.8100,2.8200,2.7300,2.7800,40859400,112954399.0000,-1.418400
2025-03-06,2.7900,2.8800,2.7500,2.8500,55769804,156915205.9000,2.518000
2025-03-07,2.8200,2.8200,2.7100,2.7400,38691588,106483275.8900,-3.859600
2025-03-10,2.7600,2.8500,2.7200,2.7800,46015744,128536555.6500,1.459900
2025-03-11,2.7500,2.7500,2.7100,2.7400,26900500,73289167.0000,-1.438800
