date,open,high,low,close,volume,amount,pctChg
2025-01-02,5.0900,5.1600,4.9800,5.0000,28504370,144769084.4000,-1.768200
2025-01-03,5.0300,5.1200,4.9800,4.9900,24127467,121815578.8800,-0.200000
2025-01-06,5.0000,5.1100,4.9600,5.0800,23747218,120015882.4700,1.803600
2025-01-07,5.0900,5.1000,4.9800,5.0000,18797200,94339527.0000,-1.574800
2025-01-08,5.0000,5.0100,4.8700,4.9300,20677582,102025066.4200,-1.400000
2025-01-09,4.9200,4.9300,4.8500,4.8600,14464900,70631064.0000,-1.419900
2025-01-10,4.8600,4.8800,4.8000,4.8000,10805500,52307531.0000,-1.234600
2025-01-13,4.8000,4.8400,4.7900,4.8300,8418272,40553651.0000,0.625000
2025-01-14,4.8300,4.9400,4.8200,4.9300,14478461,70814558.3000,2.070400
2025-01-15,4.9300,4.9300,4.8800,4.9100,10340229,50723062.1000,-0.405700
2025-01-16,4.9300,5.0100,4.9100,4.9300,13063805,64883321.9700,0.407300
2025-01-17,4.9200,4.9700,4.9100,4.9500,8909101,43995046.9500,0.405700
2025-01-20,4.9700,4.9800,4.9300,4.9400,7629500,37794702.0000,-0.202000
2025-01-21,4.9400,4.9700,4.8600,4.9000,8915050,43685462.0000,-0.809700
2025-01-22,4.9000,4.9100,4.8600,4.8900,6858229,33518859.1000,-0.204100
2025-01-23,4.9000,4.9800,4.9000,4.9200,9272650,45849338.5000,0.613500
2025-01-24,4.9200,4.9600,4.9000,4.9600,10802900,53301065.0000,0.813000
2025-01-27,4.9500,5.0300,4.9500,5.0100,13607768,68091317.6800,1.008100
2025-02-05,5.0300,5.0400,4.9700,4.9900,13680900,68453460.0000,-0.399200
2025-02-06,4.9800,5.0200,4.9600,5.0100,9179300,45754806.0000,0.400800
2025-02-07,5.0000,5.0500,4.9800,5.0300,14724980,73943245.0000,0.399200
2025-02-10,5.0200,5.0500,5.0000,5.0200,10920153,54869606.5500,-0.198800
2025-02-11,5.0200,5.0300,4.9600,4.9800,11756200,58606890.0000,-0.796800
2025-02-12,4.9700,4.9900,4.9500,4.9900,8746671,43484213.9100,0.200800
2025-02-13,4.9900,5.0100,4.9700,4.9700,8594751,42894092.4900,-0.400800
2025-02-14,4.9600,5.0000,4.9500,4.9700,8740616,43422972.3500,0.000000
2025-02-17,4.9800,4.9900,4.9300,4.9500,11737665,58099734.9200,-0.402400
2025-02-18,4.9600,4.9700,4.8900,4.9100,14473701,71449721.0800,-0.808100
2025-02-19,4.8900,4.9000,4.8400,4.8600,12212629,59428882.0600,-1.018300
2025-02-20,4.8700,4.9100,4.8200,4.8600,10875038,52809312.3000,0.000000
2025-02-21,4.8800,4.9000,4.8400,4.8800,11509739,55980634.5500,0.411500
2025-02-24,4.8800,4.9200,4.8500,4.8700,11882550,57918117.5000,-0.204900
2025-02-25,4.8600,4.8900,4.8200,4.8400,10674900,51819021.5000,-0.616000
2025-02-26,4.8400,4.9100,4.8200,4.9100,13310179,64942244.7000,1.446300
2025-02-27,4.9300,4.9300,4.8700,4.9300,10368785,50806473.3200,0.407300
2025-02-28,4.9200,4.9400,4.8800,4.9000,10306036,50626969.3600,-0.608500
2025-03-03,4.9000,4.9500,4.8400,4.8400,15366139,75058232.7600,-1.224500
2025-03-04,4.8300,4.8400,4.7900,4.8000,11560701,55609729.5800,-0.826400
2025-03-05,4.8100,4.8300,4.7300,4.7500,13579262,64635605.5000,-1.041700
2025-03-06,4.7500,4.7700,4.7200,4.7500,10645300,50547133.0000,0.000000
2025-03-07,4.7500,4.8200,4.7300,4.7900,13296456,63623883.0900,0.842100
2025-03-10,4.8000,4.8500,4.7700,4.8400,12973050,62635351.0300,1.043800
2025-03-11,4.8200,4.8400,4.7900,4.8400,9874278,47578112.9600,0.000000
2025-03-12,4.8300,4.8500,4.7700,4.7700,16588208,79445183.4700,-1.446300
2025-03-13,4.7600,4.8800,4.7600,4.8800,25790914,124902063.2600,2.306100
2025-03-14,4.8700,4.8900,4.8300,4.8800,17787091,86532162.3700,0.000000
2025-03-17,4.8900,4.9100,4.8600,4.9000,17027422,83262075.2600,0.409800
2025-03-18,4.9100,4.9200,4.8500,4.8800,9693146,47272842.4900,-0.408200
2025-03-19,4.8600,4.9100,4.8500,4.9000,11513900,56281028.0000,0.409800
2025-03-20,4.9000,4.9800,4.9000,4.9400,16484101,81630599.9200,0.816300
2025-03-21,4.9300,4.9800,4.9100,4.9300,15903079,78667248.8700,-0.202400
2025-03-24,4.9300,4.9500,4.8600,4.9200,14460570,71015503.4000,-0.202800
2025-03-25,4.9400,5.0000,4.9100,5.0000,21000735,104303635.3900,1.626000
2025-03-26,5.0400,5.0500,4.9600,5.0100,17370958,86978071.3000,0.200000
2025-03-27,5.0200,5.0300,4.9500,4.9800,14207185,70701744.4500,-0.598800
2025-03-28,4.9900,4.9900,4.8900,4.9400,14643721,72318042.3200,-0.803200
2025-03-31,4.9200,4.9500,4.8300,4.8400,14355931,70203383.9000,-2.024300
2025-04-01,4.8600,4.9400,4.8500,4.9300,13234850,64915600.0000,1.859500
2025-04-02,4.9100,4.9400,4.8800,4.8900,7139600,35019893.5000,-0.811400
2025-04-03,4.8700,4.9300,4.8600,4.9000,9243900,45257555.0000,0.204500
2025-04-07,4.8000,4.8000,4.4100,4.5400,39777709,182240687.0000,-7.346900
2025-04-08,4.5400,4.6500,4.5000,4.6400,23920600,110091794.0000,2.202600
2025-04-09,4.5900,4.6300,4.4800,4.6100,16319614,74561789.7000,-0.646600
2025-04-10,4.6500,4.6700,4.6100,4.6300,15905344,73876085.0000,0.433800
2025-04-11,4.6100,4.6400,4.5800,4.6100,11276466,51967553.7800,-0.432000
2025-04-14,4.6300,4.7000,4.6300,4.6800,15264571,71210023.8900,1.518400
2025-04-15,4.6800,4.6900,4.6200,4.6500,7518470,34904180.1000,-0.641000
2025-04-16,4.6500,4.6800,4.6000,4.6600,9962200,46155542.0000,0.215100
2025-04-17,4.6400,4.6900,4.6300,4.6700,8391900,39181465.0000,0.214600
2025-04-18,4.6800,4.6900,4.6300,4.6600,7754210,36074849.9000,-0.214100
2025-04-21,4.6500,4.6700,4.6300,4.6400,10430600,48482763.0000,-0.429200
2025-04-22,4.6600,4.6700,4.6400,4.6500,8635700,40195954.0000,0.215500
2025-04-23,4.6500,4.6800,4.6300,4.6700,9304400,43305491.7000,0.430100
2025-04-24,4.6600,4.7700,4.6600,4.7300,14912700,70586773.0000,1.284800
2025-04-25,4.7400,4.7500,4.6900,4.7100,11910733,56179046.4300,-0.422800
2025-04-28,4.5300,4.5700,4.4600,4.5500,31219000,140372029.9600,-3.397000
2025-04-29,4.5300,4.5500,4.4800,4.5400,15068070,68060195.6000,-0.219800
2025-04-30,4.5300,4.5500,4.4800,4.5400,16401184,74014665.6200,0.000000
2025-05-06,4.5200,4.5600,4.5100,4.5600,11750458,53279497.7400,0.440500
2025-05-07,4.5900,4.6000,4.5600,4.5800,9937630,45438173.8000,0.438600
2025-05-08,4.5700,4.5800,4.5500,4.5600,7912200,36157533.0000,-0.436700
2025-05-09,4.5700,4.6200,4.5600,4.5700,8338722,38135791.3200,0.219300
2025-05-12,4.5700,4.5800,4.5500,4.5700,7340059,33514054.6200,0.000000
2025-05-13,4.5900,4.6400,4.5800,4.6200,13374969,61711934.7800,1.094100
2025-05-14,4.6300,4.6800,4.6000,4.6800,10816460,50265003.8000,1.298700
2025-05-15,4.6700,4.7200,4.6500,4.6900,9792300,45930693.0000,0.213700
2025-05-16,4.6900,4.6900,4.6100,4.6300,7863000,36466667.0000,-1.279300
2025-05-19,4.6500,4.6700,4.6100,4.6700,6355218,29549372.7000,0.863900
2025-05-20,4.6800,4.6800,4.6200,4.6500,6449400,30000046.0000,-0.428300
2025-05-21,4.6500,4.7600,4.6500,4.7300,14843516,70030935.6800,1.720400
2025-05-22,4.7200,4.7200,4.6700,4.6900,8729145,40903940.6000,-0.845700
2025-05-23,4.6900,4.7200,4.6500,4.6600,7728500,36215970.0000,-0.639700
2025-05-26,4.6500,4.6600,4.5800,4.6000,11870239,54670621.4000,-1.287600
2025-05-27,4.6000,4.6100,4.5300,4.6100,11332415,51736182.5500,0.217400
2025-05-28,4.5900,4.6300,4.5800,4.6200,7563215,34868405.1500,0.216900
2025-05-29,4.6300,4.6500,4.6100,4.6400,6069054,28090220.4800,0.432900
2025-05-30,4.6400,4.6400,4.5900,4.5900,6992300,32208110.0000,-1.077600
2025-06-03,4.5900,4.5900,4.4900,4.5600,27604702,124855152.0800,-0.653600
2025-06-04,4.5400,4.6000,4.5100,4.5900,16470318,74995891.5900,0.657900
2025-06-05,4.5700,4.6000,4.5200,4.5600,13708155,62345752.1700,-0.653600
2025-06-06,4.5700,4.6000,4.5500,4.5600,10633864,48643748.4800,0.000000
2025-06-09,4.5600,4.5800,4.5500,4.5700,7913500,36103286.0000,0.219300
2025-06-10,4.5600,4.5800,4.5200,4.5600,11056200,50340854.0000,-0.218800
2025-06-11,4.5400,4.6200,4.5400,4.5800,12009998,55045705.8400,0.438600
2025-06-12,4.5800,4.5800,4.5400,4.5500,8550500,38940426.0000,-0.655000
2025-06-13,4.5400,4.5900,4.5200,4.5500,13431769,61147043.2600,0.000000
2025-06-16,4.5500,4.5700,4.5100,4.5400,15676539,71050802.2500,-0.219800
2025-06-17,4.5300,4.5600,4.5100,4.5500,9639128,43728609.8100,0.220300
2025-06-18,4.5500,4.5600,4.4900,4.5300,10725090,48433319.0000,-0.439600
2025-06-19,4.5200,4.5200,4.4800,4.5200,9790962,44091359.3800,-0.220800
2025-06-20,4.5100,4.5400,4.5100,4.5200,7134500,32276762.0000,0.000000
2025-06-23,4.5300,4.5800,4.4900,4.5600,12640480,57410519.5000,0.885000
2025-06-24,4.5400,4.5500,4.5100,4.5400,12159212,55102843.3600,-0.438600
2025-06-25,4.5400,4.5500,4.5100,4.5500,12787100,57932196.0000,0.220300
2025-06-26,4.5500,4.5700,4.5100,4.5400,20638450,93504518.5000,-0.219800
2025-06-27,4.5400,4.8700,4.5300,4.8600,62295151,293976649.5900,7.048500
2025-06-30,4.8400,4.8400,4.6900,4.7300,27173570,128557567.3000,-2.674900
2025-07-01,4.7200,4.7600,4.7000,4.7200,14349900,67708884.0000,-0.211400
2025-07-02,4.7200,4.8000,4.7100,4.7900,18936580,90177180.0000,1.483100
2025-07-03,4.7800,4.8000,4.7300,4.7500,14338500,68081412.5000,-0.835100
2025-07-04,4.7400,4.8000,4.7300,4.7400,13966459,66502315.8400,-0.210500
2025-07-07,4.7500,4.8300,4.7300,4.8100,11886310,56832683.5000,1.476800
2025-07-08,4.8000,4.8400,4.7700,4.7900,12029000,57648077.0000,-0.415800
2025-07-09,4.7900,4.8200,4.7500,4.7900,15545811,74390032.5800,0.000000
2025-07-10,4.7900,4.8600,4.7900,4.8500,15969011,77258613.9900,1.252600
2025-07-11,4.8500,4.8900,4.8400,4.8700,17471950,85019348.2300,0.412400
2025-07-14,4.8800,4.9700,4.8700,4.9000,24104821,118771789.1500,0.616000
2025-07-15,4.9200,4.9300,4.8200,4.8300,18227400,88419033.0000,-1.428600
2025-07-16,4.8400,4.8700,4.8100,4.8500,10979260,53097233.2000,0.414100
2025-07-17,4.8600,4.8700,4.8200,4.8500,8351976,40407548.3400,0.000000
2025-07-18,4.8600,4.9200,4.8600,4.8900,11207510,54818216.0000,0.824700
2025-07-21,4.9100,4.9900,4.9100,4.9800,18318295,90945392.3500,1.840500
2025-07-22,5.0100,5.2400,4.9700,5.2100,49673714,255251970.7400,4.618500
2025-07-23,5.2800,5.3100,5.1400,5.1500,39181001,203978721.1600,-1.151600
2025-07-24,5.1400,5.2500,5.0800,5.2400,25804907,133393612.6000,1.747600
2025-07-25,5.2200,5.3000,5.1900,5.2300,19381365,101471218.6000,-0.190800
2025-07-28,5.1500,5.2000,5.0100,5.1300,23101065,118346766.6500,-1.912000
2025-07-29,5.1400,5.1500,5.0800,5.1400,17226400,88255688.0000,0.194900
2025-07-30,5.1700,5.1900,5.1000,5.1300,12899250,66405993.0000,-0.194600
2025-07-31,5.0900,5.1100,4.9600,4.9900,21457752,107350872.4400,-2.729000
2025-08-01,5.0000,5.0500,4.9900,5.0200,10483953,52698260.0600,0.601200
2025-08-04,5.0200,5.0800,4.9800,5.0700,13248950,66609717.0000,0.996000
2025-08-05,5.0700,5.1100,5.0400,5.1000,9041700,45881541.0000,0.591700
2025-08-06,5.0800,5.2000,5.0800,5.1800,13561200,69920526.5000,1.568600
2025-08-07,5.1700,5.2500,5.1600,5.2100,16926760,88053147.1000,0.579200
2025-08-08,5.2200,5.2300,5.1500,5.1800,11934832,61813994.0800,-0.575800
2025-08-11,5.1800,5.2100,5.1400,5.1500,12431400,64222695.8500,-0.579200
2025-08-12,5.1600,5.2100,5.1300,5.1800,13922651,72001465.1800,0.582500
2025-08-13,5.1500,5.1500,5.0900,5.1000,15102715,77163159.5000,-0.778200
2025-08-14,5.1200,5.1200,4.9800,4.9900,17314943,87329026.9300,-2.156900
2025-08-15,4.9800,5.0500,4.9800,5.0400,15871845,79723115.2500,1.002000
2025-08-18,5.0600,5.0700,4.9800,4.9800,20629120,103170571.6500,-1.190500
2025-08-19,4.9900,5.0000,4.9500,4.9600,14008222,69640039.1100,-0.401600
2025-08-20,4.9600,5.0100,4.9200,5.0100,12963635,64593668.0500,1.008100
2025-08-21,5.0000,5.0500,4.9900,5.0400,13332644,67057923.0400,0.598800
2025-08-22,5.0400,5.0500,4.9700,5.0100,14610000,73011042.1800,-0.595200
2025-08-25,5.0300,5.1200,5.0200,5.1200,17512158,89068982.3000,2.195600
2025-08-26,5.1200,5.1500,5.0800,5.1000,17464190,89238423.5300,-0.390600
2025-08-27,5.1200,5.1500,5.0700,5.0800,28053012,143257859.3700,-0.392200
2025-08-28,5.0600,5.1100,4.9800,5.0800,23503235,118555262.9000,0.000000
2025-08-29,5.0700,5.1500,5.0600,5.1300,20697600,105939736.0000,0.984300
2025-09-01,5.1300,5.2800,5.0700,5.2500,35967730,187436459.3900,2.339200
2025-09-02,5.2500,5.3100,5.2000,5.2800,23488482,123602646.0000,0.571400
2025-09-03,5.2800,5.3300,5.2100,5.2300,15621406,82153657.7200,-0.947000
2025-09-04,5.2300,5.2500,5.1800,5.2500,16480765,85953152.7000,0.382400
2025-09-05,5.2600,5.2800,5.1700,5.2700,15538700,81277862.0000,0.381000
2025-09-08,5.2600,5.3000,5.2100,5.2700,13640050,71947374.5000,0.000000
2025-09-09,5.2600,5.3500,5.2600,5.3200,16821499,89376541.6800,0.948800
2025-09-10,5.3300,5.3500,5.2600,5.2800,10902260,57695720.6000,-0.751900
2025-09-11,5.2700,5.3000,5.2000,5.2400,13302372,69745198.8400,-0.757600
2025-09-12,5.2400,5.2800,5.2000,5.2400,14203265,74489403.9500,0.000000
2025-09-15,5.2500,5.3300,5.2100,5.3200,14766478,77754356.5300,1.526700
2025-09-16,5.3500,5.3800,5.2600,5.3000,14884105,78921843.4000,-0.375900
2025-09-17,5.2800,5.3400,5.2600,5.2800,12223197,64698706.3500,-0.377400
2025-09-18,5.2700,5.2900,5.1300,5.1700,16304791,84887267.2900,-2.083300
2025-09-19,5.1800,5.2300,5.1500,5.2200,17461251,90515383.7100,0.967100
2025-09-22,5.2300,5.2400,5.1200,5.1900,20510790,105936271.9700,-0.574700
2025-09-23,5.1700,5.3000,5.1500,5.2900,27448451,143375835.2600,1.926800
2025-09-24,5.2700,5.3100,5.2000,5.2700,15030312,78824237.2800,-0.378100
2025-09-25,5.2700,5.2700,5.1800,5.2400,14392092,75250358.2000,-0.569300
2025-09-26,5.2400,5.3000,5.2300,5.2800,14771001,77970625.2500,0.763400
2025-09-29,5.2600,5.2700,5.1500,5.2600,17341260,90227744.1000,-0.378800
2025-09-30,5.2500,5.4200,5.2000,5.3900,30513586,163065714.4400,2.471500
2025-10-09,5.4100,5.4600,5.3300,5.4500,26171868,141329966.2400,1.113200
2025-10-10,5.4000,5.5000,5.4000,5.4900,17117733,93603924.5500,0.733900
2025-10-13,5.4000,5.5600,5.3500,5.5400,28033941,153720900.3100,0.910700
2025-10-14,5.5500,5.6800,5.4900,5.6600,28210917,158378469.0600,2.166100
2025-10-15,5.6500,5.6500,5.5100,5.5300,25812681,143757350.5200,-2.296800
2025-10-16,5.5100,5.6600,5.5000,5.6600,27177163,152111878.1800,2.350800
