date,open,high,low,close,volume,amount,pctChg
2025-01-02,11.9400,12.0100,11.5500,11.6200,14556262,171242799.2100,-2.680100
2025-01-03,11.6200,11.8300,11.5200,11.5700,10737258,125295234.2900,-0.430300
2025-01-06,11.5900,11.8400,11.5400,11.8300,12636744,148439762.2800,2.247200
2025-01-07,11.8000,11.8100,11.4400,11.5000,14483543,167073216.0900,-2.789500
2025-01-08,11.5000,11.5100,11.2300,11.3500,12214037,138775982.8500,-1.304300
2025-01-09,11.3000,11.3300,11.1000,11.1000,10982342,123079164.3200,-2.202600
2025-01-10,11.1200,11.1900,11.0100,11.0200,7084728,78705886.1000,-0.720700
2025-01-13,10.9600,11.1700,10.9200,11.1400,9721300,107812049.0000,1.088900
2025-01-14,11.1400,11.5400,11.0900,11.4900,14025876,158696137.3200,3.141800
2025-01-15,11.5000,11.5300,11.3000,11.4500,9020301,103070978.7400,-0.348100
2025-01-16,11.4900,11.5500,11.2800,11.3100,10906200,124206039.7000,-1.222700
2025-01-17,11.2100,11.5400,11.2100,11.4800,9210162,105143379.3600,1.503100
2025-01-20,11.6700,11.9000,11.6600,11.7200,17833070,209900941.0000,2.090600
2025-01-21,11.7200,11.8100,11.5600,11.5900,8106000,94367408.0000,-1.109200
2025-01-22,11.5900,11.6000,11.4500,11.5600,6474429,74547321.9200,-0.258800
2025-01-23,11.6600,11.7300,11.5300,11.5300,8679267,100839790.5200,-0.259500
2025-01-24,11.5000,11.6500,11.4900,11.6400,8522350,98655571.5000,0.954000
2025-01-27,11.6500,11.9000,11.6500,11.7200,11220750,132144868.0000,0.687300
2025-02-05,11.8100,11.8500,11.5800,11.6900,11736378,137686897.1800,-0.256000
2025-02-06,11.6500,11.7600,11.5200,11.7600,10062388,116982288.9600,0.598800
2025-02-07,11.7000,11.8500,11.6500,11.7600,12156750,142957994.3400,0.000000
2025-02-10,11.7800,11.8900,11.6600,11.6600,14823010,173930263.8000,-0.850300
2025-02-11,11.6900,11.7100,11.4900,11.6200,10677913,123562619.0200,-0.343100
2025-02-12,11.5700,11.6300,11.4200,11.5500,9518565,109612418.1500,-0.602400
2025-02-13,11.5300,11.5700,11.4400,11.4600,9309500,107050143.0000,-0.779200
2025-02-14,11.4400,11.6100,11.4200,11.5500,10814300,124686857.0000,0.785300
2025-02-17,11.5500,11.6200,11.4300,11.4600,13691100,157719234.0000,-0.779200
2025-02-18,11.4400,11.4700,11.2300,11.3000,11588755,131378564.7000,-1.396200
2025-02-19,11.3000,11.3200,11.1900,11.2100,11218145,126088536.9500,-0.796500
2025-02-20,11.2200,11.3700,11.1700,11.2700,10635675,120011977.7500,0.535200
2025-02-21,11.3000,11.4000,11.2000,11.3200,11273104,127114380.7400,0.443700
2025-02-24,11.3000,11.4300,11.2500,11.3300,11100339,126069597.2100,0.088300
2025-02-25,11.2700,11.2900,11.1600,11.1700,11241367,125882983.1600,-1.412200
2025-02-26,11.1600,11.3400,11.1500,11.3000,12826955,144236294.0000,1.163800
2025-02-27,11.2900,11.3500,11.2200,11.3400,9163516,103220496.0900,0.354000
2025-02-28,11.3300,11.4100,11.1700,11.2000,11677202,131708340.6600,-1.234600
2025-03-03,11.2100,11.3600,11.1800,11.1900,10217016,115289514.5400,-0.089300
2025-03-04,11.1800,11.2700,11.1600,11.2300,7014081,78740876.1300,0.357500
2025-03-05,11.2400,11.2400,11.0600,11.1000,11693141,129941155.1000,-1.157600
2025-03-06,11.1200,11.2800,11.0300,11.2600,11236718,125652683.9600,1.441400
2025-03-07,11.2100,11.2600,11.1800,11.2300,6358700,71331675.0000,-0.266400
2025-03-10,11.3200,11.3700,11.2000,11.2700,9612830,108437450.7500,0.356200
