date,open,high,low,close,volume,amount,pctChg
2025-01-02,12.7800,12.9800,12.3500,12.5000,8651360,109405914.6600,-2.420000
2025-01-03,12.5400,12.6800,12.0500,12.1100,6625259,81812607.2400,-3.120000
2025-01-06,12.1000,12.4400,11.9400,12.1100,7215186,87546520.2800,0.000000
2025-01-07,12.0900,12.4900,12.0400,12.4000,8494807,104144570.3200,2.394700
2025-01-08,12.4100,12.4100,11.8800,12.0900,7820365,94565927.3700,-2.500000
2025-01-09,11.9800,12.2200,11.9500,12.0600,5023720,60837935.6000,-0.248100
2025-01-10,12.0700,12.2800,11.9700,11.9700,4442100,53793763.0000,-0.746300
2025-01-13,11.9500,12.1200,11.8700,11.9800,3938198,47171196.0800,0.083500
2025-01-14,11.9800,12.6500,11.9800,12.6400,7864699,97329741.6100,5.509200
2025-01-15,12.6400,12.7600,12.3300,12.4500,5525134,68675766.2800,-1.503200
2025-01-16,12.3900,12.7200,12.3300,12.4500,4573000,57310613.3500,0.000000
2025-01-17,12.4600,12.7000,12.3600,12.5600,5252721,65834604.9500,0.883500
2025-01-20,12.6500,12.7800,12.1400,12.2000,8507400,105270027.0000,-2.866200
2025-01-21,12.2600,12.3300,12.0700,12.2400,5294300,64662094.0000,0.327900
2025-01-22,12.2000,12.2000,11.7400,11.7800,10777657,127877102.1200,-3.758200
2025-01-23,11.9000,12.2700,11.8700,12.0200,8629400,104615101.0000,2.037400
2025-01-24,11.9300,12.2300,11.9100,12.1000,6483100,78387924.0000,0.665600
2025-01-27,12.1000,12.3000,12.0600,12.2300,5252104,64061709.0800,1.074400
2025-02-05,12.2500,12.4200,11.7800,11.8400,7766366,93486433.4400,-3.188900
2025-02-06,11.8400,12.3200,11.7500,12.3000,5972000,72500498.0000,3.885100
2025-02-07,12.2800,12.8800,12.1500,12.6000,11016200,139178058.0000,2.439000
2025-02-10,12.6200,12.6600,12.3500,12.4000,7340410,91258521.7400,-1.587300
2025-02-11,12.3700,12.4800,12.1500,12.2300,3986100,48769868.0000,-1.371000
2025-02-12,12.1900,12.2900,11.9500,12.0300,9942480,119893833.7400,-1.635300
2025-02-13,12.0400,12.0600,11.6000,11.6600,15611501,184185302.7200,-3.075600
2025-02-14,11.6700,11.9200,11.6400,11.8000,9130320,107766034.2600,1.200700
2025-02-17,11.8200,12.0500,11.6500,11.9700,10100150,120113654.5000,1.440700
2025-02-18,11.9400,11.9700,11.5300,11.6000,9174318,107477016.2200,-3.091100
2025-02-19,11.5500,12.0300,11.5500,11.9400,8419346,99427938.4000,2.931000
2025-02-20,11.9000,12.0000,11.6600,11.8800,9196619,108918087.9000,-0.502500
2025-02-21,11.9400,11.9500,11.7000,11.7700,9297541,109503904.4400,-0.925900
2025-02-24,11.8000,11.9000,11.6500,11.7400,8082710,94862535.2000,-0.254900
2025-02-25,11.6300,12.9100,11.4000,12.7000,32845214,404708453.9100,8.177200
2025-02-26,12.5000,13.5000,12.5000,13.1800,35067167,461195366.7600,3.779500
2025-02-27,13.2700,13.3900,12.9600,13.1300,17507162,230289062.8200,-0.379400
2025-02-28,13.1200,13.1800,12.7500,12.9600,14141725,183465230.0700,-1.294700
2025-03-03,13.2600,13.7100,13.1200,13.3800,19923884,268201462.5300,3.240700
2025-03-04,13.2900,13.8400,13.1900,13.3700,14623493,197602569.3400,-0.074700
2025-03-05,13.2900,13.5500,13.2100,13.4000,9240629,123477177.8300,0.224400
2025-03-06,13.3800,13.6700,13.3700,13.4100,10009396,134630888.6300,0.074600
2025-03-07,13.4000,13.6800,13.3500,13.5100,7977968,107887974.2900,0.745700
2025-03-10,13.5200,13.8700,13.4600,13.7000,9789567,133989897.2000,1.406400
2025-03-11,13.5700,14.2000,13.5400,14.1600,13658681,191257623.2000,3.357700
2025-03-12,14.2600,14.4200,13.8800,14.0500,10670673,150637958.5500,-0.776800
2025-03-13,14.0000,14.0000,13.6200,13.9200,9019401,124736953.8700,-0.925300
2025-03-14,13.8800,14.1200,13.7600,14.0300,8535583,119397487.1500,0.790200
2025-03-17,14.1400,14.3600,14.0600,14.1300,8682829,123440241.7300,0.712800
2025-03-18,14.1500,14.2100,13.8300,13.9100,6520200,91054338.0000,-1.557000
2025-03-19,13.9200,13.9200,13.6800,13.8000,4493709,61866199.3000,-0.790800
2025-03-20,13.7800,14.0200,13.7200,14.0100,4773280,66335833.5500,1.521700
2025-03-21,13.9300,14.5200,13.9300,14.0400,13294109,189696789.9800,0.214100
