date,open,high,low,close,volume,amount,pctChg
2025-01-02,6.1600,6.2200,5.9700,6.0200,7334001,44732230.4700,-2.272700
2025-01-03,6.0400,6.0600,5.8500,5.8800,6557851,39183579.9700,-2.325600
2025-01-06,5.9000,5.9800,5.7700,5.8800,4754103,27987594.7600,0.000000
2025-01-07,5.8800,5.9200,5.8000,5.9100,5316233,31161352.7000,0.510200
2025-01-08,5.9100,5.9700,5.7200,5.8900,6988900,40955363.0000,-0.338400
2025-01-09,5.8900,5.9400,5.8500,5.8900,4266400,25169486.1800,0.000000
2025-01-10,5.8900,5.9000,5.7600,5.7600,4100303,23949868.5500,-2.207100
2025-01-13,5.7200,5.7800,5.6500,5.7200,5494500,31390785.0000,-0.694400
2025-01-14,5.7700,5.9300,5.7200,5.9200,6325300,37057217.0000,3.496500
2025-01-15,5.9300,5.9500,5.8600,5.8800,2677000,15796892.0000,-0.675700
2025-01-16,5.8700,6.0500,5.8700,5.9800,5333484,31860620.9400,1.700700
2025-01-17,5.9700,6.0500,5.9300,6.0100,4281509,25642511.9000,0.501700
2025-01-20,6.0500,6.1200,6.0300,6.0800,3841452,23357343.6800,1.164700
2025-01-21,6.0600,6.1200,5.9800,6.0200,3384500,20366875.0000,-0.986800
2025-01-22,6.0500,6.0500,5.9300,5.9400,3823223,22787656.1200,-1.328900
2025-01-23,6.0800,6.1100,5.9800,5.9800,4365450,26383947.0000,0.673400
2025-01-24,5.9800,6.0300,5.9300,6.0100,3321910,19890094.1000,0.501700
2025-01-27,6.0400,6.1000,6.0000,6.0100,4001600,24178183.0000,0.000000
2025-02-05,6.0500,6.0700,5.8900,6.0400,4213695,25385100.5500,0.499200
2025-02-06,6.0300,6.1500,6.0000,6.1500,5248301,31957634.1100,1.821200
2025-02-07,6.1500,6.1900,6.0900,6.1600,5771550,35505314.5000,0.162600
2025-02-10,6.1800,6.1900,6.1000,6.1900,4543300,27953135.0000,0.487000
2025-02-11,6.1900,6.1900,6.1100,6.1800,4257394,26193271.1600,-0.161600
2025-02-12,6.2100,6.2200,6.1300,6.1700,5121900,31580727.0000,-0.161800
2025-02-13,6.1600,6.1800,6.0200,6.0300,6402600,38949457.0000,-2.269000
2025-02-14,6.0600,6.0800,5.9700,5.9800,4500700,27063000.0000,-0.829200
2025-02-17,5.9600,6.0700,5.9500,6.0200,5338800,32024479.5000,0.668900
2025-02-18,6.0400,6.0500,5.8500,5.8800,5148200,30610024.0000,-2.325600
2025-02-19,5.8800,5.9600,5.8400,5.9600,4375341,25924494.4000,1.360500
2025-02-20,5.9600,6.0200,5.9000,6.0000,4356549,26008146.8500,0.671100
2025-02-21,5.9900,6.0100,5.8700,5.9000,6944206,41065250.1400,-1.666700
