date,open,high,low,close,volume,amount,pctChg
2025-01-02,10.7300,11.0500,10.4100,10.5900,27103142,289895937.0800,-2.035200
2025-01-03,10.5800,10.6100,9.9500,9.9800,28897875,295650464.5800,-5.760200
2025-01-06,9.9100,10.2400,9.8300,10.0500,22162417,222480770.8000,0.701400
2025-01-07,10.1000,10.1600,9.9700,10.1300,17108941,172195745.7700,0.796000
2025-01-08,10.0800,10.1600,9.6700,10.0500,27834961,275855472.9800,-0.789700
2025-01-09,9.9100,10.3300,9.9100,10.1400,24209933,245259319.7700,0.895500
2025-01-10,10.1000,10.8500,10.0400,10.4500,42156528,444128897.3800,3.057200
2025-01-13,10.3000,10.7700,10.1600,10.3800,39897012,417872181.6600,-0.669900
2025-01-14,10.4200,11.4200,10.4200,11.4200,36641286,405699759.0300,10.019300
2025-01-15,11.7600,12.1100,11.6200,11.7600,70904383,839679846.4500,2.977200
2025-01-16,11.8000,12.0800,11.5700,11.7700,40826484,482419304.6800,0.085000
2025-01-17,11.7100,11.9000,11.4900,11.6900,36282486,425755666.1800,-0.679700
2025-01-20,11.9200,11.9900,11.6000,11.6400,30600822,358121955.9400,-0.427700
2025-01-21,11.7700,11.9800,11.6000,11.9700,38852337,459449359.1400,2.835100
2025-01-22,11.9800,13.1700,11.9600,12.8800,98468491,1245763912.4700,7.602300
2025-01-23,13.0900,13.1700,12.6000,12.6700,68424158,876866864.5000,-1.630400
2025-01-24,12.5000,13.5000,12.5000,13.4900,66344362,868141169.5700,6.472000
2025-01-27,13.4700,13.7600,12.8200,12.9100,50126028,661033630.8400,-4.299500
2025-02-05,13.1600,13.4500,12.8200,13.1800,48837718,643898230.0200,2.091400
2025-02-06,13.1500,14.4600,13.1000,14.2900,61101459,863608595.4900,8.421900
2025-02-07,14.1800,14.6800,13.9700,14.3100,61805416,885143145.1200,0.140000
2025-02-10,14.3500,14.8800,14.1900,14.4400,51718271,748302525.4300,0.908500
2025-02-11,14.5500,14.7400,14.0600,14.5400,39447869,569138047.5300,0.692500
2025-02-12,14.3500,15.7400,14.1900,15.5000,57842304,880196082.8300,6.602500
2025-02-13,16.1000,16.3400,14.9000,15.1300,69017245,1072967598.0900,-2.387100
2025-02-14,14.9500,15.1700,14.5800,14.9200,51120183,758678057.9400,-1.388000
2025-02-17,14.7000,15.5100,14.6700,15.1600,47085555,709533916.1900,1.608600
2025-02-18,15.0200,15.5900,14.9600,15.0500,44647790,681770969.2100,-0.725600
2025-02-19,14.8600,16.5600,14.8500,16.5600,52480774,834399116.4100,10.033200
2025-02-20,16.9800,17.7200,16.7200,16.9900,78019240,1336749730.2400,2.596600
2025-02-21,16.9700,17.5800,16.6200,17.3200,50500768,863211543.4400,1.942300
2025-02-24,17.5000,17.8500,16.6400,16.7800,52430247,901290041.0200,-3.117800
2025-02-25,16.4800,16.7600,16.0700,16.3900,43892933,720065781.7000,-2.324200
2025-02-26,16.2800,17.6400,16.2100,16.7400,52250543,884615941.2700,2.135400
2025-02-27,16.6000,16.7100,15.7500,16.0900,45580304,734755003.2100,-3.882900
2025-02-28,15.9000,16.1700,15.0500,15.2000,47078482,726483077.9700,-5.531400
2025-03-03,15.2400,15.4500,14.7500,14.9200,33687132,506367199.4600,-1.842100
2025-03-04,14.7800,16.1800,14.7800,15.9100,60691428,954222757.9900,6.635400
2025-03-05,15.9100,16.9600,15.8700,16.8700,49614847,826078617.9400,6.033900
2025-03-06,16.8800,17.5800,16.7200,16.9900,45226729,772099599.5600,0.711300
2025-03-07,16.9000,18.5800,16.8600,17.7500,51871129,930224605.0300,4.473200
2025-03-10,18.0100,18.0800,16.9600,17.0700,42884689,741718486.5000,-3.831000
2025-03-11,16.6000,17.1400,16.4600,17.0500,32239145,541696776.4500,-0.117200
2025-03-12,17.1500,17.8200,16.9000,17.1200,30781038,535030891.8900,0.410600
2025-03-13,17.2600,17.2600,15.6100,15.9000,46617977,750212946.0400,-7.126200
2025-03-14,15.8800,16.6500,15.6000,16.4800,33475515,541814707.3200,3.647800
2025-03-17,16.4000,16.5100,15.7100,16.3200,28489854,460536364.5500,-0.970900
2025-03-18,16.2800,17.2800,16.0000,16.9500,38795161,646738848.1600,3.860300
2025-03-19,16.7000,18.4800,16.4500,18.0400,53229671,936152699.1700,6.430700
2025-03-20,17.8200,19.6800,17.2200,19.0800,67908737,1262646641.7200,5.765000
2025-03-21,18.6800,19.0800,17.9700,18.0000,46902550,862806302.5900,-5.660400
2025-03-24,17.6900,17.9000,17.0900,17.6700,35556618,622277115.2800,-1.833300
2025-03-25,17.7800,18.6000,17.3700,17.6000,35412392,635701059.4100,-0.396200
2025-03-26,17.6500,19.3600,17.6300,18.6600,56301041,1059933590.8700,6.022700
2025-03-27,18.3100,19.2100,17.8700,17.9600,58222002,1081171716.0800,-3.751300
2025-03-28,18.0700,19.1800,18.0700,18.4100,39505735,734582998.2200,2.505600
2025-03-31,18.4100,18.5000,16.5700,16.5700,44089867,741539525.5700,-9.994600
2025-04-01,16.5000,16.7700,15.9100,15.9500,39970146,650582152.4000,-3.741700
2025-04-02,15.9500,16.9400,15.7700,16.8500,40880353,670714440.2100,5.642600
2025-04-03,16.5000,17.9800,15.9500,15.9700,50253923,841921063.9200,-5.222600
2025-04-07,14.3700,14.4000,14.3700,14.3700,7556200,108585307.2000,-10.018800
2025-04-08,13.5500,13.6900,12.9300,12.9300,41807826,548615864.9000,-10.020900
2025-04-09,12.6300,14.2200,11.7000,14.0700,79055008,1037494494.8500,8.816700
