date,open,high,low,close,volume,amount,pctChg
2025-01-02,4.0200,4.0500,3.9000,3.9300,26984864,107419340.1400,-2.238800
2025-01-03,3.9400,3.9700,3.8500,3.8700,21697940,84877842.7800,-1.526700
2025-01-06,3.8800,3.9100,3.8400,3.9100,16600721,64451136.3000,1.033600
2025-01-07,3.9000,3.9100,3.8300,3.8900,13222251,51166564.8500,-0.511500
2025-01-08,3.8900,3.9000,3.7600,3.8400,20078526,76714523.0000,-1.285300
2025-01-09,3.8200,3.8300,3.7900,3.8000,13466791,51326816.7000,-1.041700
2025-01-10,3.8100,3.8400,3.7200,3.7400,15021753,56717164.6500,-1.578900
2025-01-13,3.7200,3.7800,3.7000,3.7700,14944901,55892320.4500,0.802100
2025-01-14,3.7600,3.8600,3.7500,3.8500,21750580,82883093.8000,2.122000
2025-01-15,3.8500,3.8500,3.7800,3.8100,19239504,73261244.4400,-1.039000
2025-01-16,3.8300,3.9100,3.8300,3.8600,16392631,63450558.1900,1.312300
2025-01-17,3.8400,3.8800,3.8100,3.8600,14276278,55000553.9800,0.000000
2025-01-20,3.8200,3.8700,3.7300,3.7600,31029502,116983947.5200,-2.590700
2025-01-21,3.7800,3.8100,3.7400,3.7700,14674633,55319170.5100,0.266000
2025-01-22,3.7600,3.7900,3.7300,3.7500,17253610,64768866.0000,-0.530500
2025-01-23,3.7700,3.8300,3.7400,3.7500,16694920,63280678.2000,0.000000
2025-01-24,3.7500,3.7700,3.7200,3.7500,21192307,79367308.1800,0.000000
2025-01-27,3.7600,3.8400,3.7500,3.7500,23640438,89601579.4700,0.000000
2025-02-05,3.7800,3.8000,3.7300,3.7600,16045781,60450433.8500,0.266700
2025-02-06,3.7600,3.8000,3.7100,3.8000,19215246,72301091.1800,1.063800
2025-02-07,3.7800,3.8600,3.7700,3.8400,28801330,110216442.7600,1.052600
2025-02-10,3.8400,3.9000,3.8400,3.8800,22918940,88726651.1000,1.041700
2025-02-11,3.8800,3.8800,3.8200,3.8600,17539726,67449834.9800,-0.515500
2025-02-12,3.8600,3.8900,3.8400,3.8900,18365582,71184187.5600,0.777200
2025-02-13,3.8900,3.9100,3.8600,3.8600,16456380,63952890.0000,-0.771200
2025-02-14,3.8600,3.8900,3.8400,3.8800,15443344,59793262.4800,0.518100
2025-02-17,3.8800,3.8900,3.8300,3.8600,17124511,66065244.3900,-0.515500
2025-02-18,3.8700,3.8700,3.7900,3.7900,17386280,66613439.5000,-1.813500
2025-02-19,3.8000,3.8600,3.7900,3.8600,16531987,63190738.1300,1.847000
2025-02-20,3.8500,3.8500,3.7900,3.8000,18914435,71962136.8500,-1.554400
2025-02-21,3.8000,3.8200,3.7700,3.8100,18409046,69948070.4000,0.263200
2025-02-24,3.8100,3.8400,3.7900,3.8100,22820773,87050728.4000,0.000000
2025-02-25,3.7900,3.8000,3.7500,3.7600,18737300,70674280.0800,-1.312300
2025-02-26,3.7600,3.8200,3.7500,3.8200,21471588,81428509.2900,1.595700
2025-02-27,3.8200,3.8600,3.7700,3.8100,20812741,79318513.1000,-0.261800
2025-02-28,3.8000,3.8300,3.7500,3.7600,18731537,70968873.8200,-1.312300
2025-03-03,3.7600,3.8100,3.7500,3.7600,22546221,85198397.3300,0.000000
2025-03-04,3.7500,3.7600,3.7100,3.7400,19855947,73975890.2400,-0.531900
2025-03-05,3.7400,3.7400,3.6800,3.7200,20250640,74973926.9000,-0.534800
2025-03-06,3.7200,3.7600,3.7000,3.7500,19932553,74389713.3900,0.806500
2025-03-07,3.7400,3.7900,3.7200,3.7400,17477285,65607471.0200,-0.266700
2025-03-10,3.7400,3.7900,3.7300,3.7400,15243629,57235351.4600,0.000000
2025-03-11,3.7200,3.7900,3.7100,3.7900,20263421,76158727.8500,1.336900
2025-03-12,3.8000,3.8200,3.7700,3.8000,16350706,62003229.3500,0.263900
2025-03-13,3.7900,3.8100,3.7600,3.8100,20944350,79327926.2300,0.263200
2025-03-14,3.8100,3.8600,3.7900,3.8600,19783143,75812068.7700,1.312300
2025-03-17,3.8600,3.8800,3.8500,3.8600,17401382,67235784.5200,0.000000
2025-03-18,3.8700,3.8900,3.8500,3.8800,18025272,69880971.9800,0.518100
2025-03-19,3.8800,3.8800,3.8200,3.8300,17419069,67025205.6800,-1.288700
2025-03-20,3.8300,3.8600,3.8200,3.8400,16127148,61992434.1200,0.261100
2025-03-21,3.8400,3.9000,3.8300,3.8600,25627417,99121883.1400,0.520800
2025-03-24,3.8500,3.8700,3.7700,3.8100,18876249,71941776.3400,-1.295300
2025-03-25,3.8100,3.9300,3.7900,3.9300,35420697,137418381.4300,3.149600
2025-03-26,3.9000,4.0900,3.8900,3.9700,45828138,182950088.5200,1.017800
2025-03-27,3.9600,4.0500,3.9000,4.0000,37890522,151095014.9500,0.755700
2025-03-28,4.0000,4.0000,3.8500,3.8500,33481408,130621365.9900,-3.750000
2025-03-31,3.8300,3.8500,3.7300,3.7500,28275902,106807848.7500,-2.597400
2025-04-01,3.7500,3.9700,3.7500,3.9200,45315287,174791596.7700,4.533300
2025-04-02,3.9100,3.9200,3.8300,3.8500,18845623,72791695.8500,-1.785700
2025-04-03,3.8100,3.8800,3.8000,3.8700,19117780,73522581.7000,0.519500
2025-04-07,3.6700,3.7700,3.4800,3.4900,44362220,158918866.3500,-9.819100
2025-04-08,3.4700,3.6000,3.4600,3.5800,27465654,97446683.8200,2.578800
2025-04-09,3.5500,3.6800,3.4700,3.6500,24314498,86979058.0900,1.955300
2025-04-10,3.6600,3.7100,3.6400,3.6600,25750957,94548199.5500,0.274000
2025-04-11,3.6500,3.6900,3.6100,3.6500,19419634,70939948.8000,-0.273200
2025-04-14,3.6800,3.7200,3.6600,3.6800,15549011,57224356.9700,0.821900
2025-04-15,3.6800,3.6800,3.6300,3.6500,13768900,50238237.0000,-0.815200
2025-04-16,3.6400,3.6500,3.5400,3.6000,18003367,64673541.3900,-1.369900
2025-04-17,3.5800,3.7100,3.5700,3.6900,24488170,89796349.0100,2.500000
2025-04-18,3.6800,3.6800,3.6200,3.6500,14459715,52789161.1000,-1.084000
2025-04-21,3.6600,3.6600,3.6300,3.6400,12253876,44660982.6400,-0.274000
2025-04-22,3.6400,3.6700,3.6300,3.6600,11206670,40909574.5000,0.549500
2025-04-23,3.6700,3.6800,3.6300,3.6300,11578985,42183355.2500,-0.819700
2025-04-24,3.6400,3.6700,3.6200,3.6600,15407270,56204073.5100,0.826400
2025-04-25,3.6600,3.7100,3.6500,3.6700,14642433,53895721.3600,0.273200
2025-04-28,3.6600,3.6700,3.6000,3.6500,15911360,57831845.5000,-0.545000
2025-04-29,3.6300,3.6800,3.6300,3.6600,12724937,46569606.9500,0.274000
2025-04-30,3.6300,3.6600,3.5700,3.5800,25077807,90294674.6700,-2.185800
2025-05-06,3.5900,3.6400,3.5800,3.6400,21564082,77758775.0000,1.676000
2025-05-07,3.6400,3.7000,3.6400,3.6900,24762915,91057344.3800,1.373600
2025-05-08,3.6700,3.7000,3.6500,3.6800,15117311,55600703.7700,-0.271000
2025-05-09,3.6800,3.6900,3.6500,3.6600,12492990,45805030.1000,-0.543500
2025-05-12,3.6700,3.7200,3.6700,3.7100,14486975,53546550.9000,1.366100
2025-05-13,3.7200,4.0800,3.7000,4.0800,80897581,322381242.4500,9.973000
2025-05-14,4.0800,4.1300,3.9900,4.0300,120765526,487993223.6400,-1.225500
2025-05-15,3.9600,4.0700,3.9400,3.9500,59515672,237365879.5700,-1.985100
2025-05-16,3.9500,4.2300,3.9100,4.0900,101118922,411860193.7200,3.544300
2025-05-19,4.0500,4.0800,3.9600,4.0100,53560097,214851819.5000,-1.956000
2025-05-20,4.0000,4.0400,3.9700,3.9700,37905880,151247362.8500,-0.997500
2025-05-21,3.9900,4.0000,3.9300,3.9500,28172923,111395159.7400,-0.503800
2025-05-22,3.9300,3.9400,3.8500,3.8600,35174812,136357086.1900,-2.278500
2025-05-23,3.8500,3.8900,3.8200,3.8200,19721157,76062808.1200,-1.036300
2025-05-26,3.8400,3.8800,3.8200,3.8700,18376651,70821341.1500,1.308900
2025-05-27,3.8600,3.9100,3.8400,3.9000,19028179,73766828.7900,0.775200
2025-05-28,3.9100,3.9300,3.8400,3.8500,23498295,91016347.7500,-1.282100
2025-05-29,3.8600,3.8800,3.8300,3.8600,17297696,66726982.2400,0.259700
2025-05-30,3.8700,3.8700,3.8200,3.8200,13579700,52056553.0000,-1.036300
2025-06-03,3.8000,3.8300,3.8000,3.8300,16269006,62034399.1000,0.261800
2025-06-04,3.8200,3.8500,3.8100,3.8400,12864735,49283671.0000,0.261100
2025-06-05,3.8400,3.8400,3.8100,3.8400,12881791,49319021.8300,0.000000
2025-06-06,3.8400,3.8800,3.8300,3.8600,17493421,67511690.7500,0.520800
2025-06-09,3.8600,3.9400,3.8400,3.9100,25622061,99596683.4700,1.295300
2025-06-10,3.9000,3.9100,3.8200,3.8400,21898920,84616233.5000,-1.790300
2025-06-11,3.8300,3.8700,3.8300,3.8300,17852900,68669434.4200,-0.260400
2025-06-12,3.8300,3.8400,3.7600,3.7700,28975000,109637344.0000,-1.566600
2025-06-13,3.7700,3.7900,3.7000,3.7100,37867468,141661996.9100,-1.591500
2025-06-16,3.7100,3.7200,3.6800,3.7200,20571449,76119524.0300,0.269500
2025-06-17,3.7200,3.7400,3.7000,3.7400,15959637,59412066.1500,0.537600
2025-06-18,3.7300,3.7400,3.6900,3.7100,13384993,49653687.3000,-0.802100
2025-06-19,3.7100,3.7100,3.6500,3.6600,21284446,78134614.9000,-1.347700
2025-06-20,3.6600,3.7000,3.6600,3.6700,14359468,52921430.5200,0.273200
2025-06-23,3.6700,4.0400,3.6300,3.8500,83416801,322685000.7800,4.904600
2025-06-24,3.7800,3.8500,3.7300,3.8400,52525867,199388994.1900,-0.259700
2025-06-25,3.8300,3.8800,3.8000,3.8500,30585772,117368441.6400,0.260400
2025-06-26,3.8300,3.8500,3.8000,3.8100,21614560,82758856.6000,-1.039000
2025-06-27,3.8200,3.8600,3.8100,3.8200,19638100,75305023.0000,0.262500
2025-06-30,3.8300,3.8400,3.8100,3.8300,13602572,52018868.7400,0.261800
2025-07-01,3.8300,3.8600,3.8100,3.8600,20532029,78823528.0900,0.783300
2025-07-02,3.8600,3.9100,3.8400,3.9100,26239759,101827908.1800,1.295300
2025-07-03,3.9100,3.9100,3.8600,3.8800,18086849,70178456.0600,-0.767300
2025-07-04,3.8800,3.8900,3.8500,3.8600,17079330,66129808.3000,-0.515500
2025-07-07,3.8600,3.8900,3.8500,3.8800,12988897,50317168.1200,0.518100
2025-07-08,3.8800,3.9000,3.8500,3.8900,22083036,85649303.2800,0.257700
2025-07-09,3.8900,3.9100,3.8600,3.8700,19694593,76526990.2200,-0.514100
2025-07-10,3.8700,3.9500,3.8600,3.9400,35914400,140898302.6000,1.808800
2025-07-11,3.9400,3.9800,3.9200,3.9700,25373000,100248643.0000,0.761400
2025-07-14,3.9200,3.9500,3.8900,3.9200,36871995,144428914.3200,-1.259400
2025-07-15,3.9100,3.9300,3.8400,3.8600,26538089,102593474.6500,-1.530600
2025-07-16,3.8600,3.8600,3.8600,3.8600,,,
2025-07-17,3.8600,3.8600,3.8600,3.8600,,,
2025-07-18,3.8600,3.8600,3.8600,3.8600,,,
2025-07-21,3.8600,3.8600,3.8600,3.8600,,,
2025-07-22,3.8600,3.8600,3.8600,3.8600,,,
2025-07-23,3.8600,3.8600,3.8600,3.8600,,,
2025-07-24,3.8600,3.8600,3.8600,3.8600,,,
2025-07-25,3.8600,3.8600,3.8600,3.8600,,,
2025-07-28,3.8600,3.8600,3.8600,3.8600,,,
2025-07-29,4.2400,4.2500,4.2100,4.2500,70607316,299915197.5000,10.103600
2025-07-30,4.5500,4.5500,4.1800,4.1900,196440127,855419428.2600,-1.411800
2025-07-31,4.1900,4.2300,4.0500,4.0600,83784152,342949444.5500,-3.102600
2025-08-01,4.0500,4.0700,4.0000,4.0000,41095830,165293219.2300,-1.477800
2025-08-04,3.9900,4.0200,3.9500,4.0000,31220723,124321643.0100,0.000000
2025-08-05,4.0100,4.0300,3.9900,4.0200,24519742,98284772.2200,0.500000
2025-08-06,4.0200,4.0600,3.9900,4.0400,31501001,126689542.1300,0.497500
2025-08-07,4.0300,4.0400,4.0000,4.0100,20814173,83613728.1000,-0.742600
2025-08-08,4.0000,4.0400,3.9900,4.0300,18366800,73826591.6500,0.498800
2025-08-11,4.0300,4.0600,4.0100,4.0500,22356386,90412423.9400,0.496300
2025-08-12,4.0500,4.0600,4.0200,4.0400,17060070,68896502.7000,-0.246900
2025-08-13,4.0500,4.0500,4.0200,4.0500,18495121,74731834.0400,0.247500
2025-08-14,4.0500,4.0600,3.9800,3.9900,27355977,109844749.1500,-1.481500
2025-08-15,3.9800,4.0400,3.9700,4.0300,21467337,86306194.5400,1.002500
2025-08-18,4.0300,4.0700,4.0200,4.0600,30225356,122480436.2000,0.744400
2025-08-19,4.0600,4.0700,4.0400,4.0500,18320853,74253246.6800,-0.246300
2025-08-20,4.0500,4.2500,4.0300,4.1800,68944961,287375581.2600,3.209900
2025-08-21,4.1800,4.2200,4.1500,4.2100,33799151,141471250.2300,0.717700
2025-08-22,4.2200,4.2500,4.1800,4.2400,30969498,130512469.4400,0.712600
2025-08-25,4.2400,4.3300,4.2400,4.3000,42533128,182541259.2600,1.415100
2025-08-26,4.3000,4.7300,4.2700,4.5800,164607072,762615303.4900,6.511600
2025-08-27,4.5100,4.8400,4.4700,4.6400,143785073,673549779.9200,1.310000
2025-08-28,4.5700,4.6600,4.4700,4.6200,81569658,373288350.3500,-0.431000
