date,open,high,low,close,volume,amount,pctChg
2025-01-02,8.0500,8.0700,7.6600,7.7300,22933078,179941950.6800,-4.094300
2025-01-03,7.7300,7.8700,7.6000,7.6800,15155511,117290047.4500,-0.646800
2025-01-06,7.6500,7.7200,7.6000,7.7000,11852074,90689474.8900,0.260400
2025-01-07,7.7000,7.7000,7.5400,7.6200,10271551,78177801.4200,-1.039000
2025-01-08,7.6300,7.6400,7.3500,7.5100,13770129,103090378.5900,-1.443600
2025-01-09,7.4900,7.4900,7.3700,7.4400,9635603,71610596.2300,-0.932100
2025-01-10,7.4400,7.4500,7.3200,7.3300,8679930,64088295.4000,-1.478500
2025-01-13,7.3100,7.4000,7.2700,7.3600,10772550,79146029.0000,0.409300
2025-01-14,7.3500,7.5600,7.3500,7.5500,12722680,95174998.8500,2.581500
2025-01-15,7.5200,7.5400,7.4500,7.5200,10144800,75989475.0000,-0.397400
2025-01-16,7.5200,7.7000,7.5200,7.5500,11722973,89078750.0400,0.398900
2025-01-17,7.5200,7.7000,7.5000,7.7000,11511921,87764997.5300,1.986800
2025-01-20,7.7200,7.8500,7.7100,7.7100,10161601,78952703.5100,0.129900
2025-01-21,7.7900,7.7900,7.6400,7.6700,6037000,46406591.0000,-0.518800
2025-01-22,7.6300,7.7300,7.5500,7.7100,8359351,63925420.8200,0.521500
2025-01-23,7.7500,7.8700,7.7100,7.7200,8982248,69912013.7700,0.129700
2025-01-24,7.7200,7.8400,7.7000,7.7400,9376760,72776485.6000,0.259100
2025-01-27,7.7200,7.8700,7.7100,7.8000,9496942,74266142.9400,0.775200
2025-02-05,7.8000,7.8400,7.5700,7.6200,11559112,88398681.7600,-2.307700
2025-02-06,7.6000,7.6700,7.5500,7.6500,9030758,68739517.2200,0.393700
2025-02-07,7.6400,7.7400,7.6300,7.7200,12431140,95575340.3000,0.915000
2025-02-10,7.7200,7.8000,7.7100,7.7300,10137836,78583724.3800,0.129500
2025-02-11,7.7500,7.7500,7.6600,7.7300,8068728,62144874.1600,0.000000
2025-02-12,7.7200,7.7800,7.6800,7.7600,8648864,66853234.8000,0.388100
2025-02-13,7.7600,7.7900,7.7000,7.7100,9179361,70980245.7100,-0.644300
2025-02-14,7.7100,7.7400,7.6500,7.7000,8279236,63619469.2000,-0.129700
2025-02-17,7.6900,7.7400,7.6300,7.7100,11648334,89344819.3100,0.129900
2025-02-18,7.7100,7.7400,7.5900,7.6300,9985473,76696688.1200,-1.037600
2025-02-19,7.6300,7.7100,7.5900,7.6900,8852315,67955465.3200,0.786400
2025-02-20,7.6900,7.7300,7.5500,7.5500,13941406,105834658.5000,-1.820500
2025-02-21,7.5600,7.6500,7.5400,7.6400,11657565,88655345.2500,1.192100
2025-02-24,7.6400,7.8800,7.6100,7.8200,23266485,181057986.1600,2.356000
2025-02-25,7.8000,7.8100,7.6900,7.7200,13336607,103176976.1100,-1.278800
2025-02-26,7.6900,7.7800,7.6900,7.7300,12661222,97867426.4500,0.129500
2025-02-27,7.7200,7.7500,7.6100,7.6700,10737201,82380379.4300,-0.776200
2025-02-28,7.6500,7.6900,7.5300,7.5600,11865752,90399917.5300,-1.434200
2025-03-03,7.5400,7.6600,7.5400,7.5600,11240194,85447121.2300,0.000000
2025-03-04,7.5300,7.6100,7.5200,7.5600,9307296,70492158.7100,0.000000
2025-03-05,7.5900,7.5900,7.4400,7.5100,10863703,81462116.5600,-0.661400
2025-03-06,7.5500,7.6300,7.4900,7.6200,12268964,92749036.9600,1.464700
2025-03-07,7.6100,7.6600,7.5600,7.6200,9532853,72651623.8800,0.000000
2025-03-10,7.6200,7.6700,7.5800,7.6000,9207251,70136314.4300,-0.262500
2025-03-11,7.5800,7.6500,7.5200,7.6500,8498778,64527670.2900,0.657900
2025-03-12,7.6600,7.7500,7.6300,7.7100,14447219,111257618.4900,0.784300
2025-03-13,7.7100,7.7400,7.6000,7.6700,10287404,78810409.1000,-0.518800
