date,open,high,low,close,volume,amount,pctChg
2025-01-02,6.4300,6.5400,6.3000,6.3400,18048603,116149050.2900,-1.246100
2025-01-03,6.3600,6.5300,6.2700,6.3100,21999930,140982010.9200,-0.473200
2025-01-06,6.3000,6.4800,6.1900,6.4000,18639230,118641802.5000,1.426300
2025-01-07,6.3800,6.5400,6.3200,6.5100,18742051,120571010.8600,1.718800
2025-01-08,6.4700,6.5100,6.2500,6.4400,20159604,128682052.3300,-1.075300
2025-01-09,6.4000,6.4600,6.3700,6.4000,10615944,68229753.3600,-0.621100
2025-01-10,6.4300,6.5000,6.2900,6.3000,11864204,75757049.3600,-1.562500
2025-01-13,6.2500,6.4900,6.2000,6.4400,16289920,103982668.2000,2.222200
2025-01-14,6.4100,6.5500,6.3600,6.5100,25075866,162374301.6600,1.087000
2025-01-15,6.5100,6.5300,6.4000,6.4600,16269103,104928891.3200,-0.768000
2025-01-16,6.5000,6.6500,6.4900,6.6300,29513873,194579359.1600,2.631600
2025-01-17,6.6000,6.6800,6.5600,6.6400,17308739,114731837.1000,0.150800
2025-01-20,6.6600,6.6800,6.5300,6.5600,18923300,124816858.0000,-1.204800
2025-01-21,6.5800,6.6000,6.5200,6.5800,12194803,79991228.7100,0.304900
2025-01-22,6.5800,6.6200,6.5400,6.6000,11726469,77125443.8800,0.304000
2025-01-23,6.6200,6.6800,6.5500,6.5600,14340170,95051313.5000,-0.606100
2025-01-24,6.5400,6.6400,6.5000,6.6400,15303800,100557407.0000,1.219500
2025-01-27,6.6700,6.7300,6.6100,6.6200,16454130,109760875.9100,-0.301200
2025-02-05,6.7400,6.8200,6.6900,6.7900,30792193,207746879.0800,2.568000
2025-02-06,6.7800,6.8700,6.7500,6.8200,20262250,137463279.0000,0.441800
2025-02-07,6.7900,6.9000,6.7700,6.8800,24047990,164944008.2000,0.879800
2025-02-10,6.9200,6.9500,6.8300,6.8500,18677180,128224752.6000,-0.436000
2025-02-11,6.9000,6.9600,6.8500,6.9000,22961900,158470509.0000,0.729900
2025-02-12,6.8500,6.9000,6.7500,6.8200,23878749,162929457.2300,-1.159400
2025-02-13,6.8200,6.8500,6.7400,6.7600,15819570,107151166.6300,-0.879800
2025-02-14,6.8000,6.8200,6.7200,6.7900,13190345,89347866.0500,0.443800
2025-02-17,6.7400,6.7400,6.6500,6.6900,16454330,110082292.4000,-1.472800
2025-02-18,6.6800,6.7000,6.5900,6.6200,14066067,93507002.3100,-1.046300
2025-02-19,6.6600,6.6900,6.5800,6.6800,13364691,88916674.2100,0.906300
2025-02-20,6.7000,6.7100,6.6100,6.6700,15035112,100021321.8900,-0.149700
2025-02-21,6.6900,6.7200,6.6100,6.6200,17347546,115307281.9400,-0.749600
2025-02-24,6.5900,6.6500,6.5500,6.5900,16407557,108291063.2500,-0.453200
2025-02-25,6.5700,6.6200,6.5100,6.5200,19406784,127342807.3900,-1.062200
2025-02-26,6.5200,6.6200,6.5100,6.6100,17656651,116270064.0800,1.380400
2025-02-27,6.6000,6.6200,6.4600,6.5200,19168803,124971991.4700,-1.361600
2025-02-28,6.5000,6.5400,6.4100,6.4400,14205555,91882466.8500,-1.227000
2025-03-03,6.4400,6.5500,6.4400,6.4700,15918203,103536301.7900,0.465800
2025-03-04,6.4200,6.5400,6.4200,6.5300,13330053,86595988.6900,0.927400
2025-03-05,6.5600,6.9000,6.5300,6.8600,44909640,301012324.4700,5.053600
2025-03-06,6.8600,7.0300,6.8200,6.9100,47886334,331476144.3400,0.728900
2025-03-07,6.9400,7.6000,6.9400,7.4800,151026621,1121499932.9400,8.248900
2025-03-10,7.7600,7.9100,7.4100,7.4500,129945219,989311012.3300,-0.401100
2025-03-11,7.3500,7.7700,7.3100,7.7200,91951553,697989112.0400,3.624200
2025-03-12,7.7000,8.0600,7.7000,7.7100,81093409,635081319.1200,-0.129500
2025-03-13,7.7800,7.9000,7.5400,7.6500,53940768,411742836.0800,-0.778200
2025-03-14,7.9800,7.9900,7.6300,7.7500,66148910,512015797.9000,1.307200
2025-03-17,7.6600,7.7500,7.5800,7.6000,44684298,341715954.7600,-1.935500
2025-03-18,7.6300,7.8700,7.5600,7.7400,48431903,374120209.9700,1.842100
2025-03-19,7.7500,7.8400,7.6700,7.8200,44672360,346754986.6000,1.033600
2025-03-20,7.8100,7.8600,7.6700,7.7100,35899300,278841093.0000,-1.406600
2025-03-21,7.6700,7.7300,7.4700,7.5100,40888562,310084271.0000,-2.594000
2025-03-24,7.5700,7.6100,7.3800,7.5200,38228712,286082525.0400,0.133200
