date,open,high,low,close,volume,amount,pctChg
2025-01-02,46.3200,46.6100,43.8000,44.4800,31252071,1413198116.2500,-4.733300
2025-01-03,44.4600,44.7700,41.8100,41.9700,28205364,1212629553.2800,-5.643000
2025-01-06,41.6100,42.7500,41.3700,41.7600,20985337,877616446.2400,-0.500400
2025-01-07,42.0000,43.6000,41.8200,43.0000,27305150,1168095428.0600,2.969300
2025-01-08,42.5800,43.4900,41.7000,42.7000,25213836,1076588432.9200,-0.697700
2025-01-09,42.4800,44.1900,42.4000,43.8200,27483171,1199651985.8100,2.623000
2025-01-10,43.5100,45.5800,43.3800,43.3800,30677639,1363384672.5700,-1.004100
2025-01-13,42.9100,46.0000,42.6100,45.1700,43663620,1953358455.2600,4.126300
2025-01-14,45.1100,46.9200,44.8500,46.6300,43035821,1993276066.3300,3.232200
2025-01-15,46.3300,46.4600,45.4200,45.6700,24141848,1107652452.8700,-2.058800
2025-01-16,45.6700,46.7700,45.1000,45.5000,22958390,1053060007.2800,-0.372200
2025-01-17,45.1200,46.1100,44.8900,45.4000,17917423,814425402.3000,-0.219800
2025-01-20,45.0000,45.8100,44.8300,45.0500,20934534,946725424.2400,-0.770900
2025-01-21,45.1400,45.4000,44.6600,44.8500,15375437,690938324.3600,-0.444000
2025-01-22,44.5000,44.6100,43.7100,43.9000,18637644,822670119.6900,-2.118200
2025-01-23,44.3800,45.8000,43.6000,43.6000,27882228,1244511313.0000,-0.683400
2025-01-24,43.5900,45.0800,43.5500,44.9800,28248970,1261575073.0400,3.165100
2025-01-27,45.3600,45.5000,43.1800,43.2300,20023436,880508719.9200,-3.890600
2025-02-05,44.3600,47.5000,44.0000,46.6500,53511896,2466730255.8800,7.911200
2025-02-06,46.5000,49.3000,45.7000,48.8600,51072228,2445593653.6900,4.737400
2025-02-07,48.5000,51.7500,48.3000,50.3500,65606915,3285510856.2000,3.049500
2025-02-10,51.0900,51.7900,49.8000,50.7400,51081141,2586420517.9400,0.774600
2025-02-11,50.2400,50.2400,49.1900,49.2300,34073999,1690045990.8600,-2.976000
2025-02-12,48.7100,50.2700,48.6500,50.0200,31609183,1574725798.3000,1.604700
2025-02-13,49.8900,50.8000,48.4000,49.4600,37722575,1865704339.5300,-1.119600
2025-02-14,49.2000,51.4500,49.0700,51.1700,53708048,2719872316.9400,3.457300
2025-02-17,51.3300,52.8000,50.3000,51.0200,56816489,2927720035.7000,-0.293100
2025-02-18,50.6000,54.2000,50.6000,51.5500,68150786,3572844265.2200,1.038800
2025-02-19,51.5400,52.5000,49.1600,52.4800,50222806,2560395289.5800,1.804100
2025-02-20,52.4000,52.4000,50.8800,51.1700,36165075,1860776685.8000,-2.496200
2025-02-21,51.3300,53.2800,49.6100,52.6500,62138256,3194255297.5900,2.892300
2025-02-24,52.6500,52.9400,51.3800,51.9800,38972785,2028275672.2200,-1.272600
2025-02-25,51.0000,54.0000,50.5100,51.8200,49488674,2582231079.2000,-0.307800
2025-02-26,51.4000,51.7000,50.6600,51.0900,31384558,1603904195.7000,-1.408700
2025-02-27,51.3000,51.3000,49.5200,49.9000,29381167,1474742574.0000,-2.329200
2025-02-28,49.6500,49.8900,46.4800,46.5100,37139283,1775573281.1700,-6.793600
2025-03-03,46.5900,47.6000,45.8900,46.6900,23316469,1092461642.0200,0.387000
2025-03-04,45.8800,47.5000,45.8500,47.3500,18130071,852993367.2500,1.413600
2025-03-05,47.3500,48.0000,47.0100,47.4400,17225575,818115714.5400,0.190100
2025-03-06,47.7800,49.3100,47.7700,48.8500,28321275,1375764901.4000,2.972200
2025-03-07,48.5000,48.8400,47.5800,47.8000,22425848,1078539609.8700,-2.149400
2025-03-10,47.6000,47.6000,46.3100,46.9000,18209628,853591846.0800,-1.882800
2025-03-11,46.2700,47.1300,46.0200,46.7500,12854189,599168408.8800,-0.319800
2025-03-12,47.0700,47.5500,46.8000,46.8600,15656331,738534669.8400,0.235300
2025-03-13,46.7400,46.7700,45.4000,45.7100,18673139,858805963.2600,-2.454100
2025-03-14,45.2000,46.6700,45.2000,46.6000,18614602,860981776.1200,1.947100
2025-03-17,47.0200,47.7700,46.6800,46.8100,17420226,822937506.5900,0.450600
2025-03-18,47.0100,47.4000,46.6600,46.8900,12151386,570729436.3300,0.170900
2025-03-19,46.8000,46.8100,46.1300,46.2600,10341626,479451254.2300,-1.343600
2025-03-20,46.1600,46.4500,45.7800,45.7900,10134658,466405755.0300,-1.016000
2025-03-21,45.5500,45.8700,44.0100,44.2500,18338623,821703299.0000,-3.363200
2025-03-24,44.0500,44.4800,42.7000,43.9700,16275644,709347208.2500,-0.632800
2025-03-25,43.9800,44.0900,43.3500,43.4700,8369661,365307135.6700,-1.137100
2025-03-26,43.4500,43.8500,43.3100,43.4000,7415692,323205778.2000,-0.161000
2025-03-27,43.4000,44.4000,43.0000,44.2400,14977275,656527557.0600,1.935500
2025-03-28,44.1900,44.7000,43.8500,43.8600,11962610,528792073.8300,-0.859000
2025-03-31,43.6000,43.6000,42.5800,43.1900,10824583,466088949.3500,-1.527600
2025-04-01,43.3000,43.5800,42.8000,42.8200,9337513,402092278.2300,-0.856700
2025-04-02,42.8500,43.3100,42.7200,43.1400,7248825,312366722.1300,0.747300
2025-04-03,42.7600,45.3500,42.7600,44.5600,31527914,1411333393.9700,3.291600
2025-04-07,43.5100,47.9000,42.9700,45.2300,75503041,3469388702.4200,1.503600
