date,open,high,low,close,volume,amount,pctChg
2025-01-02,3.0700,3.1900,3.0400,3.0900,34563367,107893277.3900,0.651500
2025-01-03,3.1000,3.1400,2.9000,2.9200,35871220,106722752.6000,-5.501600
2025-01-06,2.8800,2.9200,2.7900,2.8400,25260434,71845095.9000,-2.739700
2025-01-07,2.8200,2.9500,2.8100,2.9500,23285946,67019361.3900,3.873200
2025-01-08,2.9500,3.2500,2.9500,3.0900,59794344,187005781.7200,4.745800
2025-01-09,3.0600,3.1600,3.0200,3.0400,34820583,106807843.8200,-1.618100
2025-01-10,3.0400,3.0900,2.8800,2.8800,27329302,80488713.8400,-5.263200
2025-01-13,2.8800,2.8800,2.7700,2.8500,14851305,41972036.2000,-1.041700
2025-01-14,2.8600,2.9600,2.8400,2.9600,23130822,67496644.8600,3.859600
2025-01-15,2.8800,3.0500,2.7900,2.9800,56759867,164756904.0300,0.675700
2025-01-16,2.9600,3.0400,2.9300,2.9800,28056222,83577041.9700,0.000000
2025-01-17,2.9400,3.0200,2.8900,2.9000,21639879,63296078.1000,-2.684600
2025-01-20,2.9200,2.9500,2.8300,2.8900,21140022,61241342.3600,-0.344800
2025-01-21,2.9200,2.9400,2.8500,2.8600,16783129,48331616.6500,-1.038100
2025-01-22,2.8300,2.8500,2.7700,2.7700,17968800,50309451.0000,-3.146900
2025-01-23,2.7900,2.8400,2.7000,2.7000,22115779,61336791.2000,-2.527100
2025-01-24,2.7400,2.7500,2.6600,2.7300,19806494,53826505.4000,1.111100
2025-01-27,2.7600,2.8000,2.6900,2.7500,22055900,60692979.0000,0.732600
2025-02-05,2.7500,2.9700,2.7300,2.9100,39356602,112334707.5600,5.818200
2025-02-06,2.9200,3.0100,2.8700,2.9900,33541764,99064959.6400,2.749100
2025-02-07,2.9900,3.1300,2.9700,3.1200,48345202,149129885.8900,4.347800
2025-02-10,3.1500,3.3500,3.1500,3.3400,74170180,243842353.5600,7.051300
2025-02-11,3.3400,3.3800,3.2100,3.3100,52755506,173538769.1400,-0.898200
2025-02-12,3.2700,3.3200,3.0600,3.1300,90229940,281558170.6000,-5.438100
2025-02-13,3.0800,3.1000,3.0300,3.0400,53023968,162037357.5200,-2.875400
2025-02-14,3.0600,3.0800,2.9900,3.0000,37028660,112158879.0000,-1.315800
2025-02-17,2.9600,3.0900,2.9600,3.0700,39839041,121350885.6600,2.333300
2025-02-18,3.0700,3.0900,2.9700,2.9800,30521600,92253838.0000,-2.931600
2025-02-19,2.9800,3.0200,2.9500,3.0100,22331700,66751228.0000,1.006700
2025-02-20,3.0100,3.0100,2.9600,2.9900,19493720,58089729.6000,-0.664500
2025-02-21,3.0000,3.0400,2.9500,2.9800,22372597,66658024.6300,-0.334400
2025-02-24,2.9800,3.1000,2.9700,3.0300,38123174,116301220.1800,1.677900
2025-02-25,3.0100,3.1100,3.0100,3.0600,39639710,121731991.2600,0.990100
2025-02-26,3.0700,3.1300,3.0500,3.1200,44360223,137155148.3000,1.960800
2025-02-27,3.1300,3.1300,3.0000,3.0500,35378028,107792080.1600,-2.243600
2025-02-28,3.0400,3.0700,2.9700,2.9700,26006800,78211405.0000,-2.623000
2025-03-03,2.9700,3.0600,2.9600,2.9900,22240100,67123731.0000,0.673400
2025-03-04,2.9900,3.0000,2.9300,3.0000,18623600,55230768.2000,0.334400
2025-03-05,2.9800,3.0000,2.9000,2.9400,26745503,78139054.9900,-2.000000
2025-03-06,2.9400,2.9700,2.9100,2.9500,19409014,57174041.3000,0.340100
2025-03-07,2.9700,2.9700,2.9000,2.9200,20443734,59879667.6800,-1.016900
2025-03-10,2.9300,3.0100,2.9200,2.9600,22627637,67097488.4400,1.369900
2025-03-11,2.9400,3.0000,2.9000,3.0000,23145300,68443720.0000,1.351400
2025-03-12,3.0000,3.0500,3.0000,3.0300,30816400,93403223.0000,1.000000
2025-03-13,3.0200,3.0300,2.9200,2.9500,23253414,68779261.5800,-2.640300
2025-03-14,2.9500,3.0600,2.9400,3.0500,34155402,103238925.9800,3.389800
2025-03-17,3.0400,3.1500,3.0400,3.0600,30937700,95359169.0000,0.327900
2025-03-18,3.0900,3.1100,3.0400,3.0700,19995100,61206430.0000,0.326800
2025-03-19,3.0700,3.1600,3.0100,3.1400,46599969,144901279.0700,2.280100
2025-03-20,3.1400,3.1900,3.1200,3.1500,31636200,99822014.0000,0.318500
2025-03-21,3.1500,3.1600,3.0800,3.1000,24718300,76941227.0000,-1.587300
2025-03-24,3.1000,3.1000,2.9100,2.9600,32594282,97320266.5600,-4.516100
2025-03-25,2.9600,3.0500,2.9300,3.0000,22149200,66284341.2000,1.351400
2025-03-26,3.0000,3.3000,2.9700,3.3000,62902188,201754719.5000,10.000000
2025-03-27,3.3000,3.3100,3.2100,3.2400,97202330,315558543.0800,-1.818200
2025-03-28,3.2700,3.3800,3.1700,3.1800,60491523,196611163.2600,-1.851900
2025-03-31,3.1800,3.1900,2.9000,2.9100,72727603,216754538.3100,-8.490600
2025-04-01,2.9200,3.2000,2.9100,3.2000,60810658,189391363.4000,9.965600
2025-04-02,3.2000,3.3100,3.1100,3.2200,84840630,274300252.8800,0.625000
2025-04-03,3.2200,3.2500,3.1400,3.2000,49063300,156360464.1400,-0.621100
2025-04-07,2.9800,3.0200,2.8800,2.8800,49917600,145474172.9800,-10.000000
2025-04-08,2.7800,2.9000,2.6700,2.7400,47069700,129574536.0000,-4.861100
2025-04-09,2.7800,2.8400,2.6000,2.8200,34841242,96058112.7200,2.919700
2025-04-10,2.8300,2.9000,2.8300,2.8300,29437100,84464965.0000,0.354600
2025-04-11,2.8100,3.1100,2.8000,2.9800,83813641,254531697.3300,5.300400
2025-04-14,2.9800,3.0100,2.9300,2.9500,55399091,164275054.6900,-1.006700
2025-04-15,2.9500,2.9900,2.9100,2.9300,23702202,69521514.8200,-0.678000
2025-04-16,2.9400,2.9600,2.8200,2.8500,26674802,76734210.6800,-2.730400
2025-04-17,2.8200,2.9100,2.8200,2.8700,19446725,55692366.2500,0.701800
2025-04-18,2.8600,2.9300,2.8500,2.8800,14947500,42993280.0000,0.348400
2025-04-21,2.8700,2.8900,2.8100,2.8800,14895640,42667241.8000,0.000000
2025-04-22,2.8600,2.8900,2.8200,2.8400,16602320,47249618.4000,-1.388900
2025-04-23,2.8500,2.8700,2.8100,2.8300,16272620,46124072.0000,-0.352100
2025-04-24,2.8200,2.8300,2.7400,2.7500,26008846,72088662.6000,-2.826900
2025-04-25,2.7700,2.7800,2.7200,2.7400,17835242,49009355.6600,-0.363600
2025-04-28,2.7100,2.7300,2.6800,2.6900,17402900,46929674.0000,-1.824800
2025-04-29,2.6900,2.7700,2.6700,2.7500,17252696,47326445.1600,2.230500
2025-04-30,2.7600,2.8400,2.7500,2.8200,20120300,56428851.0000,2.545500
2025-05-06,2.8200,3.0300,2.8200,2.9100,34285680,100191081.4500,3.191500
2025-05-07,2.9200,2.9700,2.8800,2.9100,24328302,70987083.8200,0.000000
2025-05-08,2.9000,2.9700,2.8700,2.9400,27215340,80053078.6000,1.030900
2025-05-09,2.9400,2.9700,2.8800,2.8900,16213508,47000540.1200,-1.700700
2025-05-12,2.9100,2.9300,2.8900,2.9200,19743120,57448882.2000,1.038100
2025-05-13,2.9400,3.1800,2.9300,3.0600,76986303,234897082.7300,4.794500
2025-05-14,3.0000,3.0200,2.9200,2.9600,49735242,147353011.0600,-3.268000
2025-05-15,2.9600,2.9800,2.9100,2.9200,24105860,70704335.3600,-1.351400
2025-05-16,2.9200,2.9600,2.9000,2.9300,19122692,56128448.2800,0.342500
2025-05-19,2.9700,2.9800,2.9200,2.9600,16210400,47935316.0000,1.023900
2025-05-20,2.9600,2.9800,2.9300,2.9700,17404200,51464234.0000,0.337800
2025-05-21,2.9700,2.9900,2.9300,2.9500,11911547,35180047.1800,-0.673400
2025-05-22,2.9400,2.9700,2.8700,2.8700,19858500,57688538.8000,-2.711900
2025-05-23,2.8800,2.9000,2.8300,2.8400,17785460,50991943.4000,-1.045300
2025-05-26,2.8500,2.8800,2.8200,2.8600,11493820,32785332.6000,0.704200
2025-05-27,2.9800,2.9900,2.8500,2.9200,39577099,115538959.0800,2.097900
2025-05-28,2.8900,2.9100,2.8100,2.8200,26939699,76576335.1800,-3.424700
2025-05-29,2.8200,2.8600,2.8000,2.8400,19401262,55134497.7000,0.709200
2025-05-30,2.8400,2.8400,2.7900,2.8000,16252860,45651782.2200,-1.408500
2025-06-03,2.8000,2.8000,2.7700,2.7900,14058860,39137530.8000,-0.357100
2025-06-04,2.7900,2.9100,2.7900,2.8900,35468040,101537473.2000,3.584200
2025-06-05,2.9200,2.9200,2.8400,2.8600,15333500,43885703.0000,-1.038100
2025-06-06,2.8900,2.8900,2.8500,2.8700,11129800,31934483.4000,0.349700
2025-06-09,2.8800,2.9200,2.8500,2.9200,18312540,53017170.8000,1.742200
2025-06-10,2.9000,2.9300,2.8400,2.8700,22449500,64749322.2000,-1.712300
2025-06-11,2.8800,2.9400,2.8700,2.8900,17090420,49626817.8000,0.696900
2025-06-12,2.8900,2.9200,2.8600,2.8700,16684692,48065260.0400,-0.692000
2025-06-13,2.8600,2.8700,2.7900,2.8000,21946100,61777316.0000,-2.439000
2025-06-16,2.8000,2.8300,2.7900,2.8300,9508600,26762275.0000,1.071400
2025-06-17,2.8300,2.8400,2.8000,2.8300,10578542,29877857.0200,0.000000
2025-06-18,2.8300,2.8800,2.8000,2.8300,17161860,48647054.8000,0.000000
2025-06-19,2.8200,2.8600,2.7600,2.7800,18570400,51863404.0000,-1.766800
2025-06-20,2.7900,2.8800,2.7600,2.7800,27866392,78814151.7600,0.000000
2025-06-23,2.7800,2.8200,2.7200,2.8100,17247500,48066341.0000,1.079100
2025-06-24,2.8400,2.8700,2.8100,2.8700,23949200,68220093.0000,2.135200
2025-06-25,2.8700,2.8800,2.8100,2.8600,22041442,62729010.4400,-0.348400
2025-06-26,2.8700,2.8900,2.8400,2.8600,20469100,58712983.9800,0.000000
2025-06-27,2.8500,2.9100,2.8500,2.8700,22706245,65424263.2000,0.349700
2025-06-30,2.8700,2.9900,2.8700,2.9400,31311402,91681291.8600,2.439000
2025-07-01,2.9400,2.9400,2.8700,2.8900,18743140,54297794.2000,-1.700700
2025-07-02,2.9100,3.1800,2.9000,3.1800,108336840,335515442.8000,10.034600
2025-07-03,3.3400,3.5000,3.2800,3.5000,111631833,382852512.7000,10.062900
2025-07-04,3.8500,3.8500,3.5000,3.6400,394735932,1477718567.9600,4.000000
2025-07-07,3.4500,3.4700,3.2800,3.2800,287790421,963101857.1800,-9.890100
2025-07-08,3.3400,3.6100,3.2500,3.6100,196169023,667628149.1000,10.061000
2025-07-09,3.6700,3.9700,3.6500,3.9700,249049307,968048307.4200,9.972300
2025-07-10,4.0000,4.3700,3.9200,4.0000,439934101,1811090875.3700,0.755700
2025-07-11,4.0000,4.1700,3.8500,3.9800,294057651,1177892946.4700,-0.500000
2025-07-14,3.7700,3.9500,3.6000,3.8600,203092123,776476650.6100,-3.015100
2025-07-15,3.8200,3.9600,3.6000,3.6200,206634605,771576641.8300,-6.217600
2025-07-16,3.5600,3.5900,3.4300,3.4900,146738669,511012148.3700,-3.591200
2025-07-17,3.6500,3.8400,3.6500,3.8400,322920046,1226223139.7400,10.028700
2025-07-18,3.6800,3.8300,3.5700,3.5700,234281116,856762788.6600,-7.031300
2025-07-21,3.6200,3.8900,3.5800,3.7100,206021694,766150718.2400,3.921600
2025-07-22,3.7600,4.0800,3.6400,4.0800,319856441,1260500545.9500,9.973000
2025-07-23,4.2000,4.4900,4.0800,4.1600,460719801,1979357520.2500,1.960800
2025-07-24,4.0000,4.2400,3.9400,4.1800,303012655,1246213280.6100,0.480800
2025-07-25,4.1300,4.2900,4.0500,4.1000,228050703,949073378.5300,-1.913900
2025-07-28,4.0000,4.0900,3.9500,4.0200,138639344,557310361.9700,-1.951200
2025-07-29,4.0600,4.2000,3.9300,4.1000,178866351,725836779.8600,1.990000
2025-07-30,4.0300,4.0600,3.8900,3.9500,173648689,688607135.0500,-3.658500
2025-07-31,3.7600,3.8500,3.6500,3.7000,165201987,615796186.8500,-6.329100
