date,open,high,low,close,volume,amount,pctChg
2025-01-02,5.1100,5.2900,5.0600,5.1200,15284900,78688153.0000,-0.775200
2025-01-03,5.1300,5.2200,4.9200,5.0500,11311500,57642995.0000,-1.367200
2025-01-06,5.0000,5.0500,4.8600,4.9700,8241700,40967007.2900,-1.584200
2025-01-07,4.9800,5.1000,4.9700,5.1000,7135540,35988762.8000,2.615700
2025-01-08,5.1600,5.1800,4.9300,5.0400,9152149,46242005.5300,-1.176500
2025-01-09,5.0100,5.1200,5.0100,5.0600,7188440,36485121.2000,0.396800
2025-01-10,5.0500,5.1000,4.9400,4.9500,7210400,36084668.6200,-2.173900
2025-01-13,4.8800,5.0000,4.8000,4.9400,6899300,33896046.0000,-0.202000
2025-01-14,4.9600,5.1100,4.9000,5.0800,10101661,50682902.0600,2.834000
2025-01-15,5.1300,5.3200,5.0800,5.2700,17766301,92747392.1900,3.740200
2025-01-16,5.2700,5.3100,5.2000,5.2900,12300510,64574680.6000,0.379500
2025-01-17,5.2300,5.4100,5.1700,5.3200,14284610,76000471.5900,0.567100
2025-01-20,5.4000,5.5300,5.2300,5.2500,14938600,80215678.0000,-1.315800
2025-01-21,5.2600,5.3200,5.2100,5.2800,7430349,39125042.7200,0.571400
2025-01-22,5.2700,5.2900,5.0700,5.1200,9839300,50464450.9800,-3.030300
2025-01-23,5.1300,5.2000,5.0300,5.0300,10813100,55444097.0000,-1.757800
2025-01-24,5.0600,5.0900,4.9000,5.0600,9941400,49679616.0000,0.596400
2025-01-27,5.0700,5.1700,4.9700,5.0300,6639694,33469364.0600,-0.592900
2025-02-05,5.0600,5.1500,5.0200,5.0700,4886900,24857259.9800,0.795200
2025-02-06,5.1000,5.2000,5.0700,5.1300,8686800,44653796.0000,1.183400
2025-02-07,5.1300,5.2500,5.0900,5.1200,10171201,52459776.1200,-0.194900
2025-02-10,5.1000,5.5200,5.1000,5.3500,22396661,119059828.0900,4.492200
2025-02-11,5.3500,5.4200,5.2200,5.2500,14211500,75759585.0000,-1.869200
2025-02-12,5.2500,5.3100,5.2000,5.2300,9682800,50805984.0000,-0.381000
2025-02-13,5.2300,5.2500,5.1600,5.2000,6729550,34997912.0000,-0.573600
2025-02-14,5.2000,5.2500,5.1200,5.1600,8990900,46602312.0000,-0.769200
2025-02-17,5.1900,5.2400,5.1100,5.1700,7344700,37841382.0000,0.193800
2025-02-18,5.1500,5.2600,5.0400,5.0500,11962557,61370910.0400,-2.321100
2025-02-19,5.0200,5.1100,4.9700,5.0900,8586338,43329298.6800,0.792100
2025-02-20,5.0800,5.1900,5.0800,5.1500,7947700,40945268.0000,1.178800
2025-02-21,5.1700,5.1800,5.0000,5.1000,14931200,75287054.4900,-0.970900
2025-02-24,5.1000,5.1200,5.0300,5.0500,6445457,32594946.2800,-0.980400
2025-02-25,5.0100,5.1200,5.0000,5.0200,9159851,46296426.0200,-0.594100
2025-02-26,5.0200,5.4000,5.0000,5.3800,27878257,146071831.3900,7.171300
2025-02-27,5.3800,5.4500,5.1000,5.1200,18993549,99355858.5400,-4.832700
2025-02-28,5.1300,5.2000,5.0300,5.0400,12211300,62187185.0800,-1.562500
2025-03-03,5.0300,5.1500,5.0300,5.0500,7990000,40580089.0000,0.198400
2025-03-04,5.0500,5.2100,5.0100,5.1800,8696449,44611697.3500,2.574300
2025-03-05,5.2000,5.2300,5.1300,5.2200,8400400,43524598.0000,0.772200
2025-03-06,5.2300,5.3500,5.1900,5.2600,10907300,57515591.0000,0.766300
2025-03-07,5.2900,5.2900,5.1600,5.1700,6587900,34288950.0000,-1.711000
2025-03-10,5.1900,5.4100,5.1700,5.3400,17027601,90689165.3700,3.288200
2025-03-11,5.3500,5.5000,5.2800,5.4600,15804700,85169976.0000,2.247200
2025-03-12,5.4400,5.5700,5.4300,5.4600,12278301,67237372.4400,0.000000
2025-03-13,5.4400,5.4900,5.3100,5.4200,13233500,71343712.0000,-0.732600
2025-03-14,5.4200,5.4500,5.3300,5.4100,8379900,45072211.0000,-0.184500
2025-03-17,5.4000,5.5800,5.4000,5.4100,8805000,48001512.0000,0.000000
2025-03-18,5.4200,5.8500,5.4100,5.8100,31521903,179385557.1500,7.393700
2025-03-19,5.8800,6.0800,5.8000,5.8900,30943201,183635176.8700,1.376900
2025-03-20,5.9500,6.4000,5.9000,6.1300,38289306,236547737.2400,4.074700
2025-03-21,6.1500,6.2000,5.5200,5.6000,56724154,323947197.9100,-8.646000
2025-03-24,5.5200,5.7000,5.4600,5.5900,21262603,117944323.5900,-0.178600
2025-03-25,5.5900,5.6700,5.3600,5.4900,16003400,87652363.0000,-1.788900
2025-03-26,5.5800,5.7300,5.4500,5.6100,18556508,104592380.3500,2.185800
2025-03-27,5.6500,5.6500,5.4900,5.5200,10308200,57119860.0000,-1.604300
2025-03-28,5.5600,5.5600,5.4600,5.4700,6013300,32974997.0000,-0.905800
2025-03-31,5.4700,5.4900,5.2700,5.4200,11432200,61576948.0000,-0.914100
2025-04-01,5.4800,5.6100,5.4100,5.5400,12110400,66882223.0000,2.214000
2025-04-02,5.4900,5.6100,5.4600,5.4700,8588201,47434356.5400,-1.263500
2025-04-03,5.4400,5.5000,5.3600,5.3900,8534200,46239719.0000,-1.462500
2025-04-07,5.0700,5.1800,4.8500,4.8500,13443800,66147927.0000,-10.018600
2025-04-08,4.6300,4.7800,4.4600,4.7300,18221500,84119652.0000,-2.474200
2025-04-09,4.5200,4.7800,4.3200,4.6900,13885920,63428549.2000,-0.845700
2025-04-10,4.7200,4.9500,4.7200,4.8000,12464700,60643933.0000,2.345400
2025-04-11,4.7300,4.8500,4.7300,4.8200,6330200,30417687.9500,0.416700
2025-04-14,4.8400,5.0500,4.8400,4.9500,9073401,45161081.8600,2.697100
2025-04-15,5.0000,5.2000,4.9400,5.0000,9060601,45551272.1200,1.010100
2025-04-16,5.0000,5.0000,4.7900,4.8500,7087700,34575986.0000,-3.000000
2025-04-17,4.8600,4.9600,4.8300,4.9600,5150200,25211927.0000,2.268000
2025-04-18,4.9500,5.0100,4.8400,4.8700,4951800,24275202.0000,-1.814500
2025-04-21,4.8700,5.0200,4.8200,4.9700,6417100,31757796.9500,2.053400
2025-04-22,4.9700,5.0200,4.8600,4.9600,6610000,32691507.0000,-0.201200
2025-04-23,4.9900,5.0900,4.9500,5.0800,9395400,47372902.0000,2.419400
2025-04-24,5.0800,5.1700,5.0200,5.1000,6876700,34997982.0000,0.393700
2025-04-25,5.1300,5.2000,5.0500,5.1300,6357201,32587466.0900,0.588200
2025-04-28,5.1300,5.3000,5.1100,5.2600,12445500,65066666.0000,2.534100
2025-04-29,5.2500,5.3000,5.1500,5.2200,9890100,51509775.0000,-0.760500
2025-04-30,5.2400,5.3200,5.1700,5.3100,7421200,39120954.0000,1.724100
2025-05-06,5.3600,5.6300,5.3300,5.5600,13794603,75707487.6800,4.708100
2025-05-07,5.6000,5.7300,5.5600,5.6300,10864944,61033298.5200,1.259000
2025-05-08,5.5800,5.7500,5.5700,5.6700,9204300,52155075.0000,0.710500
2025-05-09,5.7000,5.7800,5.6400,5.7000,11198450,63830608.0000,0.529100
2025-05-12,5.7600,5.7700,5.6100,5.6600,9803800,55599821.0000,-0.701800
2025-05-13,5.7100,5.7700,5.6000,5.6400,8882100,50372013.0000,-0.353400
2025-05-14,5.6400,5.7000,5.5800,5.6000,6595700,37143633.0000,-0.709200
2025-05-15,5.5700,5.6900,5.5500,5.6200,6399300,35806528.0000,0.357100
2025-05-16,5.6200,5.8300,5.6200,5.8300,13634901,78423631.7500,3.736700
2025-05-19,5.8000,5.8700,5.7200,5.7200,9507602,54844623.4400,-1.886800
2025-05-20,5.7600,5.8000,5.6800,5.7600,6820102,39105597.5400,0.699300
2025-05-21,5.7600,5.8100,5.7100,5.7600,5539700,31908403.0000,0.000000
2025-05-22,5.7400,5.7900,5.5800,5.6000,7954800,45001632.0000,-2.777800
2025-05-23,5.5900,5.7300,5.5600,5.6100,8077100,45602533.0000,0.178600
2025-05-26,5.6100,5.6900,5.5300,5.5900,6076200,34144775.0000,-0.356500
2025-05-27,5.5900,5.6600,5.5200,5.6200,5178700,28978878.0000,0.536700
2025-05-28,5.6200,5.6900,5.5500,5.6000,5646800,31674909.0000,-0.355900
2025-05-29,5.5500,5.7100,5.5500,5.5900,10117500,57174293.0000,-0.178600
2025-05-30,5.5600,5.6700,5.5600,5.6500,8067100,45359024.0000,1.073300
