date,open,high,low,close,volume,amount,pctChg
2025-01-02,3.0700,3.0900,2.9400,2.9800,19085639,57789323.6100,-2.931600
2025-01-03,3.0000,3.0100,2.8600,2.8600,21164303,61636307.9700,-4.026800
2025-01-06,2.8600,2.9200,2.8000,2.9100,16068034,46346971.9200,1.748300
2025-01-07,2.9100,2.9300,2.8600,2.9300,10931102,31585978.8000,0.687300
2025-01-08,2.9300,2.9300,2.8400,2.9000,11260200,32465129.0000,-1.023900
2025-01-09,2.8700,2.9100,2.8700,2.8900,7741600,22410814.0000,-0.344800
2025-01-10,2.8700,2.9100,2.8300,2.8300,8118000,23270004.0000,-2.076100
2025-01-13,2.8100,2.9000,2.7700,2.8500,15199300,43182214.0000,0.706700
2025-01-14,2.8500,2.9300,2.8500,2.9300,13292100,38468708.0000,2.807000
2025-01-15,2.9200,2.9300,2.8800,2.9100,10026000,29109787.0000,-0.682600
2025-01-16,2.8900,3.0600,2.8900,3.0200,31975082,95066551.2600,3.780100
2025-01-17,2.9800,3.0600,2.9400,2.9800,20354095,60566863.1500,-1.324500
2025-01-20,2.9900,3.1500,2.9500,3.1000,37264320,114698246.4000,4.026800
2025-01-21,3.1100,3.1300,3.0200,3.0500,17779600,54568730.0000,-1.612900
2025-01-22,3.0500,3.0600,2.9500,2.9900,10537900,31616425.0000,-1.967200
2025-01-23,3.0400,3.0600,2.9300,2.9400,14139725,42213198.2500,-1.672200
2025-01-24,2.9200,2.9800,2.9000,2.9600,22412272,66030467.1100,0.680300
2025-01-27,2.9400,3.1300,2.9400,3.0800,44370855,135727455.2200,4.054100
2025-02-05,3.0800,3.2000,3.0600,3.0900,18304900,56896398.0000,0.324700
2025-02-06,3.1000,3.2100,3.0700,3.1700,28099940,88910307.0000,2.589000
2025-02-07,3.1700,3.2500,3.1400,3.2100,33806732,108122446.9000,1.261800
2025-02-10,3.1800,3.2400,3.1700,3.2300,26393964,84502657.3800,0.623100
2025-02-11,3.2000,3.2300,3.1300,3.1600,20848920,65796764.6000,-2.167200
2025-02-12,3.1700,3.1900,3.1000,3.1300,15252420,47784686.4000,-0.949400
2025-02-13,3.1300,3.1900,3.1200,3.1600,17939257,56675923.5000,0.958500
2025-02-14,3.1600,3.1700,3.0900,3.1200,15386004,48134718.0400,-1.265800
2025-02-17,3.1100,3.1600,3.0900,3.1400,13660102,42700428.2600,0.641000
2025-02-18,3.1300,3.1500,3.0700,3.0800,17083504,52964841.9800,-1.910800
2025-02-19,3.0900,3.1100,3.0400,3.0700,14676962,44987612.9000,-0.324700
2025-02-20,3.0600,3.0900,3.0400,3.0700,13046500,39953788.0000,0.000000
2025-02-21,3.0800,3.0800,3.0200,3.0300,15884146,48295142.8200,-1.302900
2025-02-24,3.0500,3.1300,3.0300,3.1200,29003410,89814218.9000,2.970300
2025-02-25,3.1000,3.1700,3.0600,3.1300,25600000,79979698.0000,0.320500
2025-02-26,3.1300,3.4400,3.1000,3.4400,71588095,238949860.1400,9.904200
2025-02-27,3.5100,3.5200,3.3700,3.4800,109629602,378897694.9400,1.162800
2025-02-28,3.4600,3.5600,3.3700,3.4800,58318400,202662899.0000,0.000000
2025-03-03,3.4700,3.7100,3.4300,3.5400,75692995,273985677.8500,1.724100
2025-03-04,3.5600,3.7500,3.4900,3.6100,69163594,252408804.9400,1.977400
2025-03-05,3.6100,3.6200,3.4200,3.5700,62629572,219416641.6300,-1.108000
2025-03-06,3.5100,3.5600,3.4300,3.4500,51895697,179857310.2800,-3.361300
2025-03-07,3.4500,3.5600,3.4200,3.5000,48769742,170372424.5600,1.449300
2025-03-10,3.4800,3.4800,3.3800,3.4100,31321295,106891904.7000,-2.571400
2025-03-11,3.3400,3.4300,3.3300,3.4300,26249100,88789106.0000,0.586500
2025-03-12,3.4400,3.4700,3.3800,3.3900,19803800,67697707.0000,-1.166200
2025-03-13,3.4000,3.5700,3.3600,3.5400,49414400,170632974.0000,4.424800
2025-03-14,3.5200,3.6300,3.4300,3.5700,56094802,198740047.1800,0.847500
2025-03-17,3.5500,3.6000,3.4800,3.4900,33537581,118128114.5800,-2.240900
2025-03-18,3.4900,3.5100,3.4100,3.4200,24752220,84950071.2000,-2.005700
2025-03-19,3.4200,3.4500,3.3700,3.4500,19898100,67741172.0000,0.877200
2025-03-20,3.4300,3.6700,3.4000,3.5600,56350411,200349292.8700,3.188400
2025-03-21,3.5800,3.7000,3.5300,3.6000,50910900,185278723.8000,1.123600
2025-03-24,3.6000,3.9600,3.5200,3.8700,137436350,521990209.0000,7.500000
2025-03-25,3.7000,3.8300,3.6900,3.7500,90336495,338528643.2500,-3.100800
2025-03-26,3.7500,3.7700,3.6000,3.6200,60882040,222919811.7000,-3.466700
2025-03-27,3.6200,3.6300,3.4300,3.4700,48174200,167734930.0000,-4.143600
