date,open,high,low,close,volume,amount,pctChg
2025-01-02,7.1000,7.2800,6.9900,7.0600,26993747,192460375.3700,-1.944400
2025-01-03,6.9800,7.0400,6.3500,6.3500,67987118,447963736.1100,-10.056700
2025-01-06,6.2100,6.4500,6.0300,6.4100,49937761,314986102.2500,0.944900
2025-01-07,6.3800,6.4900,6.2500,6.4900,38391139,244481230.7700,1.248000
2025-01-08,6.4500,6.4500,6.0000,6.2200,47987519,296377123.7600,-4.160200
2025-01-09,6.1800,6.4700,6.1700,6.3600,31823854,202093212.4800,2.250800
2025-01-10,6.3900,6.3900,6.1100,6.1200,26568272,166023659.0300,-3.773600
2025-01-13,6.0600,6.2100,5.9300,6.1500,22085745,134421692.9700,0.490200
2025-01-14,6.0700,6.6900,6.0700,6.6800,45028657,293030071.1000,8.617900
2025-01-15,6.6800,6.7200,6.4500,6.5800,29307829,192755290.4000,-1.497000
2025-01-16,6.5800,6.8300,6.4800,6.5800,24385484,161673388.1600,0.000000
2025-01-17,6.5600,6.6100,6.4500,6.5300,17015741,111110320.5300,-0.759900
2025-01-20,6.6200,6.8300,6.5000,6.7700,33110859,222415791.3300,3.675300
2025-01-21,6.7500,7.0100,6.6500,6.7400,44710178,304480655.3900,-0.443100
2025-01-22,6.7400,6.7500,6.3200,6.6100,37015668,241561163.7600,-1.928800
2025-01-23,6.6400,6.8400,6.5200,6.5700,27212967,181150509.2500,-0.605100
2025-01-24,6.6000,6.8000,6.5400,6.6500,32091542,213482011.4000,1.217700
2025-01-27,6.7000,6.7700,6.5600,6.6200,25074118,167004841.5200,-0.451100
2025-02-05,6.6200,6.8600,6.4700,6.7600,38769501,259381700.7600,2.114800
2025-02-06,6.7400,6.9000,6.7100,6.8900,28712079,196258203.1300,1.923100
2025-02-07,6.8900,7.5800,6.8900,7.4900,85915459,632364519.3900,8.708300
2025-02-10,7.9300,8.0900,7.5200,7.6800,86665533,672755642.8400,2.536700
2025-02-11,7.5700,7.6700,7.3400,7.3800,53669601,398333998.4800,-3.906300
2025-02-12,7.4400,7.7300,7.3200,7.6800,50918211,384932913.6000,4.065000
2025-02-13,7.6800,7.8500,7.5000,7.6600,54290640,416992505.9300,-0.260400
2025-02-14,7.6900,7.9200,7.5300,7.5700,46690299,359335299.1000,-1.174900
2025-02-17,7.5000,7.5500,7.2700,7.4200,37903373,280681108.0500,-1.981500
