date,open,high,low,close,volume,amount,pctChg
2025-01-02,3.2100,3.3100,3.1700,3.1900,39493359,128156000.9000,-1.238400
2025-01-03,3.1500,3.2500,2.9800,2.9900,48016401,147122553.0200,-6.269600
2025-01-06,2.9900,3.0000,2.8400,2.8800,38317449,110952526.8400,-3.678900
2025-01-07,2.9300,3.0100,2.8800,3.0100,46716050,138438775.7100,4.513900
2025-01-08,3.0100,3.0500,2.8900,3.0300,48737350,144510776.7900,0.664500
2025-01-09,3.0000,3.0900,2.9800,3.0500,43496690,132439739.3000,0.660100
2025-01-10,3.1000,3.1200,2.9000,2.9000,46277600,138468057.0000,-4.918000
2025-01-13,2.8600,2.9500,2.7900,2.9300,39568160,114159229.0000,1.034500
2025-01-14,2.9400,3.0800,2.9200,3.0700,47425301,142785657.0900,4.778200
2025-01-15,3.0700,3.1000,2.9800,3.0500,45230671,137418775.8400,-0.651500
2025-01-16,3.0600,3.1400,3.0200,3.0800,44401420,136872042.4300,0.983600
2025-01-17,3.0400,3.3900,3.0100,3.3900,123261654,406463394.5400,10.064900
2025-01-20,3.3000,3.3300,3.1800,3.2300,162839182,528240505.7400,-4.719800
2025-01-21,3.2400,3.4300,3.1300,3.2700,150926745,496301218.0900,1.238400
2025-01-22,3.1700,3.2000,2.9400,2.9400,111069026,334618738.2200,-10.091700
2025-01-23,2.9500,3.2300,2.9500,3.2300,100645402,320530513.4200,9.863900
2025-01-24,3.1000,3.1600,3.0500,3.0700,101539083,313809516.2900,-4.953600
2025-01-27,3.1200,3.1500,2.9800,2.9900,52380900,159209579.0000,-2.605900
2025-02-05,3.0100,3.1500,2.9600,3.0500,50243208,152730696.9200,2.006700
2025-02-06,3.0700,3.1200,3.0100,3.1000,58227423,179074671.3000,1.639300
2025-02-07,3.1100,3.2500,3.0700,3.2100,102275928,327526726.8000,3.548400
2025-02-10,3.2300,3.3600,3.2200,3.3400,104341359,342832781.7300,4.049800
2025-02-11,3.3500,3.4000,3.2300,3.2600,55602895,181782753.3100,-2.395200
2025-02-12,3.2600,3.4500,3.2500,3.4500,105879762,354601922.9200,5.828200
2025-02-13,3.4300,3.6300,3.3800,3.5300,160324254,561730809.1000,2.318800
2025-02-14,3.4500,3.4800,3.2900,3.3100,103556553,347209736.5000,-6.232300
2025-02-17,3.4000,3.5500,3.3500,3.4500,129694257,448581798.3300,4.229600
2025-02-18,3.3900,3.4800,3.2500,3.2600,84522996,282745513.9900,-5.507200
2025-02-19,3.2500,3.4200,3.2100,3.3900,79353070,261255733.2400,3.987700
2025-02-20,3.3500,3.4700,3.3100,3.4000,79956617,271717762.6500,0.295000
2025-02-21,3.4000,3.4900,3.2800,3.3500,82592993,277694467.6200,-1.470600
2025-02-24,3.3200,3.4500,3.3000,3.4000,83302706,283361061.8800,1.492500
2025-02-25,3.3800,3.7100,3.3600,3.4200,99355497,345555089.8800,0.588200
2025-02-26,3.4700,3.7600,3.4600,3.7600,135838578,503304016.6400,9.941500
2025-02-27,3.6900,3.9000,3.6900,3.7600,227531174,862226280.1300,0.000000
2025-02-28,3.7400,4.1400,3.7300,3.9500,233807555,919886537.3000,5.053200
2025-03-03,3.8500,4.1400,3.7700,3.8900,192305957,756162450.8400,-1.519000
2025-03-04,3.7800,3.8300,3.6100,3.7200,117278516,433998689.6900,-4.370200
2025-03-05,3.6800,3.7200,3.3900,3.5200,152499235,534166718.9500,-5.376300
2025-03-06,3.5300,3.7000,3.4600,3.6500,140260641,499065344.1000,3.693200
2025-03-07,3.5400,3.5500,3.4200,3.4300,110464889,381218364.7100,-6.027400
2025-03-10,3.4300,3.4600,3.3400,3.3800,58443292,198153682.4400,-1.457700
2025-03-11,3.3300,3.3500,3.2900,3.3200,56508934,187186174.7300,-1.775100
2025-03-12,3.3200,3.3700,3.3000,3.3500,50639053,169271526.3800,0.903600
2025-03-13,3.3200,3.3300,3.1800,3.2100,66253675,214098123.9700,-4.179100
2025-03-14,3.2200,3.3400,3.1800,3.3200,72003474,236860144.5700,3.426800
2025-03-17,3.4000,3.4300,3.3200,3.3300,57176815,192308819.9900,0.301200
2025-03-18,3.3300,3.3500,3.2800,3.3100,47494360,157045229.2600,-0.600600
2025-03-19,3.2900,3.3100,3.2500,3.2600,34593196,113332087.1000,-1.510600
2025-03-20,3.2500,3.3000,3.2400,3.2400,36086330,117904408.9000,-0.613500
