date,open,high,low,close,volume,amount,pctChg
2025-01-02,4.1400,4.2000,3.9900,4.0400,25482038,104405015.0400,-2.415500
2025-01-03,4.0500,4.1300,3.9100,3.9300,26356038,105662095.3300,-2.722800
2025-01-06,3.9200,3.9500,3.8200,3.8700,19855020,76987368.2000,-1.526700
2025-01-07,3.9000,3.9800,3.8700,3.9600,16960900,66581233.0000,2.325600
2025-01-08,3.9600,3.9900,3.8000,3.9600,21665141,84565019.0800,0.000000
2025-01-09,3.9300,4.0000,3.9200,3.9700,16596974,65829522.5600,0.252500
2025-01-10,3.9900,4.0800,3.8700,3.8800,21474800,85419013.0000,-2.267000
2025-01-13,3.8100,3.9000,3.7600,3.8800,16537900,63467243.0000,0.000000
2025-01-14,3.9000,4.0200,3.8800,4.0200,18937700,75232648.0000,3.608200
2025-01-15,4.0300,4.0400,3.9100,3.9800,19668520,77920236.6000,-0.995000
2025-01-16,4.0000,4.1100,3.9800,4.0100,20549500,83148276.0000,0.753800
2025-01-17,4.0100,4.0200,3.9300,3.9800,15497862,61527235.2400,-0.748100
2025-01-20,4.0000,4.0900,3.9600,4.0500,18886124,76553953.2000,1.758800
2025-01-21,4.0700,4.1100,3.9900,4.0400,15686400,63354166.0000,-0.246900
2025-01-22,4.0100,4.0400,3.9200,3.9400,13923686,55123067.4200,-2.475200
2025-01-23,3.9700,4.0800,3.9400,3.9400,19149400,76814634.0000,0.000000
2025-01-24,3.9200,4.0200,3.9200,4.0000,17478441,69534304.1900,1.522800
2025-01-27,4.0200,4.0600,3.9400,3.9400,14379101,57391742.9500,-1.500000
2025-02-05,3.9600,4.1100,3.9600,4.0500,23573312,95432726.2400,2.791900
2025-02-06,4.0600,4.1300,3.9800,4.1200,23464120,95869178.2000,1.728400
2025-02-07,4.1500,4.2900,4.1300,4.2000,29105343,122473550.1700,1.941700
2025-02-10,4.1900,4.3300,4.1900,4.3200,28704213,123230189.8300,2.857100
2025-02-11,4.3200,4.3500,4.2300,4.2600,21721600,92700901.0000,-1.388900
2025-02-12,4.2400,4.4700,4.2400,4.4600,33298814,145936292.2000,4.694800
2025-02-13,4.4800,4.4900,4.3200,4.3400,25100730,109645928.0700,-2.690600
2025-02-14,4.3400,4.3500,4.2300,4.2600,18570761,79298421.0000,-1.843300
2025-02-17,4.2400,4.3600,4.2300,4.3000,18764228,80670558.2000,0.939000
2025-02-18,4.3100,4.3100,4.1700,4.2000,16995702,71985959.2100,-2.325600
2025-02-19,4.1900,4.2900,4.1800,4.2700,17665155,74718403.6000,1.666700
2025-02-20,4.2800,4.4700,4.2200,4.3900,31438007,136950758.5600,2.810300
2025-02-21,4.4100,4.6100,4.2700,4.5000,44769003,198250430.8400,2.505700
2025-02-24,4.5900,4.9500,4.5400,4.9500,30115182,146601792.9300,10.000000
2025-02-25,5.3200,5.3200,4.9500,5.0700,152445405,779970799.4100,2.424200
2025-02-26,4.9100,4.9900,4.7600,4.9300,76967771,376101137.9900,-2.761300
2025-02-27,4.8800,5.0700,4.7700,4.7900,56547130,277876059.8400,-2.839800
2025-02-28,4.7700,4.7700,4.5200,4.5400,46140782,212968807.3300,-5.219200
2025-03-03,4.5300,4.5900,4.4400,4.4600,32717809,147660797.2500,-1.762100
2025-03-04,4.4400,4.5000,4.4200,4.4700,22826438,102012387.0300,0.224200
2025-03-05,4.4500,4.5300,4.3900,4.5200,24697432,110216179.4800,1.118600
2025-03-06,4.5200,4.5900,4.5100,4.5500,26649006,121070248.1800,0.663700
