date,open,high,low,close,volume,amount,pctChg
2025-01-02,10.6700,10.8900,10.3400,10.4500,6669200,70978709.0000,-2.336400
2025-01-03,10.4600,10.6300,9.6100,9.6400,8501355,84350625.6500,-7.751200
2025-01-06,9.8800,9.8800,9.0600,9.4300,7040501,66200882.1000,-2.178400
2025-01-07,9.3800,9.8000,9.3000,9.7300,5274001,50257691.5400,3.181300
2025-01-08,9.7500,9.8400,9.4300,9.7500,5332900,51472726.0000,0.205500
2025-01-09,9.7100,10.1200,9.6300,9.8300,5063560,49918524.2000,0.820500
2025-01-10,9.8300,9.8300,9.3000,9.3100,4952500,47280319.0000,-5.289900
2025-01-13,9.2500,9.4800,9.0100,9.4300,3928801,36442092.3300,1.288900
2025-01-14,9.4300,9.9000,9.4200,9.9000,4875101,47604165.7200,4.984100
2025-01-15,9.9000,10.8900,9.8500,10.8900,9374979,97448947.2100,10.000000
2025-01-16,10.7700,10.9600,10.4500,10.9500,13381326,143401226.2100,0.551000
2025-01-17,10.8000,10.8000,10.4000,10.4200,7550001,79366329.4600,-4.840200
2025-01-20,10.5000,11.2500,10.3700,10.9100,10750373,116187092.0900,4.702500
2025-01-21,10.9100,11.4700,10.8600,11.1400,12997949,144951648.2400,2.108200
2025-01-22,10.8800,11.0900,10.7100,10.7900,6918086,75096740.1900,-3.141800
2025-01-23,10.8500,11.0500,10.6200,10.6400,5150006,55808048.4600,-1.390200
2025-01-24,10.5400,10.6800,10.2700,10.4200,5387400,56332752.0000,-2.067700
2025-01-27,10.5700,10.6800,10.2500,10.4300,3922001,41075040.4000,0.096000
2025-02-05,10.4000,10.5000,10.2000,10.4400,3881500,40164095.0000,0.095900
2025-02-06,10.3900,10.8300,10.2000,10.6600,5021500,52957571.0000,2.107300
2025-02-07,10.6500,10.8600,10.5500,10.6900,4391300,47021908.0000,0.281400
2025-02-10,10.7200,11.1800,10.7200,11.0700,6908607,76059814.4200,3.554700
2025-02-11,11.0000,11.8200,10.9500,11.6100,14917824,170700336.5700,4.878000
2025-02-12,11.3300,11.6400,11.1500,11.4000,9089500,103078939.0000,-1.808800
2025-02-13,11.2100,11.4000,11.0300,11.0600,6035122,67278049.6400,-2.982500
2025-02-14,11.0900,11.1900,10.8300,10.9300,4158700,45545218.0000,-1.175400
2025-02-17,10.9000,11.1900,10.8200,11.1500,5822500,64408810.0000,2.012800
2025-02-18,11.1500,11.1500,10.7700,10.7900,4969500,54334505.0000,-3.228700
2025-02-19,10.7800,11.0400,10.7000,10.9600,3702000,40340513.0000,1.575500
2025-02-20,10.9000,11.1600,10.9000,11.1100,3760600,41646917.0000,1.368600
2025-02-21,11.1500,11.1500,10.7500,10.7900,7916800,85778676.0000,-2.880300
2025-02-24,10.7300,10.9100,10.6000,10.7700,5163055,55575245.0000,-0.185400
2025-02-25,10.7000,11.4100,10.6000,11.1600,9761995,106922839.2500,3.621200
2025-02-26,11.0700,11.6400,11.0600,11.5100,12219447,139560870.9600,3.136200
2025-02-27,12.5000,12.6600,11.5100,12.6600,23018613,279262289.8400,9.991300
2025-02-28,12.0000,12.3900,11.7400,12.0000,16097619,193668498.6800,-5.213300
2025-03-03,12.0000,12.2700,11.7900,12.1700,12127253,145928962.9400,1.416700
2025-03-04,11.8000,12.0700,11.7500,11.9100,7243680,86006915.4000,-2.136400
2025-03-05,11.9000,12.4900,11.8100,12.3500,10890573,132702511.4100,3.694400
2025-03-06,12.1200,12.3400,12.0300,12.0900,10221609,124035642.6300,-2.105300
2025-03-07,12.0500,12.1900,11.7800,11.8900,6114900,73208168.0000,-1.654300
2025-03-10,11.8000,11.8700,11.6800,11.8300,3865684,45436803.7200,-0.504600
2025-03-11,11.6600,11.8400,11.5200,11.8300,4411800,51507058.0000,0.000000
2025-03-12,11.9000,12.2500,11.7900,12.1000,7225484,87143288.5500,2.282300
2025-03-13,12.0800,12.2000,11.7000,11.9700,5988766,71488696.0600,-1.074400
2025-03-14,11.9000,12.2600,11.8600,12.1100,6741142,81170208.0100,1.169600
2025-03-17,12.1000,12.3700,12.0200,12.1500,6124331,74681152.9700,0.330300
2025-03-18,12.1100,12.1400,11.8900,12.1000,4381100,52517289.0000,-0.411500
2025-03-19,12.0600,12.5300,11.9100,12.2600,8177474,99719835.3200,1.322300
2025-03-20,12.2600,12.6500,12.2000,12.4600,8991802,111869620.1200,1.631300
2025-03-21,12.3600,13.3600,12.1700,13.1000,15687394,201320894.3400,5.136400
2025-03-24,12.9100,13.7800,12.7500,13.4100,15123078,201020255.7600,2.366400
2025-03-25,13.0000,13.4400,12.2400,12.5200,12576716,161036732.2800,-6.636800
2025-03-26,12.4900,13.7700,12.2600,13.7700,18362348,241050673.6800,9.984000
2025-03-27,13.6100,13.6500,12.7300,13.0100,15501829,203717303.8300,-5.519200
2025-03-28,13.0200,13.0200,11.7100,11.7100,14659630,177463250.6000,-9.992300
2025-03-31,11.1200,11.4500,10.8700,11.0800,8271300,91966573.0000,-5.380000
2025-04-01,11.0800,11.6200,11.0800,11.4300,5686589,64707427.7900,3.158800
2025-04-02,11.4800,11.7900,11.3100,11.6100,5396941,62541935.0900,1.574800
2025-04-03,11.5300,11.8500,11.4200,11.7200,5560610,64806705.5100,0.947500
2025-04-07,10.8800,11.0100,10.5500,10.5500,2507600,26696613.0000,-9.982900
2025-04-08,9.6000,10.2200,9.5000,9.6600,10872986,105941468.1600,-8.436000
2025-04-09,9.5000,10.1600,8.6900,9.9800,9770407,90828617.2300,3.312600
2025-04-10,10.1600,10.6800,10.1000,10.5700,7541801,78924671.5900,5.911800
2025-04-11,10.3700,10.8000,10.3300,10.5100,5579501,59187552.5100,-0.567600
2025-04-14,10.6500,11.4200,10.6200,11.1200,6956201,77235908.3300,5.804000
2025-04-15,11.1200,11.3700,11.0100,11.2200,5569700,62277477.0000,0.899300
2025-04-16,11.3300,11.3500,10.6500,10.9000,6005040,65829985.8000,-2.852000
2025-04-17,10.8800,11.0900,10.8500,10.9700,3103500,34154861.0000,0.642200
2025-04-18,10.9000,11.3500,10.9000,11.1400,5665606,63349022.5300,1.549700
2025-04-21,11.1500,11.2500,10.9700,11.1500,3834800,42529088.0000,0.089800
2025-04-22,11.1300,11.5400,11.1300,11.3400,5601000,63695338.0000,1.704000
2025-04-23,11.2900,11.5900,11.2800,11.5100,5649720,64772320.0000,1.499100
2025-04-24,11.4300,11.7800,11.3300,11.5800,5550300,64000304.0000,0.608200
2025-04-25,11.5400,11.6300,11.1500,11.3900,4823900,54826298.0000,-1.640800
2025-04-28,11.3900,11.4500,11.0000,11.2200,3072000,34358644.0000,-1.492500
2025-04-29,11.1100,11.4200,11.0200,11.1700,3506002,39470840.3900,-0.445600
2025-04-30,11.2000,11.3800,11.0300,11.2100,3394750,38043699.0000,0.358100
