date,open,high,low,close,volume,amount,pctChg
2025-01-02,4.5300,4.9700,4.5300,4.8500,47881220,234010796.9100,7.300900
2025-01-03,4.7000,5.3300,4.5300,5.0200,52706559,254610452.2900,3.505200
2025-01-06,4.8500,5.3000,4.8200,5.0000,36245947,184325676.9200,-0.398400
2025-01-07,5.0000,5.1000,4.9100,5.0600,18935631,95031647.6200,1.200000
2025-01-08,5.0600,5.2800,4.8100,5.1100,24760361,124379516.5400,0.988100
2025-01-09,5.0200,5.2400,4.9600,5.0700,20263610,103545243.3000,-0.782800
2025-01-10,5.0100,5.2200,4.9500,5.2100,27347951,139479648.1300,2.761300
2025-01-13,5.0800,5.6000,5.0200,5.3300,33167031,176346571.1900,2.303300
2025-01-14,5.3000,5.5300,5.2000,5.5000,34998348,188421407.4000,3.189500
2025-01-15,5.4000,6.0500,5.3900,6.0500,55375265,329562952.6700,10.000000
2025-01-16,5.9100,6.1600,5.7500,5.8000,85813567,509105274.3100,-4.132200
2025-01-17,5.6800,5.7600,5.4600,5.5700,50579910,282446925.3000,-3.965500
2025-01-20,5.6600,5.7200,5.4600,5.5200,29644062,164146510.7200,-0.897700
2025-01-21,5.5200,5.6800,5.4700,5.5800,34912459,194489422.5200,1.087000
2025-01-22,5.5000,5.5000,5.2200,5.2500,28886350,153503496.5000,-5.914000
2025-01-23,5.2900,5.3800,5.1000,5.1100,21938513,114829658.3500,-2.666700
2025-01-24,5.1500,5.2000,5.0100,5.1600,15392550,78994167.5000,0.978500
2025-01-27,5.2500,5.2500,5.0600,5.0800,10024000,51503661.0000,-1.550400
2025-02-05,5.1100,5.1700,5.0900,5.1200,10478101,53725019.1000,0.787400
2025-02-06,5.0800,5.2700,5.0600,5.2600,14923210,77464215.2000,2.734400
2025-02-07,5.2300,5.4500,5.2300,5.3300,23989671,127994840.9300,1.330800
2025-02-10,5.8600,5.8600,5.7000,5.8600,35278208,206562616.8800,9.943700
2025-02-11,6.0500,6.4500,5.8500,5.8700,115100905,714378606.4700,0.170600
2025-02-12,5.7700,6.1900,5.6000,5.8900,70024002,414412874.3100,0.340700
2025-02-13,5.9000,6.0500,5.7600,5.9000,55965893,330131526.9500,0.169800
2025-02-14,5.8300,5.9800,5.6300,5.6900,43051982,247494555.0600,-3.559300
2025-02-17,5.6800,5.8700,5.6200,5.7500,33107780,189327271.0500,1.054500
2025-02-18,5.7200,5.7900,5.5500,5.5600,30629200,173649902.0000,-3.304300
2025-02-19,5.4900,5.6600,5.4800,5.5900,21445585,120015198.0500,0.539600
2025-02-20,5.6400,5.6800,5.5600,5.6000,21928185,122717815.1000,0.178900
2025-02-21,5.5600,5.6000,5.4900,5.5600,24516610,136019742.9000,-0.714300
2025-02-24,5.5800,5.7600,5.4700,5.7600,37227391,210983014.8400,3.597100
2025-02-25,5.7000,5.8100,5.6500,5.7300,27279019,156248794.8900,-0.520800
2025-02-26,5.7000,5.7900,5.6900,5.7500,22776870,130762173.4000,0.349000
2025-02-27,5.8000,5.8300,5.5600,5.6200,19710477,111517625.4600,-2.260900
2025-02-28,5.5900,6.1500,5.5000,5.9400,64620731,378147750.6400,5.694000
2025-03-03,5.9400,6.2700,5.9300,5.9700,58659600,355444344.0000,0.505100
2025-03-04,5.9200,6.4600,5.8700,6.3300,72395400,451560752.0300,6.030200
2025-03-05,6.1800,6.3600,6.0500,6.1800,51508034,317853623.3800,-2.369700
2025-03-06,6.1200,6.2200,6.1000,6.1600,33964025,208889767.7700,-0.323600
2025-03-07,6.0600,6.7800,6.0000,6.5800,95828415,622389961.3100,6.818200
2025-03-10,6.3800,6.6000,6.3700,6.4000,53682151,347120026.9200,-2.735600
2025-03-11,6.2800,6.5500,6.2400,6.4700,42943931,276229883.1700,1.093800
2025-03-12,6.5200,6.8900,6.4800,6.7200,61412094,410340558.2900,3.864000
2025-03-13,6.6300,7.3900,6.6200,7.3900,91323176,645644333.2000,9.970200
2025-03-14,7.4700,7.8800,6.9200,7.2700,116978309,847644898.5600,-1.623800
2025-03-17,7.0800,7.4600,7.0800,7.2700,61138760,443915211.8600,0.000000
2025-03-18,7.1400,7.3300,6.8400,6.9300,68768681,482391551.5000,-4.676800
2025-03-19,6.9000,7.6200,6.8300,7.6200,94949945,710239532.2300,9.956700
