date,open,high,low,close,volume,amount,pctChg
2025-01-02,6.1100,6.2600,5.8400,5.9700,45029000,272775003.0000,-3.864700
2025-01-03,5.9400,5.9700,5.4300,5.4600,46444714,261689419.7500,-8.542700
2025-01-06,5.4500,5.4500,5.2000,5.3000,30118603,159420690.6900,-2.930400
2025-01-07,5.3000,5.4000,5.2400,5.3900,26195592,139149407.4400,1.698100
2025-01-08,5.3800,5.3800,5.1300,5.2800,26344400,138515069.0000,-2.040800
2025-01-09,5.2400,5.3300,5.2200,5.2800,19368390,102399905.7300,0.000000
2025-01-10,5.2800,5.3100,5.0900,5.1000,21400902,111310083.2000,-3.409100
2025-01-13,5.0000,5.1200,4.9300,5.1000,16541602,83446573.9000,0.000000
2025-01-14,5.0900,5.3100,5.0900,5.2900,28343620,148306006.4000,3.725500
2025-01-15,5.2800,5.3300,5.2300,5.2700,18242100,96203608.0000,-0.378100
2025-01-16,5.2800,5.3800,5.2200,5.2700,18982805,100626367.3300,0.000000
2025-01-17,5.2400,5.3200,5.1800,5.2700,17957900,94606506.0000,0.000000
2025-01-20,5.3300,5.3900,5.2200,5.3200,21787600,116064009.0000,0.948800
2025-01-21,5.3600,5.4300,5.2500,5.3200,27567141,147364576.1200,0.000000
2025-01-22,5.3100,5.3100,5.1800,5.2000,18251747,95454259.3200,-2.255600
2025-01-23,5.2500,5.3600,5.2300,5.2500,23094382,122488154.7800,0.961500
2025-01-24,5.2300,5.2800,5.1900,5.2400,17394001,91140317.2200,-0.190500
2025-01-27,5.2500,5.3200,5.1600,5.1700,16730001,87653792.3000,-1.335900
2025-02-05,5.2200,5.2900,5.1600,5.2800,18176605,95329100.3400,2.127700
2025-02-06,5.2600,5.4100,5.2000,5.3900,28982123,154042980.1600,2.083300
2025-02-07,5.3900,5.5300,5.3500,5.4600,33092354,180503516.5600,1.298700
2025-02-10,5.4700,5.5800,5.4600,5.5700,27127978,150137546.3600,2.014700
2025-02-11,5.5900,5.9400,5.4500,5.7700,49256507,279894859.4900,3.590700
2025-02-12,5.7300,5.7900,5.6800,5.7900,30198362,173288699.2600,0.346600
2025-02-13,5.8200,5.8600,5.7300,5.7400,28932304,167641643.0000,-0.863600
2025-02-14,5.7000,5.8300,5.6300,5.7000,29535869,167782831.2500,-0.696900
2025-02-17,5.6900,5.8300,5.6700,5.7300,27307971,157285948.7500,0.526300
2025-02-18,5.7200,5.7200,5.4900,5.5100,26666701,149087665.6100,-3.839400
2025-02-19,5.5300,5.5800,5.4800,5.5600,18512111,102530352.6700,0.907400
2025-02-20,5.5600,5.6000,5.4900,5.5800,18236179,101398665.0300,0.359700
2025-02-21,5.5900,5.7200,5.5100,5.7200,26128196,147191578.1700,2.509000
2025-02-24,5.7800,6.0500,5.7400,6.0100,58126757,345640940.0000,5.069900
2025-02-25,6.0000,6.3100,5.9000,6.1300,63811365,391916066.4600,1.996700
2025-02-26,6.1100,6.1800,6.0400,6.1000,40020902,244023644.1900,-0.489400
2025-02-27,6.0600,6.1200,5.9700,6.0500,32273828,194555441.6700,-0.819700
2025-02-28,6.0200,6.0400,5.8400,5.8700,27682801,164550967.8800,-2.975200
2025-03-03,5.9000,5.9800,5.8300,5.8700,21913542,129730905.5500,0.000000
2025-03-04,5.8600,5.9800,5.8500,5.9000,16976483,99955298.6000,0.511100
2025-03-05,5.9200,5.9300,5.7400,5.8300,20753506,120511289.4300,-1.186400
2025-03-06,5.8800,6.2000,5.8300,6.1200,52039422,313299751.4400,4.974300
2025-03-07,6.0500,6.1600,5.9300,6.0900,44515367,270377479.0400,-0.490200
2025-03-10,6.0800,6.1000,5.9300,5.9500,21124600,126399767.8600,-2.298900
2025-03-11,6.2800,6.5400,6.1100,6.1700,89884627,562221190.6000,3.697500
2025-03-12,6.1000,6.2400,6.1000,6.1900,49647186,306192781.3900,0.324100
2025-03-13,6.1400,6.1400,5.9400,6.0400,37781712,227315776.7800,-2.423300
2025-03-14,6.0300,6.0800,5.9800,6.0800,25990338,157253447.1200,0.662300
2025-03-17,6.0900,6.2000,6.0600,6.1400,30235589,184981579.9000,0.986800
2025-03-18,6.1200,6.4100,6.0700,6.1700,42095739,261167295.5300,0.488600
2025-03-19,6.1000,6.1300,6.0600,6.0700,23836401,145159761.0900,-1.620700
2025-03-20,6.0600,6.1000,6.0300,6.0300,16679404,101089774.8600,-0.659000
2025-03-21,6.0500,6.1500,5.9100,6.0800,28865242,173609593.1400,0.829200
2025-03-24,6.0500,6.0700,5.8000,5.8800,21160700,125209417.0000,-3.289500
2025-03-25,5.8800,5.9200,5.7900,5.8500,10501671,61674049.7800,-0.510200
2025-03-26,5.8600,5.9100,5.8500,5.8800,7793470,45872906.9000,0.512800
2025-03-27,5.9000,5.9700,5.8600,5.8700,11064300,65467897.0000,-0.170100
2025-03-28,5.8500,5.8700,5.7600,5.7900,11998200,69641052.0000,-1.362900
2025-03-31,5.7500,5.7500,5.6100,5.6800,13353100,75640312.0000,-1.899800
2025-04-01,5.6700,5.7300,5.6500,5.6700,10175718,57908612.7600,-0.176100
2025-04-02,5.6700,5.6900,5.6400,5.6600,6234661,35352819.2600,-0.176400
2025-04-03,5.5700,5.7200,5.5600,5.6500,7315702,41360363.2700,-0.176700
2025-04-07,5.3100,5.3500,5.0900,5.0900,20405347,105023216.0300,-9.911500
2025-04-08,5.0300,5.1300,4.9100,5.0500,20483801,102755043.0500,-0.785900
2025-04-09,4.9600,5.2700,4.8200,5.2000,22701600,115180735.5600,2.970300
2025-04-10,5.2300,5.3800,5.2100,5.3000,20428944,108599962.2000,1.923100
2025-04-11,5.2500,5.3700,5.2300,5.3500,13769344,73354656.5200,0.943400
2025-04-14,5.4100,5.4400,5.3600,5.3900,14320000,77350938.0000,0.747700
2025-04-15,5.4000,5.4200,5.3300,5.3800,8813900,47323963.0000,-0.185500
2025-04-16,5.3500,5.4100,5.2100,5.3000,11893438,63073179.6400,-1.487000
2025-04-17,5.2600,5.4700,5.2500,5.4100,15788593,85447487.8800,2.075500
2025-04-18,5.3800,5.4400,5.3400,5.4400,13395400,72336750.0000,0.554500
2025-04-21,5.4100,5.5800,5.3700,5.5700,24781230,136162127.5000,2.389700
2025-04-22,5.5400,5.7100,5.4500,5.6400,30790400,172118107.0000,1.256700
2025-04-23,5.6300,5.6600,5.5100,5.5400,21869999,121810952.8700,-1.773000
2025-04-24,5.5200,5.6300,5.5000,5.5400,15754500,87638325.9400,0.000000
2025-04-25,5.5200,5.7000,5.5200,5.5400,22620492,127095618.1200,0.000000
2025-04-28,5.3500,5.3800,5.1700,5.2000,26367680,137918176.7100,-6.137200
2025-04-29,5.2500,5.3100,5.2400,5.2800,16796868,88691545.8700,1.538500
2025-04-30,5.3000,5.3600,5.2800,5.2900,12069000,64153206.0000,0.189400
2025-05-06,5.3000,5.4100,5.3000,5.4100,13425700,72096043.0000,2.268400
2025-05-07,5.4600,5.6000,5.4400,5.4700,16954400,93250608.0000,1.109100
2025-05-08,5.4900,5.6400,5.4300,5.6200,23529332,130317699.5700,2.742200
2025-05-09,5.6200,5.6200,5.4500,5.4600,20492600,112703911.0000,-2.847000
2025-05-12,5.4800,5.5000,5.3400,5.5000,18852684,102317959.8200,0.732600
2025-05-13,5.5500,5.5600,5.4700,5.4900,13617429,75042995.5000,-0.181800
2025-05-14,5.4900,5.5500,5.4700,5.5300,13843198,76365381.9200,0.728600
2025-05-15,5.5500,5.6000,5.4700,5.4900,14654601,81079516.5800,-0.723300
2025-05-16,5.5100,5.5100,5.4400,5.4800,9953429,54453664.6300,-0.182100
2025-05-19,5.4700,5.6000,5.4700,5.5500,15319520,85034749.8000,1.277400
2025-05-20,5.5400,5.5700,5.5000,5.5500,11249520,62240503.8000,0.000000
2025-05-21,5.5500,5.5600,5.5000,5.5100,9380216,51798274.0000,-0.720700
2025-05-22,5.5200,5.5200,5.4200,5.4300,11436300,62467451.0000,-1.451900
2025-05-23,5.4500,5.4500,5.3600,5.3700,9886900,53466585.0000,-1.105000
2025-05-26,5.3500,5.4000,5.3500,5.3800,8200500,44085257.0000,0.186200
2025-05-27,5.3800,5.4300,5.3600,5.4200,8499017,45892135.2900,0.743500
2025-05-28,5.4000,5.4200,5.3400,5.3700,7746400,41648567.0000,-0.922500
2025-05-29,5.3900,5.4400,5.3500,5.4300,8580900,46464610.0000,1.117300
2025-05-30,5.4200,5.4200,5.3600,5.3700,7082900,38143187.0000,-1.105000
2025-06-03,5.3500,5.4000,5.3400,5.3700,5722500,30708110.0000,0.000000
2025-06-04,5.3800,5.5300,5.3600,5.4400,14943631,81192622.3500,1.303500
2025-06-05,5.4600,5.4700,5.4200,5.4400,9460551,51492583.4400,0.000000
2025-06-06,5.4500,5.4800,5.4200,5.4400,8539301,46441625.4200,0.000000
2025-06-09,5.4300,5.4600,5.4200,5.4600,9872677,53767939.6500,0.367600
