date,open,high,low,close,volume,amount,pctChg
2025-01-02,10.3000,10.4500,9.9400,10.0200,22557956,229952396.7500,-3.188400
2025-01-03,10.0800,10.1000,9.7400,9.7700,16192151,160423907.2600,-2.495000
2025-01-06,9.7600,9.8900,9.7300,9.8400,11640352,114101039.1800,0.716500
2025-01-07,9.8400,9.8500,9.6800,9.8100,11104500,108549280.0000,-0.304900
2025-01-08,9.7800,9.8100,9.4600,9.6600,14559838,140098096.9600,-1.529100
2025-01-09,9.6100,9.6800,9.5700,9.5900,8467270,81546198.5500,-0.724600
2025-01-10,9.5900,9.6600,9.4000,9.4000,8231200,78340339.0000,-1.981200
2025-01-13,9.3200,9.4600,9.2800,9.4300,10246501,96176501.3600,0.319100
2025-01-14,9.4400,9.8500,9.4400,9.8400,16095033,156101296.2800,4.347800
2025-01-15,9.7800,9.8700,9.7200,9.8400,11007382,108039910.4000,0.000000
2025-01-16,9.8700,10.0800,9.7900,9.8500,10894957,108092139.8700,0.101600
2025-01-17,9.8100,10.0000,9.7800,9.8600,8635504,85168797.3600,0.101500
2025-01-20,9.9400,9.9800,9.8300,9.8800,8588411,85121932.2800,0.202800
2025-01-21,9.9300,9.9600,9.7800,9.8400,9782400,96493241.0000,-0.404900
2025-01-22,9.8000,9.8100,9.6700,9.7500,9785687,95279656.5700,-0.914600
2025-01-23,9.9100,10.1400,9.8300,9.8400,18355602,183144025.7000,0.923100
2025-01-24,9.8400,9.9700,9.7900,9.9000,12084550,119564493.2400,0.609800
2025-01-27,9.9300,10.0000,9.7400,9.7500,12876891,127002368.6100,-1.515200
2025-02-05,9.8100,9.8500,9.7000,9.7300,12376156,121058866.9000,-0.205100
2025-02-06,9.7300,9.8900,9.6500,9.8500,12267168,120029103.6200,1.233300
2025-02-07,9.8500,10.1800,9.8300,10.0600,19076101,191305083.0400,2.132000
2025-02-10,10.1000,10.2100,10.0800,10.1800,13564696,137740529.1800,1.192800
2025-02-11,10.6500,11.2000,10.5100,11.2000,45151682,493655704.4700,10.019600
2025-02-12,11.2000,11.9800,11.1000,11.8500,99956423,1149429467.8100,5.803600
2025-02-13,11.7400,11.7600,11.2400,11.2900,68759497,787179181.1300,-4.725700
2025-02-14,11.3500,11.4300,11.2200,11.2800,32073118,363138419.8200,-0.088600
2025-02-17,11.4000,11.4000,11.0800,11.1700,30553016,343447808.0300,-0.975200
2025-02-18,11.1600,11.1700,10.6800,10.7400,29378433,320117396.0100,-3.849600
2025-02-19,10.7200,10.8500,10.7000,10.8300,19983289,215425229.4900,0.838000
2025-02-20,10.8000,10.9100,10.7800,10.8400,17508835,189899226.6500,0.092300
2025-02-21,10.8500,10.9300,10.7200,10.9000,19697155,213562586.9700,0.553500
2025-02-24,10.8800,10.9500,10.7400,10.7800,16267974,176228741.0700,-1.100900
2025-02-25,10.7200,10.8300,10.6400,10.7300,14740610,158181747.1000,-0.463800
2025-02-26,10.7600,10.9600,10.7300,10.9100,20204117,219012957.2800,1.677500
2025-02-27,10.9000,10.9300,10.6700,10.8700,17755847,191914067.5100,-0.366600
2025-02-28,10.8200,10.9100,10.5300,10.5900,18653014,199328574.5600,-2.575900
2025-03-03,10.6400,10.8100,10.6000,10.7000,13006063,139583533.5600,1.038700
2025-03-04,10.6700,10.8100,10.6400,10.7600,10812407,116064844.0400,0.560700
2025-03-05,10.7500,10.7800,10.6200,10.7100,10363581,110691535.7200,-0.464700
2025-03-06,10.7300,10.9100,10.7200,10.8900,16169907,175353302.0900,1.680700
2025-03-07,10.8500,10.8500,10.6600,10.7000,14248515,153363225.9400,-1.744700
2025-03-10,10.6900,10.7200,10.5800,10.6500,11974000,127435780.0000,-0.467300
