date,open,high,low,close,volume,amount,pctChg
2025-01-02,2.1600,2.3300,2.1600,2.2600,109800847,251736697.6900,6.603800
2025-01-03,2.2500,2.4800,2.1500,2.4100,138242084,320425574.1000,6.637200
2025-01-06,2.3100,2.3400,2.1800,2.2500,96295060,217717029.5000,-6.639000
2025-01-07,2.2200,2.2500,2.1600,2.2400,61492317,135866435.0200,-0.444400
2025-01-08,2.2200,2.2300,2.1600,2.1900,51632530,112940666.1000,-2.232100
2025-01-09,2.1700,2.2400,2.1600,2.1900,46521069,102255763.7700,0.000000
2025-01-10,2.1600,2.1900,2.0000,2.0200,74949300,156328171.0000,-7.762600
2025-01-13,1.9500,1.9700,1.8800,1.9500,44184880,85629245.7000,-3.465300
2025-01-14,1.9400,2.0200,1.9400,2.0100,45678400,90580324.2000,3.076900
2025-01-15,2.0100,2.0200,1.9400,1.9700,41755986,82201065.1400,-1.990000
2025-01-16,2.0000,2.0600,1.9700,1.9900,38903030,78312358.0000,1.015200
2025-01-17,1.9500,2.0200,1.9200,1.9800,35398700,70143413.0000,-0.502500
2025-01-20,1.9700,1.9900,1.9000,1.9600,43780460,85233923.5000,-1.010100
2025-01-21,1.9600,2.1000,1.9600,1.9900,65038600,131419683.3000,1.530600
2025-01-22,1.9700,2.0600,1.9000,2.0000,57001330,111730295.0000,0.502500
2025-01-23,2.0100,2.0400,1.9400,1.9600,42806875,85670137.2500,-2.000000
2025-01-24,1.9400,1.9500,1.9100,1.9200,28321116,54549520.7200,-2.040800
2025-01-27,1.9300,1.9400,1.8800,1.8900,23392689,44573934.6400,-1.562500
2025-02-05,1.8900,1.9100,1.8700,1.9100,22108950,41804205.9000,1.058200
2025-02-06,1.9000,1.9200,1.8800,1.9200,23768486,45261306.5600,0.523600
2025-02-07,1.9100,1.9900,1.9000,1.9800,50979158,100207495.4100,3.125000
2025-02-10,1.9800,2.0500,1.9700,2.0500,44249077,89710725.0600,3.535400
2025-02-11,2.0500,2.0800,2.0000,2.0100,32316416,65253538.9100,-1.951200
2025-02-12,2.0200,2.0400,1.9900,2.0300,33094805,66665234.5000,0.995000
2025-02-13,2.0400,2.0800,2.0100,2.0500,48907967,100218375.3500,0.985200
2025-02-14,2.0400,2.0500,1.9700,1.9700,39067450,77898315.0000,-3.902400
2025-02-17,1.9700,2.0500,1.9600,2.0100,39036612,78085143.7600,2.030500
2025-02-18,2.0000,2.0200,1.9400,1.9400,34418370,68033177.4000,-3.482600
2025-02-19,1.9400,1.9600,1.9200,1.9500,24747610,48085422.5000,0.515500
2025-02-20,1.9600,1.9800,1.9300,1.9600,26304700,51554076.0000,0.512800
2025-02-21,1.9600,1.9600,1.9100,1.9300,30832550,59580769.0000,-1.530600
2025-02-24,1.9400,1.9900,1.9200,1.9800,42397381,83606709.7800,2.590700
2025-02-25,1.9800,2.0100,1.9300,1.9600,31994920,63435271.6000,-1.010100
2025-02-26,1.9700,2.0200,1.9600,2.0000,33255450,66635205.4000,2.040800
2025-02-27,2.0000,2.0400,1.9400,1.9700,37123220,73497744.0000,-1.500000
2025-02-28,1.9700,1.9800,1.9300,1.9400,28309159,55113031.0500,-1.522800
2025-03-03,1.9400,1.9900,1.9300,1.9500,27639300,54038196.0000,0.515500
2025-03-04,1.9400,1.9400,1.9000,1.9300,25401604,48794409.7200,-1.025600
2025-03-05,1.9400,1.9400,1.8900,1.9200,22308630,42502584.7000,-0.518100
2025-03-06,1.9200,1.9500,1.9200,1.9400,26836552,52003608.5000,1.041700
2025-03-07,1.9400,1.9400,1.8800,1.9000,28482260,54206651.4000,-2.061900
2025-03-10,1.8900,1.9200,1.8800,1.9000,13778120,26088714.2000,0.000000
2025-03-11,1.8800,1.8900,1.8600,1.8900,13653990,25604614.2000,-0.526300
2025-03-12,1.8800,1.8900,1.8700,1.8900,14829280,27919534.4000,0.000000
2025-03-13,1.8800,1.8900,1.8100,1.8200,25748230,47406473.6000,-3.703700
2025-03-14,1.8200,1.8700,1.8100,1.8700,24480395,45253855.5500,2.747300
2025-03-17,1.8800,1.9200,1.8700,1.8900,25415568,48330408.0200,1.069500
2025-03-18,1.8900,1.9000,1.8500,1.8600,17612710,32798531.5000,-1.587300
2025-03-19,1.8700,1.8800,1.8400,1.8600,15234690,28380049.7000,0.000000
2025-03-20,1.8600,1.9100,1.8500,1.8800,28536430,53747488.7000,1.075300
2025-03-21,1.8700,1.8800,1.8300,1.8400,21589300,40008765.0000,-2.127700
