date,open,high,low,close,volume,amount,pctChg
2025-01-02,11.1200,11.3000,10.5400,10.7200,20352584,221916046.5600,-4.200200
2025-01-03,10.7500,10.8200,10.1400,10.1900,18053350,187682710.0000,-4.944000
2025-01-06,10.1600,10.3800,10.0300,10.2100,13133911,134193413.8700,0.196300
2025-01-07,10.2200,10.4000,10.1700,10.3900,11903877,122468162.6300,1.763000
2025-01-08,10.3300,10.3700,9.9800,10.2900,14099400,143777679.1000,-0.962500
2025-01-09,10.1300,10.4700,10.1300,10.4000,12695500,131771782.0000,1.069000
2025-01-10,10.3900,10.5100,10.0700,10.1000,11453363,117980970.4400,-2.884600
2025-01-13,9.9800,10.2300,9.8300,10.1300,10012900,100658104.0000,0.297000
2025-01-14,10.1900,10.6100,10.1100,10.5800,15450076,161066099.2000,4.442300
2025-01-15,10.6100,10.6700,10.4600,10.6000,12586538,133168551.3200,0.189000
2025-01-16,10.6500,10.8900,10.5700,10.7000,12666001,135718050.8500,0.943400
2025-01-17,10.6300,10.7900,10.5800,10.7000,10472800,111974062.0000,0.000000
2025-01-20,10.7900,10.9500,10.7000,10.8300,11675500,126663606.0000,1.215000
2025-01-21,10.9200,10.9500,10.6600,10.7600,9162828,98696972.7100,-0.646400
2025-01-22,10.7700,10.8000,10.6200,10.6800,7787878,83351700.5800,-0.743500
2025-01-23,10.8300,11.1100,10.7000,10.7200,15001400,163838539.0000,0.374500
2025-01-24,10.7000,10.9500,10.6800,10.9500,10506186,114069831.8200,2.145500
2025-01-27,10.9500,11.0900,10.6500,10.6500,11536558,124632992.4600,-2.739700
2025-02-05,10.8400,11.0000,10.7400,10.9100,12239001,133457281.9000,2.441300
2025-02-06,10.9600,11.2900,10.8000,11.2800,14694077,163884211.3500,3.391400
2025-02-07,11.2900,11.5800,11.2600,11.3900,20896813,238774373.1800,0.975200
2025-02-10,11.3900,11.7600,11.3900,11.6900,20277021,235520898.1900,2.633900
2025-02-11,11.6600,12.2000,11.5100,11.9100,29240303,346596222.8300,1.882000
2025-02-12,11.8700,12.1300,11.8200,12.1300,24923888,299304661.7600,1.847200
2025-02-13,12.1500,12.1700,11.7800,11.8700,19752332,235104313.5200,-2.143400
2025-02-14,11.8500,11.9700,11.6900,11.9400,16654200,197538022.0000,0.589700
2025-02-17,11.9800,12.1600,11.8400,11.9200,19932901,239093653.8600,-0.167500
2025-02-18,11.9200,11.9700,11.4000,11.4900,19077701,223407577.8700,-3.607400
2025-02-19,11.4700,11.7500,11.4500,11.7300,13841637,161405408.5000,2.088800
2025-02-20,11.7300,11.8700,11.6600,11.7900,13304089,156647975.3200,0.511500
2025-02-21,11.7800,12.4700,11.7300,12.4200,40919773,498545641.3300,5.343500
2025-02-24,12.4900,12.4900,12.2200,12.2700,25955244,320441721.3100,-1.207700
2025-02-25,12.0200,12.3100,11.9800,12.0600,20370027,247030908.1900,-1.711500
2025-02-26,12.1000,12.1600,11.9100,12.0500,17357152,208298652.2100,-0.082900
2025-02-27,12.0300,12.0500,11.6600,11.8600,16310292,192951437.4000,-1.576800
2025-02-28,11.7900,11.8100,11.1700,11.2000,18642832,213000860.5200,-5.564900
2025-03-03,11.2000,11.4300,11.0800,11.1800,12946942,146077189.2000,-0.178600
2025-03-04,11.0800,11.4900,11.0700,11.4600,10069672,114441801.6400,2.504500
2025-03-05,11.4700,12.6100,11.4700,12.2400,70309286,868097262.6100,6.806300
2025-03-06,12.1800,12.4100,12.1300,12.2900,59911973,737430073.5900,0.408500
2025-03-07,12.2500,12.3800,12.0200,12.1200,27174088,332540249.5500,-1.383200
2025-03-10,12.1200,12.1800,11.9900,12.0300,16376934,197443676.9800,-0.742600
2025-03-11,11.8500,12.0700,11.8400,12.0000,14365643,171550459.7400,-0.249400
2025-03-12,12.0500,12.4500,11.9600,12.1800,26598977,325485166.5900,1.500000
2025-03-13,12.2100,12.3500,11.9200,12.0900,18777800,227429062.3200,-0.738900
