date,open,high,low,close,volume,amount,pctChg
2025-01-02,5.1600,5.2100,5.0000,5.0300,12577939,64344487.9500,-2.707900
2025-01-03,5.0400,5.1800,5.0000,5.0600,15158071,77239878.5200,0.596400
2025-01-06,5.0700,5.5700,5.0700,5.5700,30766248,166905352.3500,10.079100
2025-01-07,5.6300,5.7500,5.3200,5.4800,66601812,365759944.5200,-1.615800
2025-01-08,5.4500,5.6000,5.3200,5.4800,47000028,256800474.1700,0.000000
2025-01-09,5.4000,5.4000,5.2100,5.2400,34805186,183358748.6000,-4.379600
2025-01-10,5.2200,5.2300,4.9700,4.9800,27588188,140134817.0400,-4.961800
2025-01-13,4.9000,4.9300,4.7600,4.8300,20848602,100781641.7600,-3.012000
2025-01-14,4.8600,5.0400,4.8500,5.0300,21461588,105873508.4400,4.140800
2025-01-15,5.0200,5.2800,4.9000,5.2300,35185455,178902811.5700,3.976100
2025-01-16,5.2300,5.2800,5.0900,5.1900,26636156,138037667.4800,-0.764800
2025-01-17,5.3000,5.4800,5.2100,5.3200,48114636,256155244.8200,2.504800
2025-01-20,5.5500,5.6700,5.3800,5.4300,55763754,306739852.1000,2.067700
2025-01-21,5.4700,5.6500,5.4600,5.5700,51315065,285136619.4900,2.578300
2025-01-22,5.5100,5.5100,5.3500,5.3700,28219401,152063291.2800,-3.590700
2025-01-23,5.4700,5.5300,5.3800,5.3900,34936272,190834211.9000,0.372400
2025-01-24,5.3700,5.4200,5.3300,5.4000,21656357,116368153.0900,0.185500
2025-01-27,5.5100,5.6500,5.4500,5.5400,34783300,193467131.8700,2.592600
2025-02-05,5.6700,5.8700,5.6100,5.6500,49258372,281845317.2500,1.985600
2025-02-06,5.6600,5.6900,5.5000,5.6500,35838472,199916787.7600,0.000000
2025-02-07,5.6600,5.8500,5.6300,5.7700,51920655,298367062.3800,2.123900
2025-02-10,5.9200,6.3500,5.8900,6.3500,65565655,407963160.0000,10.052000
2025-02-11,6.3500,6.3700,6.1100,6.1800,84319063,523282061.7800,-2.677200
2025-02-12,6.1400,6.3100,6.0700,6.2200,57476781,357300382.4500,0.647200
2025-02-13,6.2200,6.5900,6.2000,6.4500,75704486,485203469.0700,3.697700
2025-02-14,6.3700,6.5300,6.3500,6.4200,47626340,305741258.9100,-0.465100
2025-02-17,6.4200,6.4600,6.2300,6.2900,53085692,335198492.1800,-2.024900
2025-02-18,6.2900,6.9100,6.2500,6.7200,103299761,690068245.4100,6.836200
2025-02-19,6.5300,6.7900,6.5300,6.7400,63925022,428468584.7600,0.297600
2025-02-20,6.7000,6.7400,6.5100,6.5600,46510666,306203666.9100,-2.670600
2025-02-21,6.6200,6.7600,6.6000,6.6600,44992950,300255409.8800,1.524400
2025-02-24,6.6800,6.7100,6.4800,6.5400,37973103,248166040.8900,-1.801800
2025-02-25,6.5000,6.5100,6.3200,6.4000,36899301,235324982.3600,-2.140700
2025-02-26,6.4000,6.4500,6.3600,6.4300,24106184,154260134.4700,0.468800
2025-02-27,6.4300,6.4600,6.2800,6.4000,24837808,158352112.6700,-0.466600
2025-02-28,6.3600,6.4300,6.2300,6.2500,21344725,134730633.4500,-2.343800
2025-03-03,6.2500,6.4000,6.2400,6.2600,21324995,134368210.5200,0.160000
2025-03-04,6.2800,6.3000,6.2100,6.2600,13774272,86286795.7200,0.000000
2025-03-05,6.2500,6.2600,6.1700,6.2200,20617898,127931569.6200,-0.639000
2025-03-06,6.2500,6.3300,6.2200,6.3100,24401487,153104402.0200,1.446900
2025-03-07,6.3100,6.3800,6.1900,6.2300,23582739,148366020.7800,-1.267800
2025-03-10,6.2500,6.3600,6.2100,6.2500,14722100,92170882.0000,0.321000
2025-03-11,6.1800,6.2300,6.1500,6.2200,13495270,83558985.6900,-0.480000
2025-03-12,6.2200,6.2700,6.1800,6.2400,14630503,91096086.5800,0.321500
2025-03-13,6.2000,6.4000,6.1800,6.2700,32290339,202354914.4600,0.480800
2025-03-14,6.2600,6.4400,6.2400,6.3800,29956470,190335104.0800,1.754400
2025-03-17,6.5500,6.5500,6.3600,6.3800,23705121,152263539.0900,0.000000
2025-03-18,6.3900,6.4200,6.3500,6.3800,15067395,96183362.7400,0.000000
2025-03-19,6.3800,6.4600,6.3500,6.4200,15590937,99825192.1700,0.627000
2025-03-20,6.4200,6.4200,6.3100,6.3800,12246577,78037261.0100,-0.623100
2025-03-21,6.4000,6.4400,6.2800,6.3000,17435727,110472448.8000,-1.253900
2025-03-24,6.3700,6.3700,6.2100,6.3200,18202700,114808554.0000,0.317500
2025-03-25,6.3200,6.3300,6.2200,6.3200,12886915,80891477.3500,0.000000
2025-03-26,6.2900,6.3900,6.2800,6.3700,24367901,154589076.3800,0.791100
2025-03-27,6.3800,6.6200,6.3000,6.5800,46184546,299280474.0000,3.296700
2025-03-28,6.5000,6.5200,6.2500,6.2600,36366871,231619212.5000,-4.863200
2025-03-31,6.2800,6.3500,6.0900,6.1600,27375885,170139820.1600,-1.597400
2025-04-01,6.1700,6.4500,6.1700,6.3400,36457758,231907517.6000,2.922100
2025-04-02,6.3400,6.3600,6.2300,6.2500,18148200,113825375.0000,-1.419600
2025-04-03,6.2000,6.5000,6.1900,6.2900,30141300,190923672.0000,0.640000
2025-04-07,6.0900,6.1200,5.6600,5.6600,32866900,191956750.5800,-10.015900
2025-04-08,5.5100,5.7800,5.4800,5.7500,31247766,177564632.7800,1.590100
2025-04-09,5.6200,5.7700,5.3200,5.7400,29853517,165900489.4100,-0.173900
2025-04-10,5.7400,5.9000,5.7400,5.8100,25002158,145587740.6500,1.219500
2025-04-11,5.7600,6.0700,5.7400,5.9300,31148715,184520299.1300,2.065400
2025-04-14,5.9800,6.1500,5.9200,6.1000,27958744,169230747.4000,2.866800
2025-04-15,6.0900,6.1000,5.9700,5.9900,15560300,93495419.0000,-1.803300
2025-04-16,5.9500,5.9800,5.7900,5.8800,17339044,101724367.4800,-1.836400
2025-04-17,5.8500,5.9100,5.8100,5.8900,10886357,64065165.1600,0.170100
2025-04-18,5.8500,5.9400,5.8000,5.8900,10882467,63775034.2300,0.000000
2025-04-21,5.9000,6.0300,5.8400,6.0100,15790641,94476566.5500,2.037400
2025-04-22,5.9900,6.0800,5.9700,6.0700,18992205,114636714.1000,0.998300
2025-04-23,6.0800,6.1300,5.9700,6.0000,16426806,98898710.9500,-1.153200
2025-04-24,6.2900,6.3800,6.0100,6.0400,52435860,322973845.8200,0.666700
2025-04-25,5.9800,6.0300,5.9000,5.9500,25802948,153837841.7000,-1.490100
2025-04-28,5.9500,5.9500,5.8100,5.8500,16248223,94916828.7800,-1.680700
2025-04-29,5.8400,6.2200,5.8200,6.0700,35819459,217075609.3600,3.760700
2025-04-30,6.0700,6.0800,6.0200,6.0500,13469209,81536194.3600,-0.329500
2025-05-06,6.0800,6.0900,6.0300,6.0900,17990941,109037461.4600,0.661200
2025-05-07,6.1200,6.1500,6.0400,6.0600,16134478,98094053.3900,-0.492600
2025-05-08,6.0600,6.0900,6.0300,6.0600,11469497,69543398.8700,0.000000
2025-05-09,6.0600,6.0600,6.0000,6.0100,10219453,61609112.2400,-0.825100
2025-05-12,6.0100,6.0400,5.9500,5.9900,11095264,66334945.5900,-0.332800
2025-05-13,6.0100,6.0400,5.9400,5.9500,11624370,69459608.5000,-0.667800
2025-05-14,5.9700,5.9900,5.8900,5.9500,11249700,66730213.0000,0.000000
2025-05-15,5.9500,5.9900,5.9000,5.9500,9941900,59193046.0000,0.000000
2025-05-16,5.9700,6.0900,5.9500,6.0800,26646306,160953612.5200,2.184900
2025-05-19,6.0900,6.1100,5.9500,6.0300,18361300,110131233.9000,-0.822400
2025-05-20,6.0100,6.1900,6.0000,6.0800,17552280,106935186.6000,0.829200
2025-05-21,6.0800,6.1400,6.0700,6.0900,17009003,103863567.3400,0.164500
2025-05-22,6.0700,6.0700,5.9500,5.9800,12985804,77822647.5700,-1.806200
2025-05-23,6.0000,6.2400,6.0000,6.0400,26702973,163510899.5700,1.003300
2025-05-26,6.0100,6.0500,5.8600,5.9000,22335960,132377567.2900,-2.317900
2025-05-27,5.8900,6.0700,5.8600,5.9700,16880133,100532133.2500,1.186400
2025-05-28,5.9400,5.9500,5.8700,5.8900,12297300,72534832.0000,-1.340000
2025-05-29,5.8800,6.0400,5.8600,6.0300,21505626,128757306.1900,2.376900
2025-05-30,6.0100,6.1500,6.0000,6.0700,21651766,132012771.0000,0.663300
2025-06-03,6.0400,6.1800,6.0000,6.1700,23615439,144759653.9900,1.647400
