date,open,high,low,close,volume,amount,pctChg
2025-01-02,5.8500,5.8900,5.6400,5.7000,10634111,61446923.1600,-1.724100
2025-01-03,5.7200,5.7400,5.4500,5.4700,10735402,60182070.4000,-4.035100
2025-01-06,5.4400,5.6500,5.3100,5.5600,10618411,58762968.0900,1.645300
2025-01-07,5.5800,5.6300,5.4400,5.6100,9046100,49892525.0000,0.899300
2025-01-08,5.5800,5.7100,5.4900,5.6900,9899300,55820169.0000,1.426000
2025-01-09,5.6300,5.7200,5.5800,5.6400,6853500,38754340.9600,-0.878700
2025-01-10,5.6200,5.6500,5.4100,5.4100,7382486,40661858.0000,-4.078000
2025-01-13,5.3500,5.4000,5.2000,5.4000,5904500,31391488.0000,-0.184800
2025-01-14,5.4500,5.6400,5.4200,5.6400,7330499,40604981.4800,4.444400
2025-01-15,5.6500,5.7600,5.5700,5.7000,8460100,47983602.0000,1.063800
2025-01-16,5.6900,6.2700,5.6500,6.2700,25884880,155506794.3300,10.000000
2025-01-17,6.2200,6.2500,6.0600,6.0900,25801127,158195616.9400,-2.870800
2025-01-20,6.0900,6.1400,6.0200,6.1100,12066002,73521602.5100,0.328400
2025-01-21,6.1200,6.1400,5.9600,5.9900,9578800,57741062.8000,-1.964000
2025-01-22,5.9900,6.0200,5.8800,5.9100,6520912,38769500.2200,-1.335600
2025-01-23,6.0100,6.5000,5.9800,6.5000,14618907,93605645.0300,9.983100
2025-01-24,6.5600,6.7000,6.3400,6.4000,42955326,279002078.4100,-1.538500
2025-01-27,6.4000,6.5600,6.3400,6.3500,17079143,109861832.0900,-0.781300
2025-02-05,6.3600,6.5000,6.3300,6.4200,16894321,108229261.0700,1.102400
2025-02-06,6.3900,6.6800,6.3000,6.6300,24918407,162735129.8300,3.271000
2025-02-07,6.5800,6.6500,6.4700,6.5800,23578103,154600636.6400,-0.754100
2025-02-10,6.5700,6.7000,6.5400,6.6600,17647296,116764201.2400,1.215800
2025-02-11,6.6200,6.6500,6.4700,6.4800,13400700,87099203.0000,-2.702700
2025-02-12,6.4900,6.5400,6.4400,6.5000,10510000,68172340.0000,0.308600
2025-02-13,6.4800,6.5200,6.3700,6.4000,10945000,70514685.0000,-1.538500
2025-02-14,6.4100,6.5400,6.4100,6.4900,10226176,66393977.6400,1.406300
2025-02-17,6.5000,6.6400,6.4500,6.5600,12367257,81227334.2100,1.078600
2025-02-18,6.5500,6.5500,6.2000,6.2400,12000711,76178789.3100,-4.878000
2025-02-19,6.2600,6.3200,6.2000,6.3200,7546497,47234197.0300,1.282100
2025-02-20,6.3000,6.4300,6.2800,6.3400,7204201,45822572.3300,0.316500
2025-02-21,6.3500,6.3900,6.2100,6.2900,8395325,52641272.0800,-0.788600
2025-02-24,6.2600,6.3600,6.2300,6.3200,6837601,43069911.2600,0.476900
2025-02-25,6.3000,6.3700,6.2000,6.2700,6581790,41375298.0000,-0.791100
2025-02-26,6.2500,6.3500,6.2500,6.3500,5888878,37096662.6500,1.275900
2025-02-27,6.3400,6.6300,6.3100,6.5000,20001804,130216159.6700,2.362200
2025-02-28,6.5900,6.6800,6.3800,6.4100,16664700,108513395.0000,-1.384600
2025-03-03,6.4300,6.4800,6.2400,6.2500,11270117,71504947.6100,-2.496100
2025-03-04,6.2500,6.4300,6.2100,6.4300,7861101,49728227.3600,2.880000
2025-03-05,6.3900,6.4300,6.2400,6.3800,7722015,48799275.7500,-0.777600
2025-03-06,6.3500,6.5300,6.3000,6.5300,10387422,66919679.4400,2.351100
2025-03-07,6.5500,6.5600,6.3200,6.3600,9032907,57932940.4500,-2.603400
2025-03-10,6.3600,6.4700,6.3400,6.4200,6630800,42493915.0000,0.943400
2025-03-11,6.3600,6.4100,6.2900,6.3700,6753200,42795457.0000,-0.778800
2025-03-12,6.3800,6.4000,6.3100,6.3200,5519500,35033863.0000,-0.784900
2025-03-13,6.3200,6.3500,6.2200,6.3000,5640500,35366437.0000,-0.316500
2025-03-14,6.3000,6.4900,6.2700,6.4900,10814940,69403419.8900,3.015900
2025-03-17,6.5200,6.5800,6.4300,6.4500,8162500,52949574.0000,-0.616300
2025-03-18,6.4900,6.5000,6.4100,6.4600,5133600,33128276.0000,0.155000
2025-03-19,6.4300,6.5000,6.3900,6.4200,5833500,37553036.0000,-0.619200
2025-03-20,6.4300,6.4700,6.4000,6.4600,4791252,30852799.3600,0.623100
2025-03-21,6.4200,6.5000,6.3000,6.3000,8368800,53500858.0000,-2.476800
