date,open,high,low,close,volume,amount,pctChg
2025-01-02,2.0400,2.0600,1.9700,1.9900,87877898,177578444.0400,-2.451000
2025-01-03,1.9900,2.0200,1.9600,1.9700,99528772,198019595.1200,-1.005000
2025-01-06,1.9600,1.9900,1.9400,1.9700,74890227,147369260.7200,0.000000
2025-01-07,1.9700,2.0000,1.9600,1.9900,56736300,112142810.0000,1.015200
2025-01-08,1.9900,2.0000,1.9300,1.9700,76682860,150380563.6000,-1.005000
2025-01-09,1.9600,1.9700,1.9300,1.9300,59983100,116586577.0000,-2.030500
2025-01-10,1.9400,1.9500,1.9100,1.9200,67019892,129447038.5600,-0.518100
2025-01-13,1.9200,1.9800,1.9200,1.9500,89228725,174383619.7500,1.562500
2025-01-14,1.9500,2.0200,1.9500,2.0200,91632850,182161369.2500,3.589700
2025-01-15,2.0100,2.0200,1.9500,1.9600,87156374,172263820.0400,-2.970300
2025-01-16,1.9700,2.0300,1.9700,1.9900,101668074,203473209.7400,1.530600
2025-01-17,1.9900,2.0000,1.9500,1.9800,62037063,122304841.1100,-0.502500
2025-01-20,1.9900,2.0200,1.9700,1.9800,76004250,151717372.0000,0.000000
2025-01-21,1.9900,1.9900,1.9500,1.9700,57105654,112038717.4100,-0.505100
2025-01-22,1.9500,1.9600,1.9300,1.9500,48963650,95300575.0000,-1.015200
2025-01-23,1.9600,1.9900,1.9500,1.9600,62937747,123988356.6500,0.512800
2025-01-24,1.9500,1.9700,1.9400,1.9600,61350531,120011105.1800,0.000000
2025-01-27,1.9700,2.0100,1.9600,1.9600,73829811,146494245.4600,0.000000
2025-02-05,1.9700,1.9800,1.9300,1.9400,60463853,118052187.5400,-1.020400
2025-02-06,1.9400,1.9700,1.9300,1.9600,70274296,137103934.8900,1.030900
2025-02-07,1.9600,2.0000,1.9500,1.9900,90846835,179590650.7200,1.530600
2025-02-10,1.9900,2.0100,1.9800,1.9900,72383370,144112864.6000,0.000000
2025-02-11,2.0000,2.0000,1.9600,1.9700,57987596,114472400.6000,-1.005000
2025-02-12,1.9700,1.9800,1.9500,1.9700,67902117,133288992.1500,0.000000
2025-02-13,1.9600,1.9800,1.9500,1.9500,66269750,130103706.6900,-1.015200
2025-02-14,1.9500,1.9600,1.9400,1.9500,59616088,116374688.6000,0.000000
2025-02-17,1.9500,1.9800,1.9400,1.9700,68535328,134285269.8800,1.025600
2025-02-18,1.9600,1.9700,1.9300,1.9400,62732064,122109302.8000,-1.522800
2025-02-19,1.9300,1.9400,1.9200,1.9400,60331073,116495868.8900,0.000000
2025-02-20,1.9400,1.9400,1.9200,1.9300,43957599,84827857.0700,-0.515500
2025-02-21,1.9300,1.9500,1.9200,1.9400,59782084,115719322.1200,0.518100
2025-02-24,1.9400,1.9800,1.9300,1.9400,77159302,150913814.0800,0.000000
2025-02-25,1.9400,1.9500,1.9200,1.9300,62076571,120228613.6800,-0.515500
2025-02-26,1.9300,1.9500,1.9300,1.9500,57020405,110630729.7100,1.036300
2025-02-27,1.9500,1.9600,1.9300,1.9400,56260700,109228883.0000,-0.512800
2025-02-28,1.9400,1.9700,1.9200,1.9300,92659800,180414743.0000,-0.515500
2025-03-03,1.9300,1.9500,1.8700,1.8900,118215322,226137911.9500,-2.072500
2025-03-04,1.8800,1.8900,1.8500,1.8700,68441462,127666694.9400,-1.058200
2025-03-05,1.8800,1.8800,1.8500,1.8700,52646618,98281128.6600,0.000000
2025-03-06,1.8700,1.8900,1.8600,1.8800,49186518,92479783.3400,0.534800
2025-03-07,1.8800,1.9000,1.8700,1.8900,47850357,90389903.7200,0.531900
2025-03-10,1.8900,1.9100,1.8800,1.8900,45216798,85628392.7200,0.000000
2025-03-11,1.8800,1.9000,1.8800,1.9000,31483296,59422670.4800,0.529100
2025-03-12,1.9000,1.9100,1.8900,1.8900,51611861,97915721.2900,-0.526300
2025-03-13,1.9000,1.9100,1.8900,1.9100,50963454,96848656.6000,1.058200
2025-03-14,1.9100,1.9400,1.9000,1.9300,79677473,152955860.1600,1.047100
2025-03-17,1.9300,1.9900,1.9300,1.9700,119316200,234820631.1500,2.072500
2025-03-18,1.9700,1.9900,1.9500,1.9800,85691700,169006150.0000,0.507600
2025-03-19,1.9700,1.9800,1.9300,1.9500,89076986,173406341.9400,-1.515200
2025-03-20,1.9500,1.9900,1.9400,1.9700,105453093,207415518.2700,1.025600
2025-03-21,1.9600,2.0600,1.9600,2.0400,239100681,484955727.3700,3.553300
2025-03-24,2.0500,2.0600,1.9700,2.0100,170007306,340753634.1700,-1.470600
2025-03-25,2.0100,2.0400,1.9700,2.0200,112545012,226190081.4500,0.497500
2025-03-26,2.0100,2.0200,1.9800,2.0000,84296010,168412764.9000,-0.990100
2025-03-27,2.0000,2.0000,1.9700,1.9900,70383960,139619395.4200,-0.500000
2025-03-28,1.9800,1.9900,1.9400,1.9400,66610001,130342080.7900,-2.512600
2025-03-31,1.9300,1.9600,1.9100,1.9300,68705516,132831706.7200,-0.515500
2025-04-01,1.9300,1.9600,1.9300,1.9400,61644470,119744859.8000,0.518100
2025-04-02,1.9400,1.9400,1.9000,1.9100,67640740,129935397.8600,-1.546400
2025-04-03,1.9000,1.9300,1.8900,1.9200,70025716,134168411.7200,0.523600
2025-04-07,1.8500,1.8500,1.7300,1.7300,156208000,277118950.4600,-9.895800
2025-04-08,1.7300,1.7800,1.7300,1.7800,92787900,163435177.0000,2.890200
2025-04-09,1.7600,1.8300,1.7300,1.8100,105197943,187565121.5800,1.685400
2025-04-10,1.8300,1.8400,1.8100,1.8300,82483100,150867753.0000,1.105000
2025-04-11,1.8200,1.8400,1.8100,1.8200,56570591,103219867.6200,-0.546400
2025-04-14,1.8300,1.8500,1.8200,1.8300,59142800,108520774.8600,0.549500
2025-04-15,1.8300,1.8400,1.8000,1.8200,43944871,79735185.5100,-0.546400
2025-04-16,1.8100,1.8200,1.7900,1.8000,49575200,89404232.0000,-1.098900
2025-04-17,1.8100,1.8300,1.8000,1.8100,45989976,83520189.3100,0.555600
2025-04-18,1.8200,1.8300,1.8100,1.8200,41121104,74943539.2800,0.552500
2025-04-21,1.8200,1.8400,1.8100,1.8300,37577104,68759806.3200,0.549500
2025-04-22,1.8300,1.8400,1.8200,1.8200,39722467,72616021.9400,-0.546400
2025-04-23,1.8300,1.8400,1.8200,1.8300,35457328,64858340.4900,0.549500
2025-04-24,1.8300,1.8400,1.8100,1.8100,55563885,101277922.6000,-1.092900
2025-04-25,1.8300,1.8500,1.8200,1.8400,60909200,111847987.7500,1.657500
2025-04-28,1.8400,1.8400,1.8100,1.8200,39669248,72350564.3600,-1.087000
2025-04-29,1.8200,1.8500,1.8200,1.8300,55242247,101343626.0100,0.549500
2025-04-30,1.8300,1.8500,1.8200,1.8400,42570094,78314653.0200,0.546400
2025-05-06,1.8300,1.8600,1.8300,1.8600,65631386,121375839.0900,1.087000
2025-05-07,1.8700,1.8800,1.8600,1.8700,55343742,103331342.5400,0.537600
2025-05-08,1.8700,1.8800,1.8500,1.8700,39880697,74601570.4500,0.000000
2025-05-09,1.8700,1.8800,1.8500,1.8600,48415959,90256143.7400,-0.534800
2025-05-12,1.8600,1.8800,1.8500,1.8600,45689310,85202911.6000,0.000000
2025-05-13,1.8800,1.9000,1.8700,1.8800,74845600,140953299.0000,1.075300
2025-05-14,1.8800,1.9000,1.8700,1.8900,64176785,120960967.6500,0.531900
2025-05-15,1.8900,1.9200,1.8700,1.8700,68739605,129955770.3500,-1.058200
2025-05-16,1.8700,1.8800,1.8500,1.8500,53086041,98893993.9300,-1.069500
2025-05-19,1.8600,1.8900,1.8500,1.8800,67716362,126588707.8100,1.621600
2025-05-20,1.8800,1.8900,1.8600,1.8800,62941385,118031298.3300,0.000000
2025-05-21,1.8800,1.9000,1.8800,1.8800,41843768,79012019.6300,0.000000
2025-05-22,1.8800,1.8900,1.8600,1.8700,48283000,90363591.0000,-0.531900
2025-05-23,1.8700,1.8800,1.8500,1.8500,44410808,82735286.8000,-1.069500
2025-05-26,1.8500,1.8700,1.8500,1.8500,39979212,74244707.6200,0.000000
2025-05-27,1.8500,1.8800,1.8400,1.8700,59304457,110523974.0200,1.081100
2025-05-28,1.8700,1.8700,1.8500,1.8600,38777860,72220158.6000,-0.534800
2025-05-29,1.8700,1.9000,1.8600,1.9000,65331716,123278728.1000,2.150500
2025-05-30,1.8900,1.9000,1.8800,1.8800,50252842,94848066.9600,-1.052600
2025-06-03,1.8800,1.9000,1.8700,1.9000,50703400,95620417.0000,1.063800
2025-06-04,1.9000,1.9100,1.8900,1.8900,27430000,52004946.0000,-0.526300
2025-06-05,1.9000,1.9000,1.8700,1.8800,40701600,76538591.0000,-0.529100
2025-06-06,1.8800,1.9000,1.8700,1.9000,47884200,90484357.0000,1.063800
2025-06-09,1.8900,1.9100,1.8900,1.9000,37177200,70543456.0000,0.000000
2025-06-10,1.9000,1.9100,1.8700,1.8900,60790925,114772435.5000,-0.526300
2025-06-11,1.8800,1.9000,1.8800,1.8900,38651301,73133400.6400,0.000000
2025-06-12,1.9000,1.9100,1.8800,1.9000,50855223,96366242.4700,0.529100
2025-06-13,1.9300,2.0900,1.9300,2.0900,478968588,968655125.4100,10.000000
2025-06-16,2.1000,2.1900,2.0300,2.0600,534587101,1128940305.7100,-1.435400
2025-06-17,2.0500,2.1100,1.9900,2.0800,344447055,704722733.6200,0.970900
2025-06-18,2.0800,2.1000,2.0100,2.0300,255156085,522813310.6300,-2.403800
2025-06-19,2.0100,2.1200,1.9800,2.0700,357149876,730198783.8800,1.970400
2025-06-20,2.0300,2.0400,1.9800,1.9900,225726076,451539956.6700,-3.864700
2025-06-23,2.0600,2.0900,2.0300,2.0700,278930863,573665330.2500,4.020100
2025-06-24,1.9600,2.0000,1.9400,1.9600,316599216,621154836.8500,-5.314000
2025-06-25,1.9500,1.9500,1.9200,1.9400,176873245,341404909.1500,-1.020400
2025-06-26,1.9300,1.9600,1.9200,1.9500,154170785,298845967.4000,0.515500
2025-06-27,1.9400,1.9400,1.9200,1.9300,99598871,192163388.3200,-1.025600
2025-06-30,1.9300,1.9500,1.9200,1.9500,130636403,253419519.8200,1.036300
2025-07-01,1.9400,1.9700,1.9300,1.9600,129793553,253837774.8800,0.512800
2025-07-02,1.9700,1.9900,1.9600,1.9700,114905000,226997337.0000,0.510200
2025-07-03,1.9700,1.9800,1.9500,1.9600,84673455,166117885.3500,-0.507600
2025-07-04,1.9600,1.9800,1.9500,1.9600,85408700,167975836.0000,0.000000
2025-07-07,1.9500,1.9600,1.9300,1.9500,84684517,164857098.1500,-0.510200
2025-07-08,1.9600,1.9600,1.9400,1.9600,72157022,140892961.9000,0.512800
2025-07-09,1.9600,1.9800,1.9500,1.9600,102960068,202652378.0700,0.000000
2025-07-10,1.9700,2.0100,1.9600,2.0000,141290112,281881735.0000,2.040800
2025-07-11,2.0000,2.0200,1.9900,2.0100,91892433,184488162.0000,0.500000
2025-07-14,2.0200,2.0400,2.0100,2.0300,105175365,213432260.2800,0.995000
2025-07-15,2.0200,2.0300,1.9600,1.9800,106111600,210670327.0000,-2.463100
2025-07-16,1.9800,2.0000,1.9700,1.9700,68295525,135299324.2500,-0.505100
2025-07-17,1.9700,1.9900,1.9600,1.9800,81351363,160619491.4800,0.507600
2025-07-18,1.9800,2.0000,1.9800,1.9800,70723800,140581325.0000,0.000000
2025-07-21,1.9900,2.0400,1.9800,2.0300,124875191,251687491.1600,2.525300
2025-07-22,2.0300,2.0500,2.0000,2.0500,107442683,218010910.9900,0.985200
2025-07-23,2.0500,2.0600,2.0200,2.0300,86616400,176611674.0000,-0.975600
2025-07-24,2.0200,2.0700,2.0100,2.0700,134245385,275475994.1000,1.970400
