date,open,high,low,close,volume,amount,pctChg
2025-01-02,6.5400,6.7700,6.4700,6.5200,3000601,19878756.4700,-0.458000
2025-01-03,6.5300,6.6300,6.1300,6.2000,3995160,25263433.8000,-4.908000
2025-01-06,6.1400,6.2200,5.8600,6.1600,3319380,20279342.6000,-0.645200
2025-01-07,6.2100,6.3900,6.1400,6.3800,3468600,21719493.2500,3.571400
2025-01-08,6.3800,6.4500,6.1800,6.3900,2712475,17200306.9500,0.156700
2025-01-09,6.4000,6.4500,6.3000,6.3400,2251100,14381395.0000,-0.782500
2025-01-10,6.3200,6.4000,6.1200,6.1400,2159200,13490419.0000,-3.154600
2025-01-13,6.0800,6.2700,5.9500,6.2200,2688500,16513758.0000,1.302900
2025-01-14,6.2800,6.5500,6.1600,6.5400,3123700,20092290.8600,5.144700
2025-01-15,6.5500,6.6400,6.5100,6.5600,2295100,15080576.0000,0.305800
2025-01-16,6.5400,6.8300,6.5400,6.6400,3549501,23726848.6500,1.219500
2025-01-17,6.6500,6.7700,6.5300,6.7400,2588401,17279608.7100,1.506000
2025-01-20,6.7400,6.9600,6.6900,6.8300,3572501,24480414.9200,1.335300
2025-01-21,6.8900,6.9300,6.6300,6.7500,2828101,19085115.7500,-1.171300
2025-01-22,6.7300,6.7600,6.5900,6.6300,2226901,14826470.6200,-1.777800
2025-01-23,6.6900,6.8600,6.6700,6.7400,2175600,14754233.4800,1.659100
2025-01-24,6.7100,6.8000,6.6300,6.7900,2247800,15134947.0000,0.741800
2025-01-27,6.8500,6.9900,6.7800,6.8100,5075700,34860307.0000,0.294600
2025-02-05,6.8800,6.9300,6.7600,6.9000,2432700,16684745.0000,1.321600
2025-02-06,6.9200,6.9800,6.8000,6.9300,3439000,23675621.0000,0.434800
2025-02-07,6.9900,7.0000,6.8300,6.8900,3255600,22564608.0000,-0.577200
2025-02-10,6.9500,7.1300,6.9100,7.1000,3473501,24335798.9400,3.047900
2025-02-11,7.0900,7.1400,6.9700,7.0100,3111800,21829560.0000,-1.267600
2025-02-12,7.0400,7.0700,6.9000,7.0000,2434204,16961657.7700,-0.142700
2025-02-13,7.0000,7.0500,6.8700,6.8800,2042200,14182949.0000,-1.714300
2025-02-14,6.8700,6.9700,6.8000,6.8200,2493300,17130082.0000,-0.872100
2025-02-17,6.8900,7.1100,6.8400,7.0700,4143275,29033687.5000,3.665700
2025-02-18,7.0200,7.0900,6.8200,6.8300,3001954,20810253.6100,-3.394600
2025-02-19,6.8300,7.0000,6.8100,6.9800,2396600,16640689.0000,2.196200
2025-02-20,6.9800,7.0200,6.9200,6.9800,1953100,13606948.0000,0.000000
2025-02-21,7.0100,7.0100,6.7700,6.8500,3258800,22329829.0000,-1.862500
