date,open,high,low,close,volume,amount,pctChg
2025-01-02,5.1100,5.1500,4.9400,4.9700,30213582,152258177.5600,-2.929700
2025-01-03,5.0000,5.0500,4.9300,4.9600,24387076,121492897.6200,-0.201200
2025-01-06,4.9800,5.1200,4.9700,5.0700,26073816,131517292.9600,2.217700
2025-01-07,5.0400,5.0500,4.9100,4.9600,25339506,125649633.9400,-2.169600
2025-01-08,4.9600,4.9800,4.8300,4.9100,20794111,101961076.2600,-1.008100
2025-01-09,4.9000,4.9100,4.8300,4.8300,15400822,74835447.1600,-1.629300
2025-01-10,4.8500,4.8500,4.7700,4.8200,17760888,85566160.3000,-0.207000
2025-01-13,4.7900,4.8300,4.7400,4.8100,16106736,77201316.6400,-0.207500
2025-01-14,4.8200,4.9000,4.7800,4.8900,27552435,133506544.7200,1.663200
2025-01-15,4.8700,4.8900,4.8200,4.8700,16656576,80975531.5100,-0.409000
2025-01-16,4.8700,4.9500,4.8400,4.8600,17393494,85109344.5400,-0.205300
2025-01-17,4.8500,4.9600,4.8100,4.9200,22582676,111089601.4900,1.234600
2025-01-20,4.9500,5.0100,4.9000,4.9200,23166969,114522833.9900,0.000000
2025-01-21,4.9300,4.9600,4.8800,4.9200,11273172,55335949.3200,0.000000
2025-01-22,4.9200,5.0000,4.8500,4.9700,20538471,101106305.7800,1.016300
2025-01-23,4.9900,5.0700,4.8900,4.8900,27211950,134759488.8500,-1.609700
2025-01-24,4.8900,5.0000,4.8300,4.9200,23123932,113683172.4400,0.613500
2025-01-27,4.9200,5.0200,4.9200,4.9900,18060595,90048395.9300,1.422800
2025-02-05,5.0400,5.0500,4.9600,5.0100,19810062,98942936.7300,0.400800
2025-02-06,4.9800,5.0100,4.8900,4.9900,23157213,114794685.7300,-0.399200
2025-02-07,4.9800,5.0500,4.9400,5.0000,26555153,132885321.0300,0.200400
2025-02-10,5.0100,5.0600,4.9900,5.0300,24568756,123474456.1400,0.600000
2025-02-11,5.0300,5.0600,4.9900,5.0500,19575304,98393927.0500,0.397600
2025-02-12,5.0200,5.0500,4.9800,5.0200,17190520,86129968.2000,-0.594100
2025-02-13,5.0200,5.0500,4.9900,5.0200,18602026,93471859.6600,0.000000
2025-02-14,5.0100,5.1300,5.0000,5.1200,27497171,139890088.4900,1.992000
2025-02-17,5.2000,5.3600,5.1400,5.3100,58128680,306418543.1800,3.710900
2025-02-18,5.3500,5.3600,5.0600,5.0900,45403159,233938506.5800,-4.143100
2025-02-19,5.1400,5.2500,5.0600,5.2100,37639898,193928854.1200,2.357600
2025-02-20,5.2000,5.3300,5.1900,5.2500,42642248,224928547.5900,0.767800
2025-02-21,5.2600,5.2600,5.1400,5.1800,44704602,231154440.8200,-1.333300
2025-02-24,5.1800,5.2000,5.1100,5.1200,32882101,169255364.1900,-1.158300
2025-02-25,5.1100,5.1100,5.0300,5.0500,26194180,132528986.1100,-1.367200
2025-02-26,5.0500,5.0700,5.0000,5.0400,29966288,150471007.9600,-0.198000
2025-02-27,5.0400,5.0500,4.9800,5.0400,31280411,156837433.0800,0.000000
2025-02-28,5.0300,5.0800,4.9400,4.9400,53545429,266905040.3800,-1.984100
2025-03-03,4.9600,5.0900,4.9400,5.0600,45175030,227474527.3100,2.429100
2025-03-04,5.0500,5.1300,5.0300,5.0900,23654475,120396410.4000,0.592900
2025-03-05,5.1000,5.1100,5.0100,5.0200,20566444,103444186.7500,-1.375200
2025-03-06,5.0200,5.0500,4.9900,5.0300,25247223,126833063.6800,0.199200
2025-03-07,5.0200,5.0400,4.9700,5.0000,23631334,118088722.0600,-0.596400
2025-03-10,5.0200,5.1000,4.9900,5.0600,28467673,143206375.8200,1.200000
2025-03-11,5.0200,5.0600,4.9800,5.0500,18592158,93518532.4600,-0.197600
2025-03-12,5.0500,5.0600,5.0100,5.0300,15059197,75690757.8600,-0.396000
2025-03-13,5.0300,5.2000,5.0200,5.1100,53869927,274292221.1400,1.590500
2025-03-14,5.0600,5.1300,5.0100,5.1300,46554558,236120858.6400,0.391400
2025-03-17,5.1300,5.1500,5.0800,5.0900,29799359,152126486.1100,-0.779700
2025-03-18,5.1000,5.1400,5.0700,5.1100,21989999,112371944.7300,0.392900
2025-03-19,5.1100,5.2100,5.0900,5.1500,29752970,153383159.2900,0.782800
2025-03-20,5.1300,5.1700,5.0900,5.1100,22792706,116805011.8500,-0.776700
2025-03-21,5.1500,5.2000,5.0600,5.0600,33994477,174174268.4400,-0.978500
2025-03-24,5.0600,5.0900,4.9800,5.0200,30267203,151951411.5900,-0.790500
2025-03-25,5.0400,5.1100,5.0000,5.0900,21719351,110003707.1700,1.394400
2025-03-26,5.0900,5.1000,5.0400,5.0600,20930333,106029183.9600,-0.589400
2025-03-27,5.0600,5.0900,5.0000,5.0700,21713864,109610656.7300,0.197600
