date,open,high,low,close,volume,amount,pctChg
2025-01-02,13.6300,13.7700,13.3100,13.3800,23640193,320101532.1800,-2.121400
2025-01-03,13.3800,13.6300,13.3500,13.4000,18676002,251778352.3800,0.149500
2025-01-06,13.3900,13.5700,13.1500,13.3600,11887367,158812757.1200,-0.298500
2025-01-07,13.3200,13.4000,13.0800,13.1800,13027495,171581502.8500,-1.347300
2025-01-08,13.1000,13.2200,12.9600,13.1400,11311661,148054349.6100,-0.303500
2025-01-09,13.1200,13.1200,12.7300,12.8100,16130428,207649559.3900,-2.511400
2025-01-10,12.7800,12.9100,12.5500,12.5500,12774000,161805264.0000,-2.029700
2025-01-13,12.5000,12.7100,12.4300,12.5800,11995234,150433660.4000,0.239000
2025-01-14,12.5600,12.8500,12.5000,12.8100,12630659,160424467.2200,1.828300
2025-01-15,12.7900,12.8500,12.6800,12.7900,8645582,110326107.8400,-0.156100
2025-01-16,13.0800,14.0700,13.0800,13.7300,60343255,830906383.3300,7.349500
2025-01-17,13.7200,13.8400,13.5900,13.6100,20342507,278305899.4000,-0.874000
2025-01-20,13.6700,13.6700,13.3100,13.3800,15354610,206142363.6000,-1.689900
2025-01-21,13.3800,13.4200,13.0800,13.1900,13224554,174274114.1700,-1.420000
2025-01-22,13.1300,13.2200,12.6300,12.6700,23866225,305431383.8700,-3.942400
2025-01-23,12.8000,13.0700,12.7800,12.8000,19793185,256487176.1500,1.026000
2025-01-24,12.7700,13.0800,12.7000,12.9700,12412395,160283139.5500,1.328100
2025-01-27,12.9700,13.1500,12.9200,13.0600,12313200,160989623.7600,0.693900
2025-02-05,13.1100,13.1200,12.6200,12.6400,16811875,213881210.5000,-3.215900
2025-02-06,12.6500,12.7300,12.5100,12.7200,10350685,130633729.1000,0.632900
2025-02-07,12.6700,12.9000,12.6000,12.8400,13986701,178956579.7600,0.943400
2025-02-10,12.8300,12.9300,12.6500,12.8800,15405840,197595082.1700,0.311500
2025-02-11,12.8600,13.0300,12.7100,12.7500,10993200,140656418.0000,-1.009300
2025-02-12,12.7300,12.7900,12.5500,12.6000,15541500,195985841.0000,-1.176500
2025-02-13,12.6000,12.9200,12.5700,12.6700,17701211,225644421.2800,0.555600
2025-02-14,12.6600,12.8400,12.6100,12.7400,10387801,131940850.6300,0.552500
2025-02-17,12.6700,12.6900,12.3300,12.4100,22747146,282554841.2200,-2.590300
2025-02-18,12.3500,12.4900,12.2000,12.2800,16511667,203844522.4600,-1.047500
2025-02-19,12.2600,12.2600,12.0200,12.0300,20641917,249274462.7700,-2.035800
2025-02-20,12.0600,12.0600,11.9000,11.9400,15560121,186009678.8200,-0.748100
2025-02-21,11.9600,12.0200,11.8200,11.8600,17712933,210480324.7200,-0.670000
2025-02-24,11.8100,11.8900,11.6500,11.8500,22339674,262731793.2400,-0.084300
2025-02-25,11.7800,11.9600,11.6500,11.7200,20411702,241238608.5900,-1.097000
2025-02-26,11.7300,11.8500,11.6500,11.7600,17081697,200439961.3600,0.341300
2025-02-27,11.7500,11.7800,11.6000,11.6500,17819460,207407852.6200,-0.935400
2025-02-28,11.6600,11.7300,11.5100,11.5300,15499866,180151307.2300,-1.030000
2025-03-03,11.5300,11.7100,11.5000,11.5300,18349932,212428243.0800,0.000000
2025-03-04,11.4800,11.4900,11.3000,11.3200,18846184,214150829.5600,-1.821300
2025-03-05,11.2900,11.3200,11.1200,11.2000,18468655,206486149.3700,-1.060100
2025-03-06,11.2200,11.3100,11.1300,11.2900,15300590,172130930.7400,0.803600
2025-03-07,11.3000,11.5900,11.2600,11.5000,22784038,260811412.8800,1.860100
2025-03-10,11.5000,11.7800,11.4500,11.6700,24127978,281438493.7900,1.478300
2025-03-11,11.5900,11.7400,11.5400,11.7000,13840922,161335144.9600,0.257100
2025-03-12,11.7300,11.7400,11.5600,11.6400,11855021,137955028.0000,-0.512800
2025-03-13,11.7300,12.6600,11.7000,12.4500,59517826,733423074.4100,6.958800
2025-03-14,12.3700,12.4200,12.1200,12.3100,30667490,376080603.7400,-1.124500
2025-03-17,12.2400,12.4100,12.1800,12.3900,20750712,255572300.9700,0.649900
2025-03-18,12.3900,12.4800,12.1800,12.3200,15102796,185828956.7200,-0.565000
2025-03-19,12.2900,12.3400,12.1900,12.2800,10932938,134189752.9400,-0.324700
2025-03-20,12.2600,12.6200,12.2600,12.4900,28127191,350506884.9500,1.710100
2025-03-21,12.4700,12.5800,12.2800,12.3800,14439648,179441670.0200,-0.880700
2025-03-24,12.3400,12.5400,12.2500,12.3800,11577207,143291112.6000,0.000000
2025-03-25,12.3800,12.6000,12.3100,12.5500,23004229,287593509.8800,1.373200
2025-03-26,12.5800,12.6800,12.3600,12.5800,21393860,267868825.6000,0.239000
2025-03-27,12.5600,12.6100,12.2000,12.2500,21983767,271336127.1900,-2.623200
2025-03-28,12.2700,12.3000,11.9600,12.0100,17995618,217404405.4200,-1.959200
2025-03-31,12.0100,12.1500,11.8300,11.8900,13148148,157683543.9200,-0.999200
2025-04-01,11.9200,12.1800,11.9100,12.1400,12949348,156849609.7200,2.102600
2025-04-02,12.1400,12.2500,12.0000,12.1300,11129392,135143530.8100,-0.082400
2025-04-03,12.0200,12.1300,11.9800,12.1000,8377738,101006813.6600,-0.247300
