date,open,high,low,close,volume,amount,pctChg
2025-01-02,14.8700,14.9800,14.1200,14.2700,41600698,607102950.3300,-4.739700
2025-01-03,14.3000,14.3700,13.8000,13.8500,28892200,404433246.4000,-2.943200
2025-01-06,13.7600,14.2600,13.7000,14.0500,21288887,296284931.0500,1.444000
2025-01-07,14.0500,14.1200,13.8100,14.0800,18591775,260016851.3500,0.213500
2025-01-08,14.0000,14.0800,13.5700,13.9100,20463162,282694241.8000,-1.207400
2025-01-09,13.8800,13.9700,13.7300,13.7600,13271089,183716170.3900,-1.078400
2025-01-10,13.7300,13.8400,13.4100,13.4100,14991817,204119681.1800,-2.543600
2025-01-13,13.2400,13.5400,13.2100,13.4600,12787758,171362557.9600,0.372900
2025-01-14,13.4400,13.9300,13.4400,13.9000,25649926,352642542.6200,3.268900
2025-01-15,13.8600,13.8800,13.6700,13.7200,13094728,179948417.9600,-1.295000
2025-01-16,13.8000,13.9400,13.5500,13.6600,15746817,216355481.9300,-0.437300
2025-01-17,13.6000,13.7400,13.5700,13.6300,12263692,167520422.0400,-0.219600
2025-01-20,13.7400,13.8400,13.6200,13.6700,13762100,189063131.0000,0.293500
2025-01-21,13.7800,13.8000,13.5300,13.6800,10688100,145796332.1700,0.073200
2025-01-22,13.5900,13.6900,13.5400,13.6500,10001000,136000841.0000,-0.219300
2025-01-23,13.8900,14.1200,13.6500,13.6500,23606632,327748015.5600,0.000000
2025-01-24,13.6500,13.7700,13.6100,13.7400,15331584,209963352.4800,0.659300
2025-01-27,13.8200,13.8400,13.2500,13.2700,18472088,249543268.2800,-3.420700
2025-02-05,13.3700,13.4400,13.2700,13.3800,12618014,168564725.6200,0.828900
2025-02-06,13.3500,13.9200,13.3200,13.8400,27011288,370070848.5600,3.438000
2025-02-07,13.7700,14.3000,13.7500,14.0300,32766550,459042783.5600,1.372800
2025-02-10,13.9800,14.1000,13.9600,14.0600,18089100,253887262.0000,0.213800
2025-02-11,14.0500,14.0600,13.8100,13.9200,14566500,202470778.0000,-0.995700
2025-02-12,13.8600,14.1200,13.8400,14.1200,17599258,245908337.7400,1.436800
2025-02-13,14.1200,14.2300,13.9100,13.9600,22973700,322438533.1200,-1.133100
2025-02-14,13.9600,14.1100,13.9100,14.0200,14472189,202753657.8800,0.429800
2025-02-17,15.0000,15.4200,14.7200,15.0400,123700347,1882188007.3200,7.275300
2025-02-18,14.5500,16.1600,14.5500,15.3000,108357841,1650880537.1900,1.728700
2025-02-19,15.1700,16.8300,15.1700,16.3500,137669810,2221903334.6100,6.862700
2025-02-20,16.0400,16.9300,15.8900,16.5700,113932406,1880642205.6600,1.345600
2025-02-21,16.6000,16.9900,16.1600,16.4400,103761362,1707851157.4700,-0.784600
2025-02-24,16.2000,16.5300,15.7900,16.0000,68251584,1098070643.9200,-2.676400
2025-02-25,15.8000,16.4200,15.7400,15.8300,58003011,931290145.7300,-1.062500
2025-02-26,16.0000,16.9200,15.6800,16.7300,93284390,1514829160.1200,5.685400
2025-02-27,16.2900,16.6800,16.0000,16.4400,88508956,1443939385.1600,-1.733400
2025-02-28,16.3400,17.2000,15.8000,15.8000,81496824,1339009932.8200,-3.892900
2025-03-03,16.0500,16.5800,15.7900,16.0000,62129669,1004933366.6600,1.265800
2025-03-04,15.7800,16.2400,15.7800,15.9700,40537212,649532692.2600,-0.187500
2025-03-05,15.8800,16.0800,15.7500,15.8900,40792942,647525844.3000,-0.500900
2025-03-06,15.9600,17.1000,15.8400,16.7300,102299764,1694486503.9900,5.286300
2025-03-07,16.4800,16.8500,16.2300,16.3600,61499938,1011208852.5600,-2.211600
2025-03-10,16.2200,16.3500,16.0200,16.1300,32917058,530723415.5400,-1.405900
2025-03-11,15.9800,16.4900,15.9500,16.2200,47247323,768188139.8600,0.558000
2025-03-12,16.2700,16.9500,16.2400,16.5400,82098675,1364657697.2700,1.972900
2025-03-13,16.3600,17.3900,16.3600,16.7800,84340977,1423852758.3500,1.451000
2025-03-14,16.9500,18.4600,16.8000,18.4600,130099235,2344712248.0300,10.011900
2025-03-17,18.4600,18.4600,17.6400,17.6700,126499041,2264859835.5100,-4.279500
2025-03-18,17.8000,18.4500,17.7200,17.8700,99027922,1782133141.4100,1.131900
2025-03-19,17.9200,18.3800,17.7000,18.1800,89399069,1612472635.2800,1.734800
2025-03-20,17.9500,18.0200,17.5600,17.6500,64402017,1141832041.2000,-2.915300
2025-03-21,17.5200,18.0700,17.3700,17.4900,66262300,1172687311.0000,-0.906500
2025-03-24,17.4000,17.6900,17.0800,17.3700,50561911,873068017.9600,-0.686100
2025-03-25,17.3000,17.3000,16.6000,16.7500,51379434,865063746.1600,-3.569400
2025-03-26,16.6000,16.8700,16.6000,16.6100,33418470,558793703.2200,-0.835800
