date,open,high,low,close,volume,amount,pctChg
2025-01-02,5.3900,5.4300,5.1300,5.1700,40756059,214489845.7800,-4.436200
2025-01-03,5.1500,5.1800,5.0000,5.0100,31712980,160997561.7800,-3.094800
2025-01-06,5.0100,5.0700,4.9700,5.0000,23675653,118684804.7600,-0.199600
2025-01-07,4.9900,5.0600,4.9500,5.0200,22576113,113011946.2200,0.400000
2025-01-08,5.0300,5.0400,4.8800,5.0000,24766003,122737531.9700,-0.398400
2025-01-09,5.0100,5.0900,4.9800,5.0300,21945238,110524720.6900,0.600000
2025-01-10,5.0500,5.1500,4.9900,4.9900,22350716,113043531.8600,-0.795200
2025-01-13,5.0300,5.1400,5.0100,5.0600,26265308,133006407.7100,1.402800
2025-01-14,5.0800,5.2000,5.0400,5.1800,26336500,135237966.0000,2.371500
2025-01-15,5.1800,5.2000,5.1100,5.1800,18787801,96886724.1700,0.000000
2025-01-16,5.2000,5.2800,5.1600,5.2100,20755400,108225396.0000,0.579200
2025-01-17,5.1900,5.2600,5.1600,5.2300,17417546,90883934.4600,0.383900
2025-01-20,5.2500,5.2700,5.0600,5.0600,36901703,188719858.8800,-3.250500
2025-01-21,5.1400,5.2500,5.0900,5.1200,31430856,161868992.8300,1.185800
2025-01-22,5.1300,5.1800,5.0700,5.0800,21056687,107542127.7000,-0.781300
2025-01-23,5.1400,5.1900,5.0800,5.0800,25342100,129909798.0000,0.000000
2025-01-24,5.0800,5.1600,5.0600,5.1400,20866760,107068114.4000,1.181100
2025-01-27,5.1600,5.2200,5.1300,5.1700,26709521,138371433.3800,0.583700
2025-02-05,5.1900,5.2700,5.1600,5.2000,25924620,134995125.8000,0.580300
2025-02-06,5.2000,5.2500,5.1400,5.2100,27098901,140598292.2000,0.192300
2025-02-07,5.2200,5.3300,5.1900,5.3000,32400093,171305282.1800,1.727400
2025-02-10,5.2800,5.3300,5.2400,5.2700,26070646,137605494.1400,-0.566000
2025-02-11,5.2900,5.3400,5.2600,5.3000,23674696,125729124.8000,0.569300
2025-02-12,5.3200,5.3700,5.2600,5.3600,25474061,135593424.8500,1.132100
2025-02-13,5.3400,5.3900,5.3200,5.3400,21849459,117071718.8000,-0.373100
2025-02-14,5.3800,5.4900,5.3400,5.4400,30428050,164693763.9900,1.872700
2025-02-17,5.4500,5.5300,5.4000,5.4700,32519801,177868523.5000,0.551500
2025-02-18,5.4800,5.4800,5.3300,5.3400,28889001,155372800.3700,-2.376600
2025-02-19,5.3500,5.4100,5.3100,5.3200,28668601,153484814.3300,-0.374500
2025-02-20,5.3400,5.3900,5.2800,5.3700,30823293,164783907.1800,0.939800
2025-02-21,5.4500,5.5500,5.3900,5.4000,46148001,251955642.4000,0.558700
2025-02-24,5.4300,5.4900,5.3100,5.3100,49640688,266514567.0300,-1.666700
2025-02-25,5.3000,5.3100,5.1900,5.2000,31241921,163814128.7400,-2.071600
2025-02-26,5.2000,5.2300,5.1700,5.1900,25924903,134675564.5500,-0.192300
2025-02-27,5.2000,5.2900,5.1600,5.2800,39677464,208397820.6400,1.734100
2025-02-28,5.2500,5.2700,5.1400,5.1500,30432600,158223141.0000,-2.462100
2025-03-03,5.2000,5.2200,5.1200,5.1500,23890800,123544932.0000,0.000000
2025-03-04,5.1300,5.1800,5.0800,5.1700,21064560,108097429.6000,0.388300
2025-03-05,5.1300,5.1600,5.0300,5.0800,28268600,143274300.0000,-1.740800
2025-03-06,5.0900,5.1700,5.0700,5.1500,32026915,164121471.2900,1.378000
2025-03-07,5.1700,5.1900,5.1000,5.1100,25102958,129140299.3800,-0.776700
2025-03-10,5.1000,5.1500,5.0700,5.1300,22664376,115864899.5200,0.391400
2025-03-11,5.0800,5.1300,5.0200,5.1200,22172462,112959002.6100,-0.194900
2025-03-12,5.1200,5.1500,5.0500,5.1200,31491219,160333864.2800,0.000000
2025-03-13,5.1000,5.1300,4.9900,5.0200,37443830,188579724.3000,-1.953100
2025-03-14,5.0300,5.1100,5.0200,5.1100,35312800,179156208.0000,1.792800
2025-03-17,5.1000,5.1600,5.0900,5.1100,29097900,149118032.0000,0.000000
2025-03-18,5.1400,5.1400,5.0700,5.1000,26650612,135954712.1000,-0.195700
2025-03-19,5.0900,5.1700,5.0800,5.1400,32349435,166129510.5500,0.784300
2025-03-20,5.1400,5.2100,5.1100,5.1900,30052371,155649562.9200,0.972800
2025-03-21,5.1800,5.2700,5.1400,5.1800,36174715,188049998.7000,-0.192700
2025-03-24,5.1900,5.2100,5.0600,5.1700,35517500,182016984.0000,-0.193100
2025-03-25,5.1400,5.3300,5.1300,5.3200,56043258,295557131.3100,2.901400
2025-03-26,5.3000,5.3100,5.2100,5.2200,37604502,197293795.6800,-1.879700
2025-03-27,5.2100,5.2300,5.1300,5.2200,24454227,126984470.4000,0.000000
2025-03-28,5.2100,5.2300,5.1000,5.1100,24467465,125885576.0500,-2.107300
2025-03-31,5.1100,5.1200,4.9900,5.0000,33689094,169718783.0000,-2.152600
2025-04-01,5.0000,5.1000,4.9900,5.0800,25582500,129533322.0000,1.600000
2025-04-02,5.0600,5.5300,5.0300,5.2400,77069128,403528548.2200,3.149600
2025-04-03,5.1000,5.1300,5.0000,5.0300,76426663,386524022.8700,-4.007600
2025-04-07,4.5600,4.7900,4.5300,4.5300,69031300,317636817.9600,-9.940400
2025-04-08,4.5400,4.6600,4.4800,4.6300,99415379,454255059.8400,2.207500
2025-04-09,4.5100,4.7200,4.3800,4.6700,125166467,569215380.5000,0.863900
2025-04-10,4.7200,4.7800,4.6600,4.7000,75878278,358551650.6000,0.642400
2025-04-11,4.6800,4.7500,4.6200,4.7000,48356847,227118995.3100,0.000000
2025-04-14,4.7400,4.9200,4.7200,4.8200,57630911,276887243.2300,2.553200
2025-04-15,4.8000,4.8000,4.6600,4.6800,44858000,210814763.0000,-2.904600
2025-04-16,4.6800,4.6800,4.5100,4.5400,48391919,220755603.8800,-2.991500
2025-04-17,4.5100,4.6000,4.5000,4.5600,26553890,121128824.1000,0.440500
2025-04-18,4.5700,4.5700,4.5100,4.5400,21423700,97188110.0000,-0.438600
2025-04-21,4.5400,4.6000,4.5200,4.5800,21346200,97512818.0000,0.881100
2025-04-22,4.5700,4.6200,4.5700,4.5900,21317346,97836404.1400,0.218300
2025-04-23,4.6100,4.6400,4.5700,4.5900,24282901,111648213.5800,0.000000
