date,open,high,low,close,volume,amount,pctChg
2025-01-02,8.2900,8.3700,8.0600,8.1300,5476900,45015144.1500,-1.811600
2025-01-03,8.1300,8.1600,7.7800,7.7900,4855200,38671913.0000,-4.182000
2025-01-06,7.8600,7.9800,7.5700,7.8900,4727100,36938511.0000,1.283700
2025-01-07,7.8900,8.0100,7.8000,8.0000,3573200,28251857.0000,1.394200
2025-01-08,7.9600,8.0700,7.7400,8.0000,4451200,35304985.0000,0.000000
2025-01-09,7.9200,8.0800,7.9100,8.0100,2834700,22753298.0000,0.125000
2025-01-10,8.0500,8.1500,7.9100,7.9100,2775600,22332066.0000,-1.248400
2025-01-13,7.8900,8.0000,7.7100,7.9200,3373900,26595611.0000,0.126400
2025-01-14,8.0000,8.3800,7.9900,8.3700,5219200,43059860.0000,5.681800
2025-01-15,8.3700,8.4500,8.3300,8.4500,3620300,30397242.0000,0.955800
2025-01-16,8.4200,8.6400,8.4200,8.5600,4729600,40240876.0000,1.301800
2025-01-17,8.6000,8.8300,8.5500,8.7100,4673301,40800420.7200,1.752300
2025-01-20,8.7100,9.0000,8.7100,8.9200,6003101,53401484.9100,2.411000
2025-01-21,8.8800,9.0500,8.8500,9.0300,5618200,50426297.0000,1.233200
2025-01-22,8.9900,9.1200,8.9800,9.0800,5962300,53976629.0000,0.553700
2025-01-23,9.1200,9.1300,8.9400,8.9900,6186100,55712481.0000,-0.991200
2025-01-24,8.9500,9.1800,8.9500,9.1700,6510098,59202086.2800,2.002200
2025-01-27,9.1700,9.2500,9.0700,9.0700,3915900,35809864.0000,-1.090500
2025-02-05,9.1600,9.1700,9.0000,9.1400,4590100,41665009.0000,0.771800
2025-02-06,9.1000,9.3500,9.0900,9.3000,7659400,70844851.0000,1.750500
2025-02-07,9.2800,9.3100,9.0700,9.1900,7637885,70329312.2000,-1.182800
2025-02-10,9.2000,9.2800,9.1400,9.1800,4617200,42446772.0000,-0.108800
2025-02-11,9.1700,9.4800,9.1100,9.2700,7460700,69121030.0000,0.980400
2025-02-12,9.5300,10.2000,9.5000,10.2000,6542821,65470344.3900,10.032400
2025-02-13,11.2200,11.2200,11.2200,11.2200,4994251,56035496.2200,10.000000
2025-02-14,12.3400,12.3400,11.9800,12.3400,59453906,732171352.4900,9.982200
2025-02-17,12.7700,13.5700,12.7700,13.5700,47099436,630804904.1400,9.967600
2025-02-18,14.9300,14.9300,14.9300,14.9300,14326847,213899825.7100,10.022100
2025-02-19,15.8800,16.4200,15.5200,16.4200,28999668,465942450.1800,9.979900
2025-02-20,18.0600,18.0600,18.0600,18.0600,4418900,79805334.0000,9.987800
2025-02-21,19.0900,19.8700,18.9000,19.8700,116378669,2283642571.4500,10.022100
2025-02-24,17.8800,17.8800,17.8800,17.8800,18082500,323315100.0000,-10.015100
2025-02-25,16.0900,19.0600,16.0900,17.5000,109880169,1894883420.4900,-2.125300
2025-02-26,17.1500,19.2500,16.8800,19.2500,107818619,1972026550.3400,10.000000
2025-02-27,18.4000,18.9700,17.5000,18.1900,82464422,1503778920.3900,-5.506500
2025-02-28,17.9200,18.9500,16.3700,17.3600,79734331,1388740745.1800,-4.562900
2025-03-03,17.3300,18.7000,16.9200,17.6800,69342620,1247865258.3300,1.843300
2025-03-04,18.3800,19.4500,18.3600,19.4500,55815568,1076125491.5600,10.011300
2025-03-05,20.0000,21.4000,19.9200,20.8300,130735096,2739634962.1100,7.095100
2025-03-06,20.1200,22.9100,20.0200,22.9100,93775177,2070995373.7700,9.985600
2025-03-07,21.5400,25.1000,21.1100,23.9700,119254740,2745061714.8700,4.626800
2025-03-10,22.0000,23.2800,21.5700,21.5700,90386000,1990430341.8700,-10.012500
2025-03-11,20.0600,21.6000,20.0600,21.0000,67071352,1372527102.3300,-2.642600
2025-03-12,21.1000,21.6400,20.5900,21.1600,58847222,1242525820.2100,0.761900
2025-03-13,20.6000,20.8500,19.0900,19.2100,55398368,1095169593.0000,-9.215500
2025-03-14,18.7300,19.7700,17.9100,19.1800,57373117,1080626694.6000,-0.156200
2025-03-17,19.0800,20.4400,19.0700,20.4400,60790209,1217927387.0800,6.569300
2025-03-18,20.4000,20.4400,19.6500,20.0500,48049087,961170542.4000,-1.908000
2025-03-19,19.8000,21.4500,19.7200,21.2300,68489723,1431536435.5500,5.885300
2025-03-20,21.2300,21.8300,20.4200,21.1200,63308660,1337622356.1500,-0.518100
2025-03-21,20.6400,20.7800,19.3700,19.6600,44015870,884500480.2400,-6.912900
2025-03-24,19.0000,20.7700,18.7100,20.3000,46056833,911645035.3500,3.255300
2025-03-25,20.1500,20.4800,18.2700,18.3600,46298973,895153425.8000,-9.556700
2025-03-26,17.8600,19.2600,17.8600,18.4400,37125603,692580535.9200,0.435700
2025-03-27,18.4400,18.7800,17.6900,17.7200,34806592,629446214.8200,-3.904600
2025-03-28,17.6800,18.2500,17.6500,17.7100,25469764,455234603.2400,-0.056400
2025-03-31,17.2300,18.0700,16.7800,17.8000,32035708,553533481.0900,0.508200
2025-04-01,17.8000,17.9600,17.1900,17.3500,23595411,413306010.1600,-2.528100
2025-04-02,17.3000,17.6900,17.2200,17.3600,18829940,328463502.8000,0.057600
2025-04-03,17.0300,17.5400,16.8300,16.9200,18349763,313599440.4500,-2.534600
2025-04-07,15.3500,15.7400,15.2300,15.2300,6608400,101433356.0000,-9.988200
2025-04-08,14.5000,14.8000,13.7100,14.0200,36091577,507089129.0700,-7.944800
2025-04-09,13.5700,15.4200,12.9200,15.4200,48242678,702877114.4800,9.985700
2025-04-10,15.9300,16.9600,15.9000,16.6700,62073400,1029114654.5200,8.106400
2025-04-11,16.3000,17.2600,16.3000,16.8900,47068607,794259828.9100,1.319700
2025-04-14,17.2000,17.3500,16.8900,16.9900,31753927,542424679.7000,0.592100
2025-04-15,16.9800,17.8200,16.8000,17.5700,42393596,733496054.3800,3.413800
2025-04-16,17.2000,18.1900,17.0300,17.2200,44510436,779661698.4100,-1.992000
2025-04-17,16.8400,17.3900,16.6300,16.6500,35131288,594959134.3600,-3.310100
2025-04-18,16.6500,16.8500,16.3800,16.5800,20999700,348285257.0000,-0.420400
2025-04-21,16.3700,17.2400,16.3300,17.1300,29223300,490480140.0000,3.317200
2025-04-22,17.0000,17.1600,16.6100,16.6100,20113100,337234739.0000,-3.035600
2025-04-23,16.7100,18.2700,16.7100,18.2700,37409921,668117605.9400,9.994000
2025-04-24,18.7400,19.5000,18.3300,18.5400,80533900,1520938770.9900,1.477800
2025-04-25,18.5400,19.2800,18.0300,19.0200,57362700,1073983301.0000,2.589000
2025-04-28,19.0000,19.0000,18.2600,18.3200,33780500,623986727.0000,-3.680300
2025-04-29,18.0000,19.5000,17.8900,19.5000,55489306,1053099315.6800,6.441000
2025-04-30,19.4000,21.4500,19.2100,20.0900,67713200,1349732424.0000,3.025600
2025-05-06,20.0900,20.9900,19.9200,20.2700,58034599,1178030765.6900,0.896000
2025-05-07,20.3200,21.5700,19.9000,21.2800,68047790,1407856630.6200,4.982700
2025-05-08,20.8000,21.4000,20.6100,20.8700,43628597,915008194.0600,-1.926700
2025-05-09,20.6500,20.6600,19.7000,20.0100,36323200,730929292.0000,-4.120700
2025-05-12,20.2600,20.7900,20.1900,20.2800,30094331,614601385.2800,1.349300
2025-05-13,20.4500,20.8100,20.0000,20.2800,33370200,680401177.0000,0.000000
2025-05-14,20.0000,20.3600,19.7100,19.8900,29716801,593599716.0800,-1.923100
2025-05-15,19.7000,19.9600,19.2400,19.2600,25619646,498365736.3800,-3.167400
2025-05-16,19.2000,20.9500,19.0500,20.2400,57504406,1173066243.4000,5.088300
2025-05-19,19.9700,20.3300,19.2600,19.8200,35535000,697947320.0000,-2.075100
2025-05-20,19.8200,19.8700,19.3800,19.4900,22812600,446239281.8000,-1.665000
2025-05-21,19.3100,19.3500,18.7800,18.8600,26357100,499070934.0000,-3.232400
2025-05-22,18.7900,19.0500,18.5000,18.5300,17185301,322236789.6000,-1.749700
2025-05-23,18.6300,18.8800,18.1000,18.1500,22916900,423387768.0000,-2.050700
2025-05-26,18.1500,18.3600,17.9200,18.3600,17242800,312297735.0000,1.157000
2025-05-27,18.2700,18.2700,17.9000,18.0000,15586935,281166670.2500,-1.960800
2025-05-28,17.9800,18.3000,17.8000,17.8300,16225200,291697284.0000,-0.944400
2025-05-29,17.7100,18.1400,17.7100,17.9200,15004600,269300655.0000,0.504800
2025-05-30,17.9100,17.9100,17.1500,17.2300,15955700,276969280.2500,-3.850400
2025-06-03,17.0100,17.5600,16.9500,17.3300,12386800,214737930.0000,0.580400
2025-06-04,17.4100,17.5400,17.2800,17.3900,10351275,179945662.0000,0.346200
2025-06-05,17.5000,17.8400,17.2200,17.6700,20279600,356669569.0000,1.610100
2025-06-06,17.6100,17.8400,17.3200,17.4400,12410500,216769813.0000,-1.301600
2025-06-09,17.4800,17.7800,17.4500,17.5000,11499100,202237216.0000,0.344000
2025-06-10,17.5000,17.5900,16.7200,17.1700,18968500,324378082.0000,-1.885700
2025-06-11,17.2100,17.6700,17.1100,17.3300,17567400,305129836.0000,0.931900
2025-06-12,17.1600,17.2700,17.0300,17.0800,11624000,199202869.0000,-1.442600
2025-06-13,17.0300,17.0500,16.6100,16.6800,12196400,204319645.0000,-2.341900
2025-06-16,16.4500,16.8300,16.4500,16.7400,7875397,131675155.6600,0.359700
2025-06-17,16.7000,16.9000,16.6200,16.7300,7838800,131246687.0000,-0.059700
2025-06-18,16.7400,16.8500,16.4800,16.7300,9733300,161978496.0000,0.000000
2025-06-19,16.7300,17.0400,16.4000,16.4600,17033800,285364868.0000,-1.613900
2025-06-20,16.5500,16.6000,15.9900,16.0200,12650700,204555211.0000,-2.673100
2025-06-23,15.7600,16.1500,15.7600,16.0700,8864400,142080119.0000,0.312100
2025-06-24,16.2700,17.6800,16.1800,17.6800,28915200,497513627.0000,10.018700
2025-06-25,18.6000,19.3900,18.2100,19.0600,76555579,1443868714.0200,7.805400
2025-06-26,18.7500,19.5000,18.6400,18.6800,54925600,1041583720.0000,-1.993700
2025-06-27,18.7800,18.8400,18.3500,18.6800,31122270,579597146.1100,0.000000
2025-06-30,18.8000,18.8000,18.5800,18.7300,26067258,487145765.8600,0.267700
2025-07-01,18.7300,18.7400,18.4300,18.5400,17808201,330422845.4700,-1.014400
2025-07-02,18.6000,18.6000,17.7800,17.9200,21732700,393117915.0000,-3.344100
2025-07-03,17.9700,18.2700,17.7000,17.8500,14371901,257115532.7400,-0.390600
2025-07-04,17.8000,17.9900,17.6500,17.6900,14248800,253496307.0000,-0.896400
2025-07-07,17.5800,17.8100,17.5000,17.7800,11656700,205914414.9000,0.508800
2025-07-08,17.6800,18.0600,17.5600,17.9300,17127010,305926695.1000,0.843600
2025-07-09,18.2900,19.4900,18.0300,18.1900,45319352,847363744.8800,1.450100
2025-07-10,17.8500,17.9100,17.2100,17.2900,28187593,491231399.5100,-4.633200
2025-07-11,17.2700,17.9800,17.1200,17.7800,25310843,443983554.0000,2.834000
2025-07-14,18.1000,18.8200,17.7600,18.6800,39533835,727003931.6800,5.061900
2025-07-15,18.6900,18.7600,18.2500,18.4800,26052341,480612697.0400,-1.070700
2025-07-16,18.6000,18.9700,18.2300,18.4600,26806900,498653751.6500,-0.108200
2025-07-17,18.3000,18.8600,18.1000,18.6600,27088900,503075635.0000,1.083400
2025-07-18,18.5800,18.7800,18.3600,18.4900,18303900,339020864.0000,-0.911000
2025-07-21,18.8000,19.1400,18.5100,19.0200,38541976,726279001.4800,2.866400
