date,open,high,low,close,volume,amount,pctChg
2025-01-02,8.2800,8.3100,7.9800,8.0500,17610646,143479616.7800,-2.895100
2025-01-03,8.0600,8.1800,7.9300,7.9600,12398820,99808335.5900,-1.118000
2025-01-06,7.9700,8.1300,7.8900,8.0700,10465597,84020664.0100,1.381900
2025-01-07,8.0800,8.1900,8.0100,8.1100,8841470,71598977.1900,0.495700
2025-01-08,8.1100,8.1100,7.8400,7.9900,13081490,103977505.7000,-1.479700
2025-01-09,7.9600,8.0200,7.9300,7.9400,7614600,60678861.0000,-0.625800
2025-01-10,7.9400,7.9800,7.8200,7.8200,7369351,58127165.8800,-1.511300
2025-01-13,7.7300,7.8500,7.7000,7.8200,8930740,69389736.7000,0.000000
2025-01-14,7.8200,8.0200,7.8000,8.0000,12193710,96889988.6000,2.301800
2025-01-15,8.0000,8.0000,7.9000,7.9300,8357600,66311268.0000,-0.875000
2025-01-16,7.9500,8.1000,7.9300,7.9900,10143826,81293812.3700,0.756600
2025-01-17,7.9600,8.0800,7.9500,8.0700,7697410,61739845.9000,1.001300
2025-01-20,8.1200,8.2100,8.0900,8.1200,8165887,66414125.5700,0.619600
2025-01-21,8.1600,8.1600,8.0500,8.0900,5800206,46872495.5400,-0.369500
2025-01-22,8.1000,8.1200,8.0000,8.1000,6290177,50715997.6300,0.123600
2025-01-23,8.1500,8.2000,8.0900,8.0900,8126531,66228085.2900,-0.123500
2025-01-24,8.0800,8.2400,8.0700,8.2400,8138406,66569880.4400,1.854100
2025-01-27,8.2200,8.3000,8.1900,8.2100,7520100,62003963.9000,-0.364100
2025-02-05,8.2300,8.2700,8.0400,8.0600,12123213,98405857.7800,-1.827000
2025-02-06,8.0300,8.2200,8.0300,8.2100,9174894,74697997.4800,1.861000
2025-02-07,8.2300,8.3100,8.1800,8.2600,13437653,110939340.5400,0.609000
2025-02-10,8.2800,8.2800,8.1500,8.1900,14793433,121111072.0300,-0.847500
2025-02-11,8.1900,8.2300,8.0600,8.1200,12335272,99914577.2400,-0.854700
2025-02-12,8.1300,8.1600,8.0700,8.1400,10443231,84762601.3300,0.246300
2025-02-13,8.1300,8.1600,8.0400,8.0600,17541272,141681601.3100,-0.982800
2025-02-14,8.0300,8.1300,8.0300,8.0700,11144849,90000241.7000,0.124100
2025-02-17,8.0700,8.0700,7.9700,8.0000,15291905,122290204.1500,-0.867400
2025-02-18,8.0200,8.1200,7.9600,8.0000,18207884,146733616.1600,0.000000
2025-02-19,7.9800,8.0500,7.9300,8.0300,12079074,96605806.4200,0.375000
2025-02-20,8.0100,8.0200,7.9300,8.0000,12762080,101702517.4000,-0.373600
2025-02-21,7.9900,8.1200,7.9800,8.0800,19155594,154499195.4200,1.000000
2025-02-24,8.2800,8.6200,8.2500,8.4000,50864008,429555385.3900,3.960400
2025-02-25,8.3300,8.6400,8.2400,8.5100,34767513,294884723.7700,1.309500
2025-02-26,8.5300,8.7900,8.5100,8.7300,41372128,358924642.3000,2.585200
2025-02-27,8.7300,9.0000,8.6800,8.9400,58747909,520744764.4600,2.405500
2025-02-28,8.9300,8.9700,8.7400,8.7900,36690081,324433851.0700,-1.677900
2025-03-03,8.9300,9.1400,8.8200,8.8900,44222092,397427350.7100,1.137700
2025-03-04,8.7000,8.8500,8.5800,8.7800,27543123,241492931.1100,-1.237300
2025-03-05,8.7800,8.9200,8.7200,8.7900,21492553,189172871.3700,0.113900
2025-03-06,8.8200,8.8600,8.7500,8.7900,20268080,178093251.9900,0.000000
2025-03-07,8.7800,8.7900,8.6400,8.6900,19224219,167514041.3900,-1.137700
2025-03-10,8.6900,8.7500,8.6600,8.6900,13527420,117688197.9000,0.000000
2025-03-11,8.6100,8.7800,8.6000,8.7300,15231640,132421152.6000,0.460300
2025-03-12,8.7400,8.7600,8.6700,8.7100,13385960,116564833.9000,-0.229100
2025-03-13,8.7000,8.7200,8.5000,8.6100,14704780,126158752.0000,-1.148100
2025-03-14,8.6100,8.7200,8.5400,8.7100,19625751,169718237.0300,1.161400
2025-03-17,8.7700,8.8000,8.6900,8.7400,13847857,120958696.4300,0.344400
2025-03-18,8.7600,9.1400,8.7500,8.9600,37860961,339350064.4200,2.517200
2025-03-19,8.9300,8.9600,8.8200,8.9000,20163281,179362207.7600,-0.669600
2025-03-20,8.9000,9.0200,8.8800,8.9300,19548269,175219347.8100,0.337100
2025-03-21,8.9000,8.9500,8.7000,8.7500,20449011,180258647.4500,-2.015700
2025-03-24,8.7500,8.7800,8.5100,8.6600,18897214,163057029.2200,-1.028600
2025-03-25,8.6700,8.7400,8.5900,8.6600,12166071,105425168.7100,0.000000
2025-03-26,8.6900,8.8300,8.6300,8.7800,15997570,140319418.4000,1.385700
2025-03-27,8.7800,8.8000,8.6200,8.6700,12106849,105367425.7300,-1.252800
2025-03-28,8.6600,8.7200,8.5500,8.5900,11198740,96515047.8000,-0.922700
2025-03-31,8.5600,8.6000,8.4100,8.5000,13018420,110701200.4000,-1.047700
2025-04-01,8.5200,8.5600,8.4400,8.4700,11961370,101543760.4000,-0.352900
2025-04-02,8.4700,8.5300,8.3800,8.4300,15854820,133934992.5000,-0.472300
