date,open,high,low,close,volume,amount,pctChg
2025-01-02,4.5300,4.5400,4.3400,4.3900,9499250,42105308.8000,-2.444400
2025-01-03,4.3900,4.4300,4.2200,4.2400,10760800,46468574.0000,-3.416900
2025-01-06,4.1000,4.2800,4.0300,4.2400,14242601,59263528.2200,0.000000
2025-01-07,4.2100,4.3000,4.1800,4.2800,7796600,33054013.0000,0.943400
2025-01-08,4.2800,4.3000,4.1300,4.2600,9501200,40123097.0000,-0.467300
2025-01-09,4.2500,4.3000,4.2100,4.2200,5765100,24524986.0000,-0.939000
2025-01-10,4.2800,4.2800,4.1100,4.1100,7833000,32739932.0000,-2.606600
2025-01-13,4.0900,4.1300,4.0100,4.1000,6748400,27496022.0000,-0.243300
2025-01-14,4.1400,4.2500,4.1300,4.2400,9251300,38867047.0000,3.414600
2025-01-15,4.2600,4.2600,4.1700,4.2200,6935800,29208470.0000,-0.471700
2025-01-16,4.2500,4.3100,4.1800,4.2300,7330027,31053117.0200,0.237000
2025-01-17,4.2300,4.2700,4.1800,4.2500,5617700,23765202.0000,0.472800
2025-01-20,4.2800,4.3800,4.2400,4.3500,9843727,42593614.5600,2.352900
2025-01-21,4.3500,4.3800,4.2700,4.3100,7228600,31157627.0000,-0.919500
2025-01-22,4.3100,4.3400,4.2700,4.2900,5589200,24027478.0000,-0.464000
2025-01-23,4.3200,4.3700,4.2600,4.2700,6681300,28842421.0000,-0.466200
2025-01-24,4.2500,4.2900,4.2100,4.2600,8365700,35541204.0000,-0.234200
2025-01-27,4.2700,4.3600,4.2600,4.2600,8970800,38736171.0000,0.000000
2025-02-05,4.2600,4.3100,4.2400,4.3000,8336800,35730455.0000,0.939000
2025-02-06,4.2600,4.3800,4.2600,4.3800,9500714,41178499.5800,1.860500
2025-02-07,4.3600,4.4900,4.3600,4.4500,10327600,45720128.0000,1.598200
2025-02-10,4.4700,4.4900,4.4300,4.4700,8837800,39380961.0000,0.449400
2025-02-11,4.4800,4.4900,4.3900,4.4400,8126700,35976852.0000,-0.671100
2025-02-12,4.4400,4.4700,4.4200,4.4500,6940703,30839337.2900,0.225200
2025-02-13,4.4600,4.4600,4.3900,4.4000,7651802,33891932.8000,-1.123600
2025-02-14,4.4200,4.4300,4.3500,4.3600,8721000,38237832.0000,-0.909100
2025-02-17,4.4000,4.4700,4.3700,4.4600,11979487,52982278.6000,2.293600
2025-02-18,4.4500,4.5100,4.3800,4.3900,11455976,50986839.4000,-1.569500
