date,open,high,low,close,volume,amount,pctChg
2025-01-02,18.3000,18.6200,17.8800,18.0600,4714649,85967162.5000,-1.419200
2025-01-03,18.0600,18.5000,17.7900,17.8700,4272800,77423641.0000,-1.052000
2025-01-06,18.2100,18.4000,17.7000,17.8300,4308100,77545711.0000,-0.223800
2025-01-07,17.8400,18.6500,17.6600,18.5400,4985734,90909246.4900,3.982100
2025-01-08,18.3400,18.8000,18.0000,18.7000,4702649,86398882.2300,0.863000
2025-01-09,18.5000,18.9800,18.4700,18.9500,6353335,118968108.0300,1.336900
2025-01-10,18.9500,20.5800,18.7800,19.8600,12148057,240583287.6400,4.802100
2025-01-13,19.9100,20.4800,19.7300,20.3000,9138619,183952264.0600,2.215500
2025-01-14,20.2300,20.2900,19.4600,19.9200,10057675,198667813.7700,-1.871900
2025-01-15,19.7200,19.8500,18.9200,18.9400,9767694,188247305.4100,-4.919700
2025-01-16,19.0200,19.3300,18.8200,19.0600,6085271,115846923.4100,0.633600
2025-01-17,18.8900,19.3600,18.8000,19.1400,4923400,94093262.0000,0.419700
2025-01-20,19.2700,19.3100,18.0600,18.6300,13324507,247622229.2400,-2.664600
2025-01-21,18.8400,19.5700,18.7900,19.4000,8418900,162515970.0000,4.133100
2025-01-22,19.3900,19.4800,18.9300,19.3900,4604379,88725627.0000,-0.051500
2025-01-23,19.5500,19.7300,19.1300,19.6000,7327396,142911547.5800,1.083000
2025-01-24,19.7900,20.3000,19.5000,20.2100,8463433,169495240.2800,3.112200
2025-01-27,20.1900,20.2500,19.8200,20.0800,3867200,77292497.0000,-0.643200
2025-02-05,20.0700,20.1700,19.4500,19.5600,5126079,100589640.8700,-2.589600
2025-02-06,19.5500,19.7700,18.9200,19.3600,8010356,154411913.1100,-1.022500
2025-02-07,19.3600,19.9200,19.1800,19.7600,6382500,125083668.4900,2.066100
2025-02-10,19.7500,19.7500,19.1200,19.3600,6209400,120212044.0000,-2.024300
2025-02-11,19.3500,19.6500,19.2300,19.4300,6806451,132399819.7500,0.361600
2025-02-12,19.2800,19.4200,18.9200,19.3500,6362632,122032372.6000,-0.411700
2025-02-13,19.3000,20.0300,19.1500,19.5700,5227300,102690819.0000,1.137000
2025-02-14,19.4400,20.2300,19.4300,20.1500,5507967,110001282.8800,2.963700
2025-02-17,19.9100,20.3900,19.5600,19.6900,7855782,156105783.2800,-2.282900
2025-02-18,19.6100,20.5800,19.5600,20.4500,7631779,154854928.5800,3.859800
2025-02-19,20.7900,21.0900,20.3100,21.0000,6799486,140676726.9200,2.689500
2025-02-20,20.8000,20.9500,20.2000,20.5200,5271837,108101920.3800,-2.285700
