date,open,high,low,close,volume,amount,pctChg
2025-01-02,8.3600,8.4200,7.9100,7.9600,140116981,1138455760.8100,-5.011900
2025-01-03,8.0000,8.0800,7.8000,7.8300,96125934,761843728.7000,-1.633200
2025-01-06,7.8300,7.8500,7.6200,7.7000,78236291,602582016.6500,-1.660300
2025-01-07,7.7000,7.7400,7.5600,7.6500,59739254,456124643.0200,-0.649400
2025-01-08,7.6700,7.7300,7.5100,7.6400,73556047,560711674.3900,-0.130700
2025-01-09,7.6400,7.6500,7.5200,7.5400,58359767,441464005.8700,-1.308900
2025-01-10,7.5500,7.6000,7.4700,7.4700,53932381,405680472.5500,-0.928400
2025-01-13,7.4500,7.4800,7.3400,7.4000,62695491,463385027.8800,-0.937100
2025-01-14,7.3900,7.5600,7.3800,7.5300,71726197,537554903.6400,1.756800
2025-01-15,7.5300,7.5400,7.4300,7.4700,50791917,380352530.5900,-0.796800
2025-01-16,7.4900,7.5800,7.4300,7.4500,58751463,440798985.4200,-0.267700
2025-01-17,7.4600,7.5100,7.3800,7.4700,43595828,325468071.8200,0.268500
2025-01-20,7.5500,7.5800,7.4100,7.4300,65122805,487768018.9100,-0.535500
2025-01-21,7.4700,7.5600,7.3900,7.4200,76520620,571091450.4300,-0.134600
2025-01-22,7.4000,7.4200,7.2600,7.3200,79530449,581154914.8500,-1.347700
2025-01-23,7.3800,7.4900,7.3600,7.3800,83722962,621444915.8600,0.819700
2025-01-24,7.3900,7.5100,7.3500,7.4500,76998632,574207300.6900,0.948500
2025-01-27,7.4600,7.5400,7.4400,7.4400,56692744,424137966.0900,-0.134200
2025-02-05,7.4900,7.4900,7.3000,7.3300,70809479,519874459.7000,-1.478500
2025-02-06,7.3000,7.3800,7.1800,7.3700,80985226,592497163.7400,0.545700
2025-02-07,7.3600,7.5200,7.3000,7.4600,97756664,725570876.3200,1.221200
2025-02-10,7.4600,7.5400,7.4000,7.4800,76989109,576078878.6200,0.268100
