date,open,high,low,close,volume,amount,pctChg
2025-01-02,19.7200,19.7300,19.1600,19.4000,14069327,272997987.6300,-1.472800
2025-01-03,19.4100,19.7300,18.8100,18.8600,14228927,274772077.3300,-2.783500
2025-01-06,18.7700,19.3500,18.7100,19.0700,13723512,261425439.6400,1.113500
2025-01-07,18.9500,19.3500,18.8900,19.2500,13107521,250999584.1300,0.943900
2025-01-08,19.1900,19.3600,18.7700,19.1900,10343466,197313812.6400,-0.311700
2025-01-09,19.1900,19.7300,19.0900,19.2000,12476094,241681664.0000,0.052100
2025-01-10,19.1800,19.2400,18.0000,18.0400,19727114,364837292.1400,-6.041700
2025-01-13,18.0000,18.1800,17.8000,17.8500,12558622,225605232.3400,-1.053200
2025-01-14,18.0400,18.5800,17.8300,18.5600,14779807,270951738.8200,3.977600
2025-01-15,18.5800,20.4200,18.4400,20.4200,47424546,933049794.6000,10.021600
2025-01-16,20.2200,21.0000,19.8300,20.9100,45359370,936613302.5700,2.399600
2025-01-17,20.6800,21.1200,20.1000,20.6900,29658574,609541734.0400,-1.052100
2025-01-20,20.6800,20.8900,20.1500,20.2700,19683375,401935908.2200,-2.030000
2025-01-21,20.4300,20.4500,19.5200,19.7500,19859806,392758035.5800,-2.565400
2025-01-22,19.6000,19.6500,19.0000,19.3300,18296541,352216703.8900,-2.126600
2025-01-23,19.5000,19.8000,19.0100,19.0300,18590825,361129261.7500,-1.552000
2025-01-24,18.6000,20.2900,18.5000,19.8800,35093177,694205971.2400,4.466600
2025-01-27,19.8300,20.0900,19.0000,19.0300,17898600,347090903.0000,-4.275700
2025-02-05,19.1100,19.9600,18.8100,19.2400,20301000,392033340.0000,1.103500
2025-02-06,19.1000,20.0000,18.9000,19.8700,21966851,428982861.9900,3.274400
2025-02-07,19.9100,21.8400,19.9100,21.5600,46097621,975241348.3900,8.505300
2025-02-10,21.2800,21.6400,20.6500,21.4100,28208458,594654588.9400,-0.695700
2025-02-11,21.4100,21.5900,20.4000,20.5300,26695316,552946952.8800,-4.110200
2025-02-12,20.5800,20.6200,20.1500,20.5800,20856742,425090786.4000,0.243500
