date,open,high,low,close,volume,amount,pctChg
2025-01-02,12.2200,12.2400,11.5700,11.6800,96025229,1143042495.3100,-4.575200
2025-01-03,11.6900,11.7400,11.3400,11.3900,66313603,763959717.9000,-2.482900
2025-01-06,11.3900,11.4700,11.3000,11.4300,43482239,494990421.6400,0.351200
2025-01-07,11.4400,11.5300,11.3200,11.5100,43813373,501046247.6500,0.699900
2025-01-08,11.4700,11.5100,11.1500,11.4100,62712133,710098504.8900,-0.868800
2025-01-09,11.3500,11.4900,11.3200,11.3700,37905667,432966243.4400,-0.350600
2025-01-10,11.4400,11.4800,11.2000,11.2000,40380511,457878570.3500,-1.495200
2025-01-13,11.1000,11.2600,11.0800,11.2400,35746101,399646844.2600,0.357100
2025-01-14,11.2800,11.6700,11.2500,11.6700,80135989,920911017.6900,3.825600
2025-01-15,11.6000,11.6200,11.4700,11.5100,42745194,492936813.4100,-1.371000
2025-01-16,11.5700,11.7000,11.4200,11.5000,46301283,534603478.0400,-0.086900
2025-01-17,11.4600,11.5600,11.4500,11.4800,33224062,381984640.4700,-0.173900
2025-01-20,11.5900,11.6500,11.4700,11.4900,39508597,456317347.9200,0.087100
2025-01-21,11.5000,11.5200,11.3600,11.4400,29154488,333554548.5300,0.000000
2025-01-22,11.4100,11.4900,11.3700,11.4600,31661475,361322107.7500,0.174800
2025-01-23,11.6500,11.8200,11.4500,11.4500,74940734,871994717.2100,-0.087300
2025-01-24,11.4000,11.5900,11.4000,11.5500,42172994,485593823.1500,0.873400
2025-01-27,11.5500,11.6000,11.2900,11.2900,44190932,505366624.6500,-2.251100
2025-02-05,11.4000,11.5200,11.3100,11.4500,38578153,441021506.8400,1.417200
2025-02-06,11.4200,11.6300,11.4000,11.6200,44211835,510406510.9400,1.484700
2025-02-07,11.6000,11.9600,11.5800,11.8100,91820113,1081882559.1200,1.635100
2025-02-10,11.7800,11.8800,11.7400,11.8100,49240224,581065593.5100,0.000000
2025-02-11,11.8100,11.8200,11.6100,11.6900,51213584,597898676.9200,-1.016100
2025-02-12,11.6900,11.9100,11.6700,11.9100,62207571,732849640.0600,1.882000
2025-02-13,11.8900,12.0400,11.7800,11.8000,74606818,885559483.4800,-0.923600
2025-02-14,11.7600,11.9100,11.7400,11.8500,54579015,645527157.9100,0.423700
2025-02-17,11.9800,12.0900,11.8700,11.9200,84298731,1008627424.8800,0.590700
2025-02-18,11.9000,12.2400,11.6700,11.7200,131675093,1579801658.3400,-1.677900
2025-02-19,11.7200,11.9000,11.6800,11.8400,78667562,927598810.9500,1.023900
2025-02-20,11.7700,11.8400,11.7100,11.7700,50266148,591511871.0300,-0.591200
