date,open,high,low,close,volume,amount,pctChg
2025-01-02,67.0300,67.1900,64.3300,64.7000,18671166,1227701232.9100,-3.447200
2025-01-03,64.9900,65.2000,62.7600,62.8300,15383769,979895136.3000,-2.890300
2025-01-06,62.8300,63.2900,62.1500,62.5400,9595563,601081039.5800,-0.461600
2025-01-07,62.5400,62.7100,61.8600,62.4700,9616460,599735313.0600,-0.111900
2025-01-08,62.4700,62.4700,60.6600,61.7900,13764819,846538814.2900,-1.088500
2025-01-09,61.6000,61.9900,60.8200,61.0100,12824021,786838965.3900,-1.262300
2025-01-10,60.8000,61.0000,59.9300,59.9800,11265146,680046800.9800,-1.688200
2025-01-13,59.5000,60.6500,59.3700,60.1700,9198864,552403606.9800,0.316800
2025-01-14,60.2000,61.9800,60.2000,61.8700,16542556,1012419547.4400,2.825300
2025-01-15,61.7900,61.7900,61.0500,61.2900,9372462,574830484.7900,-0.937400
2025-01-16,61.3700,62.3800,61.1100,61.6000,10309258,636356291.1000,0.505800
2025-01-17,60.4300,61.3800,60.0000,61.0200,10755629,654759280.8700,-0.941600
2025-01-20,61.2800,62.4800,61.2800,61.8800,13210014,818951687.1900,1.409400
2025-01-21,62.4900,62.6000,61.3400,61.5300,8708531,537580744.0600,-0.565600
2025-01-22,61.2200,61.3200,60.0300,60.3800,11611984,701639133.8200,-1.869000
2025-01-23,61.2000,61.8900,60.5200,60.5200,11341300,693548985.9300,0.231900
2025-01-24,60.1800,61.2600,60.1100,61.2500,9598093,584040869.3500,1.206200
2025-01-27,61.4000,62.1700,60.6800,60.7000,10053883,616498485.4700,-0.898000
2025-02-05,61.2000,61.3600,60.1800,60.2200,11013599,667079316.3000,-0.790800
2025-02-06,60.1300,60.9600,59.1500,60.9500,14338401,863950564.4200,1.212200
2025-02-07,60.7600,62.2300,60.6100,61.6400,19425961,1197663728.6100,1.132100
2025-02-10,61.6500,62.3300,61.3200,62.0500,14677906,907967172.4600,0.665200
2025-02-11,62.1000,62.3300,60.8900,60.9700,13430300,822547087.0000,-1.740500
2025-02-12,60.8700,61.5000,60.4000,61.4800,14934332,908759842.0400,0.836500
2025-02-13,61.2000,62.4400,61.1200,61.9900,21522803,1332058051.8800,0.829500
2025-02-14,61.8000,62.6000,61.6800,62.0900,15681526,973622349.7500,0.161300
2025-02-17,62.2000,62.9900,61.5100,61.7500,17180496,1067312998.6500,-0.547600
2025-02-18,61.5500,61.6900,60.2700,60.3100,15767220,960338481.4200,-2.332000
2025-02-19,60.1600,60.9500,59.9100,60.8600,12202334,738797706.8100,0.912000
2025-02-20,60.6000,61.2400,60.3400,60.4700,11435935,693701504.3800,-0.640800
2025-02-21,60.5700,62.1100,60.5600,61.0500,20924517,1282888638.4400,0.959200
2025-02-24,61.0500,61.3700,60.4600,60.7200,15098468,919090118.7400,-0.540500
2025-02-25,60.2200,60.4900,60.0000,60.0500,13322419,801946131.3300,-1.103400
2025-02-26,60.1100,61.0800,59.8600,61.0400,17975503,1085365110.2300,1.648600
2025-02-27,61.0000,63.5000,60.8500,62.6700,36356163,2275773574.8600,2.670400
2025-02-28,62.8000,63.8000,61.0900,61.1700,28209580,1757179594.4000,-2.393500
2025-03-03,61.1900,62.2600,60.6800,61.1100,16177681,994564595.6000,-0.098100
