date,open,high,low,close,volume,amount,pctChg
2025-01-02,7.1600,7.2000,6.8500,6.8900,37486224,263376960.0200,-4.039000
2025-01-03,6.8900,7.0700,6.8900,6.9400,35166597,245051653.7200,0.725700
2025-01-06,6.9800,7.1300,6.8800,6.9500,33922339,237520099.7800,0.144100
2025-01-07,6.9200,6.9900,6.8100,6.8800,23369330,160753504.5400,-1.007200
2025-01-08,6.8800,6.8900,6.6200,6.7500,29905634,201878956.1100,-1.889500
2025-01-09,6.9300,7.1300,6.8500,7.0800,53628999,377825761.6000,4.888900
2025-01-10,7.0400,7.1400,6.9600,6.9600,24794152,174252290.5200,-1.694900
2025-01-13,6.9400,7.1100,6.8500,6.9000,26144373,181984993.0400,-0.862100
2025-01-14,6.8900,7.0800,6.8700,7.0800,23043201,161145940.9300,2.608700
2025-01-15,7.0300,7.1300,7.0200,7.0600,16549869,117068699.0800,-0.282500
2025-01-16,7.1100,7.2700,7.0600,7.0800,24939589,178589020.7900,0.283300
2025-01-17,7.0700,7.1100,7.0100,7.0500,16400060,115764439.0000,-0.423700
2025-01-20,7.0700,7.1000,6.9800,7.0000,20366080,143174430.2000,-0.709200
2025-01-21,7.0200,7.0400,6.8300,6.8900,24072031,165762817.1600,-1.571400
2025-01-22,6.8800,6.8900,6.8200,6.8800,14207064,97337068.6400,-0.145100
2025-01-23,6.9100,6.9900,6.8500,6.8700,23953702,165753480.7400,-0.145300
2025-01-24,6.8800,7.0400,6.8400,6.9900,25212758,175746799.8400,1.746700
2025-01-27,7.0000,7.1400,6.9800,7.0900,25845655,183401350.5100,1.430600
2025-02-05,7.1000,7.1200,6.9900,7.0400,22942700,161314327.0000,-0.705200
2025-02-06,7.0300,7.2000,6.9900,7.1900,31452527,224057262.9300,2.130700
2025-02-07,7.1500,7.2400,7.1400,7.2000,23952457,172521184.5400,0.139100
2025-02-10,7.2100,7.2200,7.0700,7.0800,29959200,213203886.9900,-1.666700
2025-02-11,7.0700,7.1000,6.9400,7.0000,29127740,204120290.1000,-1.129900
2025-02-12,6.9500,7.0000,6.8800,6.9400,26400658,182882553.7900,-0.857100
2025-02-13,6.9200,7.0000,6.8400,6.8600,39187400,270675545.0000,-1.152700
2025-02-14,6.8600,6.8700,6.7600,6.8000,27338444,186052534.4100,-0.874600
2025-02-17,6.7900,6.8000,6.6800,6.7400,26547235,178345861.3400,-0.882400
2025-02-18,6.7100,6.7900,6.6600,6.6900,22813061,153555301.6200,-0.741800
2025-02-19,6.6700,6.6900,6.6000,6.6400,37792066,250853879.3900,-0.747400
2025-02-20,6.6500,6.6700,6.6100,6.6400,22700859,150653652.7600,0.000000
2025-02-21,6.6200,6.6600,6.5100,6.5500,34124584,223763301.4300,-1.355400
2025-02-24,6.5100,6.5700,6.4800,6.5100,31058927,202264148.4300,-0.610700
2025-02-25,6.5100,6.5500,6.4000,6.4200,38227436,247516161.0700,-1.382500
2025-02-26,6.4100,6.5600,6.4000,6.5500,36023815,233772306.5000,2.024900
2025-02-27,6.5500,6.5600,6.4300,6.5000,28103372,182036988.6800,-0.763400
2025-02-28,6.4800,6.5300,6.3700,6.4000,28974980,186640688.4800,-1.538500
2025-03-03,6.4100,6.4800,6.3900,6.4100,25009479,161074953.5700,0.156300
2025-03-04,6.4100,6.4100,6.3000,6.3200,28263363,178883162.0900,-1.404100
2025-03-05,6.3100,6.3200,6.2100,6.2600,28100468,175678359.9100,-0.949400
2025-03-06,6.2800,6.3700,6.2400,6.3400,27548065,174478446.0400,1.278000
2025-03-07,6.3600,6.5500,6.3400,6.4400,39643913,256172009.7800,1.577300
2025-03-10,6.4300,6.6200,6.4200,6.5400,37683140,246705512.1200,1.552800
2025-03-11,6.5400,6.6200,6.5100,6.6100,32366920,212747120.3800,1.070300
2025-03-12,6.6100,6.6500,6.5300,6.5700,22899270,150618593.2300,-0.605100
2025-03-13,6.5900,7.2000,6.5800,7.1300,134781877,939969788.7400,8.523600
2025-03-14,7.1000,7.3300,7.0800,7.1700,70030514,501402447.4000,0.561000
2025-03-17,7.1600,7.2000,6.9800,6.9900,56037213,396459902.0000,-2.510500
2025-03-18,7.0100,7.0200,6.8500,6.9000,38964979,269205335.0100,-1.287600
2025-03-19,6.8700,6.9700,6.7900,6.9000,32650279,225104042.9100,0.000000
2025-03-20,6.9000,7.0700,6.8900,6.9600,34791994,243445521.1000,0.869600
2025-03-21,6.9200,7.0300,6.9000,6.9400,26171929,182211533.7000,-0.287400
2025-03-24,7.0000,7.1100,6.9200,7.0000,40351842,282442454.5000,0.864600
2025-03-25,7.0500,7.1500,6.9500,7.1400,48203885,341465069.4800,2.000000
2025-03-26,7.1400,7.2100,7.0700,7.1100,41473553,296258960.4500,-0.420200
