date,open,high,low,close,volume,amount,pctChg
2025-01-02,17.6200,17.7400,16.9900,17.1000,4753079,82665971.1700,-2.951200
2025-01-03,17.1900,17.4300,16.7200,16.7600,5998432,102113640.0400,-1.988300
2025-01-06,16.8000,17.0400,16.5100,16.7000,4776400,79965378.0000,-0.358000
2025-01-07,16.7500,16.9100,16.5200,16.7000,4364473,72764134.9200,0.000000
2025-01-08,16.6900,16.9300,16.1800,16.7900,5863829,97014359.3900,0.538900
2025-01-09,16.6800,16.9600,16.5400,16.7000,4819300,80846606.0000,-0.536000
2025-01-10,16.6800,16.7000,16.2700,16.2900,4942400,81450996.0000,-2.455100
2025-01-13,16.3000,16.7800,16.2300,16.5200,4860806,80481645.7000,1.411900
2025-01-14,16.5300,17.0200,16.3300,16.9900,4672000,78429441.0000,2.845000
2025-01-15,16.9600,17.0600,16.8000,16.9000,2759200,46697217.6000,-0.529700
2025-01-16,16.8900,17.1000,16.7400,16.9400,3231864,54655302.9100,0.236700
2025-01-17,16.9100,17.2000,16.8100,17.0100,4713302,80216077.7700,0.413200
2025-01-20,17.0000,17.2000,16.7000,16.7900,5296918,89207697.0900,-0.709600
2025-01-21,16.8200,17.0700,16.6200,17.0700,5519701,93385087.6600,1.667700
2025-01-22,16.9900,17.0100,16.5600,16.8600,3881174,65080834.5200,-1.230200
2025-01-23,16.9500,17.0700,16.5400,16.6000,7490822,125414197.3500,-1.542100
2025-01-24,16.6000,17.3700,16.5100,17.3500,10286697,175395907.6100,4.518100
2025-01-27,17.4000,17.4700,16.8500,16.8600,5822937,99014425.3400,-2.824200
2025-02-05,16.9000,17.0800,16.8000,16.8200,5451725,92219472.2900,-0.237200
2025-02-06,16.7600,17.7700,16.7100,17.7200,15091271,261263191.5400,5.350800
2025-02-07,17.9500,18.6900,17.9500,18.2800,18997598,348807881.3900,3.160300
2025-02-10,18.2600,18.3700,17.8600,18.2400,8932446,161593214.8200,-0.218800
2025-02-11,18.2400,18.5900,18.1800,18.3000,7881922,144750708.6200,0.328900
2025-02-12,18.2000,18.2600,17.8700,18.0800,7997600,144116238.0000,-1.202200
2025-02-13,18.1000,18.1800,17.8200,17.9100,6074554,109406413.7000,-0.940300
2025-02-14,17.8400,18.7500,17.8400,18.5000,13642100,250667713.8800,3.294200
2025-02-17,18.5200,18.8400,18.4100,18.6900,8816434,164614736.6500,1.027000
2025-02-18,18.6200,18.8200,18.2500,18.3500,7446465,138026482.0600,-1.819200
2025-02-19,18.2700,18.7200,18.2400,18.6100,5886655,109302979.7100,1.416900
2025-02-20,18.6300,18.7700,18.4100,18.4900,5747688,106662423.6500,-0.644800
2025-02-21,18.5000,18.8000,18.4600,18.7400,7438949,139003099.2800,1.352100
2025-02-24,18.7300,18.7400,18.4100,18.5500,9961331,184393668.8100,-1.013900
2025-02-25,18.4200,18.9700,18.2800,18.7700,8558796,160203766.4000,1.186000
2025-02-26,18.7700,19.4700,18.7500,19.1000,10896794,208677312.0600,1.758100
2025-02-27,18.9500,19.3000,18.8600,19.1000,7271975,139070285.9000,0.000000
2025-02-28,19.0200,19.1500,18.2600,18.3500,7048415,130551870.1700,-3.926700
2025-03-03,18.4200,18.5900,18.2400,18.3300,7761562,143084363.2400,-0.109000
2025-03-04,18.2400,18.8900,18.2000,18.4700,7897353,147116920.0600,0.763800
2025-03-05,18.4700,18.6500,18.1800,18.2900,4863795,89050993.3700,-0.974600
2025-03-06,18.4200,18.5500,18.2000,18.3600,6536925,120076270.1400,0.382700
2025-03-07,18.2300,18.5200,18.1600,18.3400,5858600,107372792.1400,-0.108900
2025-03-10,18.4000,18.6400,18.2400,18.4900,5085875,93627974.3100,0.817900
2025-03-11,18.2100,18.4800,18.0300,18.2900,5475234,99785563.5000,-1.081700
2025-03-12,18.4400,18.9500,18.3400,18.5300,7811673,145660361.3100,1.312200
2025-03-13,18.5300,18.6600,18.3800,18.5000,5536954,102277502.5400,-0.161900
2025-03-14,18.4300,18.9500,18.4200,18.9100,5433278,101925456.3200,2.216200
2025-03-17,19.0700,19.1000,18.6400,19.0600,6184727,117416158.2400,0.793200
2025-03-18,19.0700,19.2500,18.9000,19.0600,4558800,86798261.0000,0.000000
