date,open,high,low,close,volume,amount,pctChg
2025-01-02,10.2200,10.3300,10.0000,10.0800,3893254,39489323.8200,-1.850000
2025-01-03,10.1000,10.1900,9.7800,9.8100,3534212,35244857.6800,-2.678600
2025-01-06,9.7800,10.0100,9.7100,9.9400,2544956,25171195.9600,1.325200
2025-01-07,9.8600,9.9900,9.7400,9.9400,2065500,20390630.0000,0.000000
2025-01-08,9.9400,9.9900,9.6800,9.8800,1979796,19505670.4000,-0.603600
2025-01-09,9.9900,9.9900,9.8000,9.8300,1413242,13937133.7200,-0.506100
2025-01-10,9.8400,9.9000,9.7200,9.7300,1319339,12937518.4700,-1.017300
2025-01-13,9.7000,9.8200,9.5900,9.7700,2168559,21120464.7000,0.411100
2025-01-14,9.7700,9.9700,9.7600,9.9500,2689555,26600854.4500,1.842400
2025-01-15,10.1000,10.1000,9.8500,9.9100,1772496,17593863.0400,-0.402000
2025-01-16,9.9400,10.0000,9.8000,9.8700,1997706,19794592.8600,-0.403600
2025-01-17,9.8100,9.9700,9.8100,9.9600,1690727,16710739.1200,0.911900
2025-01-20,9.9600,10.0500,9.9100,9.9600,2418390,24105119.1000,0.000000
2025-01-21,9.9700,10.0300,9.8400,9.8700,1467627,14512660.4900,-0.903600
2025-01-22,9.8500,9.9500,9.8400,9.9000,1243196,12303730.4000,0.304000
2025-01-23,10.0000,10.0400,8.9200,9.8000,3287616,32585120.2800,-1.010100
2025-01-24,9.7500,9.9500,9.7500,9.8000,2487504,24415727.2000,0.000000
2025-01-27,9.8400,9.9900,9.8000,9.8400,2217340,21942020.2000,0.408200
2025-02-05,9.8400,9.9300,9.7200,9.7600,2351380,23016538.4000,-0.813000
2025-02-06,9.8000,9.9700,9.7300,9.9700,2137732,21033002.8400,2.151600
2025-02-07,10.0000,10.1200,9.9300,10.0100,2920296,29280081.9200,0.401200
2025-02-10,10.0200,10.0800,9.9600,10.0700,2384336,23884825.1600,0.599400
2025-02-11,10.0900,10.1200,9.9100,10.0200,1994200,19948859.4000,-0.496500
2025-02-12,10.4200,11.0200,10.3000,11.0200,16291030,177085254.4400,9.980000
2025-02-13,11.4700,11.4700,10.6800,10.7000,21166950,233556792.9200,-2.903800
2025-02-14,10.6900,10.7800,10.4700,10.5400,12436624,131762442.8800,-1.495300
2025-02-17,10.5100,10.6200,10.3900,10.5800,9094660,95732853.8000,0.379500
2025-02-18,10.6000,10.6100,10.2600,10.3000,6363869,66321670.5200,-2.646500
2025-02-19,10.2500,10.3800,10.2400,10.3700,5906044,60904642.8800,0.679600
2025-02-20,10.3000,10.5600,10.2700,10.5000,6255000,65229500.0000,1.253600
2025-02-21,10.5600,10.5900,10.4100,10.5200,5003536,52515501.6400,0.190500
2025-02-24,10.4500,10.5200,10.4000,10.4500,3715500,38832517.0000,-0.665400
2025-02-25,10.4300,10.6400,10.3200,10.4600,4323606,45324814.5800,0.095700
2025-02-26,10.5000,10.5900,10.4600,10.5900,5313956,56114052.8000,1.242800
2025-02-27,10.5900,10.6100,10.4200,10.5300,5095564,53536036.7800,-0.566600
2025-02-28,10.5000,10.5800,10.3000,10.3400,5718900,59531736.0000,-1.804400
2025-03-03,10.3600,10.5000,10.3600,10.4200,3635652,37960558.7600,0.773700
2025-03-04,10.4400,10.5400,10.3500,10.5400,3544628,37052723.0400,1.151600
2025-03-05,10.5700,10.5700,10.4100,10.5500,4399800,46205793.0000,0.094900
2025-03-06,10.5600,10.6200,10.5000,10.5900,4462000,47185623.6000,0.379100
2025-03-07,10.6500,11.1600,10.5500,11.0700,17509786,191066037.7600,4.532600
2025-03-10,10.9500,10.9700,10.6800,10.7400,10012276,108031262.6400,-2.981000
2025-03-11,10.6600,10.7700,10.5700,10.7600,5440300,58020672.7000,0.186200
2025-03-12,10.8000,10.8300,10.6400,10.6700,4687800,50136261.8000,-0.836400
2025-03-13,10.6400,10.7300,10.3800,10.5000,5150540,54048310.2000,-1.593300
2025-03-14,10.5000,10.5500,10.4100,10.5300,3956552,41543859.7600,0.285700
2025-03-17,10.5300,10.6000,10.5000,10.5700,2600379,27454158.2400,0.379900
2025-03-18,10.6000,10.6800,10.5700,10.6600,3647891,38754557.5000,0.851500
2025-03-19,10.6900,10.7100,10.4900,10.5100,3208700,33901481.0000,-1.407100
2025-03-20,10.5500,10.5900,10.5000,10.5400,2453600,25851329.0000,0.285400
2025-03-21,10.5400,10.6600,10.4800,10.5800,3820599,40387378.4600,0.379500
2025-03-24,10.6800,10.7200,10.4800,10.7200,8674468,92098672.8000,1.323300
