date,open,high,low,close,volume,amount,pctChg
2025-05-19,49.9900,49.9900,41.3800,41.4100,26568240,1150187686.4800,56.264200
2025-05-20,39.0000,40.5800,38.5300,38.8700,18149056,710424371.0900,-6.133800
2025-05-21,38.3200,38.7200,37.0600,37.1100,13206372,497801045.2200,-4.527900
2025-05-22,37.1500,38.3800,37.1500,37.6000,10239815,388149386.4500,1.320400
2025-05-23,37.6000,37.6700,36.0100,36.0600,9281432,339210639.8200,-4.095700
2025-05-26,35.8600,36.4900,35.6700,36.1500,5300320,191073482.5200,0.249600
2025-05-27,36.1000,36.2500,35.7600,35.9000,4106683,147480756.2200,-0.691600
2025-05-28,35.8900,36.3000,35.6600,36.1100,4614729,166090379.7500,0.585000
2025-05-29,36.0100,37.3200,35.8200,36.8200,6512891,238528170.8700,1.966200
2025-05-30,36.5800,36.9800,36.2500,36.5800,4901819,179551808.8800,-0.651800
2025-06-03,36.2200,36.7500,36.0200,36.6100,3881608,141625574.5600,0.082000
2025-06-04,36.5000,37.3000,36.3100,36.9700,5122728,188664497.0800,0.983300
2025-06-05,36.9700,36.9800,36.3100,36.3800,4670153,170435752.5700,-1.595900
2025-06-06,36.3000,36.5500,36.0400,36.2100,3089342,111979363.1900,-0.467300
2025-06-09,36.2800,36.7800,36.2000,36.6900,4267576,156026840.0100,1.325600
2025-06-10,36.6000,36.9800,36.1900,36.7200,4487274,164476190.2500,0.081800
2025-06-11,36.6800,37.0700,36.5800,36.8000,3706389,136464278.7100,0.217900
2025-06-12,36.6100,36.9800,36.6000,36.9000,3445633,126793887.0200,0.271700
2025-06-13,36.7700,37.9800,36.6800,36.8400,6668604,248246115.2300,-0.162600
2025-06-16,36.5500,36.8200,36.2000,36.5500,3500330,127931282.0400,-0.787200
2025-06-17,36.5800,38.4600,36.5800,37.3800,7233910,271946621.6300,2.270900
2025-06-18,37.1600,37.1700,36.5600,36.8400,3267317,120328127.9300,-1.444600
2025-06-19,36.7000,36.7900,35.0000,35.6300,4689472,169354590.9700,-3.284500
2025-06-20,35.4400,36.1500,35.2600,35.5900,2144301,76604392.2700,-0.112300
2025-06-23,35.6000,35.8700,35.0600,35.8700,2157013,76738534.9500,0.786700
2025-06-24,35.8900,36.4200,35.7500,36.3900,2722788,98481717.0200,1.449700
2025-06-25,36.3500,36.5100,36.0300,36.5000,2706825,98211836.2800,0.302300
2025-06-26,36.3600,36.4700,35.9700,36.0600,2421502,87700948.7900,-1.205500
2025-06-27,36.1200,36.8900,36.1200,36.3900,3483713,127213734.7700,0.915100
2025-06-30,36.3900,36.7200,36.2900,36.6100,2341920,85582789.6400,0.604600
2025-07-01,36.6400,36.8900,36.3200,36.5300,2297380,84032834.6000,-0.218500
2025-07-02,36.5200,36.7500,36.2300,36.3900,1977291,71911103.7800,-0.383200
2025-07-03,36.3600,36.6600,36.3500,36.5400,1878889,68593243.0600,0.412200
2025-07-04,36.6100,37.8800,36.4800,37.3800,7587323,283707898.8200,2.298900
2025-07-07,37.8000,38.2500,37.3900,37.5100,5581429,211226293.0100,0.347800
2025-07-08,37.1200,38.4800,37.0800,38.1100,5306982,201941357.6700,1.599600
2025-07-09,38.1000,38.1700,37.5500,37.6900,3389683,128168155.3100,-1.102100
2025-07-10,37.7200,38.4400,37.3700,37.8400,4276806,161894170.2700,0.398000
2025-07-11,37.7000,37.8400,37.3500,37.4600,2967071,111321538.9300,-1.004200
2025-07-14,37.4600,37.4900,37.2000,37.3900,1933803,72195709.5800,-0.186900
2025-07-15,37.2800,37.4500,36.7100,37.0800,2424992,89794067.9400,-0.829100
2025-07-16,36.9900,37.3400,36.9700,37.2500,1658513,61634768.6800,0.458500
2025-07-17,37.2100,37.4400,37.0600,37.4200,2095330,78154014.7200,0.456400
2025-07-18,37.4200,37.4800,37.1100,37.3900,1989376,74119667.2900,-0.080200
2025-07-21,37.3500,37.6500,37.2800,37.6500,2611395,97953591.1400,0.695400
2025-07-22,37.6500,37.7900,37.3300,37.5300,2316551,86918379.5900,-0.318700
2025-07-23,37.4800,37.6700,37.1300,37.1800,2477386,92705068.9200,-0.932600
2025-07-24,37.1700,37.7400,37.1000,37.6700,3117873,116798769.0200,1.317900
2025-07-25,37.5900,38.9500,37.5900,38.4800,6436692,247593331.4700,2.150300
2025-07-28,38.5000,41.3800,38.4800,39.9200,8575102,344439319.9200,3.742200
2025-07-29,39.8000,40.2600,39.0700,40.0300,5146834,204408269.6000,0.275600
2025-07-30,40.0000,40.4800,39.2500,39.4900,3912095,155580278.7600,-1.349000
2025-07-31,39.5500,39.7500,38.6000,38.8900,3674662,143929640.0800,-1.519400
2025-08-01,38.7400,40.3500,38.5900,39.4000,3525045,139065442.9700,1.311400
2025-08-04,39.0600,39.6600,38.9000,39.4600,2632876,103243711.1900,0.152300
2025-08-05,39.3100,40.4800,39.3100,39.9900,3828357,152842710.3200,1.343100
2025-08-06,40.1100,40.1500,39.5300,39.7900,3053566,121313885.4400,-0.500100
2025-08-07,39.7800,41.9900,39.6000,40.7800,7918771,325126704.9900,2.488100
2025-08-08,40.4200,41.5000,39.8500,40.2800,5527917,224427601.6000,-1.226100
2025-08-11,40.0000,40.9900,40.0000,40.9200,4349920,175887839.7200,1.588900
2025-08-12,40.9000,42.7200,40.6800,40.9700,6688470,278292549.8400,0.122200
