date,open,high,low,close,volume,amount,pctChg
2025-01-02,14.4400,14.5000,14.0400,14.1800,4935183,70463915.4500,-1.459300
2025-01-03,14.1700,14.2700,13.7500,13.8200,5459243,76439359.4400,-2.538800
2025-01-06,13.7800,14.0200,13.6900,13.8000,4079000,56462798.0000,-0.144700
2025-01-07,13.8500,13.8800,13.5800,13.8400,4424200,60758975.0000,0.289900
2025-01-08,13.7700,13.7700,13.3000,13.6200,5394943,73155816.2500,-1.589600
2025-01-09,13.6000,13.6500,13.5000,13.5300,2736300,37160070.0000,-0.660800
2025-01-10,13.4800,13.6800,13.4000,13.4000,3657943,49532458.2300,-0.960800
2025-01-13,13.2600,13.3900,13.1300,13.2600,3206532,42569521.4800,-1.044800
2025-01-14,13.2700,13.6800,13.2700,13.6600,5514878,74683287.7600,3.016600
2025-01-15,13.6000,13.7000,13.5000,13.5500,3722600,50621090.0000,-0.805300
2025-01-16,13.5900,13.7300,13.5000,13.6400,3811100,51879840.0000,0.664200
2025-01-17,13.6200,13.8400,13.5500,13.7500,4463900,61216546.0000,0.806500
2025-01-20,13.8100,14.5000,13.7700,14.1600,11671800,164456326.0000,2.981800
2025-01-21,14.1600,14.2000,13.9400,14.1100,4791107,67365245.7200,-0.353100
2025-01-22,14.0200,14.1700,13.9700,14.0600,4362907,61413307.3700,-0.354400
2025-01-23,14.1900,14.2400,14.0300,14.0300,4905700,69390281.0100,-0.213400
2025-01-24,14.0200,14.1400,13.9900,14.0800,3271814,46053907.9700,0.356400
2025-01-27,14.0700,14.2200,14.0400,14.0400,3323671,46987671.4900,-0.284100
2025-02-05,14.0700,14.1800,14.0000,14.0200,3140902,44126887.0200,-0.142500
2025-02-06,14.0300,14.3000,13.9800,14.2800,5902902,83533216.2400,1.854500
2025-02-07,14.3500,14.5700,14.2700,14.3900,8574278,123648469.7400,0.770300
2025-02-10,14.3900,14.4300,14.2800,14.3500,5587400,80051849.0000,-0.278000
2025-02-11,14.3300,14.3500,14.2200,14.3000,4164300,59457815.0000,-0.348400
2025-02-12,14.3000,14.3300,14.1800,14.3000,5241100,74733748.0000,0.000000
2025-02-13,14.3000,14.3100,14.0700,14.0900,5242200,74274963.0000,-1.468500
2025-02-14,14.1000,14.2800,14.0900,14.1400,4757900,67457743.0000,0.354900
2025-02-17,14.1800,14.2100,14.0200,14.0900,5456271,76870103.6800,-0.353600
2025-02-18,14.0600,14.1300,13.8200,13.8800,5441839,76214250.9000,-1.490400
