date,open,high,low,close,volume,amount,pctChg
2025-01-02,26.4100,26.9600,25.7300,25.9000,944438,24885643.3900,-2.301000
2025-01-03,26.0000,26.1500,25.0100,25.0100,883186,22525264.3000,-3.436300
2025-01-06,25.4600,25.4800,24.5100,25.2300,758600,19036763.0000,0.879600
2025-01-07,25.1200,25.6000,25.0400,25.4400,673100,17044933.0000,0.832300
2025-01-08,25.2800,25.6400,24.8800,25.5400,636700,16157079.0000,0.393100
2025-01-09,25.3100,25.7900,25.3100,25.6300,490100,12579223.0000,0.352400
2025-01-10,25.6000,25.9500,25.3700,25.5500,951000,24398961.0000,-0.312100
2025-01-13,25.3500,25.5100,24.8300,25.3700,518100,13075703.0000,-0.704500
2025-01-14,25.3700,26.1300,25.3700,26.1300,1057193,27300662.6800,2.995700
2025-01-15,26.2500,26.2900,25.8500,26.0300,738400,19231762.0000,-0.382700
2025-01-16,26.0300,26.5500,25.9600,26.1400,649000,17042260.0000,0.422600
2025-01-17,26.0900,26.4400,26.0100,26.4100,547800,14378556.0000,1.032900
2025-01-20,26.6000,27.1000,26.3100,26.9400,824900,22181580.0000,2.006800
2025-01-21,27.2700,27.2700,26.6100,26.8000,528900,14155648.0000,-0.519700
2025-01-22,26.5600,26.7200,26.2800,26.6900,512000,13602130.0000,-0.410400
2025-01-23,26.9200,27.2000,26.6700,26.7000,615400,16561831.0000,0.037500
2025-01-24,26.6600,26.9400,26.6200,26.8900,446597,11976635.3900,0.711600
2025-01-27,26.9000,27.3300,26.9000,27.0400,574200,15590046.0000,0.557800
2025-02-05,27.0700,27.1800,26.6300,26.7300,559800,15009715.0000,-1.146400
2025-02-06,26.7800,29.4000,26.6400,29.4000,4202436,121702482.6000,9.988800
2025-02-07,32.3400,32.3400,30.8900,32.3400,13289690,427080333.8800,10.000000
2025-02-10,30.7300,35.5200,30.0300,33.4000,15731310,496775586.8900,3.277700
2025-02-11,33.0700,33.7800,31.4900,31.8000,9822172,318033106.8400,-4.790400
2025-02-12,31.3800,32.6400,30.9300,32.2100,6735300,214947776.0000,1.289300
2025-02-13,32.1600,33.0000,31.6700,31.8900,6515480,210369761.6800,-0.993500
2025-02-14,31.8300,33.3300,31.4000,33.3300,7739824,252169428.7900,4.515500
2025-02-17,34.1900,35.6400,33.3500,33.7900,8626938,298109076.7400,1.380100
2025-02-18,32.9900,35.0000,32.7900,33.5800,6051087,205403955.3900,-0.621500
2025-02-19,33.2000,36.3700,33.2000,34.6800,8100807,284542698.1000,3.275800
2025-02-20,34.4500,37.1300,34.1100,36.4400,7033965,251500905.2200,5.075000
2025-02-21,35.8000,36.7800,35.4900,35.8900,5594400,201200857.3300,-1.509300
2025-02-24,35.8300,37.3800,35.0100,36.8500,5401893,195298105.7800,2.674800
2025-02-25,36.1500,40.5400,35.7000,39.0600,7299022,278487839.7100,5.997300
2025-02-26,39.0800,40.1800,38.3000,39.5100,5410181,211968846.3800,1.152100
2025-02-27,39.7200,40.7800,37.5200,38.6700,6057006,234290874.4800,-2.126000
2025-02-28,37.8800,38.3100,35.2800,35.3700,5022600,182498649.0000,-8.533700
2025-03-03,35.5400,36.5600,34.7400,36.0800,4690196,168002574.6800,2.007400
2025-03-04,35.4200,36.3700,35.4200,36.1100,2253193,81123200.6700,0.083100
2025-03-05,36.0000,36.2200,35.3000,35.7400,2003086,71501290.7700,-1.024600
2025-03-06,35.7400,36.8000,35.5100,36.3000,3005113,109182394.7600,1.566900
2025-03-07,36.1800,36.3600,35.4100,35.7000,2179900,78177312.0000,-1.652900
2025-03-10,35.5300,36.2500,35.3500,35.9500,1926700,68861910.0000,0.700300
2025-03-11,35.5300,38.3000,35.1300,37.7500,4447546,164344713.0600,5.007000
2025-03-12,38.7000,41.5300,38.7000,40.2000,6106118,249788676.4400,6.490100
2025-03-13,40.2200,41.5000,37.3500,38.0100,6389855,246151264.4300,-5.447800
2025-03-14,38.1400,39.6800,37.0200,38.3200,3932227,150055748.8200,0.815600
2025-03-17,38.3700,38.8600,37.0000,37.9000,2928600,110751731.8600,-1.096000
2025-03-18,38.2700,38.6500,37.6000,37.9100,2197465,83459055.5000,0.026400
2025-03-19,36.3000,36.7000,35.6000,36.1900,4159530,150334411.0000,-4.537100
2025-03-20,35.8200,38.9000,35.8000,37.6600,5402030,203992853.5000,4.061900
2025-03-21,37.2900,38.3500,36.7300,36.8100,2636500,98453027.7700,-2.257000
2025-03-24,37.3500,37.5200,34.3600,35.7000,2781953,98805985.4300,-3.015500
2025-03-25,35.7000,35.9300,34.4100,34.7300,1820514,63727340.2200,-2.717100
2025-03-26,34.5100,35.6300,34.5100,34.9900,1339600,47159716.0000,0.748600
2025-03-27,34.8500,35.3600,34.4100,34.5500,1465798,50902056.7300,-1.257500
2025-03-28,34.5500,34.7800,33.7100,33.7800,1237300,42143869.7900,-2.228700
2025-03-31,33.8000,33.8000,32.6800,33.6800,1735300,57616722.0000,-0.296000
2025-04-01,33.5900,34.1000,33.4500,33.6900,1067600,36000374.0000,0.029700
2025-04-02,33.6900,34.8900,33.6100,33.9500,1417400,48591051.0000,0.771700
2025-04-03,33.3500,33.7900,32.4600,32.9300,1338200,44296130.0000,-3.004400
2025-04-07,30.0300,30.5600,29.6400,29.6400,710600,21179167.0000,-9.990900
2025-04-08,29.0000,29.2000,26.6800,27.1500,5279300,143736289.0000,-8.400800
2025-04-09,26.0100,27.8000,25.3400,27.3400,4252614,114305972.5100,0.699800
2025-04-10,28.5000,29.2500,28.1000,28.9500,3766600,108830612.0000,5.888800
2025-04-11,28.9500,29.6700,28.6700,29.1200,1816170,53146381.5000,0.587200
2025-04-14,29.6700,30.0300,29.0000,29.2800,1996293,59040028.0000,0.549500
2025-04-15,29.8000,29.8000,29.0600,29.6000,1392500,40989254.0000,1.092900
2025-04-16,29.5800,29.7000,28.1300,28.8600,1549200,44604015.0000,-2.500000
2025-04-17,28.8300,29.3000,28.5100,29.1200,1160993,33783301.5300,0.900900
2025-04-18,29.2600,29.2600,28.4000,28.9600,1182200,34061718.0000,-0.549500
2025-04-21,28.9600,29.3800,28.6700,29.3200,1129030,32972766.1000,1.243100
2025-04-22,29.1800,29.5100,29.0600,29.3800,880500,25805725.0000,0.204600
2025-04-23,29.6800,30.7400,29.6100,30.4200,2314600,70057841.0000,3.539800
2025-04-24,30.2500,30.3900,29.3600,29.6300,1298500,38686295.0000,-2.597000
2025-04-25,29.5300,29.8000,29.2100,29.4700,1236000,36397661.0000,-0.540000
2025-04-28,29.2800,29.4700,28.5000,28.8800,1743521,50270205.5000,-2.002000
2025-04-29,28.8800,30.5900,28.8800,30.1400,2663400,80194938.0000,4.362900
2025-04-30,30.1200,30.9000,29.9200,30.8200,1799300,55103240.0000,2.256100
2025-05-06,31.1000,31.7400,30.6900,31.7000,2276100,71374504.8600,2.855300
