date,open,high,low,close,volume,amount,pctChg
2025-01-02,23.0600,23.5800,22.6500,22.8500,1617088,37396444.7200,-0.867700
2025-01-03,22.6800,23.0500,22.0600,22.1600,1591648,35976066.6000,-3.019700
2025-01-06,22.0800,22.5000,21.4100,22.0900,1503235,33167627.4800,-0.315900
2025-01-07,22.0100,22.6000,21.9200,22.3700,1480988,32925449.7600,1.267500
2025-01-08,22.4400,22.4900,21.6400,22.3900,1414167,31302661.1200,0.089400
2025-01-09,22.1400,22.5800,22.1200,22.2100,855300,19103090.0000,-0.803900
2025-01-10,22.2100,22.4400,22.0000,22.0000,1011200,22489363.0000,-0.945500
2025-01-13,21.7500,22.8200,21.5500,22.7200,1658800,37150454.0000,3.272700
2025-01-14,22.7700,23.4700,22.6100,23.4400,1402900,32460694.0000,3.169000
2025-01-15,23.4500,23.6800,23.0500,23.1400,1105920,25800374.2000,-1.279900
2025-01-16,23.4500,23.4800,22.9400,23.1300,1053988,24433556.4400,-0.043200
2025-01-17,23.2900,23.6800,22.9100,23.6400,1135188,26559989.4000,2.204900
2025-01-20,23.6700,24.3800,23.6700,24.0800,1247738,30024886.2400,1.861300
2025-01-21,24.3300,24.5000,23.7200,24.3000,1247311,30070934.4300,0.913600
2025-01-22,24.4700,24.7800,24.2200,24.7300,2137672,52512086.7200,1.769500
2025-01-23,24.7500,25.3600,24.5600,24.9300,3106938,77658855.5600,0.808700
2025-01-24,24.8500,24.8500,23.1300,23.4500,4505600,105960286.0000,-5.936600
2025-01-27,23.4800,23.8300,23.1600,23.4200,2687300,63263534.0000,-0.127900
2025-02-05,23.4500,23.4500,22.3600,22.4500,3528488,80054122.5200,-4.141800
2025-02-06,22.4500,22.9400,22.0500,22.8900,2200700,49869157.0000,1.959900
2025-02-07,23.0000,23.2400,22.6600,22.9600,2290400,52653158.0000,0.305800
2025-02-10,22.9500,23.0800,22.6500,22.8700,1856700,42317355.0000,-0.392000
2025-02-11,22.8700,23.1000,22.6400,23.0400,1772400,40619171.0000,0.743300
2025-02-12,22.9200,23.1600,22.9100,23.1300,1567676,36074543.0000,0.390600
2025-02-13,23.0400,23.5100,22.8200,22.8800,2250076,52100058.9200,-1.080800
2025-02-14,22.9200,23.0700,22.6200,22.7000,1995700,45535776.0000,-0.786700
2025-02-17,22.8600,23.0300,22.6400,23.0300,1675915,38334573.7900,1.453700
2025-02-18,23.1000,23.5800,22.6300,22.7000,2066000,47626570.0000,-1.432900
2025-02-19,22.7600,23.7200,22.7300,23.6900,2721067,63234281.3300,4.361200
2025-02-20,23.7000,24.4800,23.6600,24.1400,2908600,70222187.0000,1.899500
2025-02-21,24.0200,24.2500,23.9100,23.9600,1767200,42490506.0000,-0.745700
2025-02-24,24.0000,24.2000,23.6000,23.8500,2157200,51517996.0000,-0.459100
2025-02-25,23.7900,23.9700,23.6200,23.6900,1443500,34346026.0000,-0.670900
2025-02-26,23.6300,24.5900,23.6300,24.3000,2513000,60990943.0000,2.574900
2025-02-27,24.3000,25.3000,24.1700,24.7100,3147800,77588229.0000,1.687200
2025-02-28,24.5500,24.9600,24.2800,24.4000,2540200,62295017.0000,-1.254600
2025-03-03,24.4500,24.5600,23.7700,23.8200,2975500,71991672.0000,-2.377000
2025-03-04,23.8200,24.3800,23.7200,24.2500,1653200,40030199.0000,1.805200
2025-03-05,24.2000,24.3900,23.9100,24.1600,1105100,26602329.0000,-0.371100
2025-03-06,24.2600,24.6200,24.2100,24.3000,1659838,40457903.9400,0.579500
2025-03-07,24.3300,24.4400,24.0500,24.3600,1285938,31243655.9000,0.246900
2025-03-10,24.4600,25.3800,24.3600,25.1000,2943028,73530201.4400,3.037800
2025-03-11,24.8500,25.5000,24.6300,25.3900,2687299,67466976.6100,1.155400
2025-03-12,25.3900,25.6100,25.1600,25.3900,1997500,50662649.0000,0.000000
2025-03-13,25.3600,25.5000,24.8000,25.2400,1883688,47382322.6800,-0.590800
2025-03-14,25.2800,25.5500,24.9900,25.4600,2621200,66468621.0000,0.871600
