date,open,high,low,close,volume,amount,pctChg
2025-01-02,11.5500,11.6000,11.1400,11.3000,1763000,20113892.0000,-1.994800
2025-01-03,11.3500,11.4500,11.0500,11.0900,2292691,25774922.7700,-1.858400
2025-01-06,11.0500,11.2500,10.9100,11.1700,2513249,27863976.4300,0.721400
2025-01-07,11.0800,11.2800,10.8600,11.0700,1841306,20299904.0600,-0.895300
2025-01-08,11.0700,11.0800,10.5500,10.7600,3455492,37219538.3900,-2.800400
2025-01-09,10.7500,10.8200,10.6500,10.6700,1683101,18063073.1000,-0.836400
2025-01-10,10.7600,10.8500,10.5500,10.5700,1390341,14894973.8100,-0.937200
2025-01-13,10.5900,10.6600,10.3400,10.3800,1630300,16979504.0000,-1.797500
2025-01-14,10.4700,10.6500,10.3900,10.6000,2616688,27581201.6000,2.119500
2025-01-15,10.6000,10.6300,10.4600,10.5100,1509739,15923730.8400,-0.849100
2025-01-16,10.5900,10.7400,10.5300,10.6500,2779406,29560253.8800,1.332100
2025-01-17,10.6500,10.7400,10.5600,10.7300,1894361,20233810.4700,0.751200
2025-01-20,10.8000,10.9400,10.7000,10.8700,2272156,24583236.5600,1.304800
2025-01-21,11.1900,11.5000,10.9700,11.1200,5080901,56694821.8600,2.299900
2025-01-22,11.1200,11.2500,10.7600,10.8400,4890439,53594601.5300,-2.518000
2025-01-23,10.9400,11.0900,10.8500,10.9100,2565761,28207803.2900,0.645800
2025-01-24,11.0000,11.0900,10.8600,10.9600,2479272,27120256.1600,0.458300
2025-01-27,10.9500,11.2000,10.9400,11.1200,2247200,24982305.0000,1.459900
2025-02-05,11.2300,11.2300,11.0300,11.0900,3320558,36941244.6700,-0.269800
2025-02-06,11.1300,11.2300,10.9100,11.2000,3156718,35073190.6000,0.991900
2025-02-07,11.2000,11.2300,10.9800,11.1200,4320139,48080180.3900,-0.714300
2025-02-10,11.1200,11.1600,11.0500,11.1200,2085666,23176553.2000,0.000000
2025-02-11,11.1200,11.1500,11.0000,11.0800,1952339,21589950.8500,-0.359700
2025-02-12,11.0800,11.1300,11.0100,11.1000,1676893,18568126.7900,0.180500
2025-02-13,11.1300,11.1300,10.9000,10.9100,2634800,29007583.5800,-1.711700
2025-02-14,10.9500,11.0500,10.8800,10.9000,1786745,19540762.9800,-0.091700
2025-02-17,10.9100,10.9500,10.8100,10.9000,2251080,24470638.0900,0.000000
2025-02-18,10.8600,11.0300,10.7400,10.7700,2213890,24082885.4000,-1.192700
2025-02-19,10.7900,11.1400,10.7500,11.0600,4412864,48555705.1300,2.692700
2025-02-20,11.1100,11.2700,11.0100,11.2400,3305416,36826372.8600,1.627500
2025-02-21,11.1600,11.2500,11.0400,11.1500,2867045,31865313.7500,-0.800700
2025-02-24,11.1300,11.1500,11.0300,11.0800,2077864,23036289.5400,-0.627800
2025-02-25,11.0000,11.0300,10.7700,10.7900,4594534,50101343.7400,-2.617300
2025-02-26,10.8500,11.1200,10.8400,11.0100,4380998,48170414.3800,2.038900
2025-02-27,11.0500,11.0900,10.8700,11.0200,2707368,29712127.7500,0.090800
2025-02-28,10.9800,11.5200,10.9100,11.4600,9210480,104253148.5600,3.992700
2025-03-03,11.6500,12.2000,11.5200,12.1400,17334617,204385972.4300,5.933700
2025-03-04,11.9500,11.9700,11.6500,11.8900,10210444,120853007.6500,-2.059300
2025-03-05,11.8900,12.2300,11.7600,11.9800,9901940,118681771.8100,0.756900
2025-03-06,12.0200,12.1800,11.9300,12.0300,7817323,94182484.6200,0.417400
2025-03-07,12.0000,12.1800,11.8200,12.0400,7292297,87820105.5300,0.083100
2025-03-10,12.0700,12.1200,11.8100,11.8500,5760547,68555433.1100,-1.578100
2025-03-11,11.7500,12.0700,11.7500,12.0700,5342571,63862533.9500,1.856500
2025-03-12,12.1000,12.1200,11.9000,11.9200,4084925,49025581.8500,-1.242800
2025-03-13,11.9000,11.9500,11.5700,11.7200,4239075,49669550.6500,-1.677900
2025-03-14,11.7200,11.8300,11.5600,11.8200,3957268,46398144.1600,0.853200
2025-03-17,11.8200,12.1400,11.8000,12.0000,4838046,58077960.8800,1.522800
2025-03-18,12.0100,12.0600,11.8400,11.9600,3362300,40119950.7400,-0.333300
2025-03-19,11.9500,12.4100,11.8800,12.3000,8757638,107244594.1700,2.842800
2025-03-20,12.3500,12.7200,12.2100,12.2700,9659644,120164468.6100,-0.243900
2025-03-21,12.2300,12.6500,12.1500,12.5800,11291460,140482818.9700,2.526500
2025-03-24,12.6500,12.7500,11.9600,12.2100,10798895,132644262.7800,-2.941200
2025-03-25,12.1100,13.0000,11.9100,12.6100,16082241,201727861.4300,3.276000
2025-03-26,12.5000,13.3800,12.4500,13.2000,22645289,295428968.4400,4.678800
2025-03-27,12.9500,14.5200,12.8000,13.8600,29875630,405692842.9300,5.000000
2025-03-28,13.6000,13.6500,13.0600,13.2000,17953140,239574436.2700,-4.761900
2025-03-31,13.1200,13.4600,12.7000,12.9400,13810359,180125044.2200,-1.969700
2025-04-01,12.9900,13.0800,12.5700,12.6300,13653526,174949733.8000,-2.395700
2025-04-02,12.6400,12.7700,12.5000,12.7700,9764577,123305748.5400,1.108500
2025-04-03,12.5000,12.7100,12.0900,12.1800,11836088,146279810.1900,-4.620200
