date,open,high,low,close,volume,amount,pctChg
2025-01-02,3.4800,3.5700,3.4100,3.4400,8850900,30910062.0000,-0.864600
2025-01-03,3.4600,3.4700,3.2300,3.2600,11480000,38118303.0000,-5.232600
2025-01-06,3.2400,3.3200,3.1100,3.2400,7921200,25558695.0000,-0.613500
2025-01-07,3.2400,3.3400,3.2300,3.3300,6523700,21399074.0000,2.777800
2025-01-08,3.3300,3.3600,3.2000,3.3200,8031600,26411148.0000,-0.300300
2025-01-09,3.3400,3.5300,3.3100,3.3400,11614500,39179650.0000,0.602400
2025-01-10,3.3200,3.6700,3.2800,3.6700,16958190,61222777.3000,9.880200
2025-01-13,3.6000,4.0400,3.5000,3.7700,60531488,230213573.0800,2.724800
2025-01-14,3.6700,3.8800,3.5500,3.8500,50473672,187092592.8700,2.122000
2025-01-15,3.7600,3.8100,3.6100,3.6200,31368609,115144902.8400,-5.974000
2025-01-16,3.6900,3.9800,3.5000,3.7800,44032749,163322144.1900,4.419900
2025-01-17,3.6800,3.7000,3.5100,3.5500,25839000,92804916.0000,-6.084700
2025-01-20,3.5500,3.6300,3.4900,3.5100,14248100,50544825.0000,-1.126800
2025-01-21,3.5400,3.8600,3.5300,3.8600,16087100,61415747.0000,9.971500
2025-01-22,3.8300,3.9500,3.7000,3.7100,36529951,138025172.5400,-3.886000
2025-01-23,3.7800,3.8200,3.6500,3.6500,19219110,71429374.0200,-1.617300
2025-01-24,3.6300,3.6800,3.5900,3.6600,13762390,50074550.4100,0.274000
2025-01-27,3.6100,3.7100,3.5600,3.5700,10748439,38854199.7900,-2.459000
2025-02-05,3.5800,3.6400,3.5500,3.6400,10004039,36162122.1800,1.960800
2025-02-06,3.6300,3.7000,3.5600,3.6900,13675590,49745497.7000,1.373600
2025-02-07,3.6700,3.7300,3.6400,3.7000,15510290,57400938.4000,0.271000
2025-02-10,3.7300,3.7600,3.6800,3.7600,14801604,55225083.2600,1.621600
2025-02-11,3.7600,3.7800,3.6700,3.7000,9707539,35952223.3000,-1.595700
2025-02-12,3.7000,3.7500,3.6700,3.7200,8709100,32339718.0000,0.540500
2025-02-13,3.7100,3.9100,3.7000,3.7500,15632000,59212296.0000,0.806500
2025-02-14,3.7500,3.7800,3.6700,3.6900,9011600,33398259.0000,-1.600000
2025-02-17,3.6800,3.7900,3.6700,3.7600,13011800,48625229.0000,1.897000
2025-02-18,3.7600,3.7900,3.6300,3.6300,10436100,38588257.0000,-3.457400
2025-02-19,3.6300,3.6500,3.6100,3.6400,7750790,28122681.7000,0.275500
2025-02-20,3.6300,3.6800,3.6100,3.6400,6309400,22953863.0000,0.000000
2025-02-21,3.6500,3.6600,3.5600,3.6200,8322101,29940670.5700,-0.549500
2025-02-24,3.6500,3.7900,3.6000,3.7100,16080600,59844673.0000,2.486200
2025-02-25,3.7000,3.7500,3.6400,3.7000,8464300,31311930.0000,-0.269500
2025-02-26,3.7100,3.7700,3.7000,3.7500,9674400,36247143.0000,1.351400
2025-02-27,3.7600,3.7800,3.6800,3.7500,9881290,36915961.6000,0.000000
2025-02-28,3.7500,3.7700,3.6500,3.6500,8656300,32091581.0000,-2.666700
2025-03-03,3.6800,3.7200,3.6300,3.6500,8648387,31756634.9000,0.000000
2025-03-04,3.6600,3.6700,3.5900,3.6300,6963300,25236398.0000,-0.547900
2025-03-05,3.6500,3.6500,3.4800,3.5400,11670200,41182792.7400,-2.479300
2025-03-06,3.5400,3.6100,3.5000,3.5900,7385300,26380333.0000,1.412400
2025-03-07,3.6000,3.6200,3.5500,3.5500,5611500,20093789.0000,-1.114200
2025-03-10,3.5700,3.7100,3.5400,3.6200,8279400,30167827.0000,1.971800
2025-03-11,3.6000,3.6600,3.5500,3.6500,7496400,27136222.0000,0.828700
2025-03-12,3.6500,3.6700,3.6100,3.6100,5623300,20374190.0000,-1.095900
2025-03-13,3.6000,3.6400,3.5300,3.5800,7307500,26170083.0000,-0.831000
2025-03-14,3.6000,3.6400,3.5400,3.6300,7126300,25677085.0000,1.396600
2025-03-17,3.6500,3.7200,3.6500,3.7000,13032500,48075220.0000,1.928400
2025-03-18,3.7100,3.7200,3.6600,3.7000,7605000,28071895.0000,0.000000
2025-03-19,3.7000,3.7200,3.6600,3.6700,7266300,26771912.0000,-0.810800
2025-03-20,3.6800,3.7100,3.6500,3.6600,5890100,21687063.0000,-0.272500
2025-03-21,3.6500,3.6800,3.5800,3.5900,9370700,33898462.0000,-1.912600
2025-03-24,3.5900,3.6000,3.3800,3.4000,12796600,44412275.0000,-5.292500
2025-03-25,3.4400,3.7400,3.3800,3.7400,39739149,146463518.5800,10.000000
2025-03-26,3.6900,3.9200,3.6500,3.8100,53717149,204523267.1100,1.871700
2025-03-27,3.8300,3.9600,3.7500,3.7700,35443426,136085470.7600,-1.049900
2025-03-28,3.7400,3.7700,3.5300,3.5300,26450500,95977522.0000,-6.366000
2025-03-31,3.5800,3.6100,3.3800,3.4100,17796400,61155754.0000,-3.399400
2025-04-01,3.5200,3.7500,3.4800,3.7500,11551100,42526505.0000,9.970700
2025-04-02,4.1200,4.1300,3.8600,4.1300,37390280,152071585.2400,10.133300
2025-04-03,4.1300,4.5000,3.9800,4.1900,99182131,418141913.0800,1.452800
2025-04-07,3.7800,3.8800,3.7700,3.7700,13783800,52121046.0000,-10.023900
2025-04-08,3.4000,3.6900,3.3900,3.4900,62844700,218729753.0000,-7.427100
2025-04-09,3.3900,3.4700,3.1400,3.4300,39626839,130279220.6500,-1.719200
2025-04-10,3.4500,3.5800,3.4400,3.4800,29723400,104429376.0000,1.457700
2025-04-11,3.4500,3.8300,3.4400,3.8300,16759448,62810626.8400,10.057500
2025-04-14,4.0400,4.2100,4.0000,4.2100,39510190,163994666.0200,9.921700
2025-04-15,4.3300,4.4900,4.0300,4.1200,76820531,324810595.8200,-2.137800
2025-04-16,4.1100,4.1500,3.9400,4.0700,42239421,170935932.9900,-1.213600
2025-04-17,4.0900,4.4800,3.9800,4.4800,25395920,110580251.6000,10.073700
2025-04-18,4.5200,4.6000,4.1600,4.2000,62621100,271067708.0000,-6.250000
2025-04-21,4.2300,4.3500,4.1400,4.2200,37056741,156206987.1000,0.476200
2025-04-22,4.2900,4.3900,4.1600,4.2400,30275210,128115176.7000,0.473900
2025-04-23,4.2600,4.2600,4.1100,4.1400,24179900,100463574.0000,-2.358500
2025-04-24,4.0500,4.1200,4.0300,4.0600,17633600,71707924.0000,-1.932400
2025-04-25,4.0500,4.0900,3.9600,3.9600,17813600,71607871.0000,-2.463100
2025-04-28,3.9900,4.0100,3.8800,3.9300,15101100,59512529.0000,-0.757600
2025-04-29,3.9000,4.0000,3.8700,3.9700,11875000,46965903.0000,1.017800
2025-04-30,3.9600,4.0500,3.9400,3.9400,13394500,53490185.0000,-0.755700
2025-05-06,3.9700,4.1400,3.9700,4.0800,18508700,75429579.0000,3.553300
2025-05-07,4.1200,4.2200,4.1000,4.1600,23444200,97478051.0000,1.960800
2025-05-08,4.1200,4.1900,4.0800,4.1400,15353200,63653818.0000,-0.480800
2025-05-09,4.1700,4.2500,4.0400,4.0600,19230400,79393011.0000,-1.932400
2025-05-12,4.1000,4.1100,4.0200,4.0700,13916100,56358130.0000,0.246300
2025-05-13,4.1000,4.2100,4.0500,4.1500,19895610,82240671.7000,1.965600
2025-05-14,4.1500,4.2000,4.0800,4.1000,15481500,63850445.0000,-1.204800
2025-05-15,4.1300,4.1600,4.0500,4.0700,14056000,57593630.0000,-0.731700
2025-05-16,4.0600,4.1500,4.0500,4.1400,15797500,64950505.0000,1.719900
2025-05-19,4.1700,4.4600,4.1500,4.3300,35956031,154481553.9200,4.589400
2025-05-20,4.3300,4.4000,4.2700,4.3400,24073800,103858045.0000,0.230900
2025-05-21,4.3400,4.3600,4.1900,4.2300,18617700,79146581.0000,-2.534600
2025-05-22,4.2000,4.3000,4.1300,4.1300,13658700,57235727.0000,-2.364100
2025-05-23,4.1300,4.2000,4.0600,4.0800,13379331,55147738.6500,-1.210700
2025-05-26,4.0500,4.1100,4.0300,4.0800,10378417,42248104.8500,0.000000
2025-05-27,4.0800,4.1800,4.0400,4.1600,12955100,53225371.0000,1.960800
2025-05-28,4.1900,4.2700,4.0300,4.0400,14328900,58872384.0000,-2.884600
2025-05-29,4.0400,4.1600,4.0100,4.0800,13196200,53978069.0000,0.990100
2025-05-30,4.0800,4.0900,3.9900,4.0000,10767200,43255744.0000,-1.960800
2025-06-03,4.0000,4.1000,3.9500,4.0400,11362100,46210949.0000,1.000000
2025-06-04,4.0700,4.1200,4.0400,4.1000,10909900,44671231.0000,1.485100
2025-06-05,4.1200,4.1300,4.0300,4.0800,10477000,42641501.0000,-0.487800
2025-06-06,4.1000,4.2300,4.0500,4.1800,18421900,76459704.0000,2.451000
2025-06-09,4.1800,4.3100,4.1800,4.2900,18477800,78525496.0000,2.631600
2025-06-10,4.2700,4.3600,4.1800,4.2800,20250400,86580714.0000,-0.233100
2025-06-11,4.2800,4.3300,4.2600,4.2800,13030400,55923781.0000,0.000000
2025-06-12,4.2600,4.2800,4.2000,4.2600,10012200,42426020.0000,-0.467300
2025-06-13,4.2600,4.2600,4.1300,4.1600,12990900,54118807.0000,-2.347400
2025-06-16,4.1300,4.2200,4.1200,4.1500,8666700,36079203.0000,-0.240400
2025-06-17,4.1500,4.1900,4.0800,4.1000,10587600,43638660.0000,-1.204800
2025-06-18,4.0800,4.1100,4.0200,4.0200,10443700,42222757.0000,-1.951200
2025-06-19,4.0100,4.0300,3.8800,3.9200,15587400,61477393.0000,-2.487600
2025-06-20,3.9000,3.9600,3.8600,3.8800,11497710,44843483.9000,-1.020400
2025-06-23,3.8700,4.0700,3.8400,4.0300,14245000,56970936.0000,3.866000
2025-06-24,4.0300,4.1400,3.9900,4.1300,11198000,45817457.0000,2.481400
2025-06-25,4.1700,4.2400,4.1300,4.1700,13559200,56549461.0000,0.968500
2025-06-26,4.2000,4.2200,4.1200,4.1400,10608600,44137578.0000,-0.719400
2025-06-27,4.1500,4.1800,4.1200,4.1500,7377100,30541511.0000,0.241500
2025-06-30,4.1500,4.2200,4.1500,4.2200,10859900,45593118.0000,1.686700
2025-07-01,4.2200,4.2700,4.1600,4.2500,10750400,45359591.0000,0.710900
2025-07-02,4.2500,4.2700,4.2000,4.2500,10361161,43907508.8600,0.000000
2025-07-03,4.2500,4.2900,4.2100,4.2400,8400261,35636974.2500,-0.235300
2025-07-04,4.2400,4.2600,4.1700,4.1700,9971000,41960708.0000,-1.650900
2025-07-07,4.1600,4.3000,4.1600,4.2700,12517182,53154715.6800,2.398100
2025-07-08,4.2700,4.3200,4.2700,4.3100,10491300,44998261.0000,0.936800
2025-07-09,4.3100,4.3400,4.2200,4.2500,11711561,49862408.8600,-1.392100
2025-07-10,4.2600,4.3500,4.2400,4.3500,13714200,59150590.0000,2.352900
2025-07-11,4.3800,4.4500,4.2600,4.3300,18598000,80515670.0000,-0.459800
2025-07-14,4.3100,4.3900,4.2900,4.3700,12074700,52425871.0000,0.923800
2025-07-15,4.3800,4.3900,4.2000,4.2400,14002743,59489239.0300,-2.974800
2025-07-16,4.2500,4.3000,4.2300,4.2700,11135100,47550047.0000,0.707500
2025-07-17,4.2800,4.3100,4.2400,4.2900,9869000,42185719.0000,0.468400
2025-07-18,4.3300,4.3400,4.2500,4.3000,9425200,40359830.0000,0.233100
2025-07-21,4.3000,4.4300,4.2900,4.4100,14365500,63168058.0000,2.558100
2025-07-22,4.4000,4.5800,4.4000,4.4600,27085200,121103453.0000,1.133800
