date,open,high,low,close,volume,amount,pctChg
2025-01-02,13.4800,13.5800,13.0500,13.1400,3979198,53004647.6200,-2.304800
2025-01-03,13.1100,13.3500,12.2000,12.2200,5441200,68655672.0000,-7.001500
2025-01-06,12.2100,12.5000,11.4900,12.2400,4497800,54528783.0000,0.163700
2025-01-07,12.1800,12.3800,12.1000,12.3400,3334200,40862427.0000,0.817000
2025-01-08,12.3100,12.6000,12.0200,12.5800,4709600,58223751.0000,1.944900
2025-01-09,12.4000,12.8700,12.3200,12.6300,4290900,53911176.0000,0.397500
2025-01-10,12.5800,12.7900,12.1800,12.1800,3830500,47908020.0000,-3.562900
2025-01-13,12.1800,13.3300,11.8400,12.6000,7413800,93672583.0000,3.448300
2025-01-14,12.8000,13.5600,12.8000,13.2900,8261700,109175425.0000,5.476200
2025-01-15,13.3500,13.5600,13.1000,13.2900,5595200,74706937.0000,0.000000
2025-01-16,12.9900,13.5000,12.9400,13.0400,4949200,65248962.0000,-1.881100
2025-01-17,13.0300,13.2900,12.8200,12.8300,4234200,54796160.0000,-1.610400
2025-01-20,13.0300,13.9900,12.9000,13.7200,7975000,108443400.0000,6.936900
2025-01-21,13.6700,13.7900,13.0900,13.4500,6760700,90691899.0000,-1.967900
2025-01-22,13.3000,13.3400,12.9000,13.1000,4525332,59283749.6800,-2.602200
2025-01-23,13.1000,13.4000,12.7600,12.7700,4420301,57649181.8300,-2.519100
2025-01-24,12.6800,13.1400,12.5800,13.1100,3236132,41819506.2000,2.662500
2025-01-27,13.2000,13.3600,12.9200,13.0300,2267000,29673967.0000,-0.610200
2025-02-05,13.1600,14.1200,13.0200,13.6900,6239760,85464100.0000,5.065200
2025-02-06,13.5600,13.8700,13.1700,13.3900,7558860,101751557.0000,-2.191400
2025-02-07,13.3700,13.8000,13.2100,13.4400,6951263,94202306.6800,0.373400
2025-02-10,13.4300,13.6300,13.3100,13.6300,3859900,52036789.0000,1.413700
2025-02-11,13.6500,13.7000,13.4300,13.6100,2441799,33120089.5100,-0.146700
2025-02-12,13.5500,14.2000,13.4000,13.9400,6576100,90559005.0000,2.424700
2025-02-13,14.0100,14.3500,13.7200,13.7300,5230999,73503528.9500,-1.506500
2025-02-14,13.7000,13.9000,13.4000,13.5500,4642200,62963537.0000,-1.311000
2025-02-17,13.5400,14.0200,13.3600,13.9000,5010899,68925043.1600,2.583000
2025-02-18,13.7000,14.4000,13.7000,13.9900,5728200,80898940.0000,0.647500
