date,open,high,low,close,volume,amount,pctChg
2025-01-02,10.7300,11.1000,10.4700,10.9500,20607791,221494889.0900,2.050300
2025-01-03,10.8600,10.8900,10.4700,10.5400,15122182,160693833.0800,-3.744300
2025-01-06,10.6000,11.5900,10.1700,11.5900,13229181,147633709.4300,9.962000
2025-01-07,12.7500,12.7500,12.7500,12.7500,4750870,60573592.5000,10.008600
2025-01-08,14.0300,14.0300,14.0300,14.0300,2329360,32680920.8000,10.039200
2025-01-09,15.4300,15.4300,15.4300,15.4300,7041006,108642722.5800,9.978600
2025-01-10,14.8100,14.8100,13.8900,13.8900,53299985,748777457.8000,-9.980600
2025-01-13,12.5000,12.7500,12.5000,12.5000,21639667,270706776.6000,-10.007200
2025-01-14,11.9000,12.8500,11.4400,12.2100,51973912,626256015.4600,-2.320000
2025-01-15,11.9000,12.1900,11.6800,11.7600,32822228,389586793.0000,-3.685500
2025-01-16,11.5400,11.9000,11.2800,11.4600,32666036,375538220.7300,-2.551000
2025-01-17,11.3800,11.4000,11.0400,11.0700,24870581,278339365.3400,-3.403100
2025-01-20,11.2400,11.5800,11.0700,11.3900,24886417,282276970.0100,2.890700
2025-01-21,11.4000,11.7000,11.2600,11.6300,26080609,299747862.5300,2.107100
2025-01-22,11.8200,12.5800,11.5600,12.0800,41948902,511475653.8900,3.869300
2025-01-23,11.9100,12.4000,11.4300,11.4500,34413555,409928688.7300,-5.215200
2025-01-24,11.4000,12.4400,11.3500,12.2200,33511219,399259414.7200,6.724900
2025-01-27,11.9000,12.2800,11.4400,11.5000,22288775,262517868.4300,-5.892000
2025-02-05,11.2000,11.3800,10.6800,10.7800,22028180,238756584.2400,-6.260900
2025-02-06,10.7100,11.4600,10.6900,11.2900,18216393,203102112.0500,4.731000
2025-02-07,11.4500,11.5500,11.1400,11.3300,18595270,211730642.5800,0.354300
2025-02-10,11.4500,11.8000,11.4000,11.7100,17792312,206971394.2300,3.353900
2025-02-11,11.7500,11.8700,11.4200,11.7400,14102307,164345757.7000,0.256200
2025-02-12,11.7900,12.1200,11.6800,11.8500,14767912,175714876.3200,0.937000
2025-02-13,11.8000,11.9000,11.4500,11.5200,12710860,147635493.7600,-2.784800
2025-02-14,11.4600,11.6200,11.2200,11.3000,9976408,113790508.8800,-1.909700
2025-02-17,11.3000,12.4300,11.3000,12.4300,14969594,180238732.6500,10.000000
2025-02-18,12.5000,12.9800,12.0300,12.1500,42763067,534123078.4900,-2.252600
2025-02-19,12.1400,12.5900,11.9900,12.5400,32039006,395867169.9800,3.209900
2025-02-20,12.4000,12.6400,12.2500,12.5600,23027956,286117811.9000,0.159500
2025-02-21,12.7600,13.2900,12.6500,13.0200,35333239,457593631.5400,3.662400
2025-02-24,12.8000,12.8600,12.3300,12.6400,20852102,262814801.0000,-2.918600
2025-02-25,12.3100,12.7400,12.1900,12.5600,16880268,211199356.6400,-0.632900
2025-02-26,12.5800,12.7100,12.3400,12.4700,16490458,205984793.4600,-0.716600
2025-02-27,12.4700,13.7200,12.4700,12.9900,27892249,363493018.7800,4.170000
2025-02-28,12.7300,12.8000,11.9000,12.0400,19223600,236278895.5700,-7.313300
2025-03-03,12.0500,12.2400,11.7000,11.8100,12982538,155333879.0800,-1.910300
2025-03-04,11.7200,12.2000,11.6700,12.0500,8871656,106350230.6400,2.032200
2025-03-05,12.0500,12.1500,11.7600,12.1300,10016008,119847274.8400,0.663900
2025-03-06,12.2100,12.2800,12.0900,12.2100,14020432,170843292.1600,0.659500
2025-03-07,12.1500,12.2900,11.7800,11.8500,12641636,151443600.9600,-2.948400
2025-03-10,11.8600,12.0100,11.7600,11.9700,7597160,90314683.4000,1.012700
2025-03-11,11.8100,12.0600,11.6100,11.9700,10316980,121922109.4000,0.000000
2025-03-12,11.9800,12.9500,11.9800,12.4800,23348076,291067807.4800,4.260700
2025-03-13,12.4000,12.6100,12.1300,12.5000,16517410,205216696.5200,0.160300
2025-03-14,12.5200,12.5900,11.9600,12.4400,15861136,195478637.9600,-0.480000
2025-03-17,12.4000,12.4600,12.1700,12.2200,10257000,125382367.4000,-1.768500
2025-03-18,12.2300,12.7000,12.1500,12.4700,14277598,177362459.4400,2.045800
2025-03-19,12.3600,12.5500,12.2100,12.2900,9833833,121126584.7800,-1.443500
2025-03-20,12.3000,12.5400,12.1200,12.4000,13456954,166603895.9800,0.895000
2025-03-21,12.3600,12.4000,11.8600,11.8800,13219897,158859313.8500,-4.193500
2025-03-24,11.9600,11.9600,11.1100,11.4500,11661608,133503003.7600,-3.619500
2025-03-25,11.4200,12.5000,11.3500,11.6700,16740535,199799546.6000,1.921400
2025-03-26,11.8100,11.9200,11.5200,11.7500,10246636,120683180.2500,0.685500
2025-03-27,11.6300,11.6300,11.2600,11.3000,9882100,112262876.0000,-3.829800
2025-03-28,11.3000,11.4200,11.2600,11.3000,5683241,64470141.7500,0.000000
2025-03-31,11.2700,11.3500,11.0000,11.3000,5722624,63746087.6400,0.000000
2025-04-01,11.3600,12.1000,11.3100,11.6200,9900971,115340588.4300,2.831900
2025-04-02,11.6200,11.6800,11.3600,11.4000,6180180,70821521.6400,-1.893300
2025-04-03,11.2600,11.4700,11.0500,11.1900,6259800,70299634.0000,-1.842100
2025-04-07,10.5500,10.5700,10.0700,10.0700,6450420,65689600.5200,-10.008900
2025-04-08,10.0700,10.3500,9.3900,9.7000,9493252,93312414.5600,-3.674300
2025-04-09,9.4800,10.2200,8.8700,10.2100,11302870,107379650.6000,5.257700
2025-04-10,10.3800,10.8000,10.2800,10.7700,12528734,132465644.0300,5.484800
2025-04-11,10.8800,11.0500,10.5300,10.5300,10760976,115491349.3200,-2.228400
2025-04-14,10.6200,10.7200,10.5000,10.6000,7160520,75943727.0000,0.664800
2025-04-15,10.6600,10.7500,10.4700,10.6500,5175164,54907693.0000,0.471700
2025-04-16,10.5600,10.6400,10.2000,10.3900,5019588,52212124.8800,-2.441300
2025-04-17,10.2800,10.5800,10.2800,10.4200,4183440,43916423.4000,0.288700
2025-04-18,10.4500,10.5200,10.2600,10.3900,3036773,31527426.3200,-0.287900
2025-04-21,10.3600,10.6200,10.2700,10.6000,3956660,41654193.2000,2.021200
2025-04-22,10.6600,10.6600,10.5200,10.5800,2923100,30919268.0000,-0.188700
2025-04-23,10.6100,10.9900,10.6100,10.9000,7737760,83991709.0000,3.024600
2025-04-24,10.8500,10.9700,10.6600,10.8800,5089000,55166316.0000,-0.183500
2025-04-25,10.8700,11.0000,10.8600,10.9000,3520049,38458313.0300,0.183800
2025-04-28,11.2800,11.4900,11.0700,11.1000,9766968,109618160.1900,1.834900
2025-04-29,11.4900,11.6700,11.2400,11.5200,10997172,126817120.8800,3.783800
2025-04-30,11.5100,11.7000,11.5100,11.5700,6770020,78542468.8000,0.434000
2025-05-06,11.6400,11.9900,11.6200,11.9200,7672496,90816123.6000,3.025100
2025-05-07,12.0000,12.0900,11.7700,11.8800,7643500,90852713.4000,-0.335600
2025-05-08,11.9500,12.1400,11.8600,11.9600,5835876,70075151.9200,0.673400
2025-05-09,11.9600,12.0400,11.8200,11.9200,6120164,73093184.8000,-0.334400
2025-05-12,12.0000,12.0800,11.9000,11.9700,4854840,58096883.2000,0.419500
2025-05-13,12.0900,12.2500,11.9700,12.0500,6887336,83281895.8800,0.668300
2025-05-14,12.2500,12.7800,11.9500,12.1200,15581008,190657388.7600,0.580900
2025-05-15,12.0100,12.1400,11.8100,11.9400,10065933,120419318.7000,-1.485100
