date,open,high,low,close,volume,amount,pctChg
2025-01-02,20.9000,21.1500,20.2500,20.3800,1257426,25958959.1400,-2.394600
2025-01-03,20.3800,20.4900,19.5800,19.6200,1074400,21424482.0000,-3.729100
2025-01-06,19.6500,20.0400,19.2100,19.8600,717600,14132595.0000,1.223200
2025-01-07,19.8200,20.4000,19.7400,20.3800,766110,15426356.0000,2.618300
2025-01-08,20.3700,20.4500,19.8500,20.3500,728900,14720097.0000,-0.147200
2025-01-09,20.2000,20.4800,20.0400,20.3500,481926,9814948.6200,0.000000
2025-01-10,20.4100,20.6300,19.9700,20.0000,612907,12421744.1700,-1.719900
2025-01-13,19.7200,20.2000,19.4700,20.0000,618600,12294633.0000,0.000000
2025-01-14,20.0500,22.0000,20.0500,22.0000,4118419,88326708.6000,10.000000
2025-01-15,22.0000,22.0500,21.2000,21.5100,4252911,91679177.8000,-2.227300
2025-01-16,20.8000,21.6500,20.8000,21.2600,3055100,64918984.0000,-1.162300
2025-01-17,21.1100,21.6800,21.0700,21.3100,2401100,51435186.7600,0.235200
2025-01-20,21.3300,21.8000,21.1100,21.7600,2230005,48099882.3000,2.111700
2025-01-21,21.8500,21.8500,21.4500,21.6500,1599800,34544177.0000,-0.505500
2025-01-22,21.5800,21.6400,21.3300,21.3500,965200,20698008.0000,-1.385700
2025-01-23,21.5800,21.8300,21.2200,21.2200,1166100,25127855.0000,-0.608900
2025-01-24,21.2200,21.7100,21.1600,21.7000,1817300,39189000.0000,2.262000
2025-01-27,21.7000,22.0200,21.5700,21.8400,1609200,35179108.0000,0.645200
2025-02-05,21.9100,22.5200,21.5600,22.1500,2323963,50993003.5800,1.419400
2025-02-06,22.0100,24.3700,22.0100,24.3700,9480452,224242815.3900,10.022600
2025-02-07,24.3700,24.3700,23.3000,23.4300,10342479,243539937.5100,-3.857200
2025-02-10,23.2000,23.2000,22.7600,22.9700,5580426,127773483.5000,-1.963300
2025-02-11,22.9700,23.2900,22.7100,23.2800,4969590,114319685.9000,1.349600
2025-02-12,23.1200,23.6300,22.8700,23.1900,4027721,93278285.4600,-0.386600
2025-02-13,23.5000,23.9700,23.0300,23.1000,5244494,123630616.1600,-0.388100
2025-02-14,23.2100,25.4100,23.1200,23.4400,6087284,145289914.2100,1.471900
2025-02-17,22.8800,24.0500,22.5100,23.7800,5914626,137332854.2200,1.450500
2025-02-18,23.3800,25.8000,23.0700,24.1600,7897326,191898032.5500,1.598000
2025-02-19,24.0000,25.3500,24.0000,25.2000,8228926,204458982.1900,4.304600
2025-02-20,24.8500,25.4800,24.2800,24.8100,5931000,147574441.1800,-1.547600
2025-02-21,24.5500,24.8500,24.0000,24.7700,5408200,131736583.2400,-0.161200
2025-02-24,24.5000,26.3800,24.1600,25.6300,6789000,171870465.0000,3.471900
2025-02-25,25.1500,25.1500,24.3900,24.4100,4889732,120900703.9400,-4.760000
2025-02-26,24.2200,24.5500,24.1000,24.2800,3134194,76190509.8400,-0.532600
2025-02-27,24.3100,24.4900,23.5000,23.9000,3052671,72934765.0700,-1.565100
2025-02-28,23.9000,24.3000,23.2900,23.3100,2835383,67144414.3700,-2.468600
2025-03-03,23.1600,24.3800,23.0900,23.7200,3428078,81846975.8000,1.758900
2025-03-04,23.2500,23.7500,23.1600,23.4200,2885400,67604592.7000,-1.264800
2025-03-05,23.4200,24.5800,23.4200,24.4700,4769778,115466157.3600,4.483300
2025-03-06,24.3000,24.4400,23.9600,24.2600,3881458,94053935.8200,-0.858200
2025-03-07,24.1200,24.5800,24.0500,24.2900,2919052,70902105.9400,0.123700
2025-03-10,24.3300,24.9800,24.1800,24.4300,2910858,71322342.7800,0.576400
2025-03-11,24.1900,24.5400,23.9200,24.1300,2270863,54811101.3700,-1.228000
2025-03-12,24.2500,24.4000,23.8100,23.8500,1981100,47403297.0000,-1.160400
2025-03-13,23.8000,23.9300,23.3000,23.7300,1808500,42721839.0000,-0.503100
2025-03-14,24.0000,24.4200,23.6200,24.1000,2245000,53859220.0000,1.559200
2025-03-17,24.2500,24.9800,24.1100,24.5600,3172961,78117503.0200,1.908700
2025-03-18,24.5200,25.4000,24.3300,25.4000,5608163,140176482.2300,3.420200
2025-03-19,25.1100,25.4700,24.7000,25.4100,4160200,104490989.2300,0.039400
2025-03-20,26.5000,27.9500,25.0100,25.4500,10492826,276671223.6800,0.157400
2025-03-21,24.9600,28.0000,24.7200,28.0000,9215656,249020109.1800,10.019600
2025-03-24,30.7800,30.8000,29.8100,30.8000,5773341,177117567.5700,10.000000
