date,open,high,low,close,volume,amount,pctChg
2025-01-02,12.6400,12.6800,12.0600,12.2000,10059963,124007518.0000,-3.481000
2025-01-03,12.2500,12.3900,11.3000,11.3300,9598793,112234640.8400,-7.131100
2025-01-06,11.2700,11.6100,10.8000,11.2300,5749568,64936596.9200,-0.882600
2025-01-07,11.3000,12.0400,11.3000,11.6900,6790795,78991429.6300,4.096200
2025-01-08,11.8600,12.8600,11.8600,12.8600,8917304,112916600.5600,10.008600
2025-01-09,13.1300,14.1500,13.0600,13.4600,35706202,487128761.0700,4.665600
2025-01-10,12.8800,13.3700,12.5200,12.5500,22888517,296340088.3400,-6.760800
2025-01-13,12.6900,13.0000,11.9200,12.2200,11645220,143525160.2400,-2.629500
2025-01-14,12.3500,13.0700,12.2400,13.0200,14773092,189335379.6400,6.546600
2025-01-15,12.9400,13.0500,12.6200,12.6700,9624880,122566647.6700,-2.688200
2025-01-16,12.7000,13.1300,12.4000,13.1200,16384548,209867395.9200,3.551700
2025-01-17,13.0200,13.1000,12.8000,12.8200,9872228,127482666.2000,-2.286600
2025-01-20,12.9900,13.0300,12.7500,12.8500,7508620,96593055.4000,0.234000
2025-01-21,12.9000,13.0300,12.5100,12.6900,7309964,92770163.4800,-1.245100
2025-01-22,12.5900,13.5700,12.5400,13.1100,15036445,196787372.5000,3.309700
2025-01-23,13.0200,13.2400,12.9000,12.9200,9483461,124058135.0700,-1.449300
2025-01-24,12.8000,12.9900,12.7000,12.9200,6037364,77680650.6800,0.000000
2025-01-27,12.9200,12.9800,12.5100,12.5200,5572800,70613773.7600,-3.096000
2025-02-05,12.5100,12.5900,12.1100,12.2600,5857989,71754931.5700,-2.076700
2025-02-06,12.2500,12.5300,12.1800,12.4200,6438562,79721138.4200,1.305100
2025-02-07,12.4600,12.6100,12.3600,12.5000,6908458,86180118.7700,0.644100
2025-02-10,12.5000,12.5500,12.3400,12.4800,7261635,90146839.3400,-0.160000
2025-02-11,12.4500,12.6200,12.2200,12.4800,5711244,70837887.8800,0.000000
2025-02-12,12.4200,12.7000,12.4200,12.6400,6034264,75905963.9600,1.282100
2025-02-13,12.6500,12.6700,12.2300,12.2300,6325864,78456264.3200,-3.243700
2025-02-14,12.2300,12.2500,12.0700,12.0900,4651208,56561367.3200,-1.144700
2025-02-17,12.1000,12.5000,12.0800,12.3500,5459240,67029557.7200,2.150500
2025-02-18,12.3700,12.4300,11.9600,12.0600,4766064,58136830.5600,-2.348200
2025-02-19,12.0500,12.2900,12.0100,12.2900,3933044,47891343.6400,1.907100
2025-02-20,12.3300,12.4800,12.2100,12.3800,4748004,58632637.0400,0.732300
2025-02-21,12.3300,13.0800,12.2100,12.9500,14331154,183437321.2500,4.604200
2025-02-24,12.9500,13.4600,12.7000,13.1800,13067150,170818879.1400,1.776100
2025-02-25,13.0000,13.1200,12.8600,12.9700,6754076,87660945.0400,-1.593300
2025-02-26,12.9700,13.1000,12.9000,13.0400,5021476,65338495.7600,0.539700
2025-02-27,13.0000,13.0700,12.6800,12.8600,5973208,76858928.9600,-1.380400
2025-02-28,12.8700,12.9800,12.6000,12.6700,6285900,80386833.2000,-1.477400
2025-03-03,12.7500,12.9400,12.6100,12.6700,3857644,49232235.4800,0.000000
2025-03-04,12.6700,13.0900,12.5800,13.0500,5994948,77692051.4000,2.999200
2025-03-05,13.0400,13.6400,12.9600,13.2200,10044712,132379915.7600,1.302700
2025-03-06,13.2200,13.2600,13.0000,13.0000,8414712,110208502.5600,-1.664100
2025-03-07,13.0300,13.1300,12.8800,12.9300,4982769,64620286.9300,-0.538500
2025-03-10,12.8200,13.2700,12.7500,12.9800,6386280,82942448.0400,0.386700
2025-03-11,12.8000,12.9000,12.6300,12.8700,4849136,61907752.4000,-0.847500
2025-03-12,12.9300,13.2300,12.8500,13.0900,6003082,78305318.8300,1.709400
2025-03-13,12.9700,13.2600,12.8000,12.9300,5815800,75508854.2800,-1.222300
2025-03-14,12.9800,13.2300,12.8000,13.2100,7067540,92604480.0000,2.165500
2025-03-17,13.2000,13.5000,13.1400,13.3700,6931431,92337771.8800,1.211200
2025-03-18,13.3600,13.5000,13.2700,13.4900,5012956,67148137.7600,0.897500
2025-03-19,13.5000,13.5300,13.3100,13.4100,4313932,57753868.1200,-0.593000
2025-03-20,13.3900,13.5300,13.3000,13.4000,4863300,65191357.0000,-0.074600
2025-03-21,13.3300,13.3400,13.0100,13.1100,5227480,68727615.0000,-2.164200
2025-03-24,13.1100,13.2000,12.4200,12.6700,5770300,73460261.0000,-3.356200
2025-03-25,12.6700,12.7100,12.4300,12.5300,2691500,33852707.5900,-1.105000
2025-03-26,12.5700,12.9000,12.4600,12.7700,4370968,55813067.9600,1.915400
2025-03-27,12.7700,12.8400,12.4600,12.6800,3671596,46539009.8400,-0.704800
2025-03-28,12.6300,12.8000,12.4300,12.4500,2860472,35875016.4000,-1.813900
2025-03-31,12.4200,12.4200,12.0000,12.2300,3369396,41030454.8000,-1.767100
2025-04-01,12.1800,12.4400,12.1800,12.3900,1936340,23952785.5200,1.308300
2025-04-02,12.4200,12.6200,12.3100,12.4500,2021456,25273635.1600,0.484300
2025-04-03,12.4000,12.4300,12.1300,12.1900,2520645,30939235.1000,-2.088400
2025-04-07,10.9800,11.4700,10.9700,10.9700,3527080,38877410.2000,-10.008200
2025-04-08,10.5000,10.7700,9.9000,10.1800,8839264,90423057.2000,-7.201500
2025-04-09,10.1300,10.4200,9.5100,10.3200,5492304,54891821.8800,1.375200
2025-04-10,10.5600,11.3500,10.5500,11.3500,8883770,96920104.5800,9.980600
2025-04-11,11.2500,11.2500,10.8800,10.9600,7285482,80072823.9200,-3.436100
2025-04-14,11.1200,11.1400,10.9600,11.0200,4086632,45142623.0800,0.547400
2025-04-15,11.0200,11.1700,10.9400,11.1500,3524076,38996322.7200,1.179700
2025-04-16,11.1200,11.1600,10.7600,11.0200,4046276,44327035.0000,-1.165900
2025-04-17,10.9000,11.1500,10.8600,11.0900,2729104,30220296.3200,0.635200
2025-04-18,11.1300,11.1400,10.9000,10.9600,2687000,29527037.1600,-1.172200
2025-04-21,10.8800,11.0600,10.8100,11.0400,3664048,40182593.9600,0.729900
2025-04-22,11.0200,11.0700,10.9400,11.0500,2528463,27866045.8300,0.090600
2025-04-23,11.1100,11.3100,11.0800,11.2800,4462620,50053058.1600,2.081400
2025-04-24,11.2900,11.2900,10.9700,11.0400,3267976,36196616.4000,-2.127700
2025-04-25,11.0900,11.1700,11.0100,11.1100,1955420,21730324.0400,0.634100
2025-04-28,11.1400,11.1500,10.9000,10.9700,2396080,26355514.0000,-1.260100
2025-04-29,10.9000,11.2100,10.9000,11.1500,2470500,27532575.0000,1.640800
2025-04-30,11.2400,11.3000,11.1600,11.2400,2121624,23857946.2400,0.807200
2025-05-06,11.3300,11.5500,11.3200,11.5300,2907560,33365661.8400,2.580100
2025-05-07,11.6000,11.7600,11.4000,11.5600,3401116,39468377.2400,0.260200
2025-05-08,11.5600,11.8500,11.5100,11.7700,2931628,34363749.6000,1.816600
2025-05-09,11.7900,11.7900,11.5600,11.6100,2167418,25220307.4200,-1.359400
2025-05-12,11.8000,11.8000,11.6100,11.6800,2542344,29664552.2400,0.602900
2025-05-13,11.8000,11.8900,11.6300,11.6500,2651680,31107620.2400,-0.256800
2025-05-14,11.7300,12.1800,11.5700,12.0400,9366360,111952150.6400,3.347600
2025-05-15,12.2100,12.4400,11.8300,12.1000,7997240,96452239.5700,0.498300
2025-05-16,12.0400,12.2200,11.8500,11.8500,4373688,52163931.5600,-2.066100
2025-05-19,11.8500,11.9800,11.7400,11.9600,3084872,36641425.5200,0.928300
2025-05-20,11.8500,12.1500,11.8200,12.0600,2895999,34687044.6000,0.836100
2025-05-21,12.0600,12.0600,11.8000,11.8400,2559432,30400022.8000,-1.824200
2025-05-22,11.8000,11.9200,11.7000,11.7100,2359900,27786231.0000,-1.098000
2025-05-23,11.7200,11.9400,11.6100,11.6300,2247900,26454645.0000,-0.683200
2025-05-26,11.7500,11.8000,11.5700,11.7600,1653800,19403959.6400,1.117800
2025-05-27,11.7700,11.9800,11.7100,11.7900,2026408,23893541.5200,0.255100
2025-05-28,11.7700,11.9000,11.7000,11.7900,1669112,19719770.7200,0.000000
2025-05-29,11.7900,11.9500,11.7700,11.9400,2310820,27507796.4000,1.272300
2025-05-30,11.8500,11.9100,11.6700,11.7000,2474280,29079302.3600,-2.010100
2025-06-03,11.7000,11.8900,11.5700,11.8400,2373012,28028448.4000,1.196600
2025-06-04,11.8900,11.9100,11.8000,11.8600,1859400,22048656.0000,0.168900
2025-06-05,11.8600,11.9000,11.6900,11.8400,2602100,30739300.0000,-0.168600
