date,open,high,low,close,volume,amount,pctChg
2025-01-02,23.6800,23.8000,22.8000,22.9900,3939805,91671505.0200,-2.831800
2025-01-03,22.9400,23.3700,22.5000,22.5200,3715939,84983532.9800,-2.044400
2025-01-06,22.5200,22.9700,22.3600,22.7300,2802510,63630264.1400,0.932500
2025-01-07,22.7300,23.1900,22.6800,23.1800,2563034,58738266.8500,1.979800
2025-01-08,23.0400,23.6800,22.3500,23.5300,4457169,102939129.2600,1.509900
2025-01-09,23.3100,23.6900,23.2900,23.4100,2736479,64260641.3700,-0.510000
2025-01-10,23.2300,23.9700,23.1200,23.1200,3300826,77685166.0500,-1.238800
2025-01-13,22.5100,22.6000,21.0600,21.3100,13893123,298968230.6400,-7.828700
2025-01-14,21.3500,22.8600,21.0800,22.6800,12504722,276320411.0000,6.428900
2025-01-15,22.5000,22.6600,22.2500,22.3900,5476718,122713572.8000,-1.278700
2025-01-16,22.4500,22.9500,22.0400,22.3200,5532230,124243132.3700,-0.312600
2025-01-17,22.2200,22.4500,22.0000,22.3100,3612708,80431151.6000,-0.044800
2025-01-20,22.5300,22.7800,22.4000,22.5700,4300335,97101718.4500,1.165400
2025-01-21,22.6000,22.7700,22.3000,22.7000,4050164,91336711.2300,0.576000
2025-01-22,22.7000,22.7000,22.1600,22.3000,4156540,92848075.2600,-1.762100
2025-01-23,22.5500,23.5000,22.4300,22.7000,8133383,186341040.9500,1.793700
2025-01-24,22.5200,23.2900,22.5000,23.1900,6188329,142594111.1900,2.158600
2025-01-27,23.6400,23.7000,23.0600,23.0800,5711103,133731281.9500,-0.474300
2025-02-05,23.0000,23.4700,22.9300,23.1700,4668756,108478144.8200,0.389900
2025-02-06,23.1000,24.0000,22.9800,23.9900,9738875,231236770.6600,3.539100
2025-02-07,24.0600,24.6500,23.9000,24.2000,11458298,278742118.1000,0.875400
2025-02-10,24.2100,24.2800,23.7000,24.1000,6498464,155904275.3900,-0.413200
2025-02-11,24.0100,24.1000,23.6300,23.6800,5290147,125725250.8900,-1.742700
2025-02-12,23.5600,24.0600,23.4500,23.9800,6387124,152365744.7900,1.266900
2025-02-13,24.0300,24.0800,23.3900,23.4000,7410751,175272311.9500,-2.418700
2025-02-14,23.2500,23.9500,23.2500,23.5300,6083824,143937346.0800,0.555600
2025-02-17,23.5300,23.7400,23.3600,23.7000,4737562,111778852.0200,0.722500
