date,open,high,low,close,volume,amount,pctChg
2025-09-23,90.0200,92.0000,78.8000,79.5000,28296371,2411534840.0000,71.484000
2025-09-24,75.9700,76.6900,70.9500,71.2500,19896403,1450113286.8700,-10.377400
2025-09-25,70.0000,71.2900,67.4400,68.1500,15865352,1093280143.3200,-4.350900
2025-09-26,68.2100,70.6600,66.6900,66.8200,12532002,859050654.8100,-1.951600
2025-09-29,68.0000,68.2600,65.5000,66.3100,10393748,697220009.8800,-0.763200
2025-09-30,66.9000,67.2100,64.2000,64.2100,10550087,690626317.7200,-3.166900
2025-10-09,64.6500,65.4900,63.5500,64.9900,7170903,462806941.1700,1.214800
2025-10-10,64.0000,65.2700,63.7200,63.8900,6129789,394333598.6000,-1.692600
2025-10-13,61.0200,62.3000,60.9800,62.0900,5435130,335181151.2300,-2.817300
2025-10-14,62.0100,62.9700,61.0800,61.3300,4607879,285198454.1700,-1.224000
2025-10-15,61.3800,61.6000,60.7600,61.5200,3901465,238958061.3500,0.309800
2025-10-16,61.4800,61.7300,60.8700,60.9000,3236071,198108314.1800,-1.007800
2025-10-17,60.8000,61.1500,59.8500,59.8700,4075009,246644297.8500,-1.691300
2025-10-20,60.0500,60.3800,59.5400,59.7500,3089674,185168325.5000,-0.200400
2025-10-21,59.8800,60.3800,59.5000,60.3300,2916181,175114665.3800,0.970700
2025-10-22,60.0000,62.1500,59.9200,61.4700,5350767,329397417.2400,1.889600
2025-10-23,61.2400,63.6400,60.8100,63.1500,7160175,447081235.5800,2.733000
2025-10-24,62.9200,62.9200,61.5300,61.6600,6073113,377007110.5600,-2.359500
2025-10-27,61.5800,61.7500,60.8000,60.9600,3790275,231450224.5300,-1.135300
2025-10-28,60.8000,61.3100,60.6000,61.1200,2790837,170083900.1500,0.262500
2025-10-29,60.8800,61.3900,60.7200,61.2300,2559402,156223116.0400,0.180000
2025-10-30,61.0000,62.4000,60.8800,61.2100,4048010,249469903.0400,-0.032700
2025-10-31,61.1600,61.1600,60.7200,60.8900,2645919,161015304.7600,-0.522800
2025-11-03,60.8600,60.8700,60.3900,60.6400,2093110,126795747.4100,-0.410600
2025-11-04,60.4000,60.7800,60.1100,60.2000,2076464,125323249.9600,-0.725600
2025-11-05,60.0900,60.3800,59.8500,60.3000,1748976,105265980.4200,0.166100
2025-11-06,60.1500,61.0800,60.1200,60.7900,2504147,151857761.4100,0.812600
2025-11-07,60.5500,60.5500,60.0100,60.0600,2360564,142130293.0500,-1.200900
2025-11-10,60.0800,60.2300,59.6700,60.1300,1981523,118759405.0200,0.116600
2025-11-11,60.1300,60.4300,59.9400,60.0200,1736175,104395924.4200,-0.182900
2025-11-12,60.1800,60.1800,59.5900,59.6100,1877096,112313027.2700,-0.683100
2025-11-13,59.5100,59.6500,59.1100,59.5500,1965461,116736553.0000,-0.100700
2025-11-14,59.4600,59.7500,59.3100,59.4100,1310154,78056395.0500,-0.235100
2025-11-17,59.4200,59.4300,58.1100,58.2900,2422186,141435975.5200,-1.885200
2025-11-18,58.2900,58.2900,57.6000,57.6600,1901049,109969002.0400,-1.080800
2025-11-19,57.6300,57.8000,57.4100,57.5200,1271495,73208348.3700,-0.242800
