date,open,high,low,close,volume,amount,pctChg
2025-01-02,6.2600,6.5700,6.1200,6.1600,12223628,77499587.0800,-1.597400
2025-01-03,6.1900,6.2700,5.8000,5.8400,12498188,75703453.9200,-5.194800
2025-01-06,5.8000,5.8700,5.4600,5.7100,10075980,57230086.8000,-2.226000
2025-01-07,5.6700,5.9600,5.5600,5.8700,10033140,57771662.0000,2.802100
2025-01-08,5.8800,5.9500,5.6500,5.8300,6896820,40086648.0000,-0.681400
2025-01-09,5.8300,5.9900,5.7500,5.8500,6533700,38459448.0000,0.343100
2025-01-10,5.8000,5.9600,5.5500,5.5700,7323400,41919764.0000,-4.786300
2025-01-13,5.5100,5.7700,5.3600,5.7100,7730080,43327993.0000,2.513500
2025-01-14,5.8100,6.0800,5.7200,6.0800,7402660,44072463.2000,6.479900
2025-01-15,6.1500,6.1500,5.9600,6.1000,8054180,48802255.2000,0.328900
2025-01-16,6.1500,6.3200,6.0200,6.0600,7712570,47442893.5000,-0.655700
2025-01-17,6.0600,6.1000,5.9700,6.0700,4124300,24853155.0000,0.165000
2025-01-20,6.1700,6.2000,5.9400,6.0400,5081080,30794665.6000,-0.494200
2025-01-21,6.0700,6.1900,5.9400,5.9700,6557300,39523282.0000,-1.158900
2025-01-22,6.0000,6.0200,5.7700,5.7900,6704713,39199583.2000,-3.015100
2025-01-23,5.9100,6.2200,5.8300,5.8900,9710360,58577775.6000,1.727100
2025-01-24,5.8900,6.2800,5.8100,6.1400,11932197,73152970.1200,4.244500
2025-01-27,6.2700,6.7500,6.1700,6.5200,13022214,85135277.0800,6.188900
2025-02-05,6.4900,6.9600,6.4900,6.8800,13613990,92119702.2000,5.521500
2025-02-06,6.8000,7.0400,6.6100,6.7100,15824281,107408415.0000,-2.470900
2025-02-07,6.7000,7.2500,6.6800,7.2000,17346541,121800882.5200,7.302500
2025-02-10,7.1400,7.2600,7.0500,7.1600,8314580,59282474.0000,-0.555600
2025-02-11,7.1000,7.3500,7.0600,7.1100,7593460,54452198.2000,-0.698300
2025-02-12,7.0700,7.1700,7.0000,7.0900,6136840,43406548.2000,-0.281300
2025-02-13,7.0600,7.3300,7.0600,7.1200,7434900,53522392.0000,0.423100
2025-02-14,7.1000,7.2200,6.6500,6.8100,13560900,93279677.2000,-4.353900
2025-02-17,6.8300,7.2500,6.8200,7.1700,11908867,84439538.4200,5.286300
2025-02-18,7.1700,7.2700,6.9200,6.9400,7437980,52695535.8000,-3.207800
2025-02-19,6.9400,7.0500,6.7300,6.8300,11347020,77929055.4000,-1.585000
2025-02-20,6.8300,7.1100,6.7900,6.9800,9917160,69079564.2000,2.196200
2025-02-21,6.9800,6.9900,6.7400,6.8500,7116700,48560509.6000,-1.862500
2025-02-24,6.8600,7.0000,6.6500,6.6900,9177400,62568312.6100,-2.335800
2025-02-25,6.7000,7.3600,6.7000,7.3600,8947454,64704890.4400,10.014900
2025-02-26,7.1100,7.6700,7.1100,7.6000,33010094,244758603.6800,3.260900
2025-02-27,7.5100,7.8000,7.5100,7.7600,19154327,147364089.7000,2.105300
2025-02-28,7.7500,7.7800,7.5700,7.7500,13780289,105742481.0800,-0.128900
2025-03-03,7.7400,7.8800,7.3700,7.4400,15293348,116737745.5200,-4.000000
2025-03-04,7.4400,7.6000,7.3400,7.5300,10268828,76843600.8400,1.209700
